,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
WKCurrent_qq,,,,,,1.98,1.14,-100.00,,2.32,-0.10,-100.00,,1.22,-0.08,2.84,-1.46,2.84,1.22,0.80,2.33,0.60,0.27,1.11,0.56,-0.02,-26.09,-1.39,0.43,0.60,1.08,3.53,-7.55,0.18,-4.39
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-50.50,-33.38,,-39.82,,,,-7.01,-7.33,-6.19,,-5.12,-4.08,-4.13,,-2.44,-3.99,-5.20,-3.29,-6.86,-4.76,-3.88,-4.19,-2.51,-1.90,33.12,36.46,36.67,35.77,-0.69,-5.38,2.79,3.19,9.06
CWKCurrent_sy,,0.15,-13.45,,-5.56,,,,-7.97,-25.76,-25.40,,-0.10,20.15,32.60,,-3.00,10.30,5.85,2.34,4.90,-3.47,-2.57,-5.15,-10.58,-9.62,-6.52,-5.34,-4.27,-3.77,-3.00,-3.28,-3.73,-15.92,-21.37
CWKCurrent_qq,,,,,,-1.92,-1.12,,,-2.26,0.10,,,-1.19,0.05,-2.73,1.46,-2.77,-1.20,-0.78,-2.29,-0.57,-0.29,-1.09,-0.58,0.06,35.30,1.38,-0.43,-0.60,-1.03,-3.40,8.16,-0.21,4.60
CWKCurrent_sq,,,,,,-3.16,-7.89,,,-21.88,-7.44,,,-6.04,2.15,5.36,-4.07,6.84,-1.97,1.87,-1.68,-1.69,-1.06,-0.82,-7.31,-0.64,2.34,0.42,-6.26,-0.11,3.17,0.13,-6.69,-12.77,-3.52
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,-113.12,-120.00,,170.53,,,,-415.99,-404.91,-136.01,,21.62,23.62,24.80,,19.81,24.30,32.28,30.62,38.36,38.31,29.69,29.35,29.70,-2.06,84.24,16.04,-147.24,-59.17,-902.03,-62.87,43.70,38.38,26.37
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,,-3.48,-225.95,100.00,,6.87,2.51,100.00,,9.24,4.02,12.81,-5.57,14.32,14.14,10.66,6.21,14.24,2.15,10.23,6.68,-24.51,84.89,-378.23,-174.81,19.84,4.88,22.27,5.00,12.27,-13.65
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,77.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,27.77,22.25,,-26.87,,,28.49,46.01,54.73,64.39,63.86,37.87,17.85,0.29,-6.36,-11.22,-8.37,-2.24,-6.03,-0.08,-4.84,-8.88,-51.37,-22.70,-22.54,-22.13,135.23,3.28,10.86,14.15,-28.73,1.33,-5.04,-6.47
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,4.76,7.53,5.24,8.39,19.05,13.95,11.80,8.04,0.16,-2.59,-4.86,0.88,-5.04,0.54,1.50,-3.03,0.98,-4.25,-2.81,-48.25,60.51,-4.06,-2.29,56.33,-29.52,2.98,0.61,-2.39,0.20,-3.49,-0.91
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-21.74,-18.16,,36.69,,,-22.16,-31.50,-35.40,-39.17,-39.02,-27.48,-15.18,-0.24,6.89,12.63,9.14,2.29,6.33,0.12,5.12,9.67,105.72,29.33,29.09,28.49,-57.51,-3.21,-9.77,-12.38,40.31,-1.29,5.32,6.88
CPCurrent_sy,,-14.75,2.42,,-2.87,,,-13.36,-12.47,9.28,2.24,6.91,-8.20,-24.75,-24.50,-24.38,0.06,-1.65,1.69,5.52,-7.19,0.43,8.18,6.29,3.37,0.94,-1.45,-1.94,-6.96,-10.61,-14.15,-18.14,-7.35,-15.60,-14.82
CPCurrent_qq,,,,,-4.57,-6.99,-5.01,-7.69,-16.02,-12.28,-10.55,-7.46,-0.13,2.60,5.20,-0.84,5.23,-0.58,-1.40,3.07,-0.92,4.39,2.88,93.33,-37.71,4.20,2.40,-36.07,41.88,-2.86,-0.57,2.39,-0.19,3.64,0.90
CPCurrent_sq,,,,,-8.21,1.94,-2.23,-5.29,-7.27,27.27,-8.53,-0.96,-20.38,4.33,-8.23,-0.80,5.35,2.54,-5.11,2.93,-7.34,10.97,2.22,1.13,-9.89,8.36,-0.21,0.64,-14.50,4.11,-4.16,-4.05,-3.23,-5.16,-3.27
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,138.32,123.73,,-37.22,,,-53.23,-17.25,-7.15,-12.40,52.21,-24.69,-42.77,-31.67,-23.84,-26.03,32.84,64.56,8.31,95.67,-7.02,-40.76,-44.28,-63.27,-54.22,-781.06,-973.10,-1151.54,-1308.44,107.79,101.80,92.22,90.88,-401.30
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,-19.25,-4.96,-10.84,-31.65,42.87,6.64,-15.88,18.77,-29.31,-18.96,0.43,32.36,-31.34,45.55,24.41,-12.88,24.03,-30.84,-20.73,-18.05,-18.24,-13.79,-1279.15,-5.05,1.54,0.92,107.60,-75.67,-524.43,-16.19,-151.16
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-58.03,-55.30,,59.28,,,113.78,20.83,7.71,14.16,-34.30,32.81,74.72,46.33,31.31,35.19,-24.72,-39.23,-7.67,-48.89,7.55,68.82,79.49,172.31,118.47,,,,,,,,,
CZCurrent_sy,,-19.53,-27.29,,22.88,,,-38.76,12.20,5.85,8.77,57.23,59.95,104.86,74.91,-6.18,-31.41,-31.22,-25.97,8.09,9.72,-6.16,8.10,-29.84,-10.31,-12.79,,,,,,,,,
CZCurrent_qq,,,,,23.82,5.22,12.16,46.30,-30.01,-6.22,18.88,-15.80,41.47,23.38,-0.43,-24.44,45.66,-31.30,-19.63,14.79,-19.37,44.58,26.16,22.05,22.32,15.99,,,,,,311.08,,,
CZCurrent_sq,,,,,-34.41,-10.33,3.05,1.04,20.16,-15.40,5.89,46.07,22.23,8.36,-9.59,-21.65,-10.64,8.67,-2.69,14.40,-9.29,-7.06,12.09,-25.76,15.96,-9.63,,,,,,-7.12,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,230.22,142.77,,-38.09,,,-55.03,5.07,25.78,56.44,106.92,-4.70,-28.13,-27.26,-23.85,-56.26,-25.63,-9.77,-35.95,114.48,5.80,-27.02,-25.75,-49.27,-37.85,-393.57,-487.95,-682.49,-756.85,56.72,51.76,94.46,92.68,29.39
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,-25.72,-5.81,-20.91,-18.73,73.55,12.76,-1.63,7.49,-20.07,-14.96,-0.45,12.54,-54.08,44.58,20.77,-20.11,53.75,-28.68,-16.69,-18.72,5.03,-12.62,-493.55,-7.41,-57.70,1.47,74.07,-19.73,81.88,-30.12,-150.19
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-69.72,-58.81,,61.53,,,122.39,-4.83,-20.50,-36.08,-51.67,4.93,39.13,37.48,31.31,128.60,34.46,10.82,56.12,-53.38,-5.49,37.01,34.67,97.13,60.91,,,,,,,,,
CZOCurrent_sy,,-39.78,14.32,,6.62,,,-29.03,4.15,0.47,-9.33,35.24,35.95,35.55,119.58,25.62,-20.61,-29.14,-43.93,-27.46,-14.43,-1.58,-17.03,-24.40,-21.79,-12.29,,,,,,,,,
CZOCurrent_qq,,,,,34.63,6.17,26.44,23.05,-42.38,-11.32,1.66,-6.96,25.10,17.59,0.45,-11.14,117.79,-30.84,-17.20,25.18,-34.96,40.20,20.03,23.04,-4.80,14.45,,,,,,,,,
CZOCurrent_sq,,,,,-16.34,5.68,-14.82,-5.75,22.77,1.95,-23.13,40.58,23.41,1.65,24.52,-19.58,-22.01,-9.27,-1.47,4.04,-8.00,4.36,-16.94,-5.20,-4.82,17.03,,,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-0.10,177.12,,-46.54,,,,157.32,129.69,63.29,,-2.46,-6.95,-14.23,246.02,-11.06,-13.58,-15.43,-13.01,-18.02,-18.21,-12.74,-23.05,-14.94,1.39,7.06,29.07,41.44,20.63,12.19,-2.86,-24.14,-18.61,-17.80
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,44.23,16.06,46.18,-59.13,271.13,3.60,3.92,-74.97,262.02,-1.17,-4.21,0.96,-6.95,-3.97,-6.26,3.85,-12.31,-4.19,0.01,-8.41,-3.07,14.19,5.60,10.42,6.23,-2.61,-1.78,-4.39,-17.05,4.49,-0.81
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-21.79,126.60,,-26.89,,,-22.16,76.23,48.44,-0.66,-39.02,-29.26,-21.05,-14.48,269.70,0.18,-5.71,-13.49,-7.46,-17.95,-14.02,-4.23,58.27,10.07,30.87,37.48,-45.12,36.94,8.82,-1.73,36.28,-25.15,-14.31,-12.11
EVPCurrent_sy,,6.62,-2.36,,-9.31,,,-13.36,-2.24,-7.68,59.20,6.52,-2.33,22.31,-3.18,19.70,-5.01,5.00,1.29,20.91,-15.41,-3.64,-7.13,-8.52,4.04,-11.26,-6.40,0.49,5.22,-6.50,-10.60,-17.77,-7.91,-8.56,-13.28
EVPCurrent_qq,,,,,37.65,7.94,38.89,-62.28,211.66,-9.08,-7.05,-76.84,261.51,1.47,0.67,0.11,-2.04,-4.49,-7.63,7.08,-13.15,0.09,2.89,76.97,-39.60,19.01,8.09,-29.37,50.72,-5.43,-2.39,-2.04,-17.21,8.26,0.11
EVPCurrent_sq,,,,,27.92,-11.19,-20.45,-4.13,44.32,-16.13,37.18,-35.86,32.33,5.04,8.59,-20.70,5.02,16.10,4.76,-5.34,-26.53,32.26,0.96,-6.76,-16.44,12.82,6.48,0.10,-12.50,0.25,1.81,-7.92,-2.01,-0.46,-3.44
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-69.75,14.16,,-13.64,,,122.39,144.89,82.60,4.37,-51.67,2.36,29.47,17.92,354.36,103.31,16.20,-6.28,35.81,-61.78,-22.70,19.55,3.63,67.68,63.15,-136.47,-133.27,-124.28,-118.36,-159.23,-101.37,-1268.71,-1012.34,-16.40
EVEBITCurrent_sy,,-26.43,7.96,,16.85,,,-3.47,-8.99,-20.16,-4.28,34.48,32.17,88.86,53.32,30.30,9.43,-32.96,-33.83,-17.96,-34.86,-4.52,15.42,-8.16,2.77,-7.46,-18.51,-8.07,-11.22,-22.06,-13.18,2.16,32.27,5.97,5.69
EVEBITCurrent_qq,,,,,94.18,23.22,84.84,-49.71,113.83,-8.13,5.65,-76.72,352.90,16.21,-3.77,-10.29,102.66,-33.58,-22.39,30.00,-42.96,34.32,20.04,12.69,-7.71,30.69,-126.83,-2.80,32.64,1.17,-278.79,20.15,-357.83,19.68,60.36
EVEBITCurrent_sq,,,,,33.44,8.62,-5.09,-29.83,25.81,-4.71,13.78,-1.41,23.65,36.16,-7.63,-16.22,3.84,-16.58,-8.84,3.88,-17.55,22.28,10.19,-17.34,-7.74,10.11,-2.97,-6.75,-10.90,-3.33,8.08,9.73,15.37,-22.55,7.80
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-47.99,49.97,,-19.67,,,9.43,113.66,65.10,-0.64,-40.27,-17.86,-3.48,-6.65,290.16,26.31,-0.43,-10.02,9.23,-39.91,-19.26,0.96,-12.59,17.06,27.09,-291.37,-290.68,-197.30,-180.65,567.39,-1631.52,317.27,337.79,-50.77
EVEBITDACurrent_sy,,-2.45,-15.46,,-11.91,,,-18.00,27.73,-18.90,23.86,44.09,21.46,36.59,22.19,19.69,-3.67,-22.27,-35.52,-32.02,-17.59,-4.84,3.79,-3.19,-25.27,-21.56,1.26,-1.88,11.67,5.84,21.16,20.59,12.58,9.12,-15.45
EVEBITDACurrent_qq,,,,,49.67,17.20,65.06,-62.21,192.24,-9.44,-0.66,-77.28,301.92,6.41,-3.92,-5.05,30.12,-16.11,-13.17,15.25,-28.42,12.71,8.57,-0.21,-4.14,22.37,-263.48,0.57,51.08,-1.43,1047.42,-468.34,106.14,11.00,96.14
EVEBITDACurrent_sq,,,,,-9.14,40.43,-24.26,-15.16,41.53,-10.83,15.68,-1.31,19.31,0.27,3.49,-3.32,-3.98,-19.09,-14.15,1.92,16.41,-6.58,-6.36,-4.92,-10.14,-1.94,20.87,-7.87,2.26,-7.06,38.36,-8.30,-4.53,-9.92,7.21
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,17.95,49.05,,-62.21,,,,-23.09,-13.98,-17.81,,-28.51,-45.05,-34.38,,-27.94,27.40,55.98,4.65,82.62,-11.51,-43.10,-46.54,-64.28,-55.01,-1006.47,-1290.37,-1539.75,-1739.34,107.73,101.70,92.00,90.60,-428.85
ROE_sy,,-69.72,125.65,,35.79,,,,-39.77,-18.40,-36.93,,-17.89,-26.82,2.48,,10.66,-3.11,-9.60,-22.95,17.85,46.98,10.05,14.01,1.80,16.88,25.55,11.58,0.12,8.73,14.72,39.11,17.28,-1.62,2.04
ROE_qq,,,,,,-6.78,-11.93,,,4.27,-15.85,,,-19.85,0.48,28.71,-30.48,41.71,23.02,-13.65,21.31,-31.33,-20.90,-18.87,-18.94,-13.52,-1693.84,-6.54,1.95,1.54,107.52,-76.54,-560.66,-15.66,-163.08
ROE_sq,,,,,,-28.99,15.28,,,-3.80,-10.90,,,-14.26,24.77,18.10,-12.41,-24.93,16.42,0.65,33.98,-6.37,-12.84,4.27,19.63,7.50,-6.37,-7.33,7.34,16.75,-1.21,12.37,-9.51,-2.06,2.46
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,39.33,68.42,,-45.93,,,,-45.53,-43.22,-38.68,,-27.01,-39.17,-27.60,,-20.26,37.17,66.83,16.33,98.34,-2.29,-38.28,-42.12,-62.12,-55.08,-774.52,-942.01,-1286.76,-1442.61,108.41,102.18,91.51,89.64,-444.92
ROA_sy,,-64.11,80.13,,35.47,,,,-45.53,-18.89,-55.77,,-5.47,-36.36,10.34,,10.03,16.96,-2.92,-7.01,6.34,27.10,-6.65,32.88,23.40,50.45,63.22,7.86,-5.89,3.09,4.26,37.40,9.01,-5.32,-16.14
ROA_qq,,,,,,-3.15,-17.72,,,0.96,-11.15,,,-15.86,5.76,24.26,-27.89,44.75,28.63,-13.35,22.95,-28.69,-18.75,-18.75,-19.53,-15.44,-1320.00,-1.43,-13.42,4.34,107.64,-73.73,-541.94,-16.79,-154.38
ROA_sq,,,,,,-23.99,53.69,,,13.18,-16.19,,,-23.81,45.31,-3.53,3.03,-19.01,20.61,-7.59,17.81,-3.20,-11.41,31.53,9.41,18.02,-3.89,-13.08,-4.54,29.29,-2.81,14.54,-24.26,12.28,-13.91
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,158.79,98.64,,-15.35,,,-65.03,-28.06,-18.60,-4.91,26.46,-30.82,-39.06,-27.49,-18.70,-50.81,-18.88,-7.63,-31.89,115.09,11.15,-19.83,52.84,-34.43,-19.76,-476.98,-264.77,-663.88,-693.01,62.08,32.27,94.54,92.31,24.52
OPM_sy,,11.76,66.48,,-3.94,,,229.32,-43.07,-1.32,-49.53,-46.59,3.14,-44.18,-29.24,-12.78,-12.68,24.79,31.68,12.74,15.54,10.17,21.58,17.14,18.71,10.45,12.38,-4.34,0.99,-3.00,-13.04,-1.34,1.63,14.80,40.50
OPM_qq,,,,,-29.07,-12.47,-24.80,-25.09,45.90,-0.96,-12.16,-0.37,-20.19,-12.76,4.52,11.70,-51.71,43.87,19.02,-17.63,52.51,-25.66,-14.16,57.04,-34.57,-9.03,-503.31,31.36,-123.90,4.33,74.21,-22.60,81.96,-34.78,-153.23
OPM_sq,,,,,182.08,-12.47,41.69,-5.87,-51.24,51.72,-27.54,-0.37,-5.83,-17.90,-8.14,22.82,-5.73,17.34,-3.07,5.15,-3.39,11.89,6.97,1.30,-2.09,4.11,8.83,-13.77,3.36,,-2.44,-2.17,6.47,12.96,19.41
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,86.40,83.06,,-14.14,,,-63.55,-43.26,-40.10,-46.60,-7.28,-45.38,-51.41,-31.84,-18.77,-16.91,44.77,68.13,15.55,95.93,-2.01,-34.97,14.55,-52.52,-40.98,-973.87,-470.79,-1120.00,-1190.97,106.84,102.57,92.34,90.39,-421.01
ROS_sy,,-60.87,206.88,,24.74,,,123.59,-64.82,-30.91,-58.29,-79.84,16.81,-33.19,-1.89,156.25,3.83,-18.55,-40.54,-25.00,9.65,47.64,124.68,49.59,19.04,43.09,28.18,-14.54,15.73,1.98,-7.55,25.28,-11.73,13.00,11.46
ROS_qq,,,,,-22.95,-11.53,-15.40,-36.80,19.94,-6.60,-24.58,9.74,-29.35,-16.91,5.81,30.77,-27.73,44.77,22.89,-10.13,22.55,-27.60,-18.44,58.29,-49.21,-10.00,-1307.64,32.83,-39.73,3.74,107.57,-74.79,-516.67,-20.80,-152.98
ROS_sq,,,,,135.21,-23.95,24.61,0.32,-62.99,49.36,-24.79,-51.52,114.45,-14.57,10.45,26.64,-13.11,-32.98,-19.37,59.74,27.03,-9.76,22.70,6.36,1.09,8.47,9.91,-29.09,36.88,-4.41,-0.36,-3.90,-3.55,22.37,-1.72
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,132.74,99.05,,-19.48,,,-62.63,-12.57,-6.10,9.50,30.82,-40.30,-41.13,-28.97,-15.59,-30.68,-1.72,-8.29,-31.53,46.89,-18.45,-17.59,49.85,-29.24,-9.79,-25.00,-78.47,-118.30,-122.37,-114.63,-217.27,5.17,16.67,-144.44
RS_sy,,34.80,47.16,,6.78,,,237.05,-12.57,9.89,-30.61,-27.75,-34.40,-50.12,-45.55,-32.94,-21.41,14.96,25.24,19.16,35.53,16.13,18.23,12.94,15.05,16.11,12.42,4.42,2.78,-4.63,-13.50,-16.30,0.66,7.69,3.17
RS_qq,,,,,-30.16,-12.46,-24.39,-19.18,63.41,-5.97,-11.83,-3.44,-25.42,-7.27,6.37,14.75,-38.76,31.48,-0.75,-14.32,31.38,-27.01,0.31,55.79,-37.96,-6.94,-16.61,-55.28,-152.73,-13.79,45.45,-258.33,57.36,,-60.00
RS_sq,,,,,203.24,-12.46,49.19,-14.90,-21.34,10.04,-5.80,-11.39,-28.58,-16.34,2.84,9.13,-16.30,22.37,12.04,3.84,-4.81,4.85,14.07,-0.81,-3.03,5.82,10.45,-7.87,-4.55,-1.81,0.17,-10.85,14.79,,-4.04
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,77.48,79.48,,-15.07,,,-63.96,-34.76,-30.56,-41.11,1.30,-48.22,-56.20,-32.41,-20.72,-67.39,-11.87,7.38,-35.48,311.11,35.75,-16.03,87.50,-37.57,-23.28,-623.18,-313.07,-848.92,-920.40,58.56,26.66,90.17,86.96,18.24
GPM_sy,,-84.61,707.45,,15.54,,,51.42,-66.18,-37.78,-42.33,-55.72,38.58,-41.41,-19.81,73.31,-4.83,-26.48,-28.50,-34.47,6.57,86.53,110.63,80.60,33.47,46.39,38.19,-8.78,3.15,-10.63,-16.51,13.48,-1.83,42.89,14.51
GPM_qq,,,,,-23.72,-11.87,-14.86,-37.03,38.08,-6.19,-27.80,8.31,-29.41,-20.65,11.42,27.05,-70.97,114.44,35.75,-23.66,85.00,-29.19,-16.03,70.45,-38.40,-12.99,-672.64,30.58,-116.52,4.68,71.07,-22.85,70.99,-26.47,-81.40
GPM_sq,,,,,113.35,-4.13,-13.06,-14.86,-52.35,76.38,-19.42,-34.63,49.15,-25.43,10.29,41.28,-18.09,-42.39,7.25,29.47,33.21,0.84,21.11,11.01,-1.55,10.60,14.33,-26.72,11.33,-4.17,6.79,-0.40,-3.69,39.48,-14.41
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,-4.16,17.51,,-10.86,,,-30.60,5.30,20.45,23.61,33.06,-5.24,-15.48,-9.25,-14.01,-13.02,-6.76,-6.97,-1.05,11.13,8.61,4.98,27.54,-6.03,-6.40,-6.24,-34.93,-16.93,-17.99,-20.00,-14.24,-9.43,-4.96,-1.02
RBS_sy,,-7.15,20.68,,-10.21,,,40.67,-4.24,0.84,-19.33,-18.43,-6.70,-7.13,11.56,-7.84,-5.80,-5.25,-3.59,3.17,12.85,10.59,6.71,9.26,-0.18,-3.62,-1.29,-13.77,-5.33,-8.86,-13.91,-4.51,-4.37,8.03,16.58
RBS_qq,,,,,-15.50,-7.40,-6.74,-4.90,28.21,5.93,-4.29,2.36,-8.69,-5.53,2.77,-3.00,-7.64,1.28,2.53,3.18,3.72,-1.02,-0.90,25.35,-23.58,-1.42,-0.72,-13.01,-2.44,-2.67,-3.15,-6.75,3.04,2.13,0.86
RBS_sq,,,,,20.85,-3.31,4.98,14.66,-17.74,1.83,-16.01,15.94,-5.91,1.36,0.89,-4.23,-3.83,1.95,2.66,2.49,5.20,-0.09,-0.94,4.95,-3.89,-3.53,1.45,-8.32,5.52,-7.13,-4.17,1.68,5.67,4.92,3.41
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,93.13,82.74,,-46.65,,,,-30.81,-22.96,9.85,,-7.81,-23.77,-23.02,,-52.75,-23.26,-8.68,-31.17,117.49,11.25,-24.00,-22.96,-47.63,-39.33,-391.12,-474.69,-756.30,-834.26,53.22,42.27,93.94,91.68,19.32
ROPA_sy,,18.20,-1.38,,-1.27,,,,-13.24,-12.82,-43.15,,-12.38,-22.54,-8.04,,-4.80,36.60,23.93,17.25,23.06,-4.12,12.18,21.28,21.24,17.60,2.36,-1.68,4.38,8.19,15.56,16.93,-14.69,-3.50,-6.76
ROPA_qq,,,,,,-4.05,-27.04,,,6.84,4.02,,,-11.65,5.04,5.48,-51.73,43.50,25.00,-20.50,52.52,-26.60,-14.61,-19.41,3.67,-14.96,-509.72,-3.73,-81.59,4.86,73.90,-28.02,80.94,-30.69,-153.03
ROPA_sq,,,,,,-4.05,35.63,,,-3.58,-11.55,,,-14.76,5.01,8.24,-1.74,22.32,-4.73,2.40,3.13,-4.70,11.46,10.71,3.10,-7.57,-2.98,6.35,9.45,-4.20,3.63,7.61,-20.15,8.36,0.13
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,1495.74,-93.22,,173.19,,,-85.47,-79.39,-82.01,-70.63,31.34,67.57,10.38,-30.60,79.04,-48.52,-10.03,41.69,-53.99,29.01,-16.66,-43.73,-59.71,-54.94,-36.66,-1325.25,-5345.52,-2321.75,-2164.61,107.34,101.16,92.82,91.63,-614.24
ZNPO_sy,,45.85,-40.12,,88.41,,,19.98,-67.05,-47.29,-43.19,-63.07,-2.57,-27.34,-22.86,138.45,48.74,56.17,10.06,-32.52,-35.01,-1.10,-14.76,25.87,65.22,83.68,79.48,4.06,9.46,-19.98,-5.81,46.49,6.00,-1.27,-18.77
ZNPO_qq,,,,,-26.47,18.72,-27.06,-77.18,4.28,3.66,19.04,2.07,33.04,-31.72,-25.15,163.31,-61.75,19.33,17.87,-14.50,7.28,-22.92,-20.41,-38.79,19.99,8.36,-1639.61,-162.05,49.18,-0.69,105.47,-58.50,-414.00,-17.43,-236.04
