,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVCurrent_yy,,-10.50,40.72,0.37,,,1.20,,,-41.02,43.00,131.91,148.16,174.64,33.64,64.09,5.18,-12.05,-21.86,-37.57,-7.26,-0.96,-0.39,-0.85,-5.77
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,,69.54,-7.19,-36.45,,,125.01,3.07,7.00,10.67,9.49,26.55,-31.41,-7.45,-2.72,1.10,1.89,-1.17,-2.16,0.63,-3.16
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-19.88,6.66,-25.57,,,12.87,,25.02,-29.47,28.88,81.82,87.64,97.34,1.73,27.00,65.63,63.28,37.06,21.57,-1.41,-4.52,2.37,1.19,-8.03
EVPCurrent_sy,,-9.46,-10.47,0.22,,,-2.68,,8.30,26.97,-3.12,9.86,-1.74,-2.14,-4.72,-4.84,4.67,8.75,31.17,39.83,53.21,43.66,-15.63,10.14,1.32
EVPCurrent_qq,,,,,,71.69,14.98,-34.45,-3.39,-3.14,110.10,-7.52,-0.30,1.87,8.30,15.45,30.03,0.42,-9.09,2.41,5.44,-2.74,-2.53,1.23,-4.16
EVPCurrent_sq,,,,,,-12.82,37.09,-17.22,9.47,2.20,4.60,-6.13,-2.09,1.78,1.84,-6.24,7.70,5.75,22.84,-0.05,18.00,-0.84,-27.86,30.48,8.56
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-50.87,49.94,-23.13,,,8.58,,-3.21,-38.46,31.80,143.90,132.73,189.49,92.44,133.40,194.68,216.57,-502.42,-231.44,-145.26,-133.99,84.25,55.70,-54.98
EVEBITCurrent_sy,,2222.67,-122.03,268.92,,,124.36,,125.15,62.93,129.39,201.54,-47.25,38.23,-119.58,-110.88,-134.63,-112.45,-55.83,-28.25,-78.74,-140.27,251.97,281.84,212.34
EVEBITCurrent_qq,,,,,,61.56,5.77,-47.76,8.42,2.72,126.53,-3.33,3.46,27.78,50.58,17.25,30.61,37.27,-291.42,61.70,55.02,-3.08,11.28,-7.70,-57.35
EVEBITCurrent_sq,,,,,,7.63,33.71,5.75,47.94,-22.11,88.24,39.01,-74.12,104.11,-126.66,22.76,17.61,26.62,-233.66,36.43,-14.83,1.35,311.04,-23.94,-29.06
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-43.13,53.13,-21.17,,,6.75,,-4.30,-40.22,22.91,117.70,105.33,141.00,49.17,68.74,109.24,97.54,260.49,5347.05,-261.33,-255.37,-154.88,-104.04,-460.29
EVEBITDACurrent_sy,,2470.18,-68.77,28.12,,,81.07,,134.14,83.10,98.86,16.87,-21.14,-10.12,-112.22,-111.64,-132.73,-120.22,545.91,590.75,-28.64,-29.25,-7.48,-28.26,252.93
EVEBITDACurrent_qq,,,,,,61.00,5.46,-46.93,6.21,0.57,116.84,-6.01,0.17,18.04,34.21,6.33,24.22,11.44,144.92,1506.59,-103.68,-7.32,13.49,-18.18,-410.63
EVEBITDACurrent_sq,,,,,,39.82,-0.58,79.56,-6.20,9.34,7.98,5.53,-36.71,24.63,-114.68,-0.48,-77.99,23.01,423.84,10.58,-146.66,22.64,331.81,-14.25,-0.54
ROE,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,36.99,-3.66,-7.67,,,-15.91,,,,-10.71,,,,-40.06,-78.84,-83.71,-88.27,-132.40,-295.79,-574.55,-866.67,-1937.32,-1028.23,-381.74
ROE_sy,,24.92,-117.96,212.18,,,-43.75,,,,217.54,,,,-166.67,-996.05,22.53,-80.95,4.97,93.32,-64.54,-253.51,172.97,625.27,188.79
ROE_qq,,,,,,,7.11,,,,,-16.54,12.81,-16.68,-23.58,-70.54,-13.16,-40.00,-311.11,-77.99,-110.48,3.07,-461.00,1.43,10.13
ROE_sq,,,,,,,242.00,,,,,-86.00,-578.95,82.69,-474.60,-88.12,58.59,59.57,-201.75,86.77,-919.78,13.15,162.28,-4.78,72.38
