,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
WKCurrent_qq,,,,,-100.00,,9.15,1.80,-100.00,,-1.00,-1.32,8.04,4.74,1.61,-2.81,0.80,9.20,1.56,-3.15,5.27,2.86,3.94,-4.87,2.33,1.89,-0.17,91.20,-0.34,-31.99,-2.15,-5.22,-3.40,-6.36,-2.35,0.21
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-14.16,-30.07,,,-17.92,,-31.83,,-13.90,-5.08,-2.08,,-9.54,-11.86,-10.52,-4.09,-8.00,-7.97,-7.64,-11.56,-6.11,-8.26,-6.59,-3.91,-2.99,1.00,-49.75,-48.40,-22.70,-21.14,59.07,64.12,19.20,19.45,12.99
CWKCurrent_sy,,-4.06,10.43,,,-11.29,,4.85,,17.68,18.05,46.15,,29.31,33.51,2.13,-9.42,-9.66,-2.19,8.79,2.91,-2.45,-2.56,-9.80,-1.40,8.22,0.11,-2.55,-3.30,-5.65,-5.81,-3.38,-2.13,-5.43,1.56,11.12
CWKCurrent_qq,,,,,,,-8.38,-1.77,,,1.00,1.34,-7.44,-4.53,-1.58,2.88,-0.79,-8.42,-1.54,3.25,-5.00,-2.78,-3.79,5.12,-2.28,-1.85,0.18,-47.70,0.34,47.04,2.19,5.50,3.52,6.80,2.41,-0.21
CWKCurrent_sq,,,,,,,-13.90,5.38,,,-13.63,30.47,8.72,5.55,-10.83,-0.19,-3.58,5.27,-3.46,11.02,-8.79,-0.21,-3.56,2.77,-0.30,9.52,-10.80,0.05,-1.06,6.86,-10.95,2.62,0.22,3.26,-4.36,12.28
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,-33.07,-187.43,,,-484.25,,32.53,,7.60,8.31,6.16,,27.71,34.04,31.32,23.60,44.67,43.24,40.37,37.81,15.69,40.66,10.51,26.75,3.97,-40.79,709.15,883.24,298.50,271.38,-115.91,-117.43,-154.53,-168.43,-17.63
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,100.00,,-4.48,2.55,100.00,,-3.68,0.26,17.06,15.72,5.40,-3.86,7.74,38.97,2.95,-9.12,3.78,17.26,31.69,-64.55,21.24,-8.46,-0.16,811.94,1.27,-72.51,-13.53,-166.11,-10.89,13.98,-8.51,-13.65
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,49.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.25,263.79,15.63,,,,,
CWKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.24,-6.48,6.03,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,-4.75,8.02,,,-13.82,,12.25,15.68,28.29,23.57,8.58,40.32,18.64,21.59,34.55,-1.32,2.01,-0.88,-3.10,10.80,5.08,4.83,-10.18,-15.24,-18.71,-23.32,-7.81,-9.22,-3.44,0.29,-18.94,-21.16,-10.98,-6.97,10.27
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,-7.29,5.00,4.82,10.01,-4.46,16.45,0.96,-3.34,23.47,-1.54,3.47,6.97,-9.45,1.78,0.55,4.58,3.54,-3.48,0.31,-10.40,-2.30,-7.43,-5.37,7.72,-3.79,-1.53,-1.72,-12.94,-6.43,11.19,2.71,3.20
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,5.00,-7.43,,,16.05,,-10.90,-13.56,-22.05,-19.08,-7.90,-28.73,-15.71,-17.76,-25.67,1.34,-1.98,0.90,3.18,-9.75,-4.83,-4.63,11.34,17.96,23.03,30.43,8.47,10.17,3.55,-0.30,23.37,26.84,12.34,7.50,-9.32
CPCurrent_sy,,-7.00,28.13,,,-17.76,,-3.72,-8.79,16.04,37.81,-1.86,30.76,16.59,-9.65,-7.91,-10.62,-19.32,-22.87,-14.56,-30.30,-11.59,-21.15,-7.08,19.20,60.65,44.69,51.90,33.91,-14.62,7.96,-4.48,-18.29,-8.22,-14.70,-7.33
CPCurrent_qq,,,,,7.87,-4.76,-4.60,-9.10,4.66,-14.12,-0.96,3.45,-19.00,1.57,-3.37,-6.51,10.44,-1.76,-0.53,-4.39,-3.40,3.59,-0.32,11.61,2.35,8.04,5.68,-7.18,3.95,1.56,1.74,14.86,6.87,-10.05,-2.64,-3.10
CPCurrent_sq,,,,,-3.26,-11.62,3.09,9.23,-8.36,12.44,22.43,-22.21,22.11,0.26,-5.12,-20.72,18.52,-9.50,-9.30,-12.17,-3.32,14.78,-19.11,3.51,24.03,54.69,-27.14,8.67,9.33,-1.37,-7.87,-3.85,-6.48,10.79,-14.37,4.45
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-47.68,18.53,,,17.85,,63.91,46.19,4.98,-21.03,-58.23,-4.22,7.29,79.71,226.56,-27.58,19.02,-4.94,-9.31,147.73,18.47,18.67,14.84,-36.32,-36.42,-70.88,788.13,1003.79,1040.23,2351.68,-122.99,-127.16,-125.50,-125.36,54.12
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,13.80,27.66,0.20,12.61,1.50,-8.33,-24.64,-40.43,132.72,2.68,26.24,8.25,-48.39,68.77,0.82,3.28,40.96,-19.29,0.99,-0.05,-21.84,-19.42,-53.75,2948.74,-2.86,-16.76,-0.56,-128.58,-14.77,21.85,1.07,48.30
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,91.12,-15.64,,,-15.15,,-39.00,-31.60,-4.76,26.63,139.34,4.41,-6.78,-44.35,-69.37,38.08,-15.98,5.20,10.28,-59.63,-15.61,-15.73,-12.95,57.00,57.31,243.44,-88.74,-90.94,-91.23,-95.92,,,,,
CZCurrent_sy,,-5.93,61.65,,,-22.78,,-19.03,27.80,16.81,-2.56,43.90,38.88,-1.33,11.96,-45.67,-46.70,-37.16,-21.07,-1.11,-3.72,34.17,-1.40,-5.57,-9.17,-2.97,5.75,28.04,26.12,-20.42,-20.52,,,,,
CZCurrent_qq,,,,,-12.12,-21.67,-0.21,-11.20,-1.46,9.06,32.68,67.85,-57.01,-2.63,-20.79,-7.62,93.80,-40.75,-0.83,-3.16,-29.06,23.87,-0.97,0.04,27.94,24.11,116.20,-96.72,2.94,20.13,0.56,,,,,
CZCurrent_sq,,,,,-34.56,17.91,4.14,0.76,3.29,7.77,-13.12,48.80,-0.31,-23.43,-1.42,-27.80,-2.20,-9.72,23.82,-9.54,-4.79,25.82,-9.01,-13.37,-8.42,34.41,-0.83,4.89,-9.79,-15.19,-0.96,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-31.97,17.02,,,3.16,,16.52,10.97,-3.26,-21.04,-48.05,0.11,20.93,89.09,177.14,-13.31,4.65,-14.13,-14.68,93.78,20.32,19.96,14.48,-35.82,-39.70,-67.27,-73.64,-98.96,-405.90,-686.20,-1000.22,-32638.10,42.17,46.78,75.71
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,5.17,7.44,-4.28,7.72,0.16,-6.33,-21.87,-29.12,93.00,13.15,22.16,3.88,-39.63,36.60,0.25,3.21,37.11,-15.18,-0.06,-1.50,-23.13,-20.32,-45.75,-20.66,-96.97,-23552.38,-3.97,-21.83,-9.53,58.32,4.32,44.39
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,46.99,-14.54,,,-3.05,,-14.19,-9.88,3.36,26.65,92.45,-0.11,-17.31,-47.12,-63.91,15.36,-4.45,16.44,17.20,-48.39,-16.88,-16.62,-12.64,55.80,65.83,205.52,279.21,9410.78,,,,,,,
CZOCurrent_sy,,-12.11,40.22,,,-7.85,,-14.01,30.92,-15.20,-4.68,36.20,5.94,15.02,34.53,-38.14,-24.04,-46.61,-30.76,-8.00,-30.67,59.58,6.11,-13.92,2.83,-9.01,17.69,20.81,40.08,,,,,,,
CZOCurrent_qq,,,,,-4.92,-6.92,4.46,-7.18,-0.15,6.76,28.00,41.04,-48.17,-11.63,-18.14,-3.73,65.65,-26.80,-0.25,-3.11,-27.06,17.90,0.06,1.52,30.09,25.49,84.35,26.01,3162.62,,,,,,,
CZOCurrent_sq,,,,,-28.17,18.84,-24.95,34.23,9.35,-23.02,-15.64,91.80,-14.94,-16.42,-1.33,-11.81,4.44,-41.25,27.95,17.18,-21.29,35.22,-14.93,-4.94,-5.97,19.66,10.03,-2.41,9.02,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,4.08,4.39,,,3.44,,-10.16,,0.65,1.73,5.43,14.82,6.00,3.49,-2.16,-4.97,-9.38,0.04,-3.29,0.17,4.16,-4.10,0.09,3.15,-10.55,0.47,1.35,-9.41,-0.12,-26.58,-6.33,5.73,7.40,30.39,0.43
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,-19.03,10.23,-1.88,2.58,-9.87,10.95,-0.83,6.31,-1.85,2.43,-3.17,0.50,-4.67,-2.32,6.90,-2.84,-1.26,1.57,-1.59,1.40,1.76,-11.92,10.54,2.30,-9.04,-2.89,-18.75,30.52,2.66,-1.35,-1.36,0.53
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,9.26,-3.36,,,20.03,,-19.97,-13.56,-21.54,-17.68,-2.89,-18.17,-10.66,-14.87,-27.28,-3.71,-11.16,0.91,-0.22,-9.59,-0.87,-8.51,11.44,21.69,10.03,31.01,9.95,-0.19,3.44,-26.80,15.57,34.10,20.66,40.17,-8.93
EVPCurrent_sy,,-5.40,22.44,,,0.76,,-1.26,-8.79,10.03,15.80,-1.14,8.79,35.17,-1.28,14.39,5.48,-19.91,-7.54,-10.88,-21.04,-11.92,-24.48,-0.98,35.21,68.24,62.57,43.16,12.27,-9.64,-8.30,-9.24,-12.81,-14.35,-5.16,-7.04
EVPCurrent_qq,,,,,-12.66,4.98,-6.38,-6.76,-5.66,-4.72,-1.78,9.99,-20.51,4.03,-6.41,-6.04,5.27,-4.02,6.30,-7.10,-4.61,5.23,-1.89,13.16,4.16,-4.85,16.81,-5.03,-5.44,-1.39,-17.34,49.94,9.71,-11.27,-3.97,-2.59
EVPCurrent_sq,,,,,10.85,-15.24,11.01,-5.34,2.40,2.25,16.84,-19.18,12.68,27.04,-14.67,-6.35,3.91,-3.55,-1.49,-9.74,-7.94,7.60,-15.53,18.35,25.72,33.88,-18.38,4.22,-1.42,7.75,-17.17,3.16,-5.30,5.85,-8.28,1.11
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,52.98,-10.79,,,0.29,,-22.91,-9.88,4.04,28.85,102.90,14.69,-12.35,-45.27,-64.69,9.62,-13.41,16.48,13.34,-48.31,-13.42,-20.05,-12.56,60.70,48.33,206.95,284.33,8516.11,-132.65,-112.52,-110.41,-100.33,-85.72,-145.03,-313.47
EVEBITCurrent_sy,,-32.12,-31.82,,,52.00,,-1.60,73.05,28.81,0.71,80.03,-16.73,25.55,41.97,-38.13,-20.72,-38.70,-30.01,-11.12,9.80,49.48,8.50,7.22,-9.69,-13.43,21.14,15.54,24.05,-17.38,-21.78,-21.67,11.04,10.63,-0.85,-7.60
EVEBITCurrent_qq,,,,,-23.01,2.61,2.50,-4.78,-10.00,18.45,26.94,49.94,-49.13,-9.48,-20.73,-3.25,57.91,-28.50,6.63,-5.86,-27.97,19.75,-1.53,2.95,32.38,10.53,103.78,28.90,2867.67,-100.42,21.86,-7.13,6.27,-136.68,-3.10,-80.78
EVEBITCurrent_sq,,,,,-25.38,2.86,9.98,16.58,31.22,-23.44,-14.01,108.40,-39.30,15.43,-2.77,-9.18,-22.22,-10.75,11.03,15.32,-3.92,21.49,-19.40,13.96,-19.07,16.46,12.79,8.69,-13.11,-22.43,6.78,8.85,23.17,-22.72,-4.31,1.44
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,16.23,0.09,,,1.56,,-28.93,-25.26,-19.55,-10.71,16.45,3.94,-7.40,-24.94,-38.43,-0.85,-14.66,6.00,3.21,-29.72,-5.98,-14.45,-7.06,28.75,9.48,45.54,48.41,50.08,-258.32,-186.41,-174.12,-156.31,-210.71,-370.38,1108.11
EVEBITDACurrent_sy,,37.10,-19.51,,,-23.35,,-21.99,7.21,54.57,24.91,37.22,66.72,14.09,3.32,-47.25,-38.39,-33.04,-17.05,11.28,-14.16,-6.35,-14.88,-5.65,2.33,17.96,6.49,21.69,26.37,-17.91,-13.57,20.04,1.60,-1.70,-1.90,-21.52
EVEBITDACurrent_qq,,,,,-19.57,1.18,-3.94,-9.10,-15.40,8.90,6.62,18.55,-24.50,-2.98,-13.57,-2.75,21.58,-16.49,7.34,-5.30,-17.22,11.73,-2.33,2.88,14.68,-4.99,29.84,4.91,15.97,-200.23,29.14,10.02,11.89,-453.04,-7.28,292.85
EVEBITDACurrent_sq,,,,,-39.80,-13.57,23.68,21.23,-17.26,24.60,-0.05,33.17,0.52,-14.73,-9.49,-32.01,17.42,-7.33,12.13,-8.79,-9.42,1.10,1.92,1.09,-1.75,16.53,-7.99,15.52,2.03,-24.30,-3.11,60.43,-13.64,-26.77,-3.31,28.34
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-55.08,-17.10,,,-3.29,,11.73,,-9.56,-25.03,-59.10,,-3.05,58.34,192.26,-30.52,9.54,-12.48,-16.28,119.08,11.29,8.86,7.32,-38.76,-38.35,-70.62,346.25,469.24,781.31,1834.34,-136.57,-144.57,-130.40,-130.30,48.17
ROE_sy,,-32.59,-60.20,,,175.09,,22.82,,38.65,17.37,-3.29,,-30.81,-18.65,15.81,77.69,36.39,50.00,-7.14,-17.71,-11.84,-8.88,50.00,21.62,25.60,-10.66,-39.66,-35.25,-13.86,12.66,13.91,-0.13,15.56,9.14,31.35
ROE_qq,,,,,,,-8.18,10.61,,,-23.88,-39.65,115.27,-1.95,24.32,11.38,-48.83,54.59,-0.67,6.55,33.91,-21.47,-2.84,5.04,-23.59,-20.95,-53.70,1495.48,-2.53,22.39,1.63,-130.16,-18.79,16.51,-1.30,48.41
ROE_sq,,,,,,,-7.09,9.46,,,-21.34,-9.81,-13.28,12.46,-7.52,28.40,33.06,-13.68,1.71,-20.51,17.93,-7.52,5.12,30.84,-4.38,-4.50,-25.23,-11.63,2.60,27.05,-2.21,-10.65,-10.05,47.02,-7.64,7.54
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-62.92,-8.14,,,-12.56,,71.48,,-8.73,-16.59,-63.53,,1.54,48.77,204.95,-21.30,32.83,-2.38,-16.40,111.47,18.54,11.07,30.82,-31.43,-27.80,-68.41,427.18,673.63,849.73,2085.03,-135.50,-138.70,-131.95,-129.32,47.80
ROA_sy,,-25.15,-58.51,,,126.36,,43.20,,19.81,20.84,-6.99,,-24.85,-27.89,-4.60,47.49,60.80,30.15,6.35,-15.70,-22.22,-2.74,30.53,6.33,10.66,-7.14,-24.15,-33.39,-7.71,2.38,-28.04,13.14,-7.52,21.35,88.66
ROA_qq,,,,,,,23.94,13.41,,,13.27,-50.41,137.36,-23.84,65.96,1.65,-38.74,28.53,21.97,-12.95,54.96,-27.96,14.29,2.53,-18.78,-24.14,-50.00,1611.23,19.19,-6.87,15.03,-127.80,-29.93,23.10,-5.55,50.50
ROA_sq,,,,,,,8.28,6.21,,,9.22,-18.26,-5.95,-10.50,4.80,8.14,45.41,-2.43,-15.17,-11.63,15.27,-9.98,6.08,18.59,-6.10,-6.32,-10.98,-3.14,-17.54,29.81,-1.25,-31.92,29.66,6.11,29.57,5.84
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-28.42,8.24,,,19.57,,3.96,-3.95,-24.55,-36.07,-52.28,-28.57,1.81,55.64,106.38,-12.20,2.66,-13.50,-11.86,74.52,14.70,14.45,27.19,-24.12,-25.88,-57.32,-71.26,-98.83,-416.61,-684.62,-1206.40,-40575.00,35.01,42.81,77.95
OPM_sy,,-13.15,-69.31,,,195.03,,40.45,77.24,54.77,13.66,-6.38,-45.63,-37.64,-32.62,11.82,72.24,113.95,89.66,36.29,4.60,-12.61,-12.10,-9.53,2.51,-10.07,-5.32,7.70,10.54,26.14,29.30,-9.38,-12.62,-18.09,-22.27,-1.49
OPM_qq,,,,,13.46,2.33,-8.64,-1.99,4.82,-19.61,-22.59,-26.85,56.91,14.58,18.34,-3.00,-33.25,33.98,-0.29,-1.16,32.16,-11.95,-0.50,9.85,-21.15,-13.99,-42.71,-26.04,-96.80,-23450.00,-5.78,-39.98,-17.06,62.51,6.92,46.02
OPM_sq,,,,,8.83,7.87,28.96,-7.22,37.34,-5.81,-5.29,-23.58,-20.24,8.04,2.33,26.82,22.85,34.21,-9.29,-8.87,-5.72,12.13,-8.77,-6.20,6.83,-1.63,-3.94,6.70,9.65,12.25,-1.54,-25.22,5.73,5.21,-6.56,-5.23
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-45.07,9.71,,,36.73,,46.38,26.27,-18.12,-36.15,-61.39,-31.68,-9.49,47.62,141.88,-26.82,16.59,-3.94,-6.36,123.60,12.73,13.06,27.55,-24.72,-21.59,-62.05,864.50,1114.76,1079.24,2348.70,-128.34,-134.45,-128.64,-127.27,58.33
ROS_sy,,-51.33,-40.95,,,91.92,,74.95,40.60,59.41,49.56,-2.18,-59.50,-52.56,-41.95,-17.12,124.37,86.58,71.24,45.81,-13.52,-11.23,-28.44,-6.16,-7.44,-0.40,9.55,18.93,5.33,13.89,26.26,-40.94,-33.97,-7.49,-9.29,92.52
ROS_qq,,,,,23.19,21.18,-4.21,2.36,6.27,-21.43,-25.30,-38.10,88.03,4.09,21.83,1.43,-43.11,65.84,0.37,-1.12,35.85,-16.39,0.66,11.55,-19.82,-12.92,-51.27,2734.78,0.98,-15.46,1.19,-132.81,-22.73,29.72,3.64,49.87
ROS_sq,,,,,106.58,-16.96,-1.36,3.39,66.02,-5.85,-7.45,-32.38,-31.27,10.29,13.26,-3.47,86.08,-8.29,3.95,-17.81,10.37,-5.86,-16.21,7.78,8.86,1.31,-7.84,17.01,-3.59,9.54,2.18,-45.27,7.79,53.47,0.19,16.17
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-40.85,43.54,,,28.44,,10.19,-14.64,-58.49,-71.10,-85.59,-45.65,25.78,142.45,385.07,-12.44,-4.24,-17.80,-13.23,97.97,31.37,28.88,33.69,-22.56,-44.66,-84.59,-83.29,-126.82,-490.86,-1600.00,-2057.14,-1674.07,16.62,28.97,74.53
RS_sy,,-9.22,-67.53,,,234.51,,34.34,14.23,-11.11,-0.80,-31.78,-31.86,-14.48,-14.13,44.84,76.87,87.24,54.79,-2.88,14.21,-1.05,0.27,38.67,21.00,4.45,-2.68,-13.58,-30.28,-0.96,22.55,-16.95,-15.77,-7.26,-16.15,17.66
RS_qq,,,,,14.93,11.75,-11.25,-3.33,-10.97,-45.65,-38.22,-51.80,235.82,25.78,19.08,-3.56,-39.38,37.56,2.21,1.81,38.30,-8.72,0.28,5.60,-19.89,-34.77,-72.08,14.55,-228.57,-850.62,-7.14,-49.45,-16.55,55.32,8.72,46.42
RS_sq,,,,,4.03,9.78,-0.62,18.37,-11.54,-14.58,10.91,-18.60,-11.65,7.21,11.37,37.29,7.89,13.50,-7.93,-13.86,26.88,-1.66,-6.70,19.13,10.70,-15.11,-13.07,5.79,-10.69,20.58,7.57,-28.31,-9.42,32.76,-2.74,0.60
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-35.38,12.46,,,14.29,,-0.58,-6.98,-25.26,-36.86,-60.29,-30.56,-3.75,53.85,146.72,-17.20,8.51,-9.41,-8.58,104.83,19.93,20.13,33.01,-24.29,-24.25,-61.08,874.45,1162.62,1156.12,2358.33,-124.07,-128.74,-123.14,-121.98,55.19
GPM_sy,,-49.91,-55.32,,,134.55,,25.54,44.79,69.42,24.76,4.75,-61.17,-47.17,-37.52,-24.50,164.93,120.70,87.34,69.47,-8.28,-11.92,-18.81,-7.09,-13.47,-9.69,0.82,7.56,25.58,28.84,32.36,-27.89,-36.31,-17.86,-13.75,42.81
GPM_qq,,,,,11.53,1.29,-10.71,-1.43,4.35,-18.61,-24.57,-38.01,82.48,12.80,20.57,-0.59,-38.76,47.83,0.65,0.32,37.22,-13.44,0.82,11.08,-21.90,-13.40,-48.20,2681.25,1.20,-13.84,1.37,-127.23,-20.85,30.64,3.71,44.47
GPM_sq,,,,,18.02,-9.40,15.40,1.74,36.12,6.01,-15.02,-14.57,-49.55,44.24,0.50,3.23,77.04,20.16,-14.69,-6.62,-4.18,15.40,-21.36,6.85,-10.76,20.44,-12.22,14.00,4.19,23.57,-9.81,-37.90,-7.97,59.36,-5.30,2.83
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,-71.60,-3.42,270.59,209.91,11.45,2.16,-3.88,-6.32,-9.85,-15.08,-11.87,1.24,0.53,4.70,7.63,-2.59,-3.98,-33.40,-41.91,-50.40,-53.83,-6.74,10.77,58.37
RBS_sy,,,,,,,,,,,,,-20.83,-2.66,-7.63,-8.77,5.80,-2.83,5.74,7.17,-1.15,11.16,14.80,19.76,17.11,-2.06,-8.67,-7.21,6.14,18.13,17.41,4.94,-9.94,-9.36,-9.90,-1.77
RBS_qq,,,,,,,,,,-67.17,-73.42,-423.09,200.74,11.65,1.98,-4.17,2.15,2.34,-4.05,-6.61,-1.70,-3.60,-0.41,7.29,-2.39,0.40,2.38,-2.90,-3.78,-30.37,-10.70,-17.09,-10.44,40.66,6.06,18.54
RBS_sq,,,,,,,,,,-11.38,-2.74,-1.92,-6.36,8.97,-7.71,-3.13,8.60,0.08,0.44,-1.82,0.17,12.54,3.73,2.42,-2.04,-5.88,-3.27,4.05,12.04,4.75,-3.85,-7.00,-3.84,5.42,-4.43,1.38
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-51.76,-9.48,,,-23.37,,21.80,,-16.04,-16.56,-54.78,,14.62,56.51,159.73,-5.86,16.67,-11.91,-21.29,65.38,20.63,12.35,30.55,-31.01,-31.58,-64.55,-84.40,-99.20,-354.91,-623.36,-1493.44,-42260.00,27.58,38.49,72.41
ROPA_sy,,-20.74,-68.41,,,200.59,,78.13,,32.78,12.38,-5.03,,-24.24,-0.15,-5.92,67.80,51.96,11.49,6.62,-11.17,-0.77,0.40,28.42,-9.97,-18.75,-14.08,-27.57,-21.03,0.64,3.67,-7.01,3.84,0.32,1.36,-8.98
ROPA_qq,,,,,,,18.42,8.36,,,17.69,-41.28,97.95,-16.21,60.70,-2.56,-28.25,3.85,21.34,-12.94,50.75,-24.25,13.01,1.16,-20.33,-24.88,-41.45,-55.47,-95.90,-23960.00,-20.20,-18.55,-24.00,59.01,-2.08,46.83
ROPA_sq,,,,,,,16.83,13.90,,,-1.11,-3.75,-17.76,-3.22,30.33,-9.31,46.69,-12.36,-4.38,-13.27,22.20,-2.10,-3.24,10.93,-14.33,-11.64,2.32,-6.48,-6.59,12.60,5.40,-16.11,4.31,8.78,6.49,-24.67
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
