,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVPCurrent_yy,,-10.63,,-6.93,,,4.81,-4.25,-1.49,-4.57,-9.97,-18.67,-15.78,-17.27,-18.53,-11.99,-13.57,-9.65,-5.05,-9.70,-6.30,-15.60,-9.87,-2.96,-3.79,11.26,0.87,-9.35,-13.13,-12.51
EVPCurrent_sy,,-11.95,,5.28,,,12.32,-2.64,-3.95,-3.12,6.47,-6.41,-6.74,-13.92,-19.48,-25.31,-33.03,-26.22,-30.59,-4.28,21.08,9.90,18.60,5.80,-3.00,1.82,-1.43,12.99,25.94,10.09
EVPCurrent_qq,,,,11.23,-8.96,0.82,2.65,1.62,-6.33,-2.32,-3.17,-8.20,-3.01,-4.05,-4.65,-0.83,-4.74,0.30,0.21,-5.68,-1.16,-9.66,7.01,1.56,-2.00,4.47,-2.99,-8.73,-6.09,5.22
EVPCurrent_sq,,,,10.03,6.03,-1.95,-1.80,-4.63,4.60,-1.09,7.91,-16.17,4.23,-8.70,0.94,-22.24,-6.55,0.59,-5.04,7.23,18.21,-8.70,2.47,-4.34,8.38,-4.16,-0.79,9.65,20.80,-16.22
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-591.54,,111.58,,,109.71,55.68,15.71,-21.69,-24.00,-67.88,-62.18,-48.54,-36.85,-25.18,-11.45,-4.54,-11.57,-19.74,-15.45,-10.47,12.42,17.95,16.31,-3.32,-21.79,-23.99,-36.31,-23.93
EVEBITCurrent_sy,,-27.84,,6.00,,,100.26,50.07,0.85,35.39,4.41,4.72,-1.28,-8.88,-18.85,-22.87,-37.22,-0.12,-8.21,-15.52,-12.29,-13.65,-19.16,-7.01,50.34,7.99,41.31,37.25,26.38,12.94
EVEBITCurrent_qq,,,,112.33,-6.16,,-16.06,97.64,-30.25,-32.32,-18.54,-16.48,-17.87,-7.90,-0.04,-1.05,-2.79,-0.71,-7.40,-10.20,2.41,5.14,16.28,-5.79,0.98,-12.60,-5.94,-8.45,-15.38,4.38
EVEBITCurrent_sq,,,,47.42,34.62,,40.56,10.47,-9.53,-3.62,8.40,10.80,-14.72,-11.03,-3.47,5.30,-30.58,41.53,-11.28,-3.09,-27.92,39.33,-16.93,11.47,16.53,0.09,8.70,8.27,7.30,-10.56
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,71.91,,-63.46,,,-78.12,-3.70,-24.97,-41.29,17.62,-38.43,-23.03,-5.03,-20.06,-11.02,-5.61,-3.19,-9.77,-16.13,-12.07,-9.27,8.53,10.49,7.64,-3.59,-18.37,-19.05,-28.95,-19.36
EVEBITDACurrent_sy,,-32.29,,23.94,,,73.50,-4.60,29.78,-7.95,18.63,0.44,-24.73,-34.70,-42.31,-5.07,-8.05,5.97,7.92,-9.18,-8.04,24.07,-3.59,-1.83,8.24,-29.74,-3.39,19.18,13.38,21.77
EVEBITDACurrent_qq,,,,-61.09,-6.16,,-40.07,71.23,-26.89,-21.74,20.05,-10.36,-8.61,-3.44,1.05,-0.22,-3.05,-0.96,-5.82,-7.26,1.64,2.20,12.66,-5.59,-0.98,-8.46,-4.61,-6.37,-13.10,3.89
EVEBITDACurrent_sq,,,,46.12,0.18,,-13.90,-19.66,36.29,-2.36,10.96,-31.98,2.14,-15.30,-1.96,11.92,-1.06,-2.39,-0.16,-5.81,0.19,31.69,-22.41,-4.10,10.47,-14.52,6.68,18.31,5.09,-8.19
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-1188.07,,106.93,,,105.91,36.32,-15.71,148.38,339.19,129.63,190.49,125.70,29.65,18.30,-1.23,-9.51,-1.63,30.56,35.21,21.05,2.68,-27.04,-32.77,-7.58,13.86,25.08,42.13,69.25
ROE_sy,,16.23,,-44.29,,,7.25,-17.65,47.06,70.57,80.74,46.85,-15.03,-4.39,-4.58,0.51,44.08,-24.43,-33.01,-11.63,-23.76,13.13,4.82,-24.02,-13.51,-33.52,2.93,22.09,9.16,42.62
ROE_qq,,,,108.57,46.68,-48.65,-8.50,97.80,-9.31,51.32,61.79,3.42,14.73,17.57,-7.06,-5.64,-4.21,7.71,1.04,25.24,-0.79,-3.57,-14.30,-11.01,-8.58,32.56,5.58,-2.24,3.88,57.86
ROE_sq,,,,46.74,-30.74,3.57,1.89,12.67,23.69,20.12,7.97,-8.46,-28.43,35.16,7.76,-3.57,2.59,-29.11,-4.47,27.19,-11.49,5.19,-11.48,-7.81,0.76,-19.14,37.05,9.35,-9.91,5.64
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-775.18,,107.46,,,106.35,51.86,-2.81,236.67,548.07,198.68,320.41,145.65,37.55,18.13,-5.69,-9.54,-0.87,21.60,21.11,-14.80,-5.68,-24.58,-28.68,23.18,15.55,21.11,35.82,36.23
ROA_sy,,-1.42,,-36.36,,,-26.74,-3.60,39.85,13.95,73.46,40.03,-16.09,13.10,7.10,-23.05,19.18,1.65,-16.58,-20.95,-20.84,-26.04,-36.39,-14.15,19.67,2.20,54.33,8.14,-24.23,13.11
ROA_qq,,,,109.51,42.98,-45.89,-13.70,127.47,-8.49,87.42,66.12,4.83,28.81,9.51,-6.99,-9.97,2.83,5.04,1.93,10.44,2.42,-26.11,12.84,-11.69,-3.15,27.63,5.85,-7.44,8.62,28.01
ROA_sq,,,,30.03,-27.64,-4.80,-18.22,71.09,4.99,-22.43,24.49,38.11,-37.09,4.56,17.89,-0.77,-2.57,-10.82,-3.25,-5.96,-2.44,-16.67,-16.80,26.92,35.98,-28.83,25.64,-11.06,-4.73,6.25
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-118.25,,900.79,,,1176.11,-38.54,-14.89,21.81,18.50,153.44,122.62,60.81,29.01,17.61,-2.35,-5.39,7.37,12.51,10.79,-5.69,-19.84,-17.70,-17.25,15.07,28.94,19.25,36.38,14.99
OPM_sy,,-2.71,,15.24,,,-37.87,-18.06,-12.58,12.42,37.69,-18.11,17.32,42.78,60.20,21.88,30.04,29.17,-0.52,12.23,-31.49,-35.10,-19.46,-14.41,19.25,-7.46,-5.77,-21.15,-24.66,-0.77
OPM_qq,,,,1000.00,-2.95,0.81,22.21,-48.60,34.40,44.29,18.89,9.92,18.06,4.22,-4.62,0.22,-1.99,0.99,8.24,5.01,-3.48,-14.04,-7.99,7.81,-2.96,19.53,3.10,-0.29,10.99,0.79
OPM_sq,,,,48.15,-24.35,-33.05,-17.20,95.38,-19.29,-13.90,1.42,16.20,15.62,4.78,13.79,-11.60,23.37,4.08,-12.37,-0.26,-24.69,-1.40,8.76,5.98,4.93,-23.48,10.74,-11.32,0.26,0.78
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-533.33,,107.50,,,106.78,44.30,-8.37,185.84,416.08,153.95,254.82,147.44,40.51,32.09,5.58,-4.91,11.37,10.03,5.83,-8.21,-22.78,-19.45,-18.63,12.28,25.79,24.07,42.72,18.91
ROS_sy,,-5.28,,23.40,,,-34.68,-29.00,9.15,84.72,125.31,-11.18,-15.32,-14.66,5.07,10.84,29.18,-9.42,-17.08,-18.30,-42.40,-29.66,-16.35,13.32,9.17,-16.96,-15.41,-18.57,-10.92,17.28
ROS_qq,,,,110.45,40.07,-49.07,-9.13,122.61,-11.06,58.88,64.06,9.54,24.27,10.80,-6.84,2.98,-0.67,-0.20,9.10,1.74,-4.46,-13.44,-8.21,6.12,-3.49,19.43,2.83,4.68,11.02,-0.50
ROS_sq,,,,82.86,-30.10,-27.76,-29.26,98.77,7.45,22.25,-13.71,-21.64,2.45,23.21,6.23,-17.34,19.40,-13.61,-2.75,-18.55,-15.83,5.50,15.65,10.34,-18.91,-19.75,17.80,6.22,-11.30,5.66
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-88.77,,1062.64,,,-9.74,-21.27,-34.09,-310.88,77.61,101.44,146.63,167.00,24.04,11.26,-6.59,-10.09,4.32,11.36,12.41,,-15.75,-15.01,-16.29,11.22,23.07,17.66,34.35,15.85
RS_sy,,-33.04,,45.78,,,-20.89,-40.75,-21.53,-16.81,4.23,6.17,33.16,32.32,33.78,36.19,23.99,12.21,15.40,38.55,21.24,,0.88,-33.90,-12.75,0.12,-9.76,-14.90,-28.43,-3.72
RS_qq,,,,10.79,12.85,19.26,-39.47,-3.36,-5.52,-481.58,150.98,9.60,15.67,3.66,-5.62,-1.69,-2.89,-0.22,9.51,4.95,-1.97,-11.24,-7.74,5.87,-3.45,17.94,2.09,1.22,10.25,1.70
RS_sq,,,,37.05,-25.41,-2.72,-20.45,2.64,-1.20,3.12,-0.34,4.56,23.91,2.48,0.76,6.44,12.81,-7.26,3.63,27.79,-1.28,-30.18,14.53,-16.27,30.31,-19.88,3.23,-21.03,9.59,7.78
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-601.19,,118.98,,,118.89,-54.49,-64.11,77.56,123.65,295.62,443.12,137.05,43.50,25.48,-0.34,-5.28,9.90,12.31,11.58,-5.18,-20.11,-19.51,-20.00,11.52,25.30,24.11,42.41,18.40
GPM_sy,,-15.04,,52.87,,,-20.17,-44.76,-10.76,46.58,81.47,-6.80,11.91,-0.89,9.51,20.36,22.65,9.42,-10.06,-17.93,-35.48,-41.91,-26.74,17.54,23.10,-8.29,10.29,-15.05,-2.10,18.08
GPM_qq,,,,127.34,13.59,-50.60,23.11,-34.12,-10.41,144.34,55.07,16.55,22.99,6.64,-6.12,1.91,-2.32,1.36,8.92,4.15,-2.95,-13.87,-8.23,4.93,-3.54,20.06,3.11,3.94,10.67,-0.18
GPM_sq,,,,114.79,-42.57,-16.35,-22.64,48.63,-7.22,37.40,-4.22,-23.67,11.40,21.69,5.83,-16.10,13.51,8.57,-13.01,-23.44,-10.77,-2.24,9.70,22.83,-6.54,-27.17,31.92,-5.39,7.70,-12.16
