,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CAR,660,420,400,90,3540,1640,4170,590,990,320,,,1700,110,110,,300,40,20,,490,220,270,240,500,300,660,290,530,160,310,200,500,290,420,180,680,320,370,340,1070,400,270,140,720,180,250
QR,960,860,660,400,4090,2029,5530,1100,1330,780,,,2070,480,480,,810,330,370,,950,440,440,410,970,540,940,480,690,560,620,370,790,530,680,390,950,680,810,570,1370,750,650,370,950,420,530
CR,1030,1120,1110,880,4700,3060,7320,2050,1950,1440,,,2710,970,970,,1070,1000,1140,,1460,1110,1230,1340,1660,1360,1430,1140,1280,1140,1320,1120,1340,1140,1350,1190,1420,1350,1500,1560,1780,1490,1640,1300,1490,1250,1330
PP,660,420,400,90,3670,1640,4410,590,990,320,,,1700,110,110,,370,50,60,,540,240,300,270,550,320,700,310,560,170,330,200,510,290,420,180,680,320,370,340,1080,460,340,140,720,180,260
RCLR,300,440,190,150,410,380,1090,500,340,460,,,390,360,360,,430,270,320,,460,270,220,180,490,250,280,200,200,410,320,180,300,250,270,210,280,350,440,260,330,320,340,240,240,250,280
KP,20,80,30,-60,550,450,510,240,190,150,,,220,-10,-10,,20,0,50,,110,60,80,130,170,140,140,70,100,70,120,70,140,80,160,110,180,180,200,250,300,240,270,170,200,140,160
PKKO,0,20,10,-30,550,460,380,210,160,140,,,180,-10,-10,,20,0,50,,90,50,60,100,110,110,80,50,50,50,60,50,60,50,70,60,70,100,80,140,150,130,140,110,100,80,80
RN,22810,30720,29790,28880,32680,28100,25110,18270,18000,13790,11570,11140,11900,10500,10050,11380,10720,11070,11900,13040,13230,13020,14760,15870,16290,18300,20280,18590,24010,17280,16730,16510,16149,18840,19830,19800,20930,19840,18940,18660,18820,19150,18340,16650,18890,17790,18590
CRN,16000,12000,12000,13000,11000,13000,15000,20000,20000,26000,32000,33000,31000,35000,36000,32000,34000,33000,31000,28000,28000,28000,25000,23000,22000,20000,18000,20000,15000,21000,22000,22000,23000,19000,18000,18000,17000,18000,19000,20000,19000,19000,20000,22000,19000,21000,20000
CPZ,53000,33000,38000,48000,39000,43000,36000,40000,43000,54000,72000,78000,69000,94000,99000,88000,89000,97000,95000,86000,84000,88000,85000,88000,84000,76000,65000,72000,67000,73000,73000,80000,78000,79000,77000,75000,71000,67000,62000,60000,58000,59000,64000,74000,69000,79000,78000
RZ,91170,27220,20920,15120,15420,9530,9430,7470,7340,7000,5950,6190,7060,6670,6340,7120,8150,6360,5490,6130,5710,5610,5840,5040,5190,5200,6670,6840,7600,7710,7080,6050,6210,5990,6090,6100,6540,6690,7120,6850,7630,7370,6120,5190,5430,4610,4810
CRZ,4000,13000,17000,24000,24000,38000,39000,49000,50000,52000,61000,59000,52000,55000,58000,51000,45000,57000,67000,60000,64000,65000,63000,72000,70000,70000,55000,53000,48000,47000,52000,60000,59000,61000,60000,60000,56000,55000,51000,53000,48000,50000,60000,70000,67000,79000,76000
RMO,6710,10610,9010,7460,4560,3220,3050,2660,3040,3140,2950,2900,3030,3080,3270,3700,4100,3750,3630,3980,3800,3490,3530,3340,3410,3510,3960,3840,4310,4170,4170,3880,3940,3870,3920,3990,4120,4150,4370,4170,4070,3950,3560,3290,3640,3360,3540
RMT,47060,30610,7230,5360,5470,4980,5120,4030,3330,2850,2380,2240,2180,1970,2180,2470,2660,2630,2460,2690,2570,2780,2970,2960,3220,3170,3640,3810,4360,4760,4970,5220,5690,6070,6650,6960,7540,7850,8210,8020,8610,8660,8430,8210,8280,7460,7500
RM,5870,7880,4010,3120,2490,1960,1910,1600,1590,1490,1320,1260,1270,1200,1310,1480,1610,1540,1470,1610,1530,1550,1610,1570,1660,1670,1900,1910,2170,2220,2270,2230,2330,2360,2470,2540,2670,2710,2850,2740,2760,2710,2500,2350,2530,2320,2400
COP,20000,25000,29000,37000,35000,51000,54000,69000,70000,78000,93000,92000,83000,90000,94000,83000,79000,90000,98000,88000,92000,93000,88000,95000,92000,90000,73000,73000,63000,68000,74000,82000,82000,80000,78000,78000,73000,73000,70000,73000,67000,69000,80000,92000,86000,100000,96000
CSP,-33000,-8000,-9000,-11000,-4000,8000,18000,29000,27000,24000,21000,14000,14000,-4000,-5000,-5000,-10000,-7000,3000,2000,8000,5000,3000,7000,8000,14000,8000,1000,-4000,-5000,1000,2000,4000,1000,1000,3000,2000,6000,8000,13000,9000,10000,16000,18000,17000,21000,18000
