,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
LDER,90,70,20,20,20,60,60,80,70,400,580,620,630,760,920,80,70,50,50,40,30,460,660,700,630,580,790,710,80,80,600,80,490,390,510,520,330,330,480,450,90,90,90,470,330,370,440,450,320,290,370,130
PZAT,7390,9790,,,,9060,9540,6470,9150,1630,1180,1100,1130,1150,1080,10150,10020,16980,17940,19820,17910,1330,1100,960,970,1120,850,870,6540,6810,950,7220,970,1330,1070,990,1390,1450,1230,1290,5610,5630,5770,1080,1390,1270,1080,990,1350,1520,1260,3370
PELDR,1590,1590,1410,1530,1820,1820,1830,1890,1640,2060,2220,2290,2230,1950,1890,1240,1440,1320,1230,1380,1680,2350,2240,2500,2610,2390,2620,2720,1990,2050,1870,1960,3100,2620,2740,2930,2880,2750,2450,2450,2090,2070,2020,2870,2840,2820,2930,3180,2980,2870,2860,2480
TSF,620,470,470,330,390,550,460,430,480,730,700,700,670,680,710,370,390,460,440,370,390,720,680,630,590,730,750,710,490,600,880,480,730,850,810,700,720,860,830,760,620,690,640,760,780,840,810,730,730,780,840,610
ZKO,710,800,710,800,720,690,760,780,780,740,810,820,840,940,1010,940,880,860,900,880,810,730,850,840,830,780,810,790,730,620,650,730,660,580,660,710,610,510,660,690,610,560,610,660,570,550,610,640,590,550,550,610
OSF,1030,1190,980,1200,1290,1190,1310,1360,1200,1090,1140,1160,1150,1040,990,1070,1170,1090,1060,1170,1310,1180,1150,1240,1320,1170,1200,1260,1340,1190,1140,1330,1380,1090,1200,1370,1320,1060,1100,1160,1180,1060,1130,1290,1220,1140,1230,1410,1330,1200,1140,1340
NetDebt,5000000000,7470000000,5205000000,10673000000,9412000000,5520000000,7665000000,9874000000,8162000000,6365000000,8338000000,8976000000,9134000000,8111000000,8216000000,10549000000,10940000000,7245000000,7186000000,10428000000,11187000000,6883000000,9341000000,11703000000,13105000000,7948000000,9247000000,9605000000,8809000000,5572000000,5466000000,8649000000,7893000000,4913000000,6480000000,9290000000,6644000000,4438000000,6190000000,7017000000,6284000000,4783000000,5931000000,8196000000,6598000000,5817000000,7061000000,9334000000,8468000000,6117000000,6313000000,8947000000
NetDebtEBITDA,2580,24330,14660,17160,8180,5680,4680,5270,4090,3010,4920,7090,-154810,-13430,-11560,-43230,13240,5340,5220,8280,6580,3320,4110,5430,8780,6230,7240,8290,5760,2970,4230,6990,6310,4630,4130,5180,4150,2900,4840,10230,8170,6790,7240,5770,5550,5480,5320,7840,4360,2990,3530,5130
DebtFin,-86000000,-80000000,-166000000,-177000000,-176000000,-198000000,-369000000,-180000000,-1080000000,-212000000,-88000000,-173000000,-269000000,-241000000,-35000000,-103000000,-115000000,-98000000,-20000000,-66000000,-40000000,-24000000,-40000000,-81000000,-48000000,-98000000,-17000000,-87000000,-578000000,3715000000,131000000,55000000,3287000000,2815000000,3416000000,3698000000,1736000000,2520000000,3572000000,3155000000,-31000000,283000000,403000000,3732000000,2768000000,3196000000,3710000000,3706000000,2854000000,1969000000,3131000000,3994000000
DebtFinEBITDA,-40,-260,-470,-280,-150,-200,-230,-100,-540,-100,-50,-140,4560,400,50,420,-140,-70,-10,-50,-20,-10,-20,-40,-30,-80,-10,-80,-380,1980,100,40,2630,2650,2180,2060,1080,1640,2800,4600,-40,400,490,2630,2330,3010,2800,3110,1470,960,1750,2290
SP1,1460,1490,1380,1500,1790,1710,1730,1740,1530,1470,1400,1410,1370,1110,980,1140,1340,1260,1170,1330,1630,1620,1350,1470,1600,1510,1470,1590,1840,1900,1750,1820,2090,1890,1820,1930,2170,2070,1660,1690,1920,1900,1850,1960,2130,2060,2029,2200,2260,2200,2060,2190
SP2,1590,1590,1410,1530,1820,1820,1830,1890,1640,2060,2220,2290,2230,1950,1890,1240,1440,1320,1230,1380,1680,2350,2240,2500,2610,2390,2620,2720,1990,2050,2790,1960,3100,2620,2740,2930,2880,2750,2450,2450,2090,2070,2020,2870,2840,2820,2930,3180,2980,2830,2820,2480
CAR,20,10,30,20,20,40,50,20,120,60,20,40,50,60,10,10,10,10,0,10,0,10,10,10,10,20,0,20,70,100,120,40,110,140,80,50,200,130,60,90,100,100,20,50,50,40,20,20,20,200,30,20
QR,820,610,590,910,1070,760,920,820,870,890,1160,1230,1180,710,860,610,770,490,520,760,1010,1170,1180,1180,1220,1180,1330,1410,880,630,4290,830,1830,1950,1900,1450,1840,2060,2140,1540,1180,900,1030,1770,2070,1990,1840,1780,1900,1490,1700,990
CR,1600,1320,1440,1260,1410,1540,1380,1360,1360,2380,2300,2300,2130,2060,2120,1110,1190,1210,1150,1160,1260,2490,2180,2000,1870,2560,2810,2580,1480,1770,5770,1460,2870,4380,3630,2550,2680,5000,3990,2910,1850,2130,1880,3020,3310,4340,3820,2870,2840,3270,4360,1930
