,2009/Q4,2010/Q4,2011/Q4,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROS_qq,,,,,18.43,13.88,-25.85,-6.41,0.48,-24.59,-1.15,-4.25,-57.60,-2.86,-23.86,-84.55,238.89,-5330.33,-0.49,2.37,1.93,114.92,-4.69,-3.09,-3.66,-7.98,-34.80,-74.03
ROS_sq,,,,,-3.61,-24.23,0.44,-7.21,17.19,-0.68,-9.73,4.15,-31.06,63.66,8.73,-20.25,27.61,-111.54,31.16,245.99,103.00,243.35,4.88,13.27,-6.76,-0.06,1.10,-31.15
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-43.54,-0.17,,,3.05,,-1.32,6.90,-27.67,-24.04,-31.07,-64.76,-78.28,-90.46,-109.46,-93.95,-2296.80,-5293.16,-5605.88,-16811.76,120.98,119.50,119.12,119.90,-10.27,-21.52,-52.74
RS_sy,,-28.17,-26.59,,,-17.33,,-35.69,-14.81,24.36,10.51,18.12,-12.36,-9.79,8.15,-11.78,22.57,14.59,-11.23,8.26,-27.01,-1.34,-9.04,-1.24,30.60,6.55,12.45,-31.45
RS_qq,,,,,-5.87,19.91,-9.78,-3.10,1.98,-18.87,-5.26,-12.07,-47.87,-50.00,-58.36,-187.18,133.33,-18255.88,1.57,4.21,2.37,122.79,-8.49,-6.08,1.62,2.74,-19.97,-43.44
RS_sq,,,,,-16.54,-26.22,7.89,-3.20,10.56,7.70,-4.12,3.46,-17.97,10.85,14.96,-15.61,13.98,3.62,-10.94,2.92,-23.16,40.07,-17.89,11.75,1.62,14.28,-13.35,-31.88
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-49.95,-11.90,,,25.10,,-8.10,-18.06,-40.52,-20.12,-18.27,-62.01,-66.27,-75.83,-98.17,-76.51,-1799.18,-2463.98,-31489.47,-5070.09,118.30,117.08,117.62,118.01,-6.94,-26.19,-66.32
GPM_sy,,-34.67,-28.41,,,-12.03,,-37.79,-24.69,14.27,29.70,23.86,-46.15,20.64,20.93,12.49,129.05,-103.72,-99.79,-81.21,-68.64,2283.91,39980.00,451.56,207.72,8.84,-2.20,-34.28
GPM_qq,,,,,15.77,14.00,-25.88,-6.07,3.23,-17.24,-0.46,-3.89,-52.02,-26.51,-28.69,-92.72,515.79,-5415.38,0.79,3.34,2.50,119.57,-7.38,-0.28,-0.38,1.15,-26.53,-54.50
GPM_sq,,,,,-5.68,-23.74,-10.08,-3.80,14.18,15.70,2.06,-8.14,-50.36,159.20,2.31,-14.55,1.08,-104.21,105.75,7580.00,68.75,193.21,5.47,5.69,-5.85,3.71,-5.22,-28.98
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,-37.86,-0.75,,,8.88,,13.96,15.90,-19.58,-20.14,-28.73,-52.59,-53.85,-64.87,-75.93,-56.46,-778.97,-1016.13,-1527.30,-1250.00,129.65,128.68,129.37,131.34,-2.57,-8.96,-30.37
RBS_sy,,-20.79,-7.20,,,-20.52,,-23.22,-9.73,6.75,17.69,16.16,-12.91,-38.56,-15.78,-22.44,-1.67,-8.79,-52.01,0.88,-39.55,60.17,127.41,15.64,86.97,12.47,0.39,-30.37
RBS_qq,,,,,-0.92,18.75,-3.62,0.50,0.77,-17.61,-4.28,-10.31,-32.98,-19.79,-27.14,-38.55,21.26,-1350.65,1.70,4.26,2.30,132.24,-4.90,-1.96,4.26,0.24,-11.14,-25.02
RBS_sq,,,,,-3.71,-17.19,-10.08,7.08,13.20,-2.06,-0.86,5.69,-15.13,-30.91,35.89,-2.67,7.60,-35.91,-28.50,104.59,-35.52,69.79,1.52,4.04,4.26,2.13,-9.38,-27.84
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-50.16,-8.43,,,-12.16,,-9.46,14.01,-28.33,-23.90,-33.38,-65.43,-61.19,-71.59,-83.66,-50.41,-1779.07,-2382.89,-4690.67,-2825.83,121.44,120.29,119.75,120.54,-15.89,-30.11,-57.94
ROPA_sy,,-3.56,-29.94,,,7.39,,-14.26,-14.03,-19.09,-16.08,-10.62,-36.64,-3.04,0.65,-8.53,31.69,-69.23,-60.17,-43.45,-31.93,183.72,148.48,100.00,46.76,5.53,-3.38,-25.96
ROPA_qq,,,,,-19.32,25.90,-9.06,-1.99,1.60,-20.86,-3.43,-14.21,-47.28,-11.16,-29.30,-50.66,60.00,-3108.33,3.88,0.78,5.00,123.66,-9.04,-3.41,-1.18,-3.12,-24.42,-41.87
ROPA_sq,,,,,1.11,-1.99,-10.53,-3.29,1.38,-7.76,-7.20,2.99,-28.13,41.16,-3.67,-6.41,3.47,-67.02,24.71,32.87,24.56,37.46,9.22,6.94,-8.60,-1.15,,-18.06
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
