,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent_sq,,,,,-2.83,-7.45,-39.50,45.87,-2.11,29.95,5.76,-2.80,-5.48,17.71,-17.62,8.94,8.85,2.06,14.61,-11.87,-2.59,-43.37,-27.73,-6.92,2.58,42.45,-2.47,0.41,22.87,2.74,-13.53,7.08,-6.86,0.52,3.03,-3.23,4.97,6.45,-8.37,-6.68
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,2568.87,-96.67,,,1707.45,,209.35,235.57,-57.00,-83.85,73.90,-5.77,199.31,436.16,-201.29,-83.85,23.01,-91.50,241.72,406.40,-10.38,2522.75,-63.63,-99.43,-207.52,-166.47,-473.46,-56256.03,-209.62,-153.06,77.30,72.43,50.77,57.78,-83.29,-84.53,96.92,95.38,96.91
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,8.26,171.93,67.86,-1.28,13.74,-77.19,-36.95,962.84,-38.37,-27.53,12.95,-300.79,109.82,452.10,-92.20,3248.54,-64.90,-2.29,128.35,-53.56,-99.45,-18616.67,-41.18,-160.88,17.66,-2.09,-15.39,76.60,,-82.28,1.02,-1.59,-0.68,96.96,-48.49,31.97
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,2906.37,,,-94.47,,,,132.58,519.00,-42.51,6.16,-66.59,-81.35,,519.25,-18.70,1076.63,,-80.25,11.59,-96.19,175.06,17537.98,,,,,,,,,,,,,,,
CZCurrent_sy,,,438.47,,,-11.83,,,,42.84,273.02,-13.98,-44.06,41.48,-6.07,,96.59,-55.38,13.09,,-39.67,-7.35,-51.38,-50.90,-37.12,,,,,,,,,,,,,,,
CZCurrent_qq,,,,,,,-40.41,1.28,-12.09,338.38,58.59,-90.59,62.34,37.95,-11.45,,,-81.89,1181.54,-97.02,185.08,2.33,-56.21,115.33,18180.72,,,,,,,,,,,,,,,
CZCurrent_sq,,,,,,,-63.09,287.07,19.11,-16.05,-3.62,-10.74,-22.54,112.30,-36.01,,,-51.82,62.20,-6.70,-17.26,-26.01,-14.89,-5.77,5.96,,,,,,,,,,,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,1166.81,-179.28,,,32.44,,78.37,43.48,-24.66,-415.95,-193.08,28.02,27.12,-11.79,-190.05,-559.80,-314.12,-203.96,-72.07,44.85,57.97,74.56,74.85,47.37,-20.30,-59.91,-170.75,-185.76,152.23,159.02,192.99,198.67,-721.71,-657.45,-306.59,-305.89,90.98,90.47,90.37
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,7.56,26.38,73.92,-21.87,-141.48,-62.39,-7.96,30.77,40.69,-64.42,-65.60,-79.62,-34.92,-3.19,-21.55,-1.68,56.76,21.35,26.44,-0.55,9.52,-79.77,2.23,-70.26,4.51,132.86,10.48,168.25,1.32,-307.05,0.94,0.59,-0.98,90.93,-4.71,-0.43
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.47,-62.73,-1.31,,,,,,,
