,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZOCurrent,200,90,510,1460,1260,940,480,920,1410,1500,1690,1600,1700,1950,1850,1900,1980,1420,1230,1220,780,1330,1230,1130,1310,1090,980,720,720,750,770,190,170,120,120,120,40,100,20,-330,-330,-430
CZOCurrent,1470,3190,570,200,230,310,610,320,210,190,170,180,170,150,160,150,150,200,240,240,370,220,240,260,220,270,300,400,400,390,380,1530,1700,2380,2510,2450,7580,2970,18210,,,
EVCurrent,290,290,-320,-970,200,100,130,-1290,-1270,220,-680,2250,240,170,120,3640,120,200,160,8650,7500,7280,7190,4180,6230,5610,5320,1300,1210,1230,1150,1080,1170,1130,1040,1190,1120,1010,870,280,280,340
EVPCurrent,170,160,-120,-160,30,10,20,-140,-120,20,-80,230,20,10,10,260,10,10,10,720,820,770,730,960,1580,1660,2220,1640,1300,1120,920,770,840,890,810,670,800,870,590,350,350,390
EVEBITCurrent,1460,3190,-640,-660,150,110,270,-1410,-900,150,-400,1410,140,90,60,1920,60,140,130,7100,9680,5480,5850,3700,4740,5160,5440,1810,1680,1660,1500,5670,6860,9230,9000,10100,29300,10290,54470,-860,-860,-800
EVEBITDACurrent,1280,2350,-580,-590,130,80,150,-900,-630,100,-300,990,100,60,40,1100,40,70,60,2980,3370,2480,2350,3240,5500,10070,795640,1680,1530,1470,1320,3470,4000,4690,4230,4170,5970,4450,5720,-1330,-1450,-1130
DTAR,460,500,180,450,520,570,560,600,570,650,600,580,660,630,620,680,690,690,640,670,640,630,630,690,650,650,630,650,620,610,590,620,630,640,650,630,600,600,590,180,230,290
CG,840,980,220,810,1070,1300,1270,1470,1350,1830,1510,1390,1970,1710,1650,2080,2190,2260,1800,2070,1810,1700,1720,2270,1870,1870,1680,1820,1640,1600,1460,1630,1680,1760,1880,1680,1490,1520,1470,600,750,1160
LDER,,,20,230,260,310,260,220,160,380,370,410,460,360,400,580,480,560,440,600,790,730,670,1150,550,510,460,720,670,710,680,610,670,640,780,560,470,490,290,230,290,400
PZAT,,,8530,2840,2990,3210,3630,4190,4620,2910,2560,2670,2720,3240,2670,2220,2710,2640,3090,2720,2050,2029,2230,1650,2450,2530,2620,2220,2190,2020,2050,2620,2060,2610,2150,2930,2810,3270,4500,6350,6390,4990
PELDR,,,6380,1880,1460,1230,1230,1260,1560,1220,1420,1200,1130,1120,1270,1190,1100,1020,1020,950,1100,1110,1070,850,1060,1050,1070,950,1000,1030,1050,840,990,870,910,820,940,820,830,720,590,590
TSF,,,840,680,610,570,560,490,490,490,550,590,490,500,530,510,470,480,510,520,640,640,610,660,540,530,550,610,630,660,680,610,620,590,620,580,590,590,520,380,380,350
ZKO,540,580,210,710,900,1060,1030,980,840,1080,980,1140,1170,1140,1070,1190,1190,1320,1300,1500,1580,1490,1500,3220,1350,1320,1290,1830,1890,1720,1710,2300,2070,2140,2180,2260,2029,2150,1600,700,670,710
OSF,1900,1980,1290,1060,1020,990,990,1010,1130,950,1010,970,910,940,970,890,880,850,920,890,950,960,960,1260,910,910,940,1010,1130,1030,1070,1200,1220,1120,1100,1170,1280,1170,1020,400,300,290
NetDebt,1386000000,1966000000,-711000000,12085000000,23565000000,28142000000,28174000000,28217000000,32934000000,59167000000,53805000000,57125000000,81659000000,77184000000,76334000000,97818000000,106181000000,105780000000,100312000000,106938000000,112704000000,111712000000,112607000000,58055000000,118390000000,114466000000,106482000000,145331000000,135749000000,138533000000,126270000000,124383000000,132613000000,132066000000,135469000000,133230000000,135179000000,126691000000,110990000000,28503000000,24611000000,34400000000
NetDebtEBITDA,1180,3080,-250,1430,2770,4019,5630,3450,2850,4430,3320,3540,4550,3640,3480,4180,4250,4850,4320,4340,4570,3440,3330,4059,9440,18550,1438950,2180,1990,1920,1690,4660,5270,6390,6410,7230,10160,7110,9300,-1710,-1590,-1440
DebtFin,-3000000,,-3173000000,-6497000000,-539000000,-1085000000,-921000000,-9043000000,-8922000000,-424000000,-6868000000,13852000000,-325000000,-866000000,-1210000000,23710000000,-1175000000,-631000000,-1083000000,71128000000,79901000000,77382000000,76414000000,43113000000,65786000000,58918000000,55665000000,86960000000,79377000000,81170000000,73732000000,67719000000,75720000000,71862000000,64400000000,58240000000,58889000000,56431000000,45476000000,-680000000,-455000000,4210000000
DebtFinEBITDA,0,,-1100,-770,-60,-160,-180,-1110,-770,-30,-420,860,-20,-40,-60,1010,-50,-30,-50,2880,3240,2380,2260,3010,5250,9550,752230,1310,1170,1120,990,2540,3010,3480,3050,3160,4420,3170,3810,40,30,-180
SP1,3510,3420,6270,1500,1140,930,960,1030,1350,880,1030,860,780,820,900,750,740,650,710,590,600,640,630,390,670,690,720,550,600,600,620,520,590,520,500,520,630,550,630,570,450,410
SP2,3510,3420,6380,1840,1440,1210,1210,1250,1560,1210,1420,1200,1130,1120,1260,1180,1100,1010,1020,950,1080,1110,1060,840,1040,1040,1060,950,1000,1030,1050,840,980,860,900,810,930,810,820,710,580,580
CAR,0,,1400,480,30,50,40,290,240,10,150,30,0,10,20,10,10,10,10,10,20,30,30,140,10,50,0,60,40,20,60,10,10,0,10,50,0,0,10,40,130,80
QR,670,540,3660,1150,590,700,750,870,1020,770,930,770,720,610,630,550,560,470,560,540,640,670,570,530,620,650,630,550,490,620,630,410,530,470,440,470,530,480,530,1480,1570,990
CR,1850,1720,5300,1960,1470,1230,1220,1200,1350,1170,1350,1240,1110,1110,1230,1160,1080,1010,1020,940,1130,1170,1090,630,1050,1040,1070,910,890,1050,1100,700,800,730,790,670,720,690,780,2310,2420,2150
PP,0,,1400,480,30,50,40,290,240,10,150,30,70,10,20,10,10,10,10,10,20,30,30,140,10,50,0,60,40,20,60,10,10,10,10,50,10,10,10,40,130,80
RCLR,630,530,2250,670,580,650,720,590,770,760,740,660,650,530,520,450,450,410,480,510,570,560,440,380,540,510,510,440,390,530,490,320,420,360,390,390,490,440,380,1220,1300,880
KP,390,360,710,310,180,100,100,100,180,90,160,100,60,60,110,80,40,10,10,-30,50,60,30,-130,20,20,30,-40,-40,20,30,-120,-80,-110,-80,-140,-110,-130,-110,150,200,220
PKKO,170,190,1020,600,340,150,130,150,280,190,370,220,150,120,220,180,90,10,20,-70,130,180,90,-370,140,130,210,-170,-150,50,80,-260,-180,-270,-210,-350,-350,-410,-220,430,410,400
RN,10210,8700,2770,3520,3290,3480,3640,3510,3120,2420,2190,2200,2140,2590,2770,2850,3070,2930,2820,2800,2770,2830,3070,1680,1410,1140,760,1620,2060,2480,2910,3660,3580,3530,3660,3500,2790,2410,3010,1790,2220,2810
CRN,36000,42000,132000,104000,111000,105000,100000,104000,117000,151000,167000,166000,171000,141000,132000,128000,119000,124000,130000,131000,132000,129000,119000,217000,258000,320000,483000,225000,177000,147000,125000,100000,102000,103000,100000,104000,131000,151000,121000,204000,164000,130000
CPZ,57000,79000,59000,97000,125000,139000,153000,165000,171000,211000,231000,226000,245000,221000,225000,239000,245000,273000,287000,281000,268000,244000,230000,432000,523000,661000,959000,453000,384000,316000,273000,232000,233000,262000,267000,268000,319000,352000,285000,417000,298000,195000
RZ,4310,3240,2640,3340,2750,3150,3420,3670,4440,3670,3180,2960,2650,2780,2540,2260,2090,1910,1930,2150,2360,2530,2670,1290,1010,870,540,1670,2029,2370,2730,3340,3720,3930,4210,4680,4220,4019,5650,3780,4250,4150
CRZ,85000,113000,138000,109000,133000,116000,107000,100000,82000,99000,115000,123000,138000,131000,144000,162000,174000,191000,189000,170000,155000,144000,137000,282000,361000,420000,678000,218000,180000,154000,134000,109000,98000,93000,87000,78000,86000,91000,65000,97000,86000,88000
RMO,3470,2690,1170,1580,1540,1650,1700,1760,1700,1410,1250,1270,1240,1390,1390,1330,1310,1200,1190,1280,1340,1410,1470,790,670,550,380,800,980,1180,1360,1690,1730,1690,1810,1830,1580,1460,1800,1060,1220,1370
RMT,18970,15510,7760,4380,3050,2630,2220,2290,2540,2210,2060,1870,1650,1770,1740,1730,1730,1540,1400,1340,1170,1120,1090,500,470,410,310,640,680,720,740,840,840,760,770,790,670,600,800,500,590,770
RM,2940,2290,1020,1160,1020,1010,960,990,1020,860,780,750,710,780,770,750,740,670,640,660,620,620,630,310,280,240,170,350,400,440,470,550,560,520,530,540,460,420,540,320,380,470
COP,121000,155000,270000,213000,244000,221000,207000,204000,199000,250000,282000,289000,309000,272000,276000,290000,293000,315000,319000,301000,287000,273000,256000,499000,619000,740000,1161000,443000,357000,301000,259000,209000,200000,196000,187000,182000,217000,242000,186000,301000,250000,218000
CSP,64000,76000,211000,116000,119000,82000,54000,39000,28000,39000,51000,63000,64000,51000,51000,51000,48000,42000,32000,20000,19000,29000,26000,67000,96000,79000,202000,-10000,-27000,-15000,-14000,-23000,-33000,-66000,-80000,-86000,-102000,-110000,-99000,-116000,-48000,23000
