,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITCurrent,18050,14100,20930,11600,17910,20140,21400,17950,17550,16910,17160,18470,17040,17110,17520,16320,15810,14810,14850,13840,12310,11910,10850,11220,10820,10750,10600,10990,10650,11330,11440,11510,12010,12230
EVEBITDACurrent,13280,10850,14840,9080,13750,15040,15940,13700,13370,12780,12760,13050,12060,11930,12080,11540,11170,10610,10580,9990,8960,8710,8050,8250,7970,7840,7690,7880,7550,7910,7940,8020,8320,8570
DTAR,390,300,360,250,240,230,,220,210,210,210,190,200,220,190,190,180,190,160,160,170,210,200,190,190,190,180,170,170,170,160,160,160,160
CG,630,440,570,330,310,300,,280,270,260,260,240,240,280,230,240,230,230,190,190,210,270,260,240,230,240,220,200,210,200,190,190,190,190
LDER,390,230,390,190,180,180,,170,150,150,140,130,120,120,110,110,100,100,100,90,90,130,120,110,100,100,100,100,100,100,90,90,90,90
PZAT,1800,2590,2110,2850,2960,2870,,3470,3820,4050,4190,4300,4460,4480,5030,5640,5540,5710,6000,6730,6770,5460,5760,6430,6570,6460,6460,6460,6640,6600,6600,6710,6730,6840
PELDR,1860,1910,1630,2110,2180,2230,,1960,1930,1860,1910,1930,1960,1960,1950,1770,1840,1860,1830,1770,1720,1530,1600,1520,1580,1600,1680,1650,1680,1700,1770,1810,1840,1810
TSF,850,860,880,900,900,910,,910,900,910,900,910,900,880,900,890,900,890,920,910,900,880,880,880,890,890,900,910,910,910,910,910,910,910
ZKO,720,550,790,430,410,390,,410,410,410,390,370,360,390,350,400,360,360,330,340,370,490,450,460,430,430,380,380,370,360,330,330,310,320
OSF,960,850,930,760,750,740,,680,680,650,660,620,630,680,620,630,600,610,540,550,570,660,650,630,610,620,580,570,570,550,530,540,530,540
NetDebt,16462000000,6987000000,24251000000,-14527000000,-17829000000,-21036000000,,-8421000000,-8050000000,-3005000000,-20000000,-4942000000,-9097000000,-5798000000,-5399000000,627000000,-2968000000,-1474000000,6039000000,16453000000,9724000000,31869000000,30609000000,39620000000,35481000000,27954000000,29119000000,35392000000,18066000000,8638000000,-2496000000,-8752000000,-8338000000,5719000000
NetDebtEBITDA,850,300,1370,-600,-740,-940,,-330,-310,-110,0,-190,-330,-210,-190,20,-100,-50,180,460,250,770,690,890,770,610,620,760,390,190,-60,-200,-200,130
DebtFin,2498000000,-898000000,6263000000,-35971000000,-39497000000,-32891000000,,-19793000000,-21713000000,-25214000000,-25201000000,-28570000000,-35532000000,-37743000000,-32792000000,-30161000000,-32863000000,-33241000000,-19863000000,-11315000000,-21940000000,-8230000000,-10251000000,476000000,-3387000000,-6616000000,-9264000000,-1718000000,-22094000000,-15012000000,-20570000000,-18668000000,-13477000000,-4868000000
DebtFinEBITDA,130,-40,350,-1480,-1650,-1470,,-780,-840,-940,-940,-1100,-1290,-1360,-1180,-1030,-1090,-1050,-600,-320,-570,-200,-230,10,-70,-140,-200,-40,-480,-340,-470,-430,-320,-110
SP1,1330,1540,1170,1760,1840,1880,,1670,1670,1610,1670,1700,1740,1740,1750,1590,1660,1680,1660,1620,1570,1350,1420,1370,1420,1440,1530,1490,1530,1550,1620,1660,1700,1670
SP2,1850,1900,1630,2100,2170,2220,,1950,1920,1850,1900,1920,1960,1960,1940,1760,1840,1850,1820,1770,1710,1520,1590,1520,1570,1590,1680,1650,1680,1700,1770,1810,1840,1810
CAR,1320,1130,1320,3230,3300,3070,,2350,2110,2510,2130,2500,2470,2040,2130,1770,2000,1820,1660,1020,1350,820,800,450,570,640,780,540,1200,990,1230,1020,820,480
QR,2670,2880,3080,4580,4830,5260,,4810,4430,4290,4110,4620,4320,3560,3960,3380,3900,3600,4330,3850,3420,2750,2690,2570,2930,2870,3420,3680,3660,3930,4420,4250,4360,3960
CR,3650,3880,3940,5620,5760,6240,,6080,5520,5780,5410,6050,5550,4610,5310,4560,5180,4840,6140,5470,4830,4019,4030,3960,4290,4190,4850,5220,5020,5360,5840,5630,5900,5610
PP,1320,1630,1320,3230,3310,3660,,2990,2670,2520,2130,2510,2480,2040,2130,1780,2009,1820,1670,1020,1350,820,810,460,580,850,780,540,1200,1580,2029,2150,2150,1600
RCLR,1360,1240,1760,1380,1520,1610,,1860,1780,1800,2009,2150,1850,1540,1850,1640,1890,1780,2680,2860,2070,1930,1890,2130,2350,2020,2650,3130,2420,2310,2370,2100,2170,2320
KP,390,410,340,470,480,500,,450,430,420,430,440,440,430,440,380,410,410,410,400,380,320,340,310,330,340,370,360,370,380,400,410,420,410
PKKO,-6530,-7170,-7680,-15880,-15660,-16040,,-14100,-13800,-12340,-12360,-11490,-11340,-10830,-10590,-9720,-10250,-10160,-9630,-9070,-8530,-7590,-7980,-7210,-7720,-7610,-8140,-7870,-8220,-8210,-8940,-9520,-10090,-10010
RN,4520,5050,3530,4090,4280,4110,4190,4030,3910,3900,3950,3920,3970,3920,3900,4059,4019,3970,3870,3610,3650,3660,3700,3830,3640,3650,3550,3340,3370,3350,3430,3670,3730,3670
CRN,81000,72000,103000,89000,85000,89000,87000,91000,93000,94000,92000,93000,92000,93000,94000,90000,91000,92000,94000,101000,100000,100000,99000,95000,100000,100000,103000,109000,108000,109000,106000,99000,98000,100000
CPZ,59000,58000,59000,65000,64000,59000,58000,55000,53000,52000,50000,48000,47000,50000,51000,53000,53000,51000,48000,45000,43000,43000,46000,48000,48000,48000,45000,43000,43000,42000,42000,43000,44000,44000
RZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO,1690,1620,1570,1450,1250,1050,1070,1110,1150,1220,1300,1330,1360,1360,1340,1390,1410,1430,1480,1530,1600,1710,1760,1830,1850,1860,1880,1820,1780,1720,1640,1550,1470,1430
RMT,1980,1960,1320,1400,1410,1470,1510,1470,1410,1340,1420,1450,1500,1570,1550,1560,1540,1510,1500,1530,1550,1500,1480,1440,1410,1440,1480,1470,1480,1450,1410,1400,1400,1410
RM,910,890,720,710,660,610,630,630,630,640,680,700,710,730,720,740,740,730,740,760,790,800,800,810,800,810,830,810,810,790,760,740,720,710
COP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
