,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q4
PZAT_yy,,41.36,577.26,-89.90,363.95,19.13,46.05,-68.62,-9.28,60.72,262.10
PZAT_sy,,41.31,-17.62,10.16,-15.35,-18.14,7.31,-10.01,24.52,4.46,-10.16
PZAT_qq,,,,,,,,,,,
PZAT_sq,,,,,,,,,,,
PELDR,,,,,,,,,,,
PELDR_yy,,4.25,-87.24,1323.83,-107.66,-53.30,-231.01,294.94,-2.04,-4.98,-18.31
PELDR_sy,,4.05,-15.75,18.13,3.02,-2.00,-11.62,13.60,2.09,0.28,3.73
PELDR_qq,,,,,,,,,,,
PELDR_sq,,,,,,,,,,,
TSF,,,,,,,,,,,
TSF_yy,,-12.45,-85.60,482.72,-117.38,-63.30,-183.38,248.37,-2.95,-0.92,-8.21
TSF_sy,,-6.23,-11.33,10.75,13.72,-8.91,-4.43,2.54,-0.05,2.92,-3.40
TSF_qq,,,,,,,,,,,
TSF_sq,,,,,,,,,,,
ZKO,,,,,,,,,,,
ZKO_yy,,-16.53,28.89,38.63,-16.71,10.35,-0.82,-69.24,1.86,1.33,-7.09
ZKO_sy,,-13.92,31.90,-12.30,-18.46,19.15,11.67,-6.78,3.71,-9.29,4.69
ZKO_qq,,,,,,,,,,,
ZKO_sq,,,,,,,,,,,
OSF,,,,,,,,,,,
OSF_yy,,-26.55,-98.87,-80170.45,60.59,-9.51,-117.86,129.59,-1.20,9.12,-2.88
OSF_sy,,-5.70,-5.26,6.92,-3.26,3.18,-2.57,0.84,1.35,2.47,-3.30
OSF_qq,,,,,,,,,,,
OSF_sq,,,,,,,,,,,
NetDebt,759716000000,773400000000,851015000000,740503000000,870848000000,883037000000,836999000000,275202000000,213815000000,182838000000,185548000000
NetDebt_yy,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,
NetDebtEBITDA_yy,,2.75,49.49,-3.13,-3150.80,227.21,-59.93,-103.52,-671.05,128.29,509.66
NetDebtEBITDA_sy,,10.61,25.97,-36.32,-26.84,45.83,34.14,10.82,-19.42,-7.58,-4.57
NetDebtEBITDA_qq,,,,,,,,,,,
NetDebtEBITDA_sq,,,,,,,,,,,
DebtFin,439528000000,441100000000,556877000000,575299000000,562001000000,582228000000,539216000000,-19129000000,-41549000000,-70959000000,2106000000
DebtFin_yy,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,
DebtFinEBITDA_yy,,1.29,71.52,15.01,-2634.20,229.97,-60.85,-99.62,2055.51,-156.50,117.83
DebtFinEBITDA_sy,,-14.30,120.04,-47.58,-41.32,101.28,25.67,19.36,-19.24,-28.15,1.38
DebtFinEBITDA_qq,,,,,,,,,,,
DebtFinEBITDA_sq,,,,,,,,,,,
SP1,,,,,,,,,,,
SP1_yy,,-12.00,-99.12,-57888.89,52.68,0.77,-119.68,196.20,-2.99,7.68,4.53
SP1_sy,,-2.85,-23.32,23.97,18.94,-9.40,-18.33,11.28,-2.53,10.15,-0.56
SP1_qq,,,,,,,,,,,
SP1_sq,,,,,,,,,,,
SP2,,,,,,,,,,,
SP2_yy,,4.25,-87.24,1323.83,-107.66,-53.30,-231.01,294.94,-2.04,-4.98,-18.31
SP2_sy,,4.88,-16.62,19.05,3.40,-2.00,-8.22,4.77,4.70,-1.70,7.73
SP2_qq,,,,,,,,,,,
SP2_sq,,,,,,,,,,,
CAR,,,,,,,,,,,
CAR_yy,,5.83,-92.16,68.03,-10.40,-7.65,-6.15,470.94,123.60,8.90,-50.43
CAR_sy,,-26.27,-61.40,89.97,-26.57,-19.33,19.22,27.80,4.02,55.36,8.14
CAR_qq,,,,,,,,,,,
CAR_sq,,,,,,,,,,,
QR,,,,,,,,,,,
QR_yy,,-11.09,-68.78,154.48,-59.66,-13.92,-8.76,427.28,6.95,13.45,-17.45
QR_sy,,-4.07,-30.11,23.57,7.37,-7.95,-13.18,13.11,7.09,5.80,-12.90
QR_qq,,,,,,,,,,,
QR_sq,,,,,,,,,,,
CR,,,,,,,,,,,
CR_yy,,-7.54,-65.97,147.56,-62.97,-13.02,-2.89,416.38,-3.13,-12.98,-17.45
CR_sy,,-10.12,-17.04,20.07,9.33,-3.24,-17.17,11.60,10.20,-4.25,6.47
CR_qq,,,,,,,,,,,
CR_sq,,,,,,,,,,,
PP,,,,,,,,,,,
PP_yy,,5.83,-92.16,68.03,-10.40,-7.65,-6.15,470.94,123.60,8.93,-50.09
PP_sy,,-47.70,-61.61,84.10,-28.26,-23.67,52.41,38.07,-21.41,53.27,17.41
PP_qq,,,,,,,,,,,
PP_sq,,,,,,,,,,,
RCLR,,,,,,,,,,,
RCLR_yy,,-2.93,-61.76,116.09,-60.89,0.57,-13.55,440.00,-15.69,-35.33,1.39
RCLR_sy,,-11.16,-14.09,19.38,-10.86,10.75,-11.04,7.33,7.81,4.10,-14.68
RCLR_qq,,,,,,,,,,,
RCLR_sq,,,,,,,,,,,
KP,,,,,,,,,,,
KP_yy,,1.87,-531.26,106.68,-2025.84,-15.25,-26.35,129.71,-5.33,-23.43,-44.29
KP_sy,,2.69,-68.93,173.91,91.08,-9.74,-55.49,36.51,36.36,-11.48,41.92
KP_qq,,,,,,,,,,,
KP_sq,,,,,,,,,,,
PKKO,,,,,,,,,,,
PKKO_yy,,-6604.64,331.40,-100.55,-30280.05,172.04,-78.02,-221.11,-42.29,3093.81,-98.36
PKKO_sy,,110.82,-66.43,118.02,19.59,-28.26,-22.84,-49.65,-16.02,234.33,34.72
PKKO_qq,,,,,,,,,,,
PKKO_sq,,,,,,,,,,,
RN,,,,,,,,,,,
RN_yy,,-41.17,76.19,66.31,-31.70,-0.27,15.58,-21.83,4.81,-8.17,-16.58
RN_sy,,-18.68,-2.89,1.98,6.97,-2.28,-0.17,1.26,2.05,-6.73,-3.29
RN_qq,,,,,,,,,,,
RN_sq,,,,,,,,,,,
CRN,75000,127000,72000,43000,64000,64000,55000,71000,67000,73000,88000
CRN_yy,,69.33,-43.31,-40.28,48.84,,-14.06,29.09,-5.63,8.96,20.55
CRN_sy,,22.73,2.96,-2.16,-5.88,,,-0.77,-2.33,7.14,3.70
CRN_qq,,,,,,,,,,,
CRN_sq,,,,,,,,,,,
CPZ,121000,212000,138000,88000,328000,327000,327000,78000,88000,148000,175000
CPZ_yy,,75.21,-34.91,-36.23,272.73,-0.30,,-76.15,12.82,68.18,18.24
CPZ_sy,,29.89,7.52,-2.47,-19.83,14.74,,-0.47,1.90,-12.15,17.02
CPZ_qq,,,,,,,,,,,
CPZ_sq,,,,,,,,,,,
RZ,,,,,,,,,,,
RZ_yy,,,,,,,,,,,
RZ_sy,,,,,,,,,,,
RZ_qq,,,,,,,,,,,
RZ_sq,,,,,,,,,,,
CRZ,47000,,,,,,,,,,
CRZ_yy,,,,,,,,,,,
CRZ_sy,,,,,,,,,,,
CRZ_qq,,,,,,,,,,,
CRZ_sq,,,,,,,,,,,
RMO,,,,,,,,,,,
RMO_yy,,-38.24,58.14,81.76,-27.88,15.30,2.92,-18.24,-8.77,-31.75,2.45
RMO_sy,,-24.83,11.08,-8.92,14.96,-10.41,10.71,0.54,-5.92,-0.51,-10.57
RMO_qq,,,,,,,,,,,
RMO_sq,,,,,,,,,,,
RMT,,,,,,,,,,,
RMT_yy,,-7.76,38.83,205.45,-55.28,-0.66,45.17,33.63,-9.15,-37.36,-14.38
RMT_sy,,-1.76,-2.52,-1.05,-2.85,0.43,2.35,-3.25,6.72,11.54,-13.97
RMT_qq,,,,,,,,,,,
RMT_sq,,,,,,,,,,,
RM,,,,,,,,,,,
RM_yy,,-22.52,47.15,33.02,1.54,5.88,24.26,1.69,-10.00,-34.69,-3.78
RM_sy,,-6.33,-3.49,-6.78,7.72,-9.93,7.23,-3.72,9.69,-8.02,-5.70
RM_qq,,,,,,,,,,,
RM_sq,,,,,,,,,,,
COP,122000,,,,,,,,,,
COP_yy,,,,,,,,,,,
COP_sy,,,,,,,,,,,
COP_qq,,,,,,,,,,,
COP_sq,,,,,,,,,,,
CSP,1000,,,,,,,,,,
CSP_yy,,,,,,,,,,,
CSP_sy,,,,,,,,,,,
CSP_qq,,,,,,,,,,,
CSP_sq,,,,,,,,,,,
