,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
WKGrahamCurrent_yy,,-3.27,-33.37,3.05,,-82.78,,,-7.18,-15.83,-24.89,-15.36,-0.94,2.77,69.41,67.31,67.28,68.70,16.58
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,,7.62,1.91,-6.01,-11.58,0.17,-5.76,2.08,2.37,3.83,66.73,-4.65,2.29,8.00,11.32
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,7.66,-1.60,-100.00,,,,,285.48,14.42,5.79,6.48,5.71,1.70,-60.88,-61.39,-61.50,-62.45,-11.69
PCurrent_sy,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,,250.34,9.02,0.18,0.74,3.99,0.79,0.84,0.02,0.05,-61.22,-0.48,-0.29,-2.41,-8.81
PCurrent_sq,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-7.11,1.62,,,,,,-74.06,-12.61,-5.47,-6.08,-5.40,-1.67,155.60,158.98,159.76,166.30,13.24
CPCurrent_sy,,-12.30,35.76,,,,,,15.89,16.47,-18.61,-19.19,-34.63,-33.09,-18.91,0.39,-0.90,-14.61,-17.05
CPCurrent_qq,,,,,,-71.46,-8.27,-0.18,-0.74,-3.84,-0.79,-0.83,-0.02,-0.05,157.90,0.48,0.29,2.47,9.66
CPCurrent_sq,,,,,,-6.49,22.67,-13.43,16.70,-6.01,-14.27,-14.06,-5.59,-3.81,3.90,6.40,-6.80,-17.12,0.93
ZCurrent,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-41.15,101.05,-101.08,,3770.45,,,446.13,549.48,81.34,9.11,90.44,44.90,-48.31,-27.52,-71.15,-70.52,-21.63
ZCurrent_sy,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,,167.28,233.77,52.14,1.32,26.24,-6.81,-8.46,76.84,-3.95,-66.76,28.36,-29.59,-1.86,-11.63
ZCurrent_sq,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,69.93,-50.26,,,,,,,-84.60,-44.85,-8.35,-47.49,-30.99,93.47,37.97,246.56,239.18,27.60
CZCurrent_sy,,47.69,58.30,,,,,,,-21.32,-19.91,-13.73,-32.54,-14.59,-26.88,-21.44,1.29,4.67,-17.28
CZCurrent_qq,,,,,,,-70.04,-34.27,-1.30,-20.78,7.31,9.24,-43.45,4.11,200.82,-22.09,42.03,1.90,13.17
CZCurrent_sq,,,,,,,8.37,-11.88,-5.09,-13.20,10.31,-5.08,-25.78,9.91,-5.56,1.97,-4.31,13.58,-25.36
ZOCurrent,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-3.73,45.70,-100.59,,25416.95,,,227.24,42.10,79.32,24.24,61.60,44.56,-67.76,-52.81,-68.81,-68.90,-9.09
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,,158.31,6.35,28.02,-6.96,12.16,34.22,-11.30,21.03,0.34,-70.07,29.82,-20.01,0.05,-12.50
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,3.87,-31.37,,,,,,-69.44,-29.63,-44.23,-19.51,-38.12,-30.82,210.17,111.91,220.61,221.53,10.00
CZOCurrent_sy,,-25.00,151.84,,,,,,-29.26,13.95,-24.28,-26.00,-25.94,-29.36,9.05,0.92,8.34,16.27,-22.38
CZOCurrent_qq,,,,,,-61.29,-5.98,-21.89,7.47,-10.84,-25.49,12.74,-17.38,-0.33,234.06,-22.97,25.01,-0.05,14.28
CZOCurrent_sq,,,,,,-33.13,23.48,-1.76,-12.79,7.72,-17.95,-3.99,-12.72,2.76,26.65,-11.15,-6.31,10.28,-15.45
EVCurrent,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-1.71,15.17,19.85,,22.77,,,6.03,-0.92,2.02,-1.29,-7.75,-0.57,-41.81,-40.91,-40.47,-41.77,-4.71
EVCurrent_sy,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,,-2.47,-1.22,3.57,6.26,-8.85,1.70,0.21,-0.70,-1.75,-40.48,1.77,0.03,-3.90,-2.60
EVCurrent_sq,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-8.70,17.04,,,,,,-72.50,-13.41,-3.57,-7.30,-12.73,-2.23,48.73,53.03,54.63,55.06,7.90
EVPCurrent_sy,,-21.30,8.99,,,,,,-3.26,-4.51,-2.93,12.71,-9.03,-14.58,-35.85,-13.38,-15.36,-22.29,34.03
EVPCurrent_qq,,,,,,-72.16,-9.39,3.38,5.47,-12.35,0.91,-0.62,-0.71,-1.80,53.49,2.26,0.32,-1.53,6.81
EVPCurrent_sq,,,,,,0.43,0.76,-25.89,28.99,-0.87,2.43,-13.94,4.10,-6.91,-23.08,16.21,1.72,-14.53,32.65
EVEBITCurrent,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,2.10,-20.96,-20529.50,,100.48,,,-67.60,-30.27,-43.11,-20.55,-42.92,-31.22,80.48,25.22,90.85,87.22,4.81
EVEBITCurrent_sy,,-28.30,29.51,9.85,,-7.58,,,11.19,-21.51,-43.59,-20.86,4.43,45.80,52.02,11.71,-11.32,-23.39,-31.66
EVEBITCurrent_qq,,,,,,-62.24,-7.12,-19.10,14.20,-18.74,-24.22,12.98,-17.95,-2.08,98.83,-21.61,25.05,-3.94,11.31
EVEBITCurrent_sq,,,,,,9.42,39.09,-19.47,-9.28,-22.76,-0.05,12.98,19.71,7.84,4.22,-16.97,-4.97,-6.83,-7.03
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,2.10,-20.96,-20529.50,,100.48,,,-67.60,-30.27,-43.11,-20.55,-42.92,-31.22,80.48,25.22,90.85,87.22,4.81
EVEBITDACurrent_sy,,-27.49,31.25,7.29,,-24.44,,,-14.90,-2.71,-42.73,7.35,19.51,41.67,33.92,11.14,-10.85,-20.42,-22.68
EVEBITDACurrent_qq,,,,,,-62.24,-7.12,-19.10,14.20,-18.74,-24.22,12.98,-17.95,-2.08,98.83,-21.61,25.05,-3.94,11.31
EVEBITDACurrent_sq,,,,,,-23.22,71.80,-39.73,7.04,-12.23,1.12,12.98,19.17,4.05,-4.41,-6.24,-4.41,-7.12,-7.12
ROE,,,,,,,,,,,,,,,,,,,
ROE_yy,,-44.99,130.93,-101.04,,3842.86,,,401.31,434.73,56.88,-0.77,65.08,29.34,6.14,42.25,-37.95,-45.92,-31.91
ROE_sy,,10.67,-30.81,-17.41,,-22.44,,,590.43,170.10,190.13,191.33,89.83,-24.37,16.08,-34.21,34.01,5.32,16.71
ROE_qq,,,,,,168.41,205.34,47.00,-1.87,21.40,-10.42,-7.01,63.24,-4.88,-26.49,24.62,-28.80,-17.09,-7.45
ROE_sq,,,,,,447.87,-27.18,62.93,6.22,114.33,-21.78,63.60,-30.79,-14.61,20.06,-7.28,40.99,-32.89,33.03
ROA,,,,,,,,,,,,,,,,,,,
ROA_yy,,-46.62,97.59,-100.91,,3266.67,,,410.29,460.00,55.41,-5.86,71.09,34.02,23.00,76.32,-26.73,-29.87,-18.18
ROA_sy,,-34.80,-40.93,11.40,,13.39,,,415.38,83.33,133.78,128.01,132.84,-15.34,16.76,-27.64,39.58,11.41,32.67
ROA_qq,,,,,,169.85,221.05,45.57,-4.95,26.07,-10.90,-11.81,72.73,-1.25,-18.23,26.42,-28.22,-5.48,-4.60
ROA_sq,,,,,,453.85,-22.92,60.81,-24.93,97.01,-1.70,56.84,-23.34,-28.37,35.57,-2.81,47.88,-42.82,61.45
OPM,,,,,,,,,,,,,,,,,,,
OPM_yy,,-10.58,48.07,,,,,,-15.11,24.19,69.51,16.69,52.88,42.14,-17.60,22.21,-18.98,-17.17,2.95
OPM_sy,,-24.35,-33.00,,,,,,9.20,-13.23,-2.98,-23.02,24.58,79.03,48.59,3.56,62.87,-31.84,23.21
OPM_qq,,,,,,-26.28,-2.44,27.78,-7.64,7.86,33.16,-12.04,21.01,0.29,-22.80,30.45,-19.78,2.52,-4.05
OPM_sq,,,,,,46.78,-9.32,35.78,-39.58,16.63,1.39,7.74,-2.21,67.60,-15.85,-24.91,53.79,-29.86,52.12
ROS,,,,,,,,,,,,,,,,,,,
ROS_yy,,-45.33,104.29,,,,,,189.79,467.73,71.42,2.48,80.14,42.47,32.12,87.71,-25.04,-21.48,-11.26
ROS_sy,,-42.06,-37.59,,,,,,4.42,166.07,92.12,80.25,176.37,7.95,-13.09,-14.11,-0.38,-26.88,61.18
ROS_qq,,,,,,119.20,206.20,51.86,0.59,21.38,-7.55,-9.22,76.81,-4.00,-14.26,28.98,-29.39,0.56,-3.09
ROS_sq,,,,,,13.17,17.74,11.96,-30.00,188.36,-14.98,5.04,7.33,12.64,-31.56,3.81,24.48,-17.33,50.87
RS,,,,,,,,,,,,,,,,,,,
RS_yy,,-2.16,-8.12,,,,,,-22.93,10.94,7.39,7.08,1.21,-0.95,0.46,0.14,4.15,2.77,1.26
RS_sy,,4.27,-18.90,,,,,,12.87,4.75,9.73,-2.87,-11.85,10.81,18.43,20.14,51.33,-15.99,-8.37
RS_qq,,,,,,-28.52,2.52,1.88,3.24,2.89,-0.76,1.58,-2.41,0.69,0.65,1.26,1.49,-0.64,-0.83
RS_sq,,,,,,21.61,-7.21,3.41,-3.27,12.86,-2.80,-8.47,-12.21,41.86,3.89,-7.15,10.58,-21.25,13.32
GPM,,,,,,,,,,,,,,,,,,,
GPM_yy,,-43.67,109.51,,,,,,183.27,470.69,72.06,4.08,83.11,39.89,33.65,85.65,-27.01,-23.22,-14.14
GPM_sy,,-28.06,-30.93,,,,,,37.14,107.44,89.02,4.21,46.39,15.58,-12.64,24.03,51.14,1.55,93.04
GPM_qq,,,,,,118.21,202.11,50.62,0.51,24.78,-8.92,-8.89,76.84,-4.68,-12.98,26.56,-30.48,0.28,-2.69
GPM_sq,,,,,,12.56,5.88,45.59,-20.96,70.26,-3.52,-19.73,11.03,34.42,-27.07,13.96,35.29,-9.68,38.63
RBS,,,,,,,,,,,,,,,,,,,
RBS_yy,,3.82,7.83,,,,,,,,,,,,,,,,
RBS_sy,,-4.99,3.79,,,,,,,,,,,,,,,,
RBS_qq,,,,,,,,,,,,,,,,,,,
RBS_sq,,,,,,,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-12.90,43.20,-100.51,,21500.00,,,193.31,22.43,53.96,7.21,45.36,33.72,-23.37,14.73,-20.80,-26.07,-5.04
ROPA_sy,,18.26,-59.18,32.80,,24.30,,,187.50,2.40,101.36,26.17,43.65,69.80,34.28,9.47,12.34,-39.91,-0.50
ROPA_qq,,,,,,168.62,2.18,22.56,-12.81,12.13,28.50,-14.65,18.21,3.14,-26.36,27.78,-18.40,-3.72,-5.41
ROPA_sq,,,,,,200.00,-41.03,102.45,-19.73,6.86,15.96,26.86,-8.62,26.31,-8.29,3.42,-6.22,-32.44,51.84
ZNPO,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,-58.19,602.81,-142.23,,124.79,,,370.84,291.03,-11.80,-36.62,1.53,119.16,90.72,189.32,99.18,115.36,-8746.76
ZNPO_sy,,-121.17,231.20,257.57,,-91.79,,,-88.03,707.55,18.71,85.00,4758.45,11.82,-82.32,-85.57,42.69,0.61,759.54
ZNPO_qq,,,,,,145.37,287.63,36.18,13.08,-34.49,-12.57,-2.15,81.16,41.40,-23.91,48.44,24.72,52.89,-3154.96
ZNPO_sq,,,,,,-26.31,511.67,-27.68,-96.33,4870.42,-10.09,12.70,-3.54,14.39,-85.78,-8.02,853.88,-19.34,21.46
ZFI,,,,,,,,,,,,,,,,,,,
ZFI_yy,,,,100.19,,939300.00,,,,-1924.60,,,,101.80,-94.48,38.57,71.19,203.82,-710.28
ZFI_sy,,,,-51.09,,146.18,,,,-18.32,,,,-46.46,-53.07,16.14,22.16,151.95,71.94
ZFI_qq,,,,,,34.86,,,,,117.17,-81.35,-15.39,-33.55,-47.34,368.06,4.52,17.94,-205.77
ZFI_sq,,,,,,96.82,,,,,10.05,-33.81,13.33,-35.15,-3.54,63.81,19.20,33.76,-34.17
DTAR,,,,,,,,,,,,,,,,,,,
DTAR_yy,,4.56,18.71,5.06,,18.24,,,-1.86,-2.82,0.45,2.97,-2.33,-2.45,-9.90,-13.58,-11.23,-19.37,-16.34
DTAR_sy,,-16.25,1.06,7.91,,-3.06,,,4.00,-5.19,1.83,2.03,2.79,8.94,6.77,7.43,5.61,3.35,-1.59
DTAR_qq,,,,,,-1.34,-2.94,0.57,1.90,-2.29,0.32,3.08,-3.34,-2.41,-7.34,-1.13,-0.71,-11.37,-3.85
DTAR_sq,,,,,,4.73,-3.01,1.52,0.85,-4.52,4.17,1.72,1.60,1.19,2.10,2.34,-0.12,-0.98,-2.78
CG,,,,,,,,,,,,,,,,,,,
CG_yy,,8.01,38.64,11.27,,50.12,,,-4.88,-7.15,1.34,8.47,-5.85,-5.92,-22.22,-30.21,-24.78,-37.78,-30.39
CG_sy,,-33.51,-9.40,15.07,,5.73,,,3.34,-13.07,-4.89,7.74,3.02,10.13,8.25,13.27,20.10,11.95,6.31
CG_qq,,,,,,-3.60,-7.71,1.57,5.25,-5.89,0.72,8.72,-8.64,-5.96,-16.73,-2.45,-1.54,-22.21,-6.84
CG_sq,,,,,,10.97,-3.67,-3.96,0.66,-6.65,5.39,8.79,-3.74,-0.21,3.59,13.84,2.06,-6.98,-1.63
LDER,,,,,,,,,,,,,,,,,,,
LDER_yy,,9.63,30.95,21.06,,60.00,,,-6.62,-10.63,-2.92,-1.97,-7.51,-5.63,-20.88,-24.23,-24.05,-56.18,-29.18
LDER_sy,,-32.10,-8.00,7.70,,22.39,,,17.41,-18.31,-9.70,-31.04,-22.07,-15.81,7.35,44.47,31.91,32.02,4.48
LDER_qq,,,,,,-2.89,-8.35,1.07,3.80,-7.06,-0.44,2.06,-2.06,-5.17,-16.53,-2.27,-1.83,-45.28,34.89
LDER_sq,,,,,,30.35,-20.25,11.64,1.16,-9.30,-11.84,-14.74,14.32,-2.02,12.41,14.75,4.38,-1.93,-11.05
PZAT,,,,,,,,,,,,,,,,,,,
PZAT_yy,,-9.22,-10.80,-18.65,,-12.47,,,3.47,8.38,7.72,1.41,-2.76,-1.45,-0.79,8.57,14.22,73.51,23.60
PZAT_sy,,3.64,6.23,-4.19,,-16.75,,,-1.37,18.11,4.89,-7.97,-7.97,-18.73,-22.88,9.26,5.64,11.13,10.17
PZAT_qq,,,,,,-0.01,2.62,0.47,0.38,4.72,2.00,-5.41,-3.75,6.13,2.68,3.51,1.26,61.22,-26.86
PZAT_sq,,,,,,-18.23,20.60,-0.47,0.48,-2.08,7.11,-12.68,0.49,-13.53,1.64,23.72,-2.84,-9.05,0.76
PELDR,,,,,,,,,,,,,,,,,,,
PELDR_yy,,4.53,-3.81,12.06,,-7.89,,,-0.96,-3.99,-6.15,-0.70,6.39,4.97,12.20,4.83,-0.36,-11.40,-3.10
PELDR_sy,,11.52,-23.09,4.95,,-3.85,,,13.83,25.56,14.71,4.43,2.36,-5.44,4.54,-6.87,-4.16,-3.18,-3.85
PELDR_qq,,,,,,1.14,1.13,-0.93,-2.26,-1.96,-1.15,4.83,4.72,-3.27,5.66,-2.06,-0.46,-13.98,15.55
PELDR_sq,,,,,,-3.77,3.20,12.93,1.50,6.15,-5.72,2.81,-0.52,-1.94,4.23,-8.41,2.37,-0.94,3.52
TSF,,,,,,,,,,,,,,,,,,,
TSF_yy,,0.09,-4.47,3.15,,1.75,,,-0.99,-2.05,-2.56,-6.17,-0.87,0.34,1.96,6.45,1.72,-11.27,2.07
TSF_sy,,3.48,-3.04,3.64,,3.59,,,-1.30,-6.16,-5.25,2.49,-0.49,2.67,2.02,-5.35,-1.14,-7.75,-2.77
TSF_qq,,,,,,0.55,-0.13,-0.37,-1.04,-0.52,-0.65,-4.07,4.56,0.69,0.96,0.15,-0.09,-12.17,16.13
TSF_sq,,,,,,1.36,-1.58,-2.85,1.83,-3.63,-0.62,5.09,-1.13,-0.57,-1.26,-2.50,3.26,-7.21,4.08
ZKO,,,,,,,,,,,,,,,,,,,
ZKO_yy,,-28.59,33.62,-40.07,,97.94,,,-8.64,12.80,33.05,-11.51,-23.95,-28.07,-50.61,-21.10,-16.96,-20.47,9.55
ZKO_sy,,3.22,-2.46,5.66,,13.95,,,-4.97,-8.24,-10.00,-19.40,-18.04,-6.43,-12.98,23.63,26.11,6.51,12.77
ZKO_qq,,,,,,-10.83,-11.08,3.31,11.54,10.09,4.88,-31.29,-4.14,4.13,-27.99,9.76,0.88,-0.26,-0.80
ZKO_sq,,,,,,6.60,0.32,-7.98,-3.43,2.93,-1.61,-17.58,-1.81,17.51,-8.50,17.09,0.16,-0.74,-3.12
OSF,,,,,,,,,,,,,,,,,,,
OSF_yy,,-27.80,15.18,-38.52,,41.13,,,-5.71,15.70,27.04,-11.11,-15.32,-21.96,-37.05,-3.79,-4.00,2.90,24.99
OSF_sy,,-10.10,13.10,-0.37,,30.43,,,21.18,-7.05,4.31,-8.96,-19.72,0.39,-20.95,3.47,-0.23,-8.78,5.95
OSF_qq,,,,,,-8.19,-5.32,1.72,6.64,12.65,3.96,-28.82,1.59,3.82,-16.14,8.78,1.37,11.28,1.86
OSF_sq,,,,,,21.04,-2.25,-14.70,20.07,-7.16,9.69,-25.55,5.88,16.10,-13.63,-2.55,2.09,6.16,0.32
NetDebt,1063084000000,1005331000000,1486712000000,1670241400000,2503225400000,2505557200000,2403954800000,2493391800000,2645940500000,2660366700000,2798514600000,2834933300000,2835860400000,2811231500000,2491670800000,2623858600000,2656793800000,2444630100000,2433084800000
NetDebt_yy,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,4.08,0.79,-19510.84,,100.57,,,-65.92,-18.35,-31.65,-7.16,-35.32,-30.07,3.43,-25.92,10.66,7.61,-2.38
NetDebtEBITDA_sy,,-3.09,9.13,-13.33,,-22.43,,,-21.83,-12.57,-44.54,55.66,46.95,45.88,43.55,-8.52,-1.25,-5.54,-7.91
NetDebtEBITDA_qq,,,,,,-62.86,-7.21,-16.71,18.74,-11.02,-22.33,13.12,-17.27,-3.80,14.88,-18.97,23.57,-6.44,4.21
NetDebtEBITDA_sq,,,,,,-7.80,49.05,-47.42,8.18,3.13,-5.45,47.58,2.13,2.37,-6.96,-5.95,10.24,-2.08,-9.30
DebtFin,785481000000,706116000000,1020508000000,1466825700000,2180873200000,2185342300000,2082679100000,2144266400000,2265989100000,1970121700000,2043239200000,2069980400000,2044771500000,2040209500000,1767959200000,1860739900000,1907867200000,1670186100000,1679197200000
DebtFin_yy,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,-1.06,-1.50,-24934.55,,100.57,,,-66.50,-30.67,-42.40,-21.18,-45.54,-31.46,0.52,-28.05,10.21,1.31,-5.05
DebtFinEBITDA_sy,,-17.89,-22.06,26.33,,-55.35,,,-14.93,-49.56,-43.13,106.00,81.83,320.76,282.64,2.78,44.38,-34.13,-66.12
DebtFinEBITDA_qq,,,,,,-62.81,-7.83,-17.32,18.24,-23.06,-23.42,13.13,-18.30,-3.17,12.32,-19.02,25.13,-10.99,5.27
DebtFinEBITDA_sq,,,,,,-14.74,54.33,-51.17,32.40,-49.45,74.03,76.88,16.86,16.97,58.26,-52.49,64.16,-46.63,-18.60
SP1,,,,,,,,,,,,,,,,,,,
SP1_yy,,1.11,-13.80,2.57,,-28.70,,,3.20,2.57,-4.51,0.44,11.35,8.49,27.45,21.96,15.61,29.37,14.10
SP1_sy,,12.61,-12.96,-0.72,,-17.36,,,2.33,31.47,24.20,14.86,18.36,8.09,1.73,-7.44,-12.33,-10.56,-9.82
SP1_qq,,,,,,2.95,6.48,-1.53,-4.40,2.32,-0.88,3.58,5.99,-0.30,16.44,-0.88,0.47,11.56,2.70
SP1_sq,,,,,,-14.42,9.71,10.12,-1.03,9.95,3.65,1.84,1.99,0.41,-2.45,-7.34,-3.40,2.44,-1.65
SP2,,,,,,,,,,,,,,,,,,,
SP2_yy,,4.53,-3.81,12.06,,-7.89,,,-0.96,-3.99,-6.15,-0.70,6.39,4.97,12.20,4.83,-0.36,-11.40,-3.10
SP2_sy,,3.07,-18.97,7.76,,-5.37,,,8.14,20.33,13.95,5.57,2.67,-0.01,3.48,-4.54,-5.21,-11.91,-11.90
SP2_qq,,,,,,1.14,1.13,-0.93,-2.26,-1.96,-1.15,4.83,4.72,-3.27,5.66,-2.06,-0.46,-13.98,15.55
SP2_sq,,,,,,-5.31,4.88,6.41,2.33,5.37,-0.68,-1.42,-0.47,2.62,2.78,-9.06,-1.17,-4.64,2.79
CAR,,,,,,,,,,,,,,,,,,,
CAR_yy,,179.04,-89.58,295.25,,6.24,,,-35.30,-56.80,-64.37,-5.68,55.96,136.01,368.03,62.35,19.89,-52.83,-56.72
CAR_sy,,-6.97,-10.82,20.27,,12.84,,,24.54,1.27,-0.64,3.18,8.04,39.80,108.65,29.73,1.97,-5.89,-9.36
CAR_qq,,,,,,-15.11,33.61,-19.41,-29.23,-43.32,10.20,113.35,17.02,-14.22,118.54,-25.99,-13.58,-66.26,100.55
CAR_sq,,,,,,13.48,-21.09,31.82,5.51,-7.72,-22.58,36.89,10.47,19.40,15.55,-14.88,-13.16,10.20,11.29
QR,,,,,,,,,,,,,,,,,,,
QR_yy,,75.49,-59.04,202.24,,-44.66,,,-34.60,-37.97,-52.16,-26.58,33.77,32.39,187.67,83.82,38.90,-47.42,-9.77
QR_sy,,-9.89,16.32,-5.77,,14.79,,,20.11,-2.74,-24.23,-11.91,-1.22,8.73,63.45,28.04,52.87,-3.05,-15.69
QR_qq,,,,,,0.74,11.57,-16.27,-30.50,-4.46,-13.95,28.50,26.63,-5.44,86.97,-17.89,-4.32,-64.21,220.87
QR_sq,,,,,,36.79,6.89,2.74,-20.05,10.76,-16.72,19.44,-10.34,21.92,25.18,-6.43,7.05,-22.68,8.86
CR,,,,,,,,,,,,,,,,,,,
CR_yy,,47.76,-38.05,124.83,,-29.52,,,-1.51,-28.53,-40.16,-27.83,20.12,41.19,120.15,78.56,26.34,-49.60,0.21
CR_sy,,9.78,-12.95,4.50,,-20.75,,,-1.36,41.37,-0.44,-3.52,4.54,-9.11,11.49,-14.00,-13.12,-11.67,-8.69
CR_qq,,,,,,17.36,7.68,-6.01,-17.08,-14.83,-9.84,13.35,38.02,0.10,40.58,-8.06,-2.34,-60.07,179.52
CR_sq,,,,,,-25.29,20.14,15.69,-5.00,7.07,-15.39,12.10,2.94,-6.91,3.78,-13.52,3.99,-5.36,7.28
PP,,,,,,,,,,,,,,,,,,,
PP_yy,,179.04,-89.58,295.25,,7.52,,,-35.30,-56.70,-63.94,-5.37,56.52,134.01,363.42,62.41,19.90,-52.88,-56.55
PP_sy,,-13.49,0.90,7.23,,11.40,,,32.86,1.17,-5.55,-10.34,-1.40,25.24,77.49,9.92,4.41,-0.95,-15.82
PP_qq,,,,,,-14.08,32.02,-19.41,-29.23,-42.50,9.95,111.49,17.06,-14.03,117.73,-25.88,-13.57,-66.21,100.75
PP_sq,,,,,,11.77,-4.83,28.84,-3.06,-14.89,-11.15,22.31,6.61,8.11,25.91,-24.26,1.27,2.56,7.01
RCLR,,,,,,,,,,,,,,,,,,,
RCLR_yy,,-23.78,48.13,179.29,,-62.89,,,-33.57,-19.05,-34.84,-55.03,1.90,-22.58,44.65,144.30,79.77,-38.49,48.64
RCLR_sy,,-30.68,45.63,-18.24,,30.63,,,28.75,13.95,14.98,-29.73,4.06,-18.78,-31.26,-27.09,0.73,-7.71,60.25
RCLR_qq,,,,,,22.08,-9.13,-11.69,-32.19,48.76,-26.86,-39.04,53.64,13.03,36.65,2.95,13.05,-61.33,230.23
RCLR_sq,,,,,,18.85,5.89,31.19,-22.02,5.19,6.84,-19.83,15.49,-17.91,-9.57,-14.96,59.56,-24.78,57.02
KP,,,,,,,,,,,,,,,,,,,
KP_yy,,1009.76,-143.70,700.61,,-66.19,,,-1.82,-103.02,-127.51,-95.04,160.49,4060.00,844.92,3900.00,63.03,-249.24,-23.44
