,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKCurrent_sq,,,,-1.85,-1.66,-8.54,1.81,-2.84,-1.46,-6.13,7.69,-1.74,0.18,-7.21,-0.90,-8.95,4.69,0.39,1.77,-3.32,1.52
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,56.01,40.57,,,,63.51,77.84,49.90,44.56,26.91,26.06,-14.50,-31.90,-29.11,-25.13,-12.90,12.92,7.56,13.61,28.28
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,-1.41,15.41,18.99,20.78,7.23,-2.72,14.74,6.03,6.51,-34.02,-8.61,10.37,12.49,-23.24,18.48,5.13,18.83,-13.33
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,-35.90,-28.86,,,,-38.84,-43.77,-33.29,-30.82,-21.20,-20.67,16.95,46.84,41.07,33.56,14.81,-11.44,-7.03,-11.98,-22.05
CWKGrahamCurrent_sy,,20.45,-2.34,,,,-14.43,68.21,103.21,167.50,28.64,109.53,-18.27,-43.66,-2.91,-44.11,2.54,-0.76,-17.26,-7.20,-13.67
CWKGrahamCurrent_qq,,,,1.43,-13.35,-15.96,-17.20,-6.74,2.80,-12.85,-5.69,-6.11,51.55,9.42,-9.39,-11.11,30.28,-15.60,-4.88,-15.84,15.38
CWKGrahamCurrent_sq,,,,-46.51,31.11,2.43,19.13,5.14,58.39,34.83,-42.71,71.24,-38.22,-7.05,-1.27,-1.42,13.35,-10.04,-17.68,10.56,5.44
PCurrent,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,4.05,20.21,,,,21.67,20.94,16.79,19.95,15.57,5.45,-1.87,-10.47,-12.66,-6.90,-0.57,7.73,13.76,14.23,17.65
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,6.63,7.37,1.56,4.64,5.99,3.69,4.31,0.82,-3.29,-3.51,-4.84,-1.64,3.09,3.04,3.11,3.86,3.51,6.13
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-3.90,-16.81,,,,-17.81,-17.32,-14.37,-16.63,-13.48,-5.17,1.91,11.71,14.50,7.42,0.58,-7.17,-12.10,-12.46,-15.00
CPCurrent_sy,,-4.85,-7.09,,,,16.76,10.56,3.44,-20.25,-24.01,-23.40,-28.24,-7.91,-8.14,-14.36,-7.33,-18.17,-18.54,-7.77,-8.59
CPCurrent_qq,,,,-6.22,-6.87,-1.53,-4.43,-5.65,-3.56,-4.14,-0.81,3.41,3.65,5.08,1.67,-2.99,-2.95,-3.02,-3.73,-3.38,-5.77
CPCurrent_sq,,,,3.76,-0.35,8.88,3.72,-1.75,-6.76,-16.06,-1.17,-0.96,-12.66,7.71,-1.42,-7.67,-5.48,-4.89,-1.86,4.53,-6.32
ZCurrent,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-21.61,4.01,,,,64.38,8.95,15.87,36.94,25.62,79.76,65.49,18.04,19.17,-17.54,-41.70,-33.80,-21.92,1.54,48.25
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,31.97,12.63,3.16,7.21,-12.53,19.78,21.92,-1.66,25.16,10.27,-13.04,-0.71,-13.39,-22.04,-1.25,17.10,12.64,13.82
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,27.56,-3.86,,,,-39.17,-8.22,-13.70,-26.98,-20.40,-44.37,-39.57,-15.28,-16.09,21.27,71.53,51.05,28.08,-1.52,-32.55
CZCurrent_sy,,89.57,-32.20,,,,31.42,33.81,-9.71,-17.81,-23.77,-39.88,-22.72,-19.62,-26.47,-11.60,1.00,22.12,12.90,12.43,-12.03
CZCurrent_qq,,,,-24.22,-11.21,-3.06,-6.72,14.33,-16.51,-17.98,1.68,-20.10,-9.31,14.99,0.72,15.46,28.28,1.26,-14.60,-11.22,-12.14
CZCurrent_sq,,,,-5.47,13.06,0.71,22.10,-3.75,-23.71,-8.32,13.25,-24.09,-1.95,-4.64,3.60,-8.73,12.02,15.29,-4.22,-9.12,-12.35
ZOCurrent,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-29.49,-5.80,,,,59.16,11.00,30.74,49.93,45.10,83.56,50.23,10.72,6.21,-21.94,-35.41,-28.82,-26.20,-10.46,32.97
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,34.51,6.30,4.98,6.04,-6.19,25.19,20.40,2.62,18.67,2.46,-11.27,-1.55,-12.79,-15.22,-2.21,2.08,5.81,25.90
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,41.82,6.16,,,,-37.17,-9.91,-23.51,-33.30,-31.08,-45.52,-33.44,-9.68,-5.85,28.11,54.84,40.49,35.50,11.68,-24.80
CZOCurrent_sy,,32.30,6.92,,,,0.59,11.29,-6.10,-19.16,-15.10,-29.13,-35.56,-26.24,-19.88,1.94,32.34,42.08,5.72,-3.65,-17.83
CZOCurrent_qq,,,,-25.65,-5.93,-4.74,-5.69,6.60,-20.12,-16.94,-2.55,-15.73,-2.41,12.70,1.58,14.66,17.95,2.26,-2.04,-5.49,-20.57
CZOCurrent_sq,,,,-7.02,8.49,5.61,-5.59,2.88,-8.46,-9.07,-0.85,-14.12,-16.76,4.07,7.70,9.26,8.07,11.74,-19.86,-0.43,-7.84
EVCurrent,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-5.13,-0.26,,,,-3.38,1.07,5.18,-0.03,0.13,-0.97,-0.69,5.23,6.45,5.07,9.13,4.00,4.74,3.85,-6.15
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,-1.25,-1.99,2.12,-2.25,3.30,2.00,-2.94,-2.09,2.16,2.29,2.85,-0.95,0.84,6.24,-1.98,-0.25,-0.03,-3.99
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-8.83,-17.02,,,,-20.59,-16.43,-9.94,-16.65,-13.36,-6.09,1.21,17.53,21.90,12.86,9.75,-3.46,-7.92,-9.09,-20.22
EVPCurrent_sy,,-8.37,-7.69,,,,17.48,18.52,5.94,-12.26,-14.27,-11.33,-16.55,-7.27,-6.70,-14.39,-11.55,0.63,-6.90,-9.42,-2.06
EVPCurrent_qq,,,,-7.39,-8.72,0.55,-6.58,-2.53,-1.64,-6.93,-2.90,5.65,6.01,8.07,0.71,-2.19,3.09,-4.94,-3.94,-3.43,-9.54
EVPCurrent_sq,,,,-0.94,10.25,3.67,3.77,-0.07,-1.46,-14.14,1.39,3.36,-7.25,-4.59,2.01,-5.16,-4.18,8.55,-5.62,-7.73,3.60
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,34.54,5.89,,,,-39.29,-8.95,-19.55,-33.32,-30.99,-46.05,-33.90,-4.95,0.23,34.61,68.97,46.11,41.92,15.97,-29.42
EVEBITCurrent_sy,,51.04,-9.78,,,,-13.68,-25.29,-18.63,-5.41,-3.17,-14.85,-19.12,-38.38,-24.37,-7.05,-2.62,36.88,-1.20,-9.87,-10.67
EVEBITCurrent_qq,,,,-26.58,-7.79,-2.73,-7.81,10.12,-18.53,-19.38,-4.59,-13.91,-0.17,15.92,0.61,15.62,25.31,0.24,-2.28,-5.52,-23.74
EVEBITCurrent_sq,,,,10.80,-4.76,-3.75,-15.01,-4.11,3.74,11.88,-12.99,-15.67,-1.47,-14.76,6.79,3.63,3.23,19.81,-22.92,-5.46,2.31
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,13.09,-2.33,,,,-33.40,-8.53,-15.09,-27.30,-25.69,-39.30,-29.33,-4.39,-1.12,23.72,46.06,27.29,26.02,8.58,-26.06
EVEBITDACurrent_sy,,18.57,2.19,,,,10.40,1.73,14.15,-5.00,-23.55,-26.82,-39.30,-21.55,-6.21,7.96,14.86,-1.74,-16.82,-17.98,-17.29
EVEBITDACurrent_qq,,,,-21.17,-7.37,-2.43,-6.52,8.27,-14.02,-16.46,-4.44,-11.56,0.10,13.02,-1.18,10.66,18.17,-1.50,-2.16,-4.66,-19.53
EVEBITDACurrent_sq,,,,2.36,-0.12,0.16,7.82,-5.68,12.07,-16.64,-13.23,-9.72,-7.05,7.73,3.75,3.92,-1.10,-7.84,-12.18,2.47,-0.28
ROE,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-32.52,-9.19,,,,44.54,-8.64,2.80,17.41,-2.26,48.76,38.14,2.04,5.75,-30.76,-49.50,-41.55,-25.17,-4.87,36.37
ROE_sy,,-19.85,-22.02,,,,-28.41,-11.84,13.13,19.14,27.46,6.39,1.28,1.92,11.24,23.75,13.98,6.53,0.57,3.44,2.32
ROE_qq,,,,33.78,8.46,-1.59,1.23,-15.44,22.03,12.39,-15.73,28.71,13.32,-16.98,-12.67,-15.73,-17.34,-3.91,11.79,7.13,18.50
ROE_sq,,,,-8.93,-7.91,2.34,-16.59,12.16,18.16,7.78,-10.77,-6.38,12.48,8.46,-2.60,4.15,3.60,1.37,-8.05,7.11,2.48
ROA,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-19.98,-6.90,,,,48.11,-7.49,-4.96,22.99,11.28,74.24,55.79,-2.42,-1.06,-35.70,-53.11,-42.07,-30.58,-7.73,27.92
ROA_sy,,-19.06,-36.45,,,,-21.57,-19.17,6.49,-2.49,36.25,34.98,43.40,13.17,9.50,-11.01,0.30,11.28,-18.33,-9.88,-0.91
ROA_qq,,,,29.51,15.40,,-0.90,-19.11,18.56,29.41,-10.34,26.66,6.00,-18.94,-9.09,-17.69,-22.69,0.13,8.95,9.40,7.18
ROA_sq,,,,4.57,-21.48,,-19.00,7.77,3.45,7.98,13.17,6.77,9.90,-14.78,9.50,-13.23,23.88,-5.45,-19.64,-4.25,36.20
OPM,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-32.17,-21.67,,,,30.68,-8.04,11.84,25.05,25.58,74.00,53.14,23.60,21.70,-16.17,-35.08,-33.93,-35.12,-21.72,13.02
OPM_sy,,-38.60,-16.82,,,,15.04,-3.15,3.16,-4.35,27.22,43.95,26.53,28.04,-4.38,-5.69,-0.33,-5.37,-3.00,-6.28,-11.99
OPM_qq,,,,26.03,-0.87,3.29,1.27,-11.32,20.57,15.49,1.70,22.87,6.11,-6.79,0.14,-15.36,-17.83,-5.13,-1.66,2.11,18.63
OPM_sq,,,,13.56,-0.43,7.74,-5.57,-4.39,6.05,-0.11,25.61,8.17,-6.78,1.09,-6.20,6.70,-1.49,-4.02,-3.84,3.09,-7.49
ROS,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-24.58,-13.48,,,,35.13,-10.07,-0.66,14.19,8.60,70.74,68.57,32.02,36.49,-11.48,-41.33,-38.52,-31.40,-11.11,25.78
ROS_sy,,-31.98,-26.37,,,,-11.22,-8.33,20.66,8.04,40.52,60.88,31.11,13.40,23.28,-1.01,-13.66,0.84,-26.82,-12.54,-0.81
ROS_qq,,,,23.80,4.81,1.53,2.58,-17.61,15.78,16.70,-2.45,29.54,14.31,-8.60,0.86,-15.98,-24.24,-4.22,12.53,8.87,7.20
ROS_sq,,,,10.89,-5.65,7.89,-21.35,14.50,24.19,-3.40,2.30,31.08,1.21,-16.45,11.22,5.26,-11.72,-2.42,-19.29,25.81,0.12
RS,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-42.66,-19.38,,,,51.34,2.50,-7.86,4.37,24.51,70.29,74.41,39.53,9.13,-23.57,-40.46,-40.08,-34.78,-21.64,11.50
RS_sy,,-41.30,-23.24,,,,16.11,-5.08,-8.72,1.84,16.99,21.42,20.22,12.79,3.58,18.56,5.91,18.61,2.96,-2.94,6.93
RS_qq,,,,30.56,15.68,3.34,-3.04,-11.57,3.99,17.06,15.66,20.94,6.51,-6.36,-9.53,-15.30,-17.04,-5.75,-1.53,1.77,18.04
RS_sq,,,,17.50,5.67,-8.95,2.70,-3.95,1.62,1.59,17.97,-0.31,0.62,-4.69,8.34,14.12,-10.12,6.74,-5.95,7.57,-0.98
GPM,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-28.36,-18.78,,,,34.26,-14.19,2.39,18.55,15.35,86.56,65.82,31.83,32.73,-13.71,-35.72,-35.33,-37.13,-22.15,11.55
GPM_sy,,-23.78,-27.05,,,,2.84,-6.05,-2.82,-7.50,28.18,57.14,41.67,30.27,24.78,3.48,-11.14,3.16,-26.25,-11.46,10.73
GPM_qq,,,,25.63,2.00,1.96,2.77,-19.71,21.71,18.05,,29.86,8.17,-6.15,0.68,-15.58,-19.42,-5.58,-2.11,4.53,15.46
GPM_sq,,,,7.95,7.24,9.57,-18.92,-1.38,10.92,4.29,,20.91,,-4.10,7.62,0.26,-14.13,11.33,-23.06,20.37,7.39
RBS,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,-30.72,-14.23,,,,36.91,6.59,-4.07,1.55,11.05,39.95,49.23,33.06,14.55,-11.51,-26.36,-27.59,-25.68,-16.86,2.81
RBS_sy,,-4.63,8.33,,,,0.59,28.80,26.41,8.27,8.05,14.52,19.67,17.64,-9.08,-11.77,-26.09,-10.89,-0.22,-4.49,15.05
RBS_qq,,,,18.37,11.40,3.21,0.60,-7.84,0.26,9.25,10.00,16.15,6.91,-2.58,-5.31,-10.27,-11.03,-4.21,-2.81,0.38,10.01
RBS_sq,,,,-25.38,-0.29,25.58,7.67,-4.46,-2.14,7.55,7.45,1.26,2.26,5.73,-16.96,-1.73,-14.34,27.48,-7.02,-5.94,3.19
ROPA,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-28.09,-15.62,,,,43.55,-5.73,7.25,34.67,28.52,77.91,41.42,-8.41,-11.87,-39.14,-48.06,-37.72,-34.40,-18.67,14.73
ROPA_sy,,-10.93,-49.14,,,,6.65,5.02,4.60,9.23,16.28,5.15,22.88,23.46,13.45,-1.07,2.11,-9.62,2.24,19.64,11.94
ROPA_qq,,,,32.07,8.88,1.72,-1.87,-13.26,23.87,27.73,-6.35,20.07,-1.53,-17.27,-9.90,-17.08,-15.96,-0.81,-5.10,2.81,18.55
ROPA_sq,,,,14.54,-5.81,0.73,-1.87,12.79,-6.19,5.19,4.46,2.00,9.63,5.69,-4.00,-11.06,13.15,-6.45,8.60,4.08,5.87
ZNPO,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,-77.85,73.71,,,,2.44,146.83,600.50,92.22,5.97,-51.63,-85.35,-47.75,-1.81,8.26,438.78,129.72,67.83,85.91,-74.67
ZNPO_sy,,-47.83,-38.51,,,,93.65,71.92,35.39,16.91,-20.06,23.69,8.85,45.18,22.68,1.27,6.51,-15.64,-5.04,3.94,-11.57
ZNPO_qq,,,,-21.17,-11.64,15.63,27.19,89.95,150.75,-68.27,-29.88,-13.29,-24.05,13.17,31.76,-4.40,277.96,-51.75,-3.74,5.90,-48.50
ZNPO_sq,,,,-3.55,27.19,9.12,44.66,-14.38,0.16,-5.77,-1.09,32.50,-11.86,25.69,-16.42,9.37,-7.30,-0.45,-5.92,19.72,-21.13
ZFI,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,-63.85,98.91,,,,-72.23,-1044.71,-262.37,331.15,260.48,116.99,262.77,-27.53,-7.95,56.13,-776.65,531.22,954.96,857.85,109.64
ZFI_sy,,-9.83,21.77,,,,-3.81,0.60,7.36,-12.64,-12.08,-0.68,-12.33,-6.27,2.52,-24.78,2.56,11.37,-8.85,30.60,-14.43
ZFI_qq,,,,-58.02,-44.85,19.05,0.73,-1528.35,90.52,416.11,-15.78,-32.68,-9.18,40.75,6.97,14.18,-493.60,231.30,78.78,3.67,-96.04
ZFI_sq,,,,-8.25,5.78,12.01,-11.51,-4.05,12.89,-8.86,-10.94,8.39,-0.35,-2.56,-2.59,-20.47,35.86,5.82,-20.28,13.95,-10.98
DTAR,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,-17.50,-3.52,,,,-3.67,-1.71,11.79,-7.73,-21.22,-23.60,-16.50,8.01,14.34,15.17,12.52,1.55,13.16,5.08,8.89
DTAR_sy,,-5.88,-1.46,,,,8.81,2.64,8.93,-2.71,-9.67,-6.21,-2.28,7.22,4.29,0.06,1.79,3.42,4.88,13.34,7.68
DTAR_qq,,,,4.57,-8.58,-2.43,3.28,6.70,3.97,-19.47,-11.82,3.48,13.64,4.17,-6.66,4.23,11.03,-5.99,4.02,-3.21,15.05
DTAR_sq,,,,2.94,-2.00,2.70,5.03,-2.90,4.00,-8.28,-2.47,0.82,8.35,0.64,-5.14,-3.26,10.22,2.25,-3.81,4.54,4.72
CG,,,,,,,,,,,,,,,,,,,,,
CG_yy,,-30.36,-5.94,,,,-6.06,-2.93,20.98,-11.91,-30.79,-34.76,-25.97,12.93,22.23,24.08,21.19,2.53,22.03,8.31,16.11
CG_sy,,-15.45,-2.56,,,,13.32,1.91,9.25,-9.76,-17.17,-6.21,-3.00,6.28,3.20,-3.88,3.16,8.28,3.45,13.66,7.33
CG_qq,,,,7.96,-14.08,-3.93,5.42,11.56,7.08,-30.04,-17.18,5.16,21.50,6.72,-10.35,6.75,18.67,-9.72,6.70,-5.25,27.21
CG_sq,,,,4.53,-4.07,9.30,3.40,-6.00,2.84,-9.72,-5.09,6.45,6.36,-1.09,-7.85,-0.85,14.14,3.82,-11.97,8.94,7.79
LDER,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,5.90,-33.22,,,,-43.83,-48.23,-49.28,-47.37,-32.82,58.09,194.74,223.18,218.43,45.85,-9.55,-7.88,-15.12,-14.66,-16.25
LDER_sy,,9.06,2.53,,,,25.94,8.84,-10.64,1.74,11.77,-6.25,3.41,-5.01,-10.10,6.80,11.57,4.40,-14.91,-28.05,-21.22
LDER_qq,,,,-6.61,-9.31,-14.17,-22.73,-13.93,-11.15,-10.93,-1.36,102.53,65.64,-2.34,-2.81,-7.24,2.73,-0.53,-10.46,-6.73,0.82
LDER_sq,,,,16.48,10.69,-2.28,-0.04,0.66,-9.11,11.25,9.82,-15.57,0.25,2.20,3.93,0.30,4.74,-4.37,-15.30,-15.19,14.69
PZAT,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,-11.50,40.51,,,,49.74,57.99,70.20,67.77,23.91,-39.65,-60.46,-60.63,-59.28,-22.12,8.32,-2.43,15.40,12.16,12.86
PZAT_sy,,-6.79,-6.19,,,,-25.29,-17.81,6.49,6.34,11.93,9.76,-4.29,5.83,6.94,-13.34,-7.60,-21.42,-17.86,8.33,0.73
PZAT_qq,,,,6.73,5.25,9.46,21.77,12.61,13.39,7.90,-10.06,-45.15,-25.72,7.45,-6.98,4.91,3.31,-3.21,10.01,1.96,3.95
PZAT_sq,,,,-4.62,-7.85,-11.89,-3.52,4.92,19.39,-12.01,1.55,2.89,4.10,-2.70,2.61,-16.62,11.00,-17.25,7.25,9.98,3.21
PELDR,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,8.33,1.28,,,,13.37,15.58,10.66,9.26,-2.98,5.81,-7.87,-15.17,-10.67,-17.46,-9.73,-0.92,-0.97,0.54,3.20
PELDR_sy,,5.64,-2.24,,,,-1.18,-0.10,0.12,2.92,1.14,4.47,1.68,3.96,-0.44,-1.07,0.52,-4.26,4.12,5.24,5.35
PELDR_qq,,,,-0.50,3.16,4.42,5.77,1.44,-1.23,3.10,-6.09,10.64,-14.00,-5.07,-1.10,2.22,-5.95,4.19,-1.15,3.78,-3.45
PELDR_sq,,,,-0.25,-1.67,-0.69,1.46,0.84,-1.45,2.08,-0.30,4.16,-4.08,4.36,-4.51,3.50,-2.54,-0.59,3.84,4.61,-2.43
TSF,,,,,,,,,,,,,,,,,,,,,
TSF_yy,,19.47,-2.43,,,,-2.11,-3.47,-11.62,0.92,11.55,20.71,23.14,4.64,2.04,-3.75,-8.30,-1.92,-8.96,-4.59,-7.97
TSF_sy,,4.08,1.83,,,,-0.81,4.47,-6.80,-0.26,2.91,2.33,8.97,1.14,-1.88,-6.99,-7.70,-3.35,-4.09,-2.14,-2.43
TSF_qq,,,,-3.82,5.46,0.28,-3.76,-5.16,-3.45,14.52,6.37,2.63,-1.50,-2.68,3.73,-3.20,-6.16,4.09,-3.72,1.45,-9.49
TSF_sq,,,,-3.70,2.30,1.70,-1.00,1.42,-8.74,8.84,2.15,0.85,-2.82,1.03,-0.90,-4.41,-3.56,5.79,-1.67,-2.46,-3.85
ZKO,,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,-10.85,-6.43,,,,-12.72,-12.23,-3.01,-12.45,-13.56,-17.37,1.21,25.95,28.20,29.63,13.99,0.78,4.86,0.53,-0.38
ZKO_sy,,-15.55,5.91,,,,5.70,9.14,8.68,6.74,6.46,-5.49,-1.30,-4.54,-3.94,2.14,-1.13,2.87,-5.25,-6.47,-5.32
ZKO_qq,,,,2.10,-7.09,-5.37,-2.77,2.67,2.66,-14.58,-4.00,-1.85,25.75,6.30,-2.29,-0.76,10.58,-6.02,1.67,-4.86,9.58
ZKO_sq,,,,3.46,0.22,1.90,0.04,6.82,-0.20,0.08,-0.21,-5.17,4.21,-3.20,0.42,0.83,0.88,0.71,-7.51,-0.47,2.12
OSF,,,,,,,,,,,,,,,,,,,,,
OSF_yy,,-4.65,-0.25,,,,3.37,6.35,12.24,-0.68,-14.19,-14.99,-14.34,-2.08,5.03,3.19,4.20,0.70,5.86,2.81,4.60
OSF_sy,,-3.59,1.98,,,,2.21,2.02,0.41,-1.19,-1.40,-2.55,0.13,2.40,-1.10,4.19,0.44,-0.60,0.35,-1.80,-0.29
OSF_qq,,,,2.07,-3.26,0.21,4.47,5.01,2.10,-11.33,-9.74,4.04,2.88,1.36,-3.18,2.21,3.89,-2.05,1.78,-0.74,5.69
OSF_sq,,,,-0.52,1.46,0.50,0.77,-0.71,-0.14,-1.10,0.55,-1.87,2.61,1.14,-2.89,3.38,-1.09,0.10,-1.97,1.17,0.43
NetDebt,225743020000,182014248000,197154936000,208036157000,187272793000,188430966000,209584817000,238235090000,258326976000,193974582000,170866437000,167172463000,216388665000,248959784000,256243085000,282281639000,321263740000,296668056000,330613674000,327964949000,367566345000
NetDebt_yy,,,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,-3.89,6.07,,,,-26.73,3.64,10.26,-25.88,-40.09,-57.41,-40.39,15.46,37.93,96.88,96.75,44.90,54.23,20.70,-10.44
NetDebtEBITDA_sy,,14.83,-9.44,,,,31.28,27.25,15.84,-7.73,-20.18,-25.23,-37.58,-27.94,-10.77,9.14,15.90,17.80,-6.24,-20.23,-6.43
NetDebtEBITDA_qq,,,,-15.77,-14.92,-3.86,6.37,19.14,-9.49,-35.38,-14.03,-15.31,26.68,25.19,2.69,20.89,26.60,-7.80,9.30,-5.39,-6.06
NetDebtEBITDA_sq,,,,9.07,16.36,2.37,1.05,5.73,5.93,-18.46,-12.59,-0.97,-11.56,-5.87,8.23,21.13,-6.08,-4.33,-13.85,3.06,10.16
DebtFin,112111659000,72138195000,70237941000,61065748000,46605265000,61710370000,45362780000,68843987000,84365110000,62121824000,46747606000,62311673000,79130644000,101585373000,94130614000,100595914000,149257938000,133707518000,131685030000,131458901000,98892402000
DebtFin_yy,,,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,-23.30,-4.65,,,,-55.48,2.04,44.69,-27.53,-24.28,-45.07,-33.26,47.12,85.20,88.22,149.97,60.06,67.22,35.75,-48.14
DebtFinEBITDA_sy,,3.48,-57.60,,,,246.41,75.95,109.55,-34.30,-22.81,-35.26,-54.34,-20.40,-32.16,13.27,28.87,27.48,5.53,-8.83,-23.22
DebtFinEBITDA_qq,,,,-30.60,-27.87,26.52,-29.70,59.06,2.28,-36.63,-26.55,15.39,24.27,39.68,-7.54,17.28,65.04,-10.56,-3.40,-4.79,-36.95
DebtFinEBITDA_sq,,,,75.75,17.24,76.22,-4.59,-10.73,39.62,-44.75,12.09,-25.13,-1.52,-3.69,-4.47,25.00,12.05,-4.73,-20.91,7.99,-5.64
SP1,,,,,,,,,,,,,,,,,,,,,
SP1_yy,,6.96,6.59,,,,18.43,21.17,15.73,13.44,-0.72,2.88,-15.36,-22.25,-18.07,-20.40,-8.59,-0.08,0.95,2.27,5.00
