,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RN,1740,1810,1630,1490,1670,1540,1540,1450,1660,1470,1290,1360,1260,1320,1270,1630,1340,1320,1670,1570,1960,2740,2340,2100,1900,1350,1800,1760,2029,2330,2090,2470,2390,2440,2450,2450,2500,2500,2480,2440,2460,2490,2610,2870,2980,2510,2730,2850,3530,4280,4130,3380
CRN,210000,202000,224000,245000,219000,238000,237000,252000,220000,249000,284000,269000,289000,276000,288000,224000,273000,277000,218000,232000,187000,133000,156000,174000,192000,271000,202000,207000,180000,157000,175000,148000,153000,150000,149000,149000,146000,146000,147000,150000,148000,146000,140000,127000,123000,145000,134000,128000,103000,85000,88000,108000
CPZ,153000,144000,195000,313000,279000,279000,367000,363000,318000,502000,491000,491000,527000,622000,827000,748000,912000,878000,772000,777000,561000,298000,238000,224000,223000,357000,280000,304000,340000,339000,449000,463000,413000,360000,321000,265000,256000,242000,229000,226000,207000,224000,234000,235000,267000,358000,375000,395000,341000,255000,251000,244000
RZ,2090,1610,1630,1590,1760,1690,1610,1530,1900,1460,1220,1470,1450,1570,1730,1890,1520,1420,1370,1140,1490,1560,1570,1700,1820,1820,1970,1940,1980,2140,2250,2420,2450,2640,2620,2450,2630,2590,2620,2610,2400,2260,2020,1980,1890,1210,1100,950,1030,1440,1390,1550
CRZ,174000,227000,224000,230000,208000,216000,226000,238000,192000,250000,298000,248000,252000,232000,211000,193000,240000,257000,266000,319000,245000,234000,232000,215000,201000,201000,185000,189000,185000,171000,162000,151000,149000,138000,139000,149000,139000,141000,139000,140000,152000,162000,180000,184000,193000,303000,331000,383000,354000,254000,262000,235000
RMO,900,1010,1020,910,1020,820,750,660,760,730,620,650,610,600,580,720,590,580,630,560,690,1050,1020,1000,1010,740,1030,1030,1100,1200,1040,1160,1220,1280,1270,1260,1310,1320,1330,1320,1310,1290,1310,1370,1330,980,940,910,1030,1400,1440,1450
RMT,1120,900,850,550,610,460,330,300,340,270,260,260,250,210,160,160,130,140,160,170,200,330,320,340,340,220,270,240,230,240,200,210,200,200,200,200,220,230,240,250,250,270,300,350,400,300,280,270,300,400,400,400
RM,500,470,460,340,380,290,230,210,240,200,180,190,180,150,120,130,110,110,120,120,150,240,240,250,250,170,210,200,190,200,170,170,170,180,170,170,190,190,200,210,210,220,240,280,300,220,210,200,230,310,320,320
COP,384000,429000,448000,475000,427000,454000,463000,490000,412000,499000,582000,517000,541000,508000,499000,417000,513000,534000,484000,551000,432000,367000,388000,389000,393000,472000,387000,396000,365000,328000,337000,299000,302000,288000,288000,298000,285000,287000,286000,290000,300000,308000,320000,311000,316000,448000,465000,511000,457000,339000,350000,343000
CSP,231000,285000,253000,162000,148000,175000,96000,127000,94000,-3000,91000,26000,14000,-114000,-328000,-331000,-399000,-344000,-288000,-226000,-129000,69000,150000,165000,170000,115000,107000,92000,25000,-11000,-112000,-164000,-111000,-72000,-33000,33000,29000,45000,57000,64000,93000,84000,86000,76000,49000,90000,90000,116000,116000,84000,99000,99000
