,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVPCurrent_qq,,,,-23.99,76.46,-169.94,246.49,0.81,-22.30,-19.63,-2.01,-165.92,20.98,57.48,53.54,-612.11,-39.52,16.79,79.02,-52.93,105.74
EVPCurrent_sq,,,,13.69,-49.59,-10.26,60.35,-10.80,-4.47,29.01,-3.84,-1.67,7.76,22.44,-13.95,12.69,-3.33,-1.76,-1.67,39.38,-9.45
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-64.48,-57.82,,,,51.80,129.21,26.75,276.78,-3.77,-159.12,-150.32,-120.37,-111.54,-14.15,-85.93,-313.16,-69.89,61.69,101.72
EVEBITCurrent_sy,,-18.94,-54.62,,,,-42.87,13.77,62.45,186.96,36.58,89.17,32.10,20.16,29.31,-59.46,-69.15,-81.66,-36.91,-37.82,-60.38
EVEBITCurrent_qq,,,,-25.90,72.33,-169.17,271.86,11.89,-4.70,-3.53,-6.45,-168.74,18.88,60.96,46.98,-579.75,-32.12,13.24,78.20,-53.27,105.94
EVEBITCurrent_sq,,,,-56.49,30.75,-21.05,27.19,-13.35,86.70,39.47,-39.46,20.00,30.37,26.86,-34.85,-62.38,-0.79,-24.56,124.07,-62.92,-36.79
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-64.43,-57.82,,,,51.73,129.14,26.70,276.63,-3.79,-159.10,-150.31,-120.38,-111.54,-14.16,-85.96,-312.74,-69.38,61.85,101.71
EVEBITDACurrent_sy,,-18.50,-54.16,,,,-41.54,14.26,61.69,170.78,35.88,88.33,32.45,20.59,25.31,-10.29,-70.65,-82.40,-36.06,-72.69,-59.24
EVEBITDACurrent_qq,,,,-25.90,72.32,-169.17,271.78,11.90,-4.71,-3.56,-6.43,-168.74,18.88,60.94,47.01,-579.93,-32.13,13.30,78.26,-53.14,105.91
EVEBITDACurrent_sq,,,,-55.67,30.93,-16.93,21.25,-13.36,85.28,39.11,-39.16,20.09,30.30,26.66,-36.77,-14.03,-57.37,-24.05,129.70,-63.28,-36.36
ROE,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,32.74,3.96,,,,-75.48,-73.35,-87.12,-23.92,24.27,28.59,35.94,100.33,149.16,114.53,216.56,82.62,6.56,5.86,-12.01
ROE_sy,,-41.73,63.65,,,,-18.32,-27.65,-72.12,-11.27,-1.76,22.61,11.31,-1.28,0.79,-23.59,-8.21,29.51,-2.64,13.56,6.08
ROE_qq,,,,-4.86,103.21,-82.77,-26.37,3.38,-1.80,1.77,20.27,6.98,3.81,49.98,49.59,-7.89,53.19,-13.48,-12.71,-8.50,27.32
ROE_sq,,,,-0.43,220.15,-73.38,-3.72,-11.80,23.38,-15.30,6.59,10.07,12.01,-24.88,8.83,-16.56,34.56,5.99,-18.18,-2.68,25.70
ROA,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,17.16,-5.38,,,,-65.58,-69.75,-85.13,-29.90,19.26,19.27,32.32,87.60,23.86,26.31,18.39,3.30,87.67,70.03,103.11
ROA_sy,,-30.50,12.73,,,,-15.61,-20.01,33.56,73.96,8.57,-6.93,-13.28,-11.66,-14.31,-25.33,-9.49,29.54,-27.43,-64.61,-82.95
ROA_qq,,,,17.32,97.18,-79.14,-28.68,3.11,-3.07,-1.65,21.33,3.12,7.53,39.45,-19.89,5.16,0.78,21.68,45.52,-4.73,20.40
ROA_sq,,,,19.71,-36.29,-42.21,91.46,13.47,6.38,-24.73,19.48,-2.72,-0.88,-23.32,15.90,-15.23,20.16,9.74,-35.07,-58.67,-42.09
OPM,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-1.02,-0.84,,,,-9.46,-20.48,-36.69,-47.83,-35.88,-31.75,-18.48,6.53,-10.84,-2.61,5.59,-7.00,2.05,-2.79,-11.16
OPM_sy,,-10.06,40.54,,,,-15.96,13.68,-13.54,-31.37,38.51,30.82,4.12,17.16,-20.33,-29.61,-13.88,-10.92,-9.37,24.35,6.29
OPM_qq,,,,2.58,2.42,1.12,-14.77,-9.90,-18.47,-16.68,4.76,-4.10,-2.61,8.89,-12.33,4.75,5.59,-4.09,-3.80,-0.22,-3.51
OPM_sq,,,,-28.22,52.38,2.69,-25.18,-2.90,15.89,-18.48,50.99,-8.28,-7.76,-8.28,2.68,-18.97,12.85,-5.13,4.47,11.18,-3.54
ROS,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-0.49,-1.00,,,,-5.78,-17.19,-32.11,-45.37,-35.54,-34.97,-21.98,1.19,-13.90,-8.45,2.86,8.51,21.61,23.42,4.91
ROS_sy,,28.37,4.58,,,,-27.90,-29.21,-34.70,-56.87,14.41,-2.84,-12.92,50.10,1.91,7.71,8.87,15.27,-48.05,-71.93,-83.93
ROS_qq,,,,6.20,-0.47,2.88,-13.36,-6.66,-18.40,-17.22,2.22,-5.83,-2.10,7.37,-13.02,0.14,10.00,13.27,-2.53,1.63,-6.50
ROS_sq,,,,-0.50,19.11,-14.00,-29.26,-2.30,9.87,-43.21,87.66,-17.03,-1.53,-2.10,27.41,-12.31,-0.47,3.65,-42.58,-52.62,-43.02
RS,,,,,,,,,,,,,,,,,,,,,
