,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,20.89,,,,64.13,12.67,-2.79,-5.81,58.90,128.32,108.55,30.96,-7.37,-52.58,-48.02,-51.90,-25.80,45.32,-11.08
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,4.11,30.12,42.57,-15.02,-28.53,12.27,38.14,43.36,2.69,2.55,-13.25,1.40,-47.42,12.40,-19.72,56.40,2.97,-31.22
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,-17.27,,,,-39.07,-11.23,2.87,6.17,-37.07,-56.21,-52.05,-23.65,7.96,110.86,92.39,107.88,34.78,-31.18,12.45
CWKGrahamCurrent_sy,,-6.35,,,,21.26,48.07,25.49,6.25,-21.42,-21.26,6.60,38.31,104.20,63.57,14.81,-25.71,-51.95,-40.61,-38.99
CWKGrahamCurrent_qq,,,-3.95,-23.14,-29.86,17.67,39.93,-10.94,-27.61,-30.25,-2.62,-2.49,15.27,-1.37,90.20,-11.03,24.55,-36.05,-2.89,45.39
CWKGrahamCurrent_sq,,,-13.74,15.85,-14.05,41.17,5.33,-1.82,-27.22,4.40,5.55,32.92,-5.57,54.14,-15.45,-6.70,-38.90,-0.31,4.51,-4.15
PCurrent,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,-50.84,,,,164.70,88.98,71.76,12.30,28.69,58.70,44.16,29.00,-23.51,-35.93,-58.87,-41.91,8.81,32.21,104.24
PCurrent_sy,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,26.20,30.32,45.90,10.31,-9.90,18.45,-4.61,26.41,11.10,7.60,-14.64,-25.04,-6.94,-30.92,20.55,40.40,13.08,6.72
PCurrent_sq,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,103.37,,,,-62.22,-47.09,-41.79,-10.98,-22.31,-37.00,-30.64,-22.46,30.77,56.15,143.22,72.12,-8.11,-24.40,-51.03
CPCurrent_sy,,14.66,,,,-0.80,2.00,11.98,6.55,-1.77,1.66,-1.77,4.95,7.23,-3.12,23.72,10.23,-14.99,-9.34,-17.47
CPCurrent_qq,,,-20.75,-23.29,-31.44,-9.34,10.97,-15.60,4.84,-20.88,-10.01,-7.07,17.21,33.42,7.45,44.74,-17.05,-28.77,-11.59,-6.24
CPCurrent_sq,,,-3.43,-6.76,3.71,6.22,-0.70,2.36,-1.31,-2.08,2.76,-1.09,5.44,0.05,-7.16,26.32,-6.06,-22.84,-0.98,15.00
ZCurrent,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-147.78,,,,424.94,333.18,451.22,-44.39,-4.42,121.23,52.58,83.95,-112.58,-123.77,-128.88,-154.44,27.69,136.29,-3.01
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,13.85,145.35,436.87,54.92,-38.17,7.20,-45.84,166.27,43.10,-26.07,-34.70,-118.21,-170.44,10.19,-23.10,75.82,235.71,-354.97
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,,,-81.87,79.86,4.63,-54.80,-34.45,-45.65,,,,,,,
CZCurrent_sy,,,,,,,,3.84,5.31,3.23,-2.85,9.25,36.89,,,,,,,
CZCurrent_qq,,,,,-81.38,-35.45,61.74,-6.71,84.67,-62.45,-30.12,35.27,53.12,,,,,,,
CZCurrent_sq,,,,,3.96,7.88,0.33,-7.72,5.43,5.76,-5.58,3.78,32.10,,,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-143.26,,,,374.31,353.45,277.17,-39.52,-2.18,152.80,75.94,91.42,-104.83,-116.93,-124.18,-142.58,71.59,183.61,-3.93
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,39.58,175.95,278.31,58.01,-44.18,13.02,-39.34,155.58,44.26,-21.34,-34.00,-106.45,-405.80,-12.38,-16.22,95.70,1588.78,-239.68
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,,,-73.49,65.35,2.21,-60.44,-43.16,-47.76,,,,,,,
CZOCurrent_sy,,,,,,,,3.50,7.81,2.12,21.90,8.51,10.95,,,,,,,
CZOCurrent_qq,,,,,-73.57,-36.71,79.11,-11.53,64.88,-60.88,-30.68,27.13,51.52,,,,,,,
CZOCurrent_sq,,,,,-4.67,11.60,-9.93,8.02,-0.71,5.71,7.52,-3.85,1.52,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-21.98,,,,24.51,-33.36,-3.71,21.40,-17.97,-88.67,-65.35,-92.04,-103.89,1013.16,188.57,1328.51,5090.19,17.76,-13.94
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,43.54,18.21,-17.13,-11.45,-23.18,70.81,4.48,-40.17,-89.39,422.44,-76.01,-129.28,3132.83,35.44,18.77,2.29,-28.43,-1.01
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,58.72,,,,-52.96,-64.74,-43.93,8.10,-36.28,-92.87,-75.96,-93.82,-105.09,1639.81,601.40,2355.32,4685.45,-10.94,-57.85
EVPCurrent_sy,,16.29,,,,-1.99,-6.76,2.57,1.38,-1.97,17.30,11.85,12.88,13.94,4.32,6.51,-1.85,-20.91,-19.20,-26.75
EVPCurrent_qq,,,13.74,-9.30,-43.21,-19.71,-14.75,44.22,9.50,-52.67,-90.46,386.41,-71.86,-139.01,3358.18,96.09,-1.48,-27.15,-36.72,-7.21
EVPCurrent_sq,,,-10.65,-4.76,-0.10,15.29,-15.00,4.77,-1.25,11.48,1.71,-0.10,-0.34,12.52,-6.87,2.00,-8.17,-9.33,-4.86,-7.53
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-280.33,,,,145.40,126.29,-74.48,100.73,-16.16,-95.52,-80.31,-95.85,-19.10,-6678.14,-1293.55,-3456.51,-17582.50,240.86,17.20
EVEBITCurrent_sy,,10.15,,,,-1.76,-2.47,20.47,21.29,-12.53,3.07,7.88,2.39,26.12,45.01,37.91,48.90,-5.60,-18.71,-24.48
EVEBITCurrent_qq,,,-137.58,255.69,-78.10,-43.96,37.59,51.13,72.27,-76.59,-92.65,564.43,-63.66,355.86,-697.70,-20.56,-2.19,-2274.35,104.82,-170.86
EVEBITCurrent_sq,,,-17.19,-13.55,-4.68,43.95,-17.78,6.79,-4.03,3.81,-3.12,11.77,-8.91,27.87,11.39,6.30,-1.65,-18.93,-4.08,-1.25
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-306.93,,,,137.77,117.95,-67.94,93.64,-15.67,-95.27,-79.93,-95.76,-206.29,-10785.99,-2147.74,-6235.02,1540.94,149.50,-30.80
EVEBITDACurrent_sy,,11.24,,,,-4.75,-9.21,-3.68,0.10,-9.41,-5.99,3.26,-0.38,21.32,24.00,8.82,17.71,9.27,-9.77,-7.42
EVEBITDACurrent_qq,,,-178.34,185.95,-72.66,-42.25,32.29,53.53,65.08,-74.85,-92.57,550.82,-65.15,-731.08,-646.52,-24.72,-4.42,248.22,-74.36,-429.56
EVEBITDACurrent_sq,,,-2.06,-0.78,-0.66,-1.33,-6.65,5.26,3.24,-10.71,-3.12,15.62,-0.39,8.75,-0.99,1.46,7.75,0.95,-18.25,4.11
ROE,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-136.31,,,,266.71,248.61,272.36,-53.35,-34.80,22.70,2.00,41.89,-113.07,-126.50,-131.82,-161.94,25.30,134.86,-15.84
ROE_sy,,-8.36,,,,18.88,11.93,14.33,6.34,-18.50,-26.29,-37.59,-51.62,-36.66,-18.92,-19.84,-15.24,-40.91,-36.11,-14.81
ROE_qq,,,16.44,135.74,295.53,41.14,-25.51,-10.45,-50.45,97.27,40.17,-25.56,-31.07,-118.18,-184.10,10.60,-34.16,78.08,232.58,-397.08
ROE_sq,,,7.94,-10.83,3.79,19.01,1.62,-8.93,-3.46,-8.79,-8.08,-22.89,-25.16,19.42,17.66,-23.77,-20.86,-16.75,27.22,1.63
ROA,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-182.06,,,,280.14,365.41,303.56,-54.45,-54.16,-5.17,25.51,139.21,-119.09,-127.81,-133.86,-138.70,62.23,131.40,-11.59
ROA_sy,,-29.42,,,,58.55,62.31,32.66,4.30,-26.81,-58.06,-46.88,-57.20,-44.30,9.45,-20.00,-38.55,-43.84,-49.40,-17.86
ROA_qq,,,52.03,134.28,346.88,145.09,-29.31,-47.87,-49.56,146.65,46.22,-31.00,-3.87,-119.68,-113.00,15.99,-9.86,80.79,277.05,-398.61
ROA_sq,,,5.62,-0.89,37.81,9.90,8.12,-18.99,8.35,-22.88,-38.04,2.61,-12.70,0.36,21.74,-25.00,-32.94,-8.28,9.68,21.76
OPM,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-187.97,,,,203.61,234.06,119.40,-46.16,-23.99,59.24,22.11,48.48,-106.35,-126.41,-158.77,-173.23,73.61,163.24,49.13
OPM_sy,,-31.19,,,,27.71,14.67,-5.81,-11.66,-17.62,-8.25,-6.44,4.83,-35.85,-29.84,-38.37,-36.10,-6.86,-10.04,13.70
OPM_qq,,,52.08,158.26,159.20,43.19,-38.00,-4.65,-36.39,102.14,29.89,-26.88,-22.66,-108.64,-440.28,-62.72,3.63,96.89,1394.74,-230.89
OPM_sq,,,4.88,20.82,-8.22,9.82,-5.83,-0.76,-13.93,2.42,4.87,1.20,-3.56,-37.33,14.71,-11.11,,-8.65,10.79,12.35
ROS,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-197.18,,,,222.69,223.37,220.96,-50.53,-25.68,39.36,5.85,42.69,-116.48,-137.07,-170.18,-193.78,33.79,127.38,49.45
ROS_sy,,-17.81,,,,18.39,28.96,-4.89,-17.71,-22.25,-29.08,-40.19,-19.35,-34.99,-25.97,-23.57,-46.09,3.65,-26.77,18.75
ROS_qq,,,31.71,134.75,268.12,40.45,-31.33,-9.59,-43.27,111.03,28.75,-31.33,-23.52,-124.37,-189.66,-30.00,-2.20,82.80,219.79,-340.00
ROS_sq,,,-4.57,15.00,1.27,6.53,3.95,-15.19,-12.38,0.65,-5.18,-28.47,18.15,-18.87,7.97,-26.15,-16.67,56.00,-23.72,19.75
RS,,,,,,,,,,,,,,,,,,,,
RS_yy,,-181.16,,,,212.03,300.15,198.33,-9.23,-16.11,10.88,-7.34,2.28,-86.60,-104.67,-133.07,-153.55,-28.09,589.86,271.88
RS_sy,,-33.21,,,,29.43,14.74,14.88,-6.59,0.07,-0.50,-34.05,-5.66,-36.89,-34.78,-26.11,-42.11,-36.57,-25.22,44.38
RS_qq,,,52.87,163.06,152.86,49.06,-15.79,-6.00,-23.06,37.76,11.30,-21.45,-15.07,-81.95,-138.76,-456.52,-37.50,124.24,164.06,95.27
RS_sq,,,11.99,7.41,5.83,1.67,-0.71,7.54,-13.95,8.92,-1.28,-28.72,23.08,-27.14,2.03,-19.25,-3.56,-20.17,20.28,55.92
GPM,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-199.13,,,,208.38,242.42,131.19,-48.60,-24.21,57.20,18.51,49.64,-107.19,-127.56,-161.81,-178.01,39.51,152.85,45.66
GPM_sy,,-34.44,,,,30.41,25.67,1.44,-18.64,-16.25,-26.55,-32.98,-6.70,-33.67,-28.80,-26.79,-46.11,-2.29,-28.50,20.73
GPM_qq,,,52.41,159.42,175.77,38.97,-37.46,-3.55,-38.68,104.91,29.72,-27.29,-22.58,-109.84,-397.53,-63.03,2.28,92.37,534.69,-267.61
GPM_sq,,,10.23,10.20,0.15,7.20,6.22,-11.04,-19.67,10.34,-6.84,-18.84,11.83,-21.56,,-16.54,-17.68,42.22,-26.82,40.93
RBS,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,,,,,,,,
RBS_sy,,,,,,,,,,,,,,,,,,,,
RBS_qq,,,,,,,,,,,,,,,,,,,,
RBS_sq,,,,,,,,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-174.33,,,,251.99,388.44,175.68,-50.46,-53.09,8.39,44.73,148.92,-107.33,-119.80,-128.37,-130.28,85.00,172.37,-12.54
ROPA_sy,,-26.55,,,,21.31,10.68,19.67,8.55,-3.60,-8.18,-36.16,-37.66,-53.90,-46.23,-28.32,-25.05,1.40,3.50,26.80
ROPA_qq,,,66.37,157.53,214.36,149.92,-36.19,-45.01,-43.50,136.66,47.43,-26.58,-2.84,-106.97,-298.13,-5.18,-3.73,96.55,2020.83,-263.56
ROPA_sq,,,2.26,-2.65,6.20,14.74,-6.70,5.26,-3.67,1.90,-11.14,-26.81,-5.94,-24.63,3.63,-2.43,-1.66,1.97,5.79,19.53
ZNPO,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,-110.83,,,,192.69,110.94,151.06,130.68,50.98,199.81,25.32,-25.57,-105.69,-53.26,-24.01,-18.37,157.84,-1160.85,-233.05
ZNPO_sy,,40.50,,,,-10.70,16.80,-25.05,14.87,-25.01,-64.45,-16.14,-32.01,-24.40,42.27,-25.97,-37.29,-28.43,6.70,18.51
ZNPO_qq,,,-151.91,67.87,-52.03,175.32,-70.25,49.91,-8.64,270.62,-40.93,-37.34,-45.74,-128.35,584.88,1.87,-41.71,-79.91,-8993.66,87.22
ZNPO_sq,,,-8.98,-1.48,2.66,-2.99,19.04,-36.78,57.32,-36.66,-43.58,49.15,27.55,-29.57,6.18,-22.40,8.05,-19.61,58.30,-13.81
ZFI,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,-47.61,,,,272.57,221.00,599.34,76.28,,-99.19,-97.33,,,-3125.00,-538.28,,,-345.82,251.98
ZFI_sy,,9.73,,,,21.04,7.87,-3.57,9.39,,-16.57,-7.98,,,8.03,6.50,,,-3.63,3.91
ZFI_qq,,,-12.86,4.49,199.77,36.51,-24.92,127.63,-24.44,,,646.88,,,,-8.21,-39.52,-4.31,-183.08,136.89
ZFI_sq,,,18.88,-2.11,-3.51,7.80,5.94,-12.49,9.46,,,-3.48,,,,-4.85,5.04,-19.88,20.35,2.60
DTAR,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,-57.27,,,,-18.97,-52.61,-5.23,1.93,94.81,56.80,-17.29,-51.64,-52.97,-6.45,-6.11,98.88,177.33,14.27,4.64
DTAR_sy,,10.30,,,,-3.44,-4.53,-0.05,-1.47,3.03,2.52,4.49,12.05,13.07,7.16,-1.15,-0.37,0.39,-3.12,6.53
DTAR_qq,,,102.54,2.55,-8.35,-57.43,18.47,105.05,-1.43,-18.64,-4.64,8.16,-42.37,-20.87,89.67,8.55,22.06,10.35,-21.85,-0.59
DTAR_sq,,,3.23,1.75,-4.13,-4.12,2.06,6.53,-5.49,0.26,1.55,8.58,1.35,1.18,-3.76,0.16,2.15,1.95,-7.12,10.13
CG,,,,,,,,,,,,,,,,,,,,
CG_yy,,-81.10,,,,-24.96,-73.47,-12.53,4.34,177.02,102.87,-32.78,-71.31,-67.83,-10.91,-11.77,218.25,450.45,27.03,8.69
CG_sy,,19.01,,,,-6.91,-7.53,-1.09,-2.22,5.98,5.91,10.22,25.90,26.21,14.20,-1.31,-2.23,0.78,-6.25,6.83
CG_qq,,,253.07,6.81,-18.84,-75.48,24.83,252.16,-3.19,-34.90,-8.58,16.69,-58.68,-27.02,153.19,15.55,49.05,26.23,-41.57,-1.13
CG_sq,,,4.18,5.28,-8.62,-7.11,3.49,12.61,-9.67,0.67,3.43,17.18,3.19,0.92,-6.41,1.27,2.22,4.02,-12.93,15.40
LDER,,,,,,,,,,,,,,,,,,,,
LDER_yy,,-95.39,,,,-58.49,-58.60,40.93,-38.13,97.78,57.20,-28.54,-31.97,-51.01,342.86,468.90,567.29,556.42,-17.35,-6.21
LDER_sy,,-9.98,,,,7.00,3.30,0.88,0.57,35.44,63.14,35.28,46.62,0.09,-11.43,-2.58,-0.45,-1.79,-3.39,-19.30
LDER_qq,,,5.17,-50.70,124.91,-64.40,4.89,67.80,-1.26,13.81,-16.63,-23.72,-6.01,-18.05,653.67,-2.01,10.25,-19.38,-5.10,11.19
LDER_sq,,,-3.19,23.71,-13.37,3.14,-6.54,20.82,-13.64,38.90,12.57,0.19,-6.41,-5.18,-0.38,10.21,-4.36,-6.47,-2.00,-7.94
PZAT,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,3345.99,,,,37.45,58.74,-45.93,80.39,-35.70,-34.95,16.08,19.42,59.29,-41.93,-53.30,-57.35,-59.55,-4.67,-7.70
PZAT_sy,,1.65,,,,-11.56,-12.92,-15.94,-22.02,-12.98,-14.09,-8.47,-5.55,-4.22,-9.18,-10.32,-5.77,5.69,9.39,10.03
PZAT_qq,,,-5.96,107.73,-69.41,130.03,8.61,-29.24,2.03,-18.00,9.87,26.28,4.97,9.37,-59.94,1.55,-4.13,3.73,-5.60,-1.68
PZAT_sq,,,7.27,-2.84,3.56,-18.07,5.62,-6.21,-3.93,-8.56,4.27,-0.08,-0.86,-7.28,-1.12,-1.33,4.17,4.00,2.34,-0.75
PELDR,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,-67.51,,,,-35.13,-49.39,-51.68,-46.66,59.38,103.14,110.05,-9.32,-27.86,-60.49,-56.80,-27.34,2.87,63.48,14.60
PELDR_sy,,-7.85,,,,-1.52,4.27,6.50,4.93,7.25,6.62,2.60,-3.53,-11.83,-6.08,-1.42,2.57,7.83,-1.22,6.91
PELDR_qq,,,6.66,8.80,33.33,-58.07,-16.79,3.89,47.17,25.27,6.06,7.42,-36.46,-0.34,-41.92,17.46,6.87,41.09,-7.70,-17.66
PELDR_sq,,,-7.91,-2.79,5.34,4.43,-2.49,-0.72,3.79,6.74,-3.07,-4.46,-2.41,-2.44,3.26,0.27,1.54,2.57,-5.41,8.54
TSF,,,,,,,,,,,,,,,,,,,,
TSF_yy,,9.58,,,,4.78,72.99,9.56,-4.54,-28.18,-21.69,21.72,66.52,43.01,17.88,20.15,-28.32,-43.63,-12.24,-4.55
TSF_sy,,-3.51,,,,3.47,11.94,5.15,10.14,-5.22,-7.68,-0.90,-9.50,-1.38,1.62,-1.09,2.18,-2.11,-6.39,-4.52
TSF_qq,,,-42.47,-6.62,16.81,67.00,-5.03,-40.86,1.77,25.65,3.56,-8.08,39.22,7.91,-14.64,-6.31,-16.94,-15.14,32.90,1.89
TSF_sq,,,-7.53,0.23,1.89,9.56,0.04,-5.85,6.72,-5.72,-2.56,1.07,-2.54,2.75,0.41,-1.63,0.68,-1.57,-3.98,0.33
ZKO,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,-51.44,,,,-7.35,-37.04,9.15,10.62,69.52,28.33,-22.80,-45.49,-47.06,23.66,18.26,111.03,155.48,-3.33,2.76
ZKO_sy,,0.76,,,,6.74,-4.90,-1.21,-1.84,4.33,13.61,8.43,14.63,7.59,2.40,2.01,-1.01,-0.75,2.29,1.84
ZKO_qq,,,86.01,1.37,-8.97,-46.02,26.41,75.74,-7.75,-17.28,-4.30,5.72,-34.87,-19.67,123.56,1.10,16.22,-2.74,-15.41,7.47
ZKO_sq,,,6.93,4.11,-2.76,-1.40,-4.74,8.16,-3.38,4.80,3.74,3.23,2.15,-1.64,-1.27,2.84,-0.88,-1.38,1.76,2.38
OSF,,,,,,,,,,,,,,,,,,,,
OSF_yy,,-66.74,,,,-39.03,-68.14,-53.55,-46.20,100.94,92.26,32.94,-44.83,-51.34,-42.48,-43.71,11.72,72.24,27.03,2.96
OSF_sy,,0.85,,,,1.65,0.75,-1.10,-2.26,-0.16,0.56,0.41,3.24,-0.33,1.67,-0.10,-0.42,-0.21,-4.15,-4.47
OSF_qq,,,95.80,10.36,11.75,-74.75,2.31,60.93,29.43,-5.71,-2.11,11.27,-46.28,-16.83,15.71,8.89,6.62,28.22,-14.67,-11.74
OSF_sq,,,0.25,2.65,-1.87,0.66,-0.64,0.76,-3.01,2.82,0.09,0.60,-0.27,-0.74,2.09,-1.15,-0.59,-0.54,-1.93,-1.48
NetDebt,10288015000,-648402000,5880514000,9832819000,9415649000,-572000000,-1699000000,17096000000,13051000000,8450000000,781000000,7953000000,-3442000000,-6958000000,3739000000,8486000000,15407000000,20148000000,8791000000,7039000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,-83.29,,,,-126.77,92.22,-42.11,121.09,1617.86,119.21,-73.06,-114.05,-2343.94,-4694.55,-857.09,-1821.04,183.76,198.84,-26.07
NetDebtEBITDA_sy,,-17.35,,,,34.12,5.28,19.21,27.09,4.16,27.68,20.20,8.35,25.86,35.15,7.74,61.58,-10.72,-23.66,-25.08
NetDebtEBITDA_qq,,,-1858.80,221.57,-68.41,-103.96,-411.31,1004.28,20.63,-72.79,-93.53,1168.33,-162.91,-4246.41,86.75,-109.00,-59.62,289.50,-84.36,-366.57
NetDebtEBITDA_sq,,,7.04,23.54,-2.75,4.28,-15.97,39.89,3.68,-14.53,3.00,31.70,-6.55,-0.72,10.60,5.00,40.14,-45.14,-5.42,3.04
DebtFin,-1055516000,-3121138000,70088000,1986289000,-144091000,-1324000000,-3440000000,1525000000,2061000000,-2964000000,-9656000000,-6301000000,-9455000000,-10742000000,-1609000000,1524000000,3771000000,4096000000,-40000000,-145000000
DebtFin_yy,,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,884.17,,,,-112.87,-1222.62,-74.43,2385.33,-130.10,-17.26,-339.25,-344.40,-9775.77,259.95,-71.62,-71.16,111.03,-101.04,114.46
DebtFinEBITDA_sy,,-72.77,,,,462.59,72.44,316.88,2.83,32.11,-54.75,-105.32,-77.03,10.14,113.28,637.92,144.00,-75.33,-89.54,-30.93
DebtFinEBITDA_qq,,,-104.35,2161.22,-102.39,-500.39,-347.40,139.84,113.53,-160.45,-128.00,18.71,-118.12,-2342.66,103.69,-187.23,-117.54,257.40,-100.35,1310.29
DebtFinEBITDA_sq,,,140.26,18.35,164.73,-25.26,-26.36,186.13,-34.70,-3.98,-74.78,-133.61,382.17,360.40,-51.16,-15.23,27.99,-53.44,-79.30,459.86
SP1,,,,,,,,,,,,,,,,,,,,
SP1_yy,,-31.49,,,,-34.20,-49.41,-57.44,-51.35,18.54,49.82,72.18,1.20,-8.09,-53.49,-52.40,-47.06,-32.58,31.40,0.20
SP1_sy,,2.94,,,,-6.35,0.29,-0.63,-1.44,-1.47,-0.74,-7.73,-10.76,-9.18,-8.52,-1.14,-1.34,-8.24,-3.19,-4.06
SP1_qq,,,5.25,8.87,22.76,-53.22,-19.08,-8.42,40.31,14.00,2.28,5.25,-17.53,3.53,-48.24,7.70,-8.26,31.84,0.88,-17.87
SP1_sq,,,-8.43,-0.68,3.03,-0.06,-1.95,-1.58,2.19,-0.09,-1.22,-8.51,-1.17,1.68,-0.50,-1.13,-1.37,-5.43,4.98,-2.02
SP2,,,,,,,,,,,,,,,,,,,,
SP2_yy,,-66.80,,,,-36.17,-51.00,-56.97,-52.46,21.09,51.79,70.31,-0.01,-10.08,-47.79,-46.26,-39.27,-24.58,28.19,-0.67
SP2_sy,,2.47,,,,-4.56,1.72,5.10,1.10,-0.17,-1.11,-2.99,-8.87,-7.02,0.81,-0.55,-1.73,-7.41,-11.87,2.74
SP2_qq,,,5.53,5.89,26.95,-55.01,-18.99,-6.99,40.25,14.59,1.55,4.35,-17.66,3.05,-41.03,7.41,-6.96,27.98,0.24,-16.77
SP2_sq,,,-5.33,-5.07,3.94,2.17,0.91,-1.92,-0.01,0.88,-0.04,-3.79,-6.07,2.93,8.38,-5.09,-7.19,-3.01,3.15,10.65
CAR,,,,,,,,,,,,,,,,,,,,
CAR_yy,,614.57,,,,-70.13,131.08,-89.49,-41.04,-10.22,-15.58,1301.68,684.85,566.60,9.00,5.22,-86.99,-93.30,-64.49,-26.99
CAR_sy,,-40.98,,,,-16.72,-2.88,-19.48,7.70,41.67,7.75,1.54,-4.54,-31.16,-25.33,-4.43,-15.08,18.64,-0.81,-9.09
CAR_qq,,,-69.97,-33.11,19.61,24.35,132.29,-96.96,571.14,89.35,118.41,-49.50,275.80,60.82,-64.29,-51.25,-53.54,-17.14,89.18,0.25
