,2010/Q4,2011/Q4,2012/Q4,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
NetDebt,24426000000,32737000000,44872000000,51753000000,26540000000,45146000000,48145000000,57941000000,38759000000,55374000000,58582000000,67436000000,49220000000,53079000000,55356000000,61549000000,53057000000,90599000000,90355000000,71116000000,59466000000,85260000000,96391000000
NetDebtEBITDA,3720,4310,5580,7230,3170,4830,4900,5660,3260,4500,4620,5160,3180,3020,2420,2440,2150,2970,3200,2480,1920,2490,2540
DebtFin,9403000000,7901000000,11486000000,12271000000,3081000000,14257000000,20162000000,26495000000,13902000000,17184000000,19239000000,20205000000,18340000000,17708000000,7278000000,8131000000,5300000000,24526000000,39970000000,4622000000,19927000000,27208000000,28241000000
DebtFinEBITDA,1430,1040,1430,1710,370,1530,2050,2590,1170,1400,1520,1550,1180,1010,320,320,210,800,1410,160,640,790,740
SP1,800,870,770,850,1230,1060,980,880,910,930,900,940,990,1030,1090,1060,1030,1060,1000,1190,1160,1160,1120
SP2,990,1010,980,1030,1460,1260,1200,1170,1200,1190,1170,1190,1230,1260,1320,1310,1290,1370,1330,1520,1480,1480,1410
CAR,20,20,50,30,230,50,40,40,260,70,80,30,100,70,220,240,360,230,100,420,520,360,230
QR,460,560,450,600,830,630,600,640,770,590,600,550,680,760,740,790,790,700,670,1030,1090,930,780
CR,990,1010,980,1030,1690,1280,1240,1220,1360,1250,1200,1210,1410,1410,1400,1390,1440,1360,1420,1680,1830,1650,1590
PP,20,20,50,30,230,50,40,40,260,70,80,30,100,70,220,240,360,230,100,420,520,360,230
RCLR,440,530,400,560,600,580,560,600,510,520,530,520,590,690,520,560,430,470,570,610,570,570,560
KP,-10,0,-10,10,220,120,100,90,110,100,80,90,130,140,150,150,150,150,150,230,230,220,200
PKKO,420,-280,680,-1100,-14370,-9450,-8140,-8180,-9350,-8060,-6340,-6780,-8180,-8850,-10550,-10860,-10560,-14110,-12990,-21350,-20880,-21890,-19020
RN,13520,9250,10590,7630,8029,8450,9050,9480,9360,9500,9420,9320,8910,8800,9300,9270,9650,9900,9790,9630,9710,9710,9540
CRN,27000,39000,34000,48000,45000,43000,40000,38000,39000,38000,39000,39000,41000,41000,39000,39000,38000,37000,37000,38000,38000,38000,38000
CPZ,61000,74000,86000,94000,82000,75000,71000,66000,69000,70000,72000,75000,76000,72000,68000,68000,70000,75000,74000,73000,68000,65000,66000
RZ,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,
RMO,6040,4890,4320,3900,4010,4110,4120,4180,4160,4130,4070,3900,3800,3910,3950,3850,3700,3490,3540,3420,3440,3440,3270
RMT,5570,5820,4830,4830,4970,5060,4780,4420,3990,3780,3690,3720,3660,3690,3860,3780,3740,3980,4040,4050,4130,4000,3790
RM,2900,2660,2280,2160,2220,2270,2210,2150,2040,1970,1930,1900,1860,1900,1950,1910,1860,1860,1890,1850,1880,1850,1760
COP,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,,,
