,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QR,120,100,100,100,440,-520,580,60,,6850,8140,4700,,1200,750,1010,,1490,1280,570,,220,270,1040,,800,850,1270,1410,70,190,30,-350,-540,-660,-770,-840,-810,-820,-850,-600,-360,-360,-360,-360,-360,-350,-220,-220,-230,-230,-230
CR,120,100,100,100,440,370,580,1060,,7650,8920,5280,,1770,1330,1400,,2260,1870,1320,,870,760,1440,,1200,1340,1680,1890,530,590,430,470,330,240,150,100,120,140,120,370,10,0,0,0,0,10,90,90,100,100,100
PP,0,0,0,0,10,10,20,920,,6290,6790,450,,60,40,40,,820,700,490,,110,120,150,,110,110,110,210,20,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCLR,120,90,100,100,440,190,560,110,,1360,2040,4800,,1690,1290,1350,,1360,1080,780,,750,630,1280,,1070,1210,1570,1680,510,570,420,460,320,230,140,100,110,130,120,370,10,0,0,0,0,10,90,90,100,100,100
KP,-7260,-9380,-8480,-8760,-1240,-350,-720,40,,730,740,630,,260,160,140,,280,250,120,,-60,-80,180,,100,160,270,370,-530,-430,-760,-360,-480,-510,-740,-840,-1220,-800,-1440,-1630,-56100,-1455390,-2323640,-3030110,-354610,-88370,-9640,-9650,-9300,-9300,-9310
PKKO,1056880,-16580,-13020,-15110,-1830,-400,-90,10,,1240,1180,-190,,260,120,140,,390,360,150,,-90,-90,160,,60,80,120,180,-120,-130,-240,-110,-310,-370,-630,-1030,-3300,-3900,-5020,-4640,-17410,-27000,-39330,-54980,53309330,79884000,-53092670,-31902200,-30718000,-30751800,-153915000
RN,0,530,740,680,820,11900,11290,20370,13920,1870,4950,-10600,2760,2350,2520,2730,3440,3220,2930,3160,4110,3470,4220,3500,4000,4150,3920,4170,4100,4520,3970,3420,3940,2600,2850,4340,4170,2560,2340,1980,980,820,590,480,5630,,10,0,0,0,0,0
CRN,841070000,692000,496000,536000,445000,31000,32000,18000,26000,195000,74000,-34000,132000,155000,145000,134000,106000,113000,125000,115000,89000,105000,87000,104000,91000,88000,93000,88000,89000,81000,92000,107000,93000,140000,128000,84000,88000,143000,156000,184000,374000,445000,622000,753000,65000,,44530000,419955000,636615000,937284000,6030256000,6030165000
CPZ,7190610000,6323000,4730000,5317000,3674000,209000,154000,65000,107000,532000,263000,-11000,44000,63000,78000,96000,76000,85000,101000,114000,88000,129000,121000,115000,101000,85000,79000,69000,64000,69000,93000,144000,186000,299000,334000,285000,434000,1018000,1273000,1561000,1982000,3341000,6846000,12285000,22503000,,14658833000,15010260000,12289057000,12474058000,63165805000,62676249000
RZ,,55170,89790,102830,430510,39120,38890,55860,27770,40080,38000,-752070,183560,172360,373480,405130,507550,106630,51750,43130,55230,78190,138420,263690,304810,257070,280460,347910,469050,715080,964970,774200,632150,561380,437910,237440,148360,70100,70320,130440,140040,41960,23900,11540,4750,,,,,,,
CRZ,,7000,4000,4000,1000,9000,9000,7000,13000,9000,10000,0,2000,2000,1000,1000,1000,3000,7000,8000,7000,5000,3000,1000,1000,1000,1000,1000,1000,1000,0,0,1000,1000,1000,2000,2000,5000,5000,3000,3000,9000,15000,32000,77000,,,,,,,
RMO,0,510,710,660,800,9120,8720,10670,6240,660,760,-4630,1200,1620,2390,2630,3320,2460,1920,1870,2420,2450,3280,3030,3470,3650,3510,3790,3700,4130,3670,3190,3830,2550,2790,4190,3990,2440,2250,1940,960,800,570,470,4070,,10,0,0,0,0,0
RMT,50,40560,55210,49680,57120,5150,5110,7280,3660,3820,3340,-20150,5250,4250,4560,3360,4240,2720,2070,1970,2560,3270,4440,6360,7270,6810,6990,7370,8510,9860,8890,6690,4860,2370,1570,1200,800,390,360,350,420,460,610,9550,18500,,40,40,50,1000,200,200
RM,0,500,700,650,790,3290,3220,4330,2310,560,620,-3760,980,1170,1570,1480,1860,1290,1000,960,1240,1150,1230,1310,1500,1810,2160,2420,2510,2820,2510,2140,2130,1220,1000,930,660,330,290,270,270,260,290,450,3340,,10,0,0,0,0,0
COP,,699000,500000,540000,446000,40000,41000,25000,39000,204000,84000,,134000,157000,146000,135000,107000,116000,132000,123000,96000,110000,90000,105000,92000,89000,94000,89000,90000,82000,,,94000,141000,129000,86000,90000,148000,161000,187000,377000,454000,637000,785000,142000,,,,,,,
CSP,,-5624000,-4230000,-4777000,-3228000,-169000,-113000,-40000,-68000,-328000,-179000,,90000,94000,68000,39000,31000,31000,31000,9000,8000,-19000,-31000,-10000,-9000,4000,15000,20000,26000,13000,,,-92000,-158000,-205000,-199000,-344000,-870000,-1112000,-1374000,-1605000,-2887000,-6209000,-11500000,-22361000,,,,,,,
