,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,-8.99,21.97,2.28,-9.02,0.46,-3.86,-6.78,-4.56,-10.49,-7.54,-4.45,18.97,9.05,9.89,24.64,48.64,21.22,19.45,11.09,-7.36,4.58,-7.70,-10.03,-1.45,-9.96,-13.87,-26.51,-45.67,-18.38,15.81
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,90.45,-61.06,-15.91,,,,-3.18,-12.28,11.27,22.09,16.37,30.63,35.81,32.48,6.29,-12.77,-26.59,-43.72,-54.97,-59.48,-62.72,-58.18,-32.89,-22.22,0.66,24.29,16.83,35.71,45.45,78.04,223.00,256.28,164.95
CZOCurrent_sy,,-21.20,-34.82,39.45,,,,-30.07,-22.13,-26.52,111.12,11.56,32.27,57.11,-23.18,-9.27,-13.85,-34.70,-57.16,-22.07,-33.54,-25.01,-11.36,5.24,-26.83,13.94,3.72,-22.33,68.22,19.50,-6.50,39.02,10.97,-6.92
CZOCurrent_qq,,,,,9.86,-18.01,-2.23,9.93,-0.47,4.01,7.28,4.78,11.73,8.13,4.65,-15.94,-8.31,-9.00,-19.77,-32.73,-17.50,-16.28,-9.98,7.95,-4.39,8.34,11.15,1.47,11.07,16.11,36.06,84.08,22.51,-13.65
CZOCurrent_sq,,,,,-21.19,-4.71,-8.86,2.18,-12.24,-10.09,161.88,-46.01,4.05,6.79,28.04,-36.23,-1.20,-19.05,-16.01,16.02,-15.75,-8.66,-0.72,37.74,-41.42,42.24,-9.64,3.15,26.88,1.04,-29.29,53.36,1.28,-15.25
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,11.57,-3.12,-6.92,,,,-16.89,-19.07,-6.72,-6.54,9.59,16.01,4.52,13.35,6.78,2.92,-6.15,-14.13,-13.05,-22.38,1.15,-4.06,5.52,41.87,17.76,22.76,16.64,-5.85,1.85,22.92,30.68,35.37,25.73
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,1.71,-4.39,3.60,-17.51,-0.96,10.20,3.80,-3.27,4.84,-0.72,12.58,-8.88,1.05,-9.47,3.01,-7.73,-9.79,17.98,-2.30,1.49,21.28,-2.06,1.84,-3.57,-2.11,5.94,22.91,2.52,1.40,-1.60
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-33.44,-32.20,-6.14,,,,-18.60,-25.49,-9.93,-9.91,2.28,11.12,-3.31,5.38,-3.89,-9.87,-17.75,-27.94,-32.35,-42.25,-27.44,-31.47,-15.24,18.74,5.23,16.67,9.58,-8.42,0.74,24.42,36.85,39.11,23.69
EVPCurrent_sy,,-25.57,-3.36,-11.95,,,,5.28,9.66,-10.11,12.32,-2.64,-3.95,-3.12,6.47,-6.41,-6.74,-13.92,-19.48,-25.31,-33.03,-26.22,-30.59,-4.28,21.08,9.90,18.60,5.80,-3.00,1.82,-1.43,12.99,25.94,10.09
EVPCurrent_qq,,,,,4.95,-9.12,1.77,-16.14,-3.93,9.86,1.78,-4.79,4.37,-4.41,10.94,-13.17,-2.12,-12.77,-2.81,-18.49,-16.43,9.60,-8.19,0.81,17.06,-2.87,1.79,-5.32,-2.16,6.84,25.72,4.14,-0.55,-5.01
EVPCurrent_sq,,,,,1.80,19.61,-21.41,10.03,6.03,-1.95,-1.80,-4.63,4.60,-1.09,7.91,-16.17,4.23,-8.70,0.94,-22.24,-6.55,0.59,-5.04,7.23,18.21,-8.70,2.47,-4.34,8.38,-4.16,-0.79,9.65,20.80,-16.22
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,112.49,-62.27,-21.73,,,,-19.53,-29.01,3.79,14.11,27.52,51.54,41.94,50.17,13.50,-10.22,-31.10,-51.67,-60.84,-68.55,-62.29,-59.88,-29.18,10.34,18.54,52.58,36.27,27.77,48.13,118.85,322.09,382.28,233.12
EVEBITCurrent_sy,,-24.35,-39.53,-27.84,,,,6.00,67.66,-2.82,100.26,50.07,0.85,35.39,4.41,4.72,-1.28,-8.88,-18.85,-22.87,-37.22,-0.12,-8.21,-15.52,-12.29,-13.65,-19.16,-7.01,50.34,7.99,41.31,37.25,26.38,12.94
EVEBITCurrent_qq,,,,,11.74,-21.61,1.29,-9.32,-1.42,14.62,11.36,1.35,17.14,7.36,17.82,-23.40,-7.34,-17.61,-17.35,-37.93,-25.58,-1.23,-12.06,9.55,15.96,6.10,13.20,-2.16,8.72,23.01,67.24,88.71,24.23,-15.03
EVEBITCurrent_sq,,,,,-14.89,23.86,-31.79,47.42,34.62,-28.21,40.56,10.47,-9.53,-3.62,8.40,10.80,-14.72,-11.03,-3.47,5.30,-30.58,41.53,-11.28,-3.09,-27.92,39.33,-16.93,11.47,16.53,0.09,8.70,8.27,7.30,-10.56
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,49.08,-50.76,-17.72,,,,-21.88,-36.45,0.78,10.80,24.64,87.03,33.51,39.28,10.07,-23.03,-29.22,-47.30,-56.64,-64.75,-57.64,-56.55,-27.83,10.39,15.61,46.03,31.93,21.82,40.04,97.16,222.52,232.90,134.20
EVEBITDACurrent_sy,,-27.96,-20.02,-32.29,,,,23.94,-12.97,88.48,73.50,-4.60,29.78,-7.95,18.63,0.44,-24.73,-34.70,-42.31,-5.07,-8.05,5.97,7.92,-9.18,-8.04,24.07,-3.59,-1.83,8.24,-29.74,-3.39,19.18,13.38,21.77
