,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZOCurrent,300,410,640,770,750,550,470,360,390,310,250,290,280,330,340,320,360,380,450,510,500,500,490,480,460,470,570,560,600,610,570,690,800,950,940,870,910,800,690,600,430,380,450,500,500
CZOCurrent,21190,15790,9960,8270,8570,11580,13550,17880,16550,20470,25220,21710,22610,19630,18960,20020,17900,16920,14170,12450,12750,12810,13040,13460,13860,13620,11300,11480,10660,10550,11150,9210,7960,6720,6800,7310,7030,7980,9330,10710,14990,16850,14280,12870,12700
EVCurrent,6380,6300,5990,6120,3650,5960,5890,5990,6010,5930,5840,5920,5980,6080,5960,6100,6320,6250,6070,5910,5730,6080,5930,6270,6150,6030,5710,5720,5940,5950,5790,5620,6140,6050,5380,5390,5920,6010,5760,5940,6090,6240,6130,6340,6240
EVPCurrent,5060,3940,2580,2250,1250,2670,2750,2940,2990,3030,2880,2770,2700,2530,2290,2260,2160,2040,1800,1630,1580,1680,1650,1790,1790,1720,1510,1500,1510,1470,1380,1150,1090,930,830,870,960,1040,990,990,1030,1020,980,1010,1010
EVEBITCurrent,21110,15560,9320,7900,4890,10770,12480,16730,15560,18980,23000,20070,21140,18640,17640,19080,17660,16530,13450,11490,11420,12170,12090,13190,13310,12830,10080,10270,9880,9810,10080,8080,7640,6360,5720,6160,6500,7490,8390,9940,14270,16420,13660,12740,12380
EVEBITDACurrent,18060,13580,7960,6890,4280,9160,9990,12100,10620,11640,12450,11180,11440,10320,9590,9590,9040,8530,7440,6600,8360,6950,6810,7240,5690,6530,5460,5470,5420,5380,5310,4600,4590,4090,3710,3970,4320,4820,5150,5690,6870,7320,6570,6600,6590
DTAR,440,270,240,440,360,90,130,140,110,90,100,90,120,90,120,120,120,130,150,120,190,130,160,120,130,140,160,120,130,140,160,170,200,180,170,150,170,150,180,170,180,180,190,180,210
CG,780,360,310,790,560,100,150,160,120,100,110,100,130,100,140,140,140,140,170,130,240,140,180,140,140,160,190,140,150,160,190,210,250,220,200,180,200,180,220,200,230,220,230,230,270
LDER,30,30,40,320,20,20,30,30,20,20,10,10,10,10,30,30,30,40,40,40,50,50,50,80,50,40,60,50,50,40,50,50,60,50,50,40,50,50,40,40,70,60,50,50,50
PZAT,8290,10090,5550,2970,34330,34360,21250,25190,35770,36480,39940,41470,39190,41170,18870,20480,18400,12690,11850,12000,11060,9650,8800,5490,10810,10590,7820,8470,9450,10030,7640,7680,6990,7320,7540,8000,6690,7060,7370,8390,5260,5480,6210,6060,6340
PELDR,1290,2170,2630,1220,1360,1370,1360,1310,1340,1360,1370,1380,1330,1340,1370,1390,1330,1380,1440,1480,1370,1390,1410,1500,1340,1380,1480,1530,1470,1510,1620,1710,1630,1720,1810,1860,1790,1830,1840,1760,1770,1800,1810,1820,1780
TSF,580,750,790,740,650,930,890,880,910,920,910,920,900,920,900,900,900,910,890,920,840,920,890,950,910,900,890,910,900,890,880,870,840,860,870,880,870,890,860,870,870,870,860,860,830
ZKO,800,410,340,1140,700,280,390,430,340,290,300,290,360,290,360,340,380,370,390,310,510,380,430,340,410,410,410,320,350,350,360,350,420,360,320,300,330,300,340,330,370,350,360,350,400
OSF,1000,860,860,1040,920,380,520,540,450,390,400,390,470,390,480,460,490,490,530,440,660,490,570,470,510,530,570,450,490,500,540,570,640,580,550,520,560,520,590,550,600,590,610,600,670
NetDebt,4213000000,1934000000,41000000,12619000000,1519000000,-725000000,1334000000,2703000000,361000000,-1747000000,-2073850000,-1170000000,1452000000,1109000000,1894070000,3903000000,6830000000,6600000000,6070730000,1545000000,4808000000,4309000000,4628400000,973000000,4887000000,4174000000,2615000000,-291000000,3102000000,4127000000,4249000000,3307000000,12946000000,9655000000,132000000,-1301000000,7419000000,7189000000,6972000000,7369000000,9886000000,11192000000,12113000000,12990000000,17252000000
NetDebtEBITDA,1190,420,10,1420,180,-80,170,400,50,-250,-320,-160,200,140,220,440,710,650,530,120,500,350,380,80,320,320,180,-20,200,270,280,190,690,470,10,-70,390,410,450,500,800,940,930,970,1300
DebtFin,-238000000,-956000000,-4146000000,-2846000000,-27499000000,-6017000000,-6868000000,-5636000000,-5285000000,-6404000000,-7737740000,-6697000000,-5749000000,-4482000000,-6139550000,-4158000000,-1170000000,-2019000000,-4552920000,-6901000000,-9369000000,-4473000000,-6538190000,-1806000000,-3518000000,-5192000000,-9638000000,-9502000000,-6509000000,-6232000000,-8605000000,-10973000000,-3688000000,-4856000000,-14255000000,-14158000000,-6753000000,-5526000000,-8943000000,-6457000000,-4316000000,-2256000000,-3842000000,-901000000,-2272000000
DebtFinEBITDA,-70,-210,-550,-320,-3220,-680,-860,-830,-680,-920,-1210,-910,-790,-550,-710,-470,-120,-200,-400,-550,-980,-370,-540,-150,-230,-400,-660,-650,-420,-400,-560,-640,-200,-230,-700,-740,-350,-320,-570,-440,-350,-190,-290,-70,-170
SP1,1250,2110,2520,910,1330,1350,1310,1270,1310,1330,1350,1360,1310,1320,1330,1350,1290,1330,1380,1420,1300,1320,1330,1370,1260,1310,1380,1440,1380,1430,1510,1600,1520,1610,1700,1760,1670,1730,1740,1670,1640,1680,1700,1720,1690
SP2,1280,2170,2620,1210,1350,1370,1350,1300,1330,1350,1370,1370,1330,1330,1370,1390,1320,1380,1430,1470,1360,1380,1400,1490,1320,1360,1460,1510,1440,1490,1590,1680,1610,1690,1780,1840,1760,1810,1820,1740,1750,1780,1790,1800,1770
CAR,60,360,1140,310,980,1400,1040,800,930,1370,1530,1270,860,890,970,650,190,330,570,1160,810,780,850,550,620,790,1110,1580,980,820,930,1020,300,480,1300,1430,650,610,710,630,540,410,370,300,180
QR,790,1890,2430,1040,1280,2920,2090,1670,2050,2590,2600,2460,1760,2140,2080,1680,1340,1570,1790,2380,1480,2050,2000,4080,1640,1720,2000,2590,1960,1730,2180,2060,1410,1720,2240,2450,2060,2110,1790,1810,1760,1750,1600,1430,1090
CR,1300,2650,3360,1490,1490,4380,3170,2800,3420,4120,3830,4030,3150,3950,3520,3600,3320,3750,3380,4560,2440,4090,3300,7180,3580,3420,3440,4840,4100,3910,3830,3730,3070,3630,4050,4430,4070,4570,3750,3840,3850,3890,3600,3660,3050
PP,60,360,1140,310,980,1400,1040,800,1100,1560,1530,1370,910,940,970,650,190,330,570,1160,810,780,850,2170,620,790,1110,1580,980,820,930,1020,300,480,1300,1430,650,610,710,630,550,410,370,300,180
RCLR,690,1470,1260,690,290,1500,1050,850,950,1010,1070,1070,850,1190,1100,1000,1140,1230,1230,1220,670,1320,1230,2050,1110,1010,960,1090,1060,980,1360,1110,1170,1300,1020,1090,1470,1550,1130,1220,1260,1370,1260,1140,930
KP,130,410,490,130,170,250,230,210,230,240,250,250,220,230,240,250,220,250,270,300,220,250,250,310,220,240,280,310,280,300,330,350,320,360,390,400,380,400,390,370,370,380,380,380,360
PKKO,220,570,850,340,940,990,1020,910,1040,1100,1080,1100,940,920,940,950,720,780,790,790,550,630,670,830,630,630,720,800,690,730,820,760,560,530,580,640,580,640,650,590,590,590,610,630,640
RN,4260,4090,5040,4700,4330,4270,4019,4080,4460,4650,5060,5470,5620,5770,5860,5810,5960,5910,5950,6290,6190,6220,6200,5960,6090,6280,7190,7470,7520,7650,6870,6860,6610,6620,6730,6610,6520,6160,5860,5730,5760,5830,5700,5640,5450
CRN,86000,89000,72000,78000,84000,86000,91000,90000,82000,78000,72000,67000,65000,63000,62000,63000,61000,62000,61000,58000,59000,59000,59000,61000,60000,58000,51000,49000,49000,48000,53000,53000,55000,55000,54000,55000,56000,59000,62000,64000,63000,63000,64000,65000,67000
CPZ,124000,61000,57000,106000,175000,163000,161000,150000,78000,82000,75000,65000,66000,61000,60000,61000,56000,55000,53000,48000,57000,57000,57000,54000,44000,46000,43000,47000,47000,47000,47000,47000,48000,45000,47000,48000,46000,47000,48000,48000,50000,50000,50000,52000,58000
RZ,2940,4120,3370,3430,3300,3090,2620,2360,2200,2160,2350,2390,2400,2400,2420,2260,2310,2230,2330,2510,2610,2780,3000,3100,3090,3160,3310,3140,3010,2800,2830,3090,3270,3540,3340,3140,3100,2900,2770,2770,2700,2730,2650,2440,2150
CRZ,124000,89000,108000,107000,111000,118000,139000,154000,166000,169000,155000,153000,152000,152000,151000,161000,158000,163000,157000,146000,140000,131000,122000,118000,118000,116000,110000,116000,121000,130000,129000,118000,112000,103000,109000,116000,118000,126000,132000,132000,135000,134000,138000,149000,170000
RMO,2260,2260,1890,2070,1420,1360,1210,1110,1400,1350,1400,1460,1490,1610,1690,1690,1840,1860,1960,2040,1900,1910,1910,1870,1970,1990,2090,2040,1980,1940,1900,2020,2150,2300,2160,2020,1970,1830,1820,1890,1850,1900,1920,1890,1790
RMT,2760,4250,4370,1620,1070,880,740,700,680,650,670,710,720,770,820,840,900,940,1050,1120,1120,1120,1100,1050,1030,1040,1140,1160,1190,1250,1300,1520,1780,2080,2080,2029,2029,1920,1940,1970,1930,1980,2000,2009,1970
RM,1240,1480,1320,910,610,530,460,430,460,440,450,480,490,520,550,560,600,630,680,730,710,700,700,670,680,690,740,740,750,760,770,870,970,1090,1060,1010,1000,940,940,960,940,970,980,970,940
COP,210000,178000,180000,185000,195000,204000,230000,244000,248000,247000,227000,220000,217000,215000,213000,224000,219000,225000,218000,204000,199000,190000,181000,179000,178000,174000,161000,165000,170000,178000,182000,171000,167000,158000,163000,171000,174000,185000,194000,196000,198000,197000,202000,214000,237000
CSP,86000,117000,123000,79000,20000,41000,69000,94000,170000,165000,152000,155000,151000,154000,153000,163000,163000,170000,165000,156000,142000,133000,124000,125000,134000,128000,118000,118000,123000,131000,135000,124000,119000,113000,116000,123000,128000,138000,146000,148000,148000,147000,152000,162000,179000
