,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
EVEBITDACurrent,12200,8680,9580,6510,4840,13780,11500,8250,9710,9200,12730,10460,16079,15360,12850,14460,9190,8070,4870,4350,3910,4000,4290,4100
DTAR,730,180,180,140,260,360,380,280,280,360,450,480,310,400,530,450,370,470,370,390,280,310,350,310
CG,2680,230,230,170,350,560,610,380,400,560,810,910,440,660,1120,810,580,880,590,650,380,450,530,460
LDER,110,20,10,20,180,330,290,220,170,160,150,140,130,180,160,150,150,170,170,140,140,110,110,90
PZAT,6210,9240,22720,12680,2550,2100,2350,2640,3020,3230,3350,3590,3750,2950,3100,3290,3580,3090,2980,3350,3360,4230,4050,4300
PELDR,1640,4520,3340,3280,2560,1900,1870,2070,2250,2180,2290,2280,2210,2220,2300,2340,2130,2160,2280,2370,2370,2310,2520,2640
TSF,300,840,830,880,880,850,800,880,840,750,630,590,790,710,550,630,730,620,730,690,830,770,720,750
ZKO,890,230,250,200,390,650,660,480,450,540,620,650,470,580,690,610,560,660,550,560,420,460,490,440
OSF,1320,1000,810,630,850,930,960,820,870,1020,1230,1290,920,1100,1380,1260,1030,1210,1070,1150,880,970,1110,1060
NetDebt,14591000000,-2421000000,5163000000,1881000000,10856000000,21840000000,24000000000,16182000000,17727000000,25094000000,39015000000,42469000000,21647000000,31493000000,57926000000,42064000000,30846000000,47564000000,34081000000,34543000000,23506000000,29255000000,37790000000,33523000000
NetDebtEBITDA,4110,-430,890,230,970,5410,5020,2000,2510,3710,8080,7650,4930,7600,11800,7170,3960,4610,2340,2150,1370,1720,2210,1840
DebtFin,-19000000,-6803000000,-147000000,-2981000000,-2070000000,-360000000,-1030000000,10789000000,12576000000,6133000000,5420000000,2089000000,14616000000,7637000000,7103000000,28766000000,15521000000,27228000000,14823000000,13952000000,11150000000,12035000000,17364000000,18771000000
DebtFinEBITDA,-10,-1200,-30,-370,-190,-90,-220,1330,1780,910,1120,380,3330,1840,1450,4910,1990,2640,1020,870,650,710,1010,1030
SP1,1480,4420,3300,3200,2170,1430,1450,1690,1920,1870,2000,2000,1950,1890,1980,2050,1860,1840,1950,2080,2080,2080,2280,2410
SP2,1640,4520,3340,3280,2560,1900,1870,2070,2250,2180,2290,2280,2210,2220,2300,2340,2130,2160,2280,2370,2370,2310,2520,2640
CAR,0,1740,30,720,330,40,80,140,140,90,60,120,30,40,20,60,30,40,100,230,90,40,40,60
QR,920,3050,1590,2450,1660,950,990,1750,1280,840,1100,970,1100,780,940,1160,1240,750,1280,1160,1180,750,1100,1060
CR,1170,4960,4320,5990,5270,3770,2860,4890,3890,2610,1980,1820,3040,2350,1680,1990,2420,1890,2550,2300,3760,2860,2560,2870
PP,0,1740,30,720,330,40,80,140,140,90,60,120,30,40,20,60,30,40,100,230,90,40,40,60
RCLR,900,1120,1470,1650,1280,860,870,1560,1110,730,1030,830,1050,730,910,1090,1200,700,1170,910,1070,700,1060,980
KP,120,650,580,610,530,400,370,460,470,410,360,330,430,390,310,360,390,330,410,400,480,430,440,470
PKKO,130,400,410,450,530,440,350,420,440,420,520,470,450,440,420,400,330,320,330,330,340,330,380,410
RN,2180,12890,3000,3430,3780,3740,3570,3970,4650,4600,4570,4290,4030,4090,4070,4120,4150,4150,5310,6070,6770,7560,7420,7750
CRN,168000,28000,122000,106000,97000,98000,102000,92000,78000,79000,80000,85000,91000,89000,90000,89000,88000,88000,69000,60000,54000,48000,49000,47000
CPZ,186000,25000,100000,92000,70000,81000,135000,95000,87000,87000,86000,94000,100000,99000,103000,94000,90000,93000,69000,63000,59000,50000,53000,49000
RZ,5110,5260,5380,3240,3000,2480,2170,2870,2420,2380,2110,2280,2240,2310,2440,2710,3120,3160,3690,3690,3360,3270,3040,2820
CRZ,71000,69000,68000,113000,122000,147000,168000,127000,151000,153000,173000,160000,163000,158000,149000,134000,117000,116000,99000,99000,109000,111000,120000,130000
RMO,1680,2920,2140,2000,2070,1820,1600,1960,1870,1850,1730,1740,1680,1710,1760,1890,2009,2029,2470,2580,2580,2650,2540,2540
RMT,7490,12900,13620,8830,6090,3600,3460,3570,4030,4019,3620,3940,3840,4019,4410,4670,5000,5200,5660,5760,5700,5580,5590,5650
RM,1370,2380,1850,1630,1540,1210,1090,1270,1280,1270,1170,1210,1170,1200,1260,1350,1440,1460,1720,1780,1780,1800,1750,1750
COP,239000,97000,190000,219000,219000,245000,270000,219000,229000,232000,253000,245000,254000,247000,239000,223000,205000,204000,168000,159000,163000,159000,169000,177000
CSP,53000,72000,90000,127000,149000,164000,135000,124000,142000,145000,167000,151000,154000,148000,136000,129000,115000,111000,99000,96000,104000,109000,116000,128000
