,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1
EVEBITCurrent,-770,-4480,-3740,-3280,60,-2220,-1850,-1460,3240,2990,2300,2040,-470,4010,2480,1410,-460,2980,-4610,-2740,450,-960,-3680,2960,580,980,1420,910,1110,970,850,1170,910,730,1120,1690,7760,4580,11010,-1180,-1320,-1320,-1340,14660,14480,14860,15420
EVEBITDACurrent,-600,-4110,-3490,-3000,50,-1960,-1550,-1000,200,4150,3140,2840,-690,9940,4010,2020,-670,6040,-2550,-2000,370,-770,-2830,2380,480,790,1110,720,920,850,770,1090,860,670,1020,1510,5790,3720,7810,-1210,-1330,-1320,-1350,14480,14410,14790,15340
DTAR,400,90,110,100,,150,180,260,,130,170,110,,90,60,50,,80,70,60,,90,60,330,,270,300,220,220,230,240,300,380,310,370,300,400,350,350,4600,4720,4690,4760,4670,4630,4570,4820
CG,660,100,120,110,,190,240,420,,190,240,160,,130,90,60,,120,100,80,,100,60,690,,370,430,290,290,320,340,490,710,540,720,520,810,540,550,-1280,-1270,-1270,-1270,-1270,-1280,-1280,-1260
LDER,90,0,0,0,,10,10,20,,10,10,10,,0,0,0,,0,0,0,,0,0,0,,70,60,70,70,60,160,200,170,200,190,120,150,20,20,-50,-60,-70,-70,-80,-80,-90,-90
PZAT,1640,150000,217000,249000,,13210,16450,12270,,22680,19870,21510,,41590,41630,35730,,100900,104300,97400,,51550,46330,12250,,190,210,190,180,250,70,60,60,70,100,160,140,270,230,180,30,,,,,,
PELDR,2320,11380,7390,7600,,5380,4770,3080,,1510,1630,1500,,1640,1610,1750,,1670,1740,1720,,2400,2870,690,,1260,1380,1430,1450,1090,1290,1300,1210,1280,1240,1140,1160,3280,3260,-15270,-15320,-13370,-12390,-11220,-10300,-9540,-10170
TSF,660,910,890,900,,810,750,630,,700,730,730,,690,710,730,,710,730,740,,910,940,470,,780,740,820,800,750,820,740,620,690,620,640,570,660,660,-3420,-3500,-3450,-3500,-3390,-3320,-3250,-3500
ZKO,550,100,120,110,,180,210,320,,250,320,220,,160,120,80,,150,120,100,,150,90,1070,,720,640,520,490,770,680,710,770,700,770,700,790,440,450,8750,8900,8970,9010,9070,9120,9160,117080
OSF,1180,1170,920,850,,960,1000,980,,370,510,330,,250,190,130,,240,210,170,,340,250,730,,830,830,690,660,780,750,760,790,720,770,700,790,1400,1390,-146900,-150790,-133470,-124770,-114590,-106420,-99660,-1349320
NetDebt,187000000,-2828000000,-2899000000,-2781000000,,-1851000000,-774000000,1097000000,,-1484000000,-179000000,-1576000000,,-2265000000,-2807000000,-2215000000,,-1693000000,-1722000000,-2457000000,,-4454000000,-7538000000,22595000000,,13124000000,17111000000,11918000000,12556000000,15395000000,8561000000,18684000000,28363000000,10458000000,27003000000,15718000000,19008000000,-7852000000,-7366000000,23356000000,24153000000,24874000000,25571000000,26278000000,26996000000,27723000000,31376000000
NetDebtEBITDA,710,-3680,-3020,-2620,,-1390,-660,1490,,1710,170,1430,,7010,3530,2009,,4250,-2090,-1920,,-2550,-5530,15510,,2410,2450,1260,1240,1130,510,940,1160,520,1410,990,2850,-1180,-2470,-1110,-1230,-1240,-1270,13770,13800,14270,16440
DebtFin,-191000000,-3224000000,-3408000000,-3247000000,,-2667000000,-1879000000,-802000000,,-4285000000,-4073000000,-3820000000,,-3888000000,-3862000000,-2902000000,,-3080000000,-2774000000,-3233000000,,-2033000000,-4529000000,2785000000,,2395000000,5875000000,4920000000,7436000000,9712000000,11045000000,19782000000,19081000000,11560000000,17751000000,22237000000,36772000000,22967000000,21434000000,23535000000,24156000000,24657000000,25200000000,25743000000,26289000000,26840000000,27377000000
DebtFinEBITDA,-720,-4190,-3550,-3060,,-2009,-1600,-1090,,4930,3770,3460,,12040,4860,2630,,7740,-3370,-2530,,-1160,-3330,1910,,440,840,520,730,710,660,990,780,580,920,1400,5500,3440,7180,-1120,-1230,-1230,-1250,13490,13440,13810,14350
SP1,2130,11380,7390,7600,,5330,4730,3010,,1490,1620,1490,,1610,1580,1730,,1630,1710,1700,,2330,2810,680,,1160,1300,1330,1350,1010,1100,1080,1020,1030,1010,1000,1000,3150,3130,-16790,-16930,-14890,-13850,-12630,-11680,-10880,-11520
SP2,2320,11380,7390,7600,,5380,4770,3080,,1500,1630,1490,,1620,1590,1730,,1630,1710,1700,,2330,2820,680,,1250,1380,1420,1450,1070,1280,1290,1200,1240,1200,1130,1150,3220,3200,-15930,-15960,-13920,-12880,-11660,-10700,-9900,-10540
CAR,580,7740,6480,6540,,2950,1570,450,,1520,1050,1700,,2410,3610,4080,,2150,2260,3300,,1520,4330,60,,240,190,140,130,130,620,370,310,570,330,130,110,0,0,0,0,0,0,0,0,0,0
QR,2020,9670,7960,8830,,5740,4750,3100,,3790,3070,4410,,5910,8410,12870,,6460,7930,9640,,6320,10700,820,,1520,1590,1970,2280,1240,2220,2070,1520,1700,1250,1320,1230,2320,2310,90,90,90,90,90,90,90,-20
CR,2110,9770,8050,8920,,5850,4930,3250,,4120,3240,4730,,6590,8920,13420,,6940,8370,10140,,6840,11340,940,,1740,1820,2570,2690,1600,2770,2400,1710,2260,1790,1890,1560,2350,2350,120,120,120,120,120,120,120,10
PP,600,7750,6490,6590,,3060,1690,510,,1550,1070,1730,,2440,3640,4130,,2190,2400,3510,,4330,8210,230,,480,370,410,380,280,1190,800,630,1180,700,790,830,1370,1350,110,110,110,110,110,110,110,0
RCLR,1380,1910,1470,2240,,2690,2830,2590,,2200,1950,2610,,3490,4740,8810,,4340,5530,6110,,2160,2400,570,,1010,1170,1490,1830,940,1030,1260,880,620,600,530,380,910,900,10,10,10,10,10,10,10,10
KP,380,830,770,780,,700,670,550,,400,380,410,,490,490,540,,480,510,510,,520,610,-20,,160,210,260,280,110,230,250,200,250,210,200,180,460,460,-3890,-3970,-3930,-3970,-3870,-3820,-3750,-4450
PKKO,220,2240,2430,2760,,2610,1430,820,,600,470,420,,500,560,630,,730,720,760,,740,1370,-290,,550,240,150,90,20,30,20,20,20,20,30,50,60,140,-260,-4532800,702730,988460,1731360,2250450,2809000,2898600
RN,5750,2330,2420,2390,4660,3590,3090,2620,3680,3940,3650,3780,3740,3520,3450,3040,2730,2520,2510,2520,2610,2890,3200,1400,2490,2730,4450,7340,12130,24660,47740,62450,73770,65099,53100,47180,33480,26380,13140,6020,220,410,9040,8300,8140,8070,7980
CRN,64000,157000,151000,153000,78000,102000,118000,139000,99000,93000,100000,97000,97000,104000,106000,120000,134000,145000,145000,145000,140000,126000,114000,262000,147000,134000,82000,50000,30000,15000,8000,6000,5000,6000,7000,8000,11000,14000,28000,61000,1663000,892000,40000,44000,45000,45000,46000
CPZ,46000,44000,44000,44000,42000,45000,44000,52000,37000,38000,46000,44000,44000,42000,32000,24000,27000,27000,25000,28000,27000,29000,34000,375000,210000,174000,94000,42000,23000,11000,6000,5000,5000,6000,9000,12000,21000,25000,45000,118000,3720000,3985000,4278000,4442000,4625000,4755000,4914000
RZ,61930,40770,40180,36000,30540,28920,29440,28990,47240,34480,33200,30010,29910,26050,24010,26900,23980,32350,37400,33420,33870,33000,24460,5360,8820,11170,20870,26640,48150,89340,141580,213210,266360,189780,122220,79180,39030,30490,15640,5750,,,,,,,
CRZ,6000,9000,9000,10000,12000,13000,12000,13000,8000,11000,11000,12000,12000,14000,15000,14000,15000,11000,10000,11000,11000,11000,15000,68000,41000,33000,17000,14000,8000,4000,3000,2000,1000,2000,3000,5000,9000,12000,23000,63000,,,,,,,
RMO,3770,1330,1060,900,980,1110,1370,1630,2290,2430,2250,2130,2110,1980,1860,1740,1560,1520,1630,1590,1640,1540,1180,640,1140,1440,2730,4430,7570,15450,26500,33700,37040,27950,21790,16920,9520,8140,4180,1960,80,140,720,700,670,650,830
RMT,9520,11390,9590,8380,8189,7370,8150,7770,10930,4480,3140,2430,2410,2380,2220,2300,2060,1990,2190,2100,2170,2160,1880,420,740,840,1680,3250,5690,10630,16140,20970,25190,21430,18740,14540,8390,8880,5780,3620,300,490,1600,1420,1240,1110,1030
RM,2700,1190,950,810,880,970,1170,1350,1890,1570,1310,1130,1120,1080,1010,990,890,860,930,900,930,900,720,250,450,530,1040,1870,3250,6300,10030,12930,14990,12130,10070,7820,4460,4240,2420,1260,60,100,380,370,350,330,320
COP,70000,166000,160000,163000,90000,115000,130000,152000,107000,104000,111000,109000,109000,118000,121000,134000,149000,156000,155000,156000,151000,137000,129000,330000,188000,167000,99000,64000,38000,19000,11000,8000,6000,8000,10000,13000,20000,26000,51000,124000,,,,,,,
CSP,24000,122000,116000,119000,48000,70000,86000,100000,70000,66000,65000,65000,65000,76000,89000,110000,122000,129000,130000,128000,124000,108000,95000,-45000,-22000,-7000,5000,22000,15000,8000,5000,3000,1000,2000,1000,1000,-1000,1000,6000,6000,,,,,,,
