,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZOCurrent,200,220,1040,380,720,500,740,890,1310,1210,1150,1150,1080,1530,1610,1740,1710,1980,1920,1790,2029,1770,1870,2160,2009,2120,2050,1860,2530,2430,2690,2820,2140,2820,-370,-230,-170,-590,2540,2520,2920,2810,3370,3270,3030
CZOCurrent,40380,36370,7750,21460,11280,16100,10840,9100,6150,6650,7050,7000,7500,5260,5000,4640,4710,4070,4210,4500,3980,4570,4320,3740,4010,3810,3930,4340,3180,3320,3000,2860,3770,2860,,,,,3180,3200,2760,2870,2390,2470,2660
EVCurrent,11550,8350,6740,4970,4720,5700,920,7340,6870,6400,6390,6380,6130,5970,6300,6320,6220,6200,5600,6360,5150,4720,5780,6350,5530,6390,6430,7480,8270,10150,11550,12190,12580,12270,17490,17980,18190,18140,18020,20780,20290,20000,20820,21000,19800
EVPCurrent,560,400,280,200,180,310,50,500,450,410,390,390,360,340,350,340,320,300,250,280,230,210,250,290,250,300,310,360,390,470,520,540,580,550,780,770,740,730,710,830,800,780,810,790,740
EVEBITCurrent,57790,37640,6470,13220,6600,11370,1240,8280,5230,5280,5580,5530,5690,3890,3910,3630,3630,3120,2920,3550,2540,2670,3090,2940,2750,3020,3130,4019,3260,4170,4300,4330,5870,4350,-47610,-78760,-105990,-30810,7110,8240,6940,7120,6180,6420,6530
EVEBITDACurrent,5750,4140,2360,1990,1390,2370,350,3170,2510,2420,2420,2400,2370,1960,2040,1970,1950,1760,1620,1860,1400,1390,1620,1640,1480,1660,1700,2090,1980,2510,2660,2750,3270,2700,12290,10080,8940,9980,3570,4120,3700,3680,3430,3410,3260
DTAR,320,320,320,310,300,290,250,230,240,230,230,220,220,220,230,210,230,220,260,210,220,210,260,240,250,270,300,280,300,320,330,360,370,410,470,460,460,460,470,470,470,470,510,480,480
CG,480,460,470,450,420,410,330,300,320,300,310,290,290,280,300,270,300,280,350,270,290,270,350,310,340,370,420,390,430,470,500,570,580,690,960,900,920,900,950,940,930,940,1090,980,980
LDER,290,280,280,210,210,210,170,170,160,160,150,150,150,150,140,140,140,140,160,140,140,140,160,160,160,220,220,230,270,320,350,420,420,550,750,720,730,720,710,710,710,700,770,720,710
PZAT,4400,4520,4380,5690,5420,5310,5250,5140,5320,5380,5760,5560,5600,5630,6070,5920,6150,6200,5530,6250,6480,6610,6060,6110,6300,4520,4650,4370,3980,3450,3270,2710,2780,2160,2029,2060,2060,2080,2150,2190,2170,2210,2040,2080,2080
PELDR,990,990,1040,1030,1080,1090,1280,1310,1310,1320,1280,1320,1320,1330,1280,1320,1270,1270,1230,1220,1220,1220,1150,1170,1140,1190,1130,1160,1140,1140,1130,1180,1160,1250,1090,1100,1090,1090,1070,1030,1030,1020,1050,1060,1070
TSF,870,880,870,830,850,860,880,900,880,890,880,890,890,900,870,900,880,890,860,890,880,890,860,880,860,890,860,890,880,890,890,910,900,910,860,880,870,880,850,860,860,850,820,840,830
ZKO,2850,2740,1980,1640,1400,1370,780,720,740,710,740,680,690,660,720,660,740,730,850,790,820,790,1030,970,1050,1080,1230,1200,1340,1480,1610,1550,1650,1520,2280,2230,2270,2340,2280,2740,2800,2780,2300,2280,2220
OSF,2170,2120,1610,1390,1250,1230,860,810,830,810,830,790,790,770,810,760,820,810,910,850,870,850,1020,980,1040,1050,1140,1130,1210,1280,1350,1290,1340,1230,1420,1430,1440,1480,1430,1650,1680,1660,1360,1410,1380
