,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PZAT,6780,10510,5500,12110,,45180,8189,6110,,6110,6030,11560,,10350,12400,13820,,7520,27500,36220,,17460,17590,17890,,21010,3920,19400,12330,2320,1580,7910,2260,1430,1110,1430,1350,1020,1360,1430,3720,4330,4380,2140,1080,1150,1160,1100,2330,4670,4980,5280
PELDR,1250,1140,1220,1120,,1110,1150,1220,,1210,1070,980,,940,1070,990,,1010,990,980,,970,970,970,,950,1140,960,990,740,990,750,1010,1150,1290,1040,1050,1150,1010,920,990,1020,1020,940,1200,1160,1130,1110,840,380,390,390
TSF,590,620,640,560,,540,570,590,,550,560,530,,560,630,660,,720,670,660,,700,700,690,,690,810,690,730,250,310,490,650,740,780,630,660,760,510,430,570,660,640,620,770,760,740,750,570,240,250,250
ZKO,910,950,950,960,,1010,1000,960,,1020,1140,1190,,1330,1110,1300,,1280,1230,1200,,1230,1230,1230,,1260,1210,1220,1230,1320,1250,1690,1620,1790,1690,1780,1820,2040,2950,2590,1390,1250,1220,1640,1600,1660,1670,1810,1840,2220,2300,2370
OSF,1000,990,990,1000,,1010,1010,1000,,1000,980,990,,1050,1040,1130,,1140,1120,1100,,1130,1120,1120,,1140,1110,1120,1130,500,540,1080,1050,1020,940,930,930,930,1530,1250,1140,1080,1060,1090,1050,1080,1060,1080,1100,490,540,580
NetDebt,179678000000,147740000000,163283000000,176773000000,,180021000000,210401000000,182579000000,,224163000000,213614000000,197017000000,,149415000000,110606000000,100285000000,,85826000000,78452000000,86053000000,,81501000000,79979000000,85906000000,,91045000000,90254000000,90437000000,80662000000,103491000000,112264000000,251313000000,266170000000,272360000000,286481000000,302756000000,290324000000,290172000000,167287000000,170600000000,116207000000,86926000000,93611000000,129825000000,143627000000,139463000000,148792000000,147596000000,145156000000,157848000000,152613000000,149085000000
NetDebtEBITDA,2780,4190,8160,10570,,5580,6240,5760,,9720,11180,12110,,-26260,-28170,-13780,,4930,6800,6670,,8570,7420,9680,,7680,7720,5540,6020,19800,15400,5360,5020,7970,7830,29580,27280,9100,5720,13320,-4000,-3960,-4250,-6460,7490,6600,8340,8660,9120,-2290,-2350,-2350
DebtFin,79940000000,60692000000,70497000000,68663000000,,76610000000,103378000000,85021000000,,114200000000,118458000000,102404000000,,88316000000,65833000000,59075000000,,52124000000,44036000000,50030000000,,44451000000,39864000000,46165000000,,54894000000,50198000000,51806000000,47962000000,60138000000,65518000000,155259000000,169295000000,163122000000,195345000000,191482000000,196989000000,196506000000,103799000000,117630000000,18674000000,20825000000,22331000000,59978000000,81110000000,76440000000,83171000000,90936000000,95728000000,98530000000,103200000000,102522000000
DebtFinEBITDA,1240,1720,3520,4110,,2370,3070,2680,,4950,6200,6290,,-15520,-16760,-8119,,2990,3820,3880,,4670,3700,5200,,4630,4290,3180,3580,11500,8990,3310,3190,4780,5340,18710,18510,6160,3550,9180,-640,-950,-1010,-2990,4230,3620,4660,5340,6010,-1430,-1590,-1620
SP1,1100,1040,1040,1030,,1000,1010,1040,,980,860,830,,790,940,870,,890,910,910,,910,910,910,,910,920,920,920,380,430,640,650,570,560,520,510,450,520,480,820,870,870,660,660,650,630,600,600,220,240,250
