,2007/Q4,2008/Q4,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CG,640,670,670,590,580,590,560,480,510,490,800,770,780,790,890,800,800,800,840,770,770,770,920,840,850,850,1000,970,970,950,1010,920,880,990,980,890,870
LDER,360,370,340,330,310,300,280,270,270,270,490,500,510,530,560,580,560,550,540,550,560,560,650,630,640,630,540,700,710,670,720,700,680,770,710,650,660
PZAT,4090,4210,4290,4270,4440,4500,4310,4200,4280,4360,2960,2720,2730,2630,2570,2510,2490,2560,2700,2580,2550,2540,2120,2160,2190,2200,2900,2200,2200,2330,2200,2210,2260,1990,2200,2310,2300
PELDR,880,860,870,910,910,910,1030,1040,1030,1010,1000,1040,1020,1040,1010,1040,1030,1010,970,1010,1000,1010,1060,1080,1060,1070,880,1000,990,970,990,1010,1010,1060,1000,1010,1010
TSF,740,730,720,740,740,730,800,840,820,840,810,840,830,840,810,860,860,850,820,870,880,880,860,880,880,880,770,860,870,860,860,880,890,890,860,870,880
ZKO,2460,2640,2160,1920,1920,1810,1610,1770,1750,2009,2440,2280,2450,2380,2510,2650,2840,2870,3060,3310,3810,3640,3260,3370,3670,3640,4080,3940,4160,4550,3910,4030,4330,3130,3750,3660,4120
OSF,1560,1630,1380,1290,1310,1250,1290,1430,1400,1580,1630,1560,1640,1600,1610,1740,1830,1850,1920,2150,2430,2330,2080,2210,2360,2350,2320,2290,2390,2610,2230,2380,2580,1860,2180,2220,2480
NetDebt,5885828000000,6464579000000,6870971000000,6362812000000,5984428000000,5926394000000,6716039000000,6344097000000,6381792000000,6645127000000,11826084000000,11772069000000,11814806000000,11675123000000,13437306000000,12417301000000,12472624000000,12397155000000,13909284000000,13437135000000,13491955000000,13677958000000,14977102000000,14423649000000,14824629000000,14833889000000,15624030000000,15335059000000,14902204000000,15081934000000,16313058000000,15562473000000,15185935000000,15401082000000,16643049000000,15953761000000,15350630000000
NetDebtEBITDA,4250,4000,2600,2270,2170,2160,2440,2270,2180,2240,3870,3710,3370,3100,3490,3030,3260,3290,3800,3810,3750,3830,4130,4050,4180,4170,-228300,-70180,-14630,-13180,6600,5590,4250,4360,4760,4450,4800
DebtFin,1203686000000,1281155000000,867286000000,1085319000000,581173000000,131013000000,18486000000,553301000000,-55659000000,436189000000,4031436000000,4717918000000,4439168000000,4489226000000,4535221000000,5114526000000,5030218000000,4550910000000,5227226000000,6167111000000,6167737000000,6327003000000,7096414000000,6939278000000,7018417000000,7148333000000,8216106000000,8716548000000,8633354000000,8478356000000,8923317000000,9528578000000,9297512000000,9197994000000,9329306000000,9793333000000,10010541000000
DebtFinEBITDA,870,790,330,390,210,50,10,200,-20,150,1320,1490,1270,1190,1180,1250,1320,1210,1430,1750,1710,1770,1960,1950,1980,2009,-120060,-39890,-8480,-7410,3610,3420,2600,2600,2670,2730,3130
SP1,630,620,640,670,690,690,800,810,800,780,670,680,670,670,640,660,650,640,630,650,640,640,640,660,640,650,570,580,580,570,570,590,600,600,580,610,600
SP2,870,840,860,900,900,900,1020,1030,1020,990,990,1030,1010,1030,1000,1030,1010,1000,970,1000,990,1000,1060,1070,1050,1060,870,990,980,960,980,1000,1000,1050,990,1000,1000
CAR,320,280,260,240,310,380,350,280,380,260,100,130,160,270,190,270,230,310,120,90,70,80,300,290,230,280,50,80,100,60,80,60,60,530,180,100,120
QR,800,660,750,980,920,930,930,1150,1030,900,700,910,830,930,760,1060,870,770,540,670,610,590,750,840,740,740,440,610,720,580,740,870,800,1240,830,890,820
CR,950,830,940,1170,1120,1130,1230,1330,1210,1100,1050,1270,1170,1270,1070,1350,1200,1110,900,1040,960,1000,1070,1180,1080,1090,530,920,890,750,890,1020,990,1400,950,1020,990
PP,380,300,270,270,370,420,360,280,380,260,130,130,160,270,190,270,240,310,120,90,70,80,320,290,230,280,50,120,160,100,100,90,100,580,220,170,250
RCLR,420,390,490,690,610,570,570,830,670,670,580,760,670,680,560,790,660,500,410,560,540,520,440,500,490,450,280,480,430,370,450,630,620,580,520,570,520
KP,-10,-30,-10,30,20,20,40,40,30,10,10,40,30,40,10,40,30,20,-20,0,-10,0,10,20,10,10,-110,-10,-10,-40,-20,0,0,50,-10,0,0
PKKO,-20,-60,-20,50,40,40,80,80,50,20,20,70,40,60,20,70,50,30,-40,10,-10,0,20,50,20,30,-200,-20,-30,-60,-40,10,0,130,-20,10,0
RN,9590,9460,7100,6740,6870,7060,7100,7500,7850,8189,8250,8160,8119,8060,8220,7980,7720,7720,7750,8250,8710,8860,8920,9160,9330,9490,9390,9160,9200,9240,9110,8700,8200,7590,7200,7230,7450
CRN,38000,39000,51000,54000,53000,52000,51000,49000,46000,45000,44000,45000,45000,45000,44000,46000,47000,47000,47000,44000,42000,41000,41000,40000,39000,38000,39000,40000,40000,40000,40000,42000,45000,48000,51000,50000,49000
CPZ,90000,100000,104000,93000,90000,88000,85000,77000,72000,66000,66000,67000,68000,68000,67000,69000,71000,76000,82000,85000,85000,83000,81000,80000,81000,82000,97000,100000,102000,106000,93000,90000,88000,85000,87000,89000,90000
RZ,42940,28510,21490,23620,24970,26390,22210,25690,28950,31400,28040,21830,18220,16230,16910,17260,17530,16379,14250,12930,12500,12240,13250,13690,13520,13820,20690,20250,25370,32240,25470,37120,36060,38170,43510,45310,46840
CRZ,8000,13000,17000,15000,15000,14000,16000,14000,13000,12000,13000,17000,20000,22000,22000,21000,21000,22000,26000,28000,29000,30000,28000,27000,27000,26000,18000,18000,14000,11000,14000,10000,10000,10000,8000,8000,8000
RMO,4290,4390,3730,3750,3790,3810,3680,3970,4170,4530,4780,4690,4700,4540,4570,4400,4230,4080,3960,4090,4310,4550,4460,4310,4180,4030,4240,4340,4440,4660,4560,4590,4610,4010,3880,3800,3770
RMT,710,690,740,760,780,800,850,920,990,1040,1030,1020,1010,1000,1020,950,870,800,720,700,680,670,660,660,660,650,640,630,630,630,620,620,600,590,580,580,580
RM,610,600,620,630,640,660,690,750,800,840,850,840,830,820,830,780,720,670,610,600,590,580,570,560,550,540,540,540,550,550,550,540,530,520,510,500,500
COP,46000,52000,68000,69000,68000,66000,67000,63000,59000,57000,57000,62000,65000,67000,66000,67000,68000,69000,73000,72000,71000,71000,69000,67000,66000,64000,57000,58000,54000,51000,54000,52000,55000,58000,59000,58000,57000
CSP,-44000,-48000,-36000,-24000,-22000,-22000,-18000,-14000,-13000,-9000,-9000,-5000,-3000,-1000,-1000,-2000,-3000,-7000,-9000,-13000,-14000,-12000,-12000,-13000,-15000,-18000,-40000,-42000,-48000,-55000,-39000,-38000,-33000,-27000,-28000,-31000,-33000
