,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKCurrent_sq,,,,,40.28,-24.04,-9.96,-1.05,-4.07,0.61,-2.05,-10.87,-2.35,2.98,-4.87,-2.68,-2.96,4.49,-3.32,-3.81,-3.16,12.21
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,9.85,26.54,292.22,,,,-101.62,-123.32,-115.53,-88.66,1213.53,234.13,356.80,2353.23,735.09,302.11,88.97,-101.69,-165.40,-219.01,-392.38
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,-3.41,-13.30,-15.39,-102.28,-1292.23,42.29,161.82,124.17,67.70,10.50,490.59,-23.69,-19.25,-48.07,-105.29,-2848.24,-46.95,-27.58
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,,,781.56,,,,-95.92,-88.03,-75.13,-47.08,,,,
CWKGrahamCurrent_sy,,,,,,,,,,,587.45,,,,-94.97,-11.59,-84.84,-21.37,,,,
CWKGrahamCurrent_qq,,,,,3.54,15.34,18.19,,,,,-55.39,-40.37,-9.50,-83.07,31.05,23.84,92.57,,,,
CWKGrahamCurrent_sq,,,,,61.88,-8.91,-0.55,,,,,-94.30,394.53,-77.61,-20.36,0.26,-15.21,16.13,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,32.72,12.38,-16.13,,,,13.99,19.34,25.47,32.02,34.49,31.89,31.78,22.80,-5.05,-4.80,-8.95,-8.04,14.10,13.87,16.22
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,2.36,1.64,4.03,5.31,7.17,6.86,9.46,7.28,5.10,6.78,2.00,-17.05,5.37,2.12,3.02,2.93,5.16,4.22
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-24.65,-11.02,19.24,,,,-12.28,-16.20,-20.31,-24.26,-25.64,-24.18,-24.11,-18.56,5.31,5.03,9.83,8.73,-12.37,-12.17,-13.96
CPCurrent_sy,,9.40,-10.32,-1.28,,,,5.02,-17.49,-4.41,0.29,-11.91,-9.13,-11.25,-9.86,3.53,-2.19,-2.75,-6.95,-9.10,-2.75,-3.68
CPCurrent_qq,,,,,-2.31,-1.60,-3.88,-5.05,-6.68,-6.43,-8.64,-6.78,-4.85,-6.35,-1.96,20.55,-5.11,-2.07,-2.94,-2.84,-4.90,-4.06
CPCurrent_sq,,,,,24.95,-12.28,-4.20,0.02,-1.83,1.63,0.50,-12.15,1.27,-0.74,2.07,0.90,-4.32,-1.31,-2.33,-1.43,2.37,-2.26
ZCurrent,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,208.58,1047.56,-33.61,,,,45.88,80.73,69.43,35.19,2.53,-16.03,-4.34,27.40,10.48,-4.86,-41.63,-68.45,-64.56,-13.33,18.88
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,-6.67,8.78,14.44,25.56,15.62,1.98,-8.68,-4.78,-5.31,16.18,21.61,-17.43,-18.45,-28.72,-34.28,-7.24,99.44,-2.23
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-67.60,-91.29,50.63,,,,-31.45,-44.67,-40.98,-26.03,-2.47,19.10,4.54,-21.51,-9.48,5.10,71.31,217.04,182.20,15.38,-15.87
CZCurrent_sy,,-59.62,-65.46,238.29,,,,-32.03,-66.36,-66.79,-70.06,-53.22,-46.90,-26.58,-11.17,31.46,57.69,32.16,18.60,-10.07,-13.08,8.76
CZCurrent_qq,,,,,7.14,-8.07,-12.62,-20.35,-13.52,-1.94,9.51,5.01,5.61,-13.93,-17.78,21.10,22.63,40.29,52.17,7.79,-49.86,2.29
CZCurrent_sq,,,,,58.59,-22.58,-0.35,-44.45,-21.50,-23.57,-10.17,-13.19,-10.90,5.67,8.68,28.47,6.88,-11.44,-2.47,-2.58,3.30,10.81
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,34.38,62.53,1.42,,,,13.46,30.18,30.38,29.80,25.79,19.73,18.98,15.39,-9.78,-25.48,-48.20,-65.50,-68.94,-44.41,18.08
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,-4.70,3.96,5.97,8.06,9.35,4.12,5.49,4.73,4.08,3.48,2.31,-18.12,-14.04,-28.07,-31.86,-26.28,53.86,52.79
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-25.58,-38.47,-1.40,,,,-11.87,-23.19,-23.30,-22.95,-20.50,-16.47,-15.96,-13.34,10.84,34.20,93.06,189.90,221.97,79.88,-15.32
CZOCurrent_sy,,-49.34,6.30,18.53,,,,-7.07,-38.73,-48.00,-48.49,-53.88,-40.28,-17.83,-8.13,38.51,59.74,36.44,25.46,-2.36,-3.39,11.48
CZOCurrent_qq,,,,,4.93,-3.82,-5.64,-7.46,-8.55,-3.96,-5.21,-4.51,-3.92,-3.36,-2.26,22.13,16.33,39.03,46.77,35.64,-35.01,-34.55
CZOCurrent_sq,,,,,9.62,-2.91,-5.24,-7.84,-27.73,-17.60,-6.13,-17.50,-6.42,13.38,4.95,24.39,7.92,-3.16,-3.50,-3.20,6.78,11.75
EVCurrent,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-0.71,23.73,-17.32,,,,11.03,22.03,19.56,14.99,4.82,1.33,1.71,-3.64,-13.34,-10.33,-2.90,8.42,28.59,32.67,35.44
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,-1.86,3.34,4.45,4.81,7.87,1.25,0.45,-4.45,4.28,1.63,-4.84,-14.07,7.90,10.05,6.26,1.92,11.32,12.35
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-25.19,10.10,-1.42,,,,-2.59,2.26,-4.71,-12.90,-22.07,-23.17,-22.81,-21.54,-8.72,-5.81,6.64,17.91,12.69,16.50,16.55
EVPCurrent_sy,,1.54,4.07,13.49,,,,18.93,-9.19,-7.56,-9.65,-36.77,-32.84,-33.73,-32.11,1.60,2.37,4.25,13.40,-4.76,1.45,-1.00
EVPCurrent_qq,,,,,-4.13,1.68,0.39,-0.47,0.65,-5.26,-8.23,-10.95,-0.77,-4.82,-6.71,3.60,2.39,7.76,3.15,-0.99,5.86,7.80
EVPCurrent_sq,,,,,26.16,-2.14,-3.21,-0.46,-3.68,-0.39,-5.40,-30.34,2.31,-1.71,-3.09,4.26,3.09,0.09,5.41,-12.44,9.81,-2.33
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-26.11,-23.88,-18.47,,,,-2.15,-6.27,-8.30,-11.41,-16.67,-15.36,-14.51,-16.49,-3.94,20.34,87.46,214.30,314.04,138.65,14.70
EVEBITCurrent_sy,,-36.14,-2.34,26.63,,,,-19.25,-50.35,-40.79,-46.54,-46.65,-30.98,-18.17,-3.01,23.89,38.52,20.37,8.19,-11.11,-12.66,13.34
EVEBITCurrent_qq,,,,,2.98,-0.61,-1.44,-3.00,-1.36,-2.76,-4.78,-8.76,0.19,-1.78,-6.99,4.94,25.52,53.00,55.95,38.25,-27.65,-26.47
EVEBITCurrent_sq,,,,,22.01,-23.94,-3.97,-9.40,-24.98,-9.28,-13.30,-9.58,-2.94,7.56,2.75,15.50,8.51,-6.53,-7.65,-5.11,6.63,21.29
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-22.49,-18.29,-13.74,,,,-5.17,-9.47,-14.12,-19.09,-24.41,-21.37,-17.98,-18.53,-6.00,10.91,50.73,109.20,129.75,70.18,8.33
EVEBITDACurrent_sy,,-12.16,39.50,-2.02,,,,-22.04,-39.90,-37.86,-42.12,-30.59,-22.72,-15.30,-5.10,15.27,17.81,10.57,9.68,-14.57,-9.48,11.12
EVEBITDACurrent_qq,,,,,0.98,-0.85,-1.33,-4.00,-3.61,-5.94,-7.03,-10.31,0.26,-1.89,-7.66,3.48,18.30,33.33,28.16,13.65,-12.37,-15.13
EVEBITDACurrent_sq,,,,,15.86,-9.59,-2.89,-23.36,-10.69,-6.51,-9.55,-8.09,-0.55,2.47,1.33,11.64,1.64,-3.83,0.51,-13.05,7.69,18.06
ROE,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,109.31,766.74,-65.50,,,,21.77,43.04,41.73,22.34,-9.07,-21.97,-20.15,-24.79,-19.45,-28.08,-49.75,-62.23,-63.39,-16.49,7.48
ROE_sy,,247.44,-25.40,-26.00,,,,29.42,82.52,191.00,213.01,19.48,34.96,16.75,-9.39,-30.47,-39.39,-43.75,-29.23,-12.84,-7.03,1.05
ROE_qq,,,,,-8.30,4.36,5.48,20.64,7.72,3.40,-8.95,-10.34,-7.57,5.81,-14.24,-3.96,-17.47,-26.06,-35.54,-6.92,88.25,-4.84
ROE_sq,,,,,-39.02,-30.07,3.75,192.53,-14.00,11.49,11.60,11.66,-2.86,-3.55,-13.39,-14.32,-15.32,-10.48,8.96,5.52,-9.67,-2.71
ROA,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,144.44,1063.64,-33.11,,,,5.11,16.95,13.56,2.44,-9.72,-22.45,-15.22,-0.74,2.92,-13.64,-46.44,-69.12,-74.44,-39.96,-18.21
ROA_sy,,324.38,22.69,-30.76,,,,-10.79,69.44,197.52,219.40,44.05,58.82,40.27,24.69,-10.13,-31.30,-43.18,-36.10,-17.49,-18.87,-18.37
ROA_qq,,,,,-4.38,2.44,-2.24,9.76,6.39,-0.52,-11.81,-3.27,-8.62,8.75,3.25,0.30,-23.32,-32.55,-40.46,-16.99,80.12,-8.12
ROA_sq,,,,,-48.46,-32.89,-0.50,159.20,-2.11,17.84,6.82,16.90,7.93,4.07,-5.04,-15.74,-17.49,-13.93,6.78,8.80,-18.87,-13.40
OPM,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,1.13,44.74,20.87,,,,-0.51,9.07,3.89,-1.58,-6.43,-9.19,-9.69,-6.03,-4.95,-21.78,-43.20,-62.48,-72.83,-51.24,1.76
OPM_sy,,97.22,-24.92,9.24,,,,10.93,22.35,12.38,8.75,21.79,39.88,26.13,11.53,-12.02,-28.15,-34.21,-22.78,-11.59,-9.70,-5.62
OPM_qq,,,,,-6.91,2.34,1.74,2.64,2.06,-2.52,-3.62,-2.41,-0.96,-3.05,0.29,-1.28,-18.50,-29.61,-33.75,-28.52,46.28,46.91
OPM_sq,,,,,-15.94,12.20,8.89,8.02,-7.29,3.06,5.37,20.98,6.48,-7.08,-6.83,-4.57,-13.04,-14.92,9.36,9.26,-11.18,-11.07
ROS,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,128.00,929.82,-20.78,,,,27.96,51.42,35.10,2.40,-23.87,-36.45,-27.45,3.72,16.34,,-35.81,-65.66,-68.88,-23.77,2.11
ROS_sy,,237.35,-8.33,-0.80,,,,3.62,89.37,197.97,192.00,37.09,29.65,16.35,27.40,-12.46,,-28.11,-19.12,-12.46,-11.93,-14.56
ROS_qq,,,,,-8.82,6.84,10.15,19.24,7.90,-4.67,-16.50,-11.35,-9.93,8.82,19.37,-0.57,-22.58,-30.15,-36.14,-9.89,89.63,-6.43
ROS_sq,,,,,-39.44,-34.55,-11.17,194.29,10.68,2.98,-12.95,38.16,4.67,-7.58,-4.69,-5.07,-10.52,-11.21,7.23,2.75,-9.98,-13.86
RS,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,15.24,46.63,30.66,,,,-5.14,0.66,0.13,-6.79,-7.67,-7.51,-7.65,-1.26,,-18.80,-42.73,-65.11,-71.78,-49.12,5.84
RS_sy,,173.16,-17.02,8.34,,,,8.39,32.17,18.97,11.39,28.76,45.61,30.98,22.55,,-27.76,-22.53,-11.66,-0.76,-1.67,-25.71
RS_qq,,,,,-5.40,-1.33,2.96,-1.31,0.40,-1.84,-4.16,-2.24,0.57,-1.99,2.47,-0.99,-18.34,-30.88,-37.56,-19.92,47.21,43.79
RS_sq,,,,,-20.32,16.14,6.66,9.83,-2.84,4.53,-0.14,26.96,9.87,-5.97,-6.57,-9.83,-8.81,0.83,6.55,1.29,-9.64,-23.82
GPM,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,33.33,538.64,2.67,,,,22.70,45.07,19.05,-14.35,-33.90,-40.40,-21.48,17.88,38.03,21.70,-33.21,-64.93,-69.20,-41.36,-16.10
GPM_sy,,227.82,-15.67,6.35,,,,-5.88,76.91,144.27,82.82,51.72,55.79,40.16,28.27,-8.96,-26.18,-31.55,-19.94,-11.41,-14.75,-18.32
GPM_qq,,,,,-10.40,9.67,10.58,12.92,5.93,-10.00,-20.44,-12.85,-4.49,18.57,19.43,2.05,-15.79,-34.93,-37.29,-10.36,60.30,-6.90
GPM_sq,,,,,-40.92,-24.39,35.50,55.49,11.05,4.40,1.41,29.04,14.03,-6.07,-7.19,-8.41,-7.54,-12.91,8.55,1.35,-11.03,-16.56
RBS,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,,,,,,,,,,
RBS_sy,,,,,,,,,,,,,,,,,,,,,,
RBS_qq,,,,,,,,,,,,,,,,,,,,,,
RBS_sq,,,,,,,,,,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,4.92,65.40,2.22,,,,-18.30,-15.73,-12.52,-1.60,10.83,10.65,5.39,-10.09,-16.00,-32.41,-52.46,-66.21,-77.65,-61.50,-18.84
ROPA_sy,,187.64,-21.78,-12.26,,,,-4.95,15.88,33.16,25.85,60.03,63.70,42.48,17.30,-21.82,-32.55,-49.52,-38.87,-20.32,-17.27,-3.52
ROPA_qq,,,,,-2.43,-2.04,-9.53,-5.52,0.64,1.69,1.76,6.42,0.48,-3.15,-13.19,-0.57,-19.16,-31.88,-38.30,-34.23,39.29,43.59
ROPA_sq,,,,,-21.62,7.52,12.26,0.46,-4.44,23.56,6.10,27.75,-2.25,7.54,-12.65,-14.85,-15.67,-19.52,5.77,11.00,-12.44,-6.14
ZNPO,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,193.24,699.84,248.49,,,,-77.69,-86.46,235.49,-24.50,63.53,-21.59,-71.73,-38.00,-35.82,-68.99,12.28,-23.67,-75.13,-22.34,10.41
ZNPO_sy,,337.18,27.03,-21.19,,,,-38.55,2.23,53.36,156.78,61.89,62.86,51.54,24.97,15.85,5.18,-12.02,-21.44,-35.75,-33.36,-5.09
ZNPO_qq,,,,,395.53,-95.00,77.36,-49.25,200.61,23.99,-60.09,9.92,44.14,-55.30,-12.46,13.79,-30.36,61.87,-40.49,-62.93,117.49,130.14
ZNPO_sq,,,,,-32.42,-24.41,-26.28,63.18,12.42,13.40,23.43,2.88,13.10,5.52,1.80,-4.63,2.68,-11.74,-9.10,-22.01,6.51,25.70
ZFI,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,-78.54,-28.84,-37.97,,,,198.86,179.37,32.65,34.32,-34.81,-44.83,-16.69,-27.69,-24.25,2.94,3.45,28.21,57.70,29.54,17.09
ZFI_sy,,-25.10,34.54,-24.81,,,,65.43,25.42,13.79,14.91,-28.98,1.21,3.71,-20.58,1.92,-3.20,-18.98,25.08,-7.18,-18.52,14.21
ZFI_qq,,,,,-2.29,78.41,2.61,67.07,-8.66,-15.29,3.90,-18.91,-22.70,27.91,-9.81,-15.05,5.05,28.54,11.77,4.49,-13.71,16.18
ZFI_sq,,,,,13.73,4.86,-1.32,40.57,-13.78,-4.86,-0.35,-13.12,22.87,-2.51,-23.69,11.50,16.69,-18.40,17.82,-17.26,2.43,14.38
DTAR,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,-1.13,-10.50,-36.17,,,,24.83,33.55,33.78,24.59,0.52,0.22,-5.36,-24.39,-24.79,-17.84,-6.37,23.22,44.16,34.98,24.64
DTAR_sy,,-0.79,-4.26,-12.25,,,,11.12,3.21,7.27,8.37,-5.33,-8.36,-14.33,-12.77,-10.45,-2.33,0.51,6.79,12.83,6.70,6.66
DTAR_qq,,,,,-5.56,2.88,10.12,16.66,1.04,3.06,2.56,-5.88,0.74,-2.68,-18.07,-6.37,10.05,10.90,7.83,9.55,3.04,2.40
DTAR_sq,,,,,4.35,5.11,-3.36,4.83,-3.07,9.24,-2.37,-8.42,-6.17,2.11,-0.59,-5.99,2.34,5.08,5.62,-0.66,-3.22,5.04
CG,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,-14.01,-33.57,-67.08,,,,44.64,63.21,66.83,48.78,1.21,0.85,-10.83,-42.69,-41.10,-31.57,-12.14,50.45,106.65,87.85,63.93
CG_sy,,6.01,-12.50,-23.35,,,,17.94,1.04,16.46,18.40,-10.43,-11.74,-25.67,-21.43,-19.22,-8.81,-0.76,10.89,24.99,16.15,20.31
CG_qq,,,,,-9.35,4.75,18.86,28.16,2.29,7.07,6.00,-12.82,1.93,-5.32,-31.87,-10.41,18.41,21.56,16.66,23.06,7.64,6.09
CG_sq,,,,,9.38,4.92,-6.74,10.19,-6.29,20.93,-5.19,-16.64,-7.66,1.84,0.22,-14.30,4.25,10.84,11.99,-3.41,-3.12,14.80
LDER,,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,-34.11,-10.39,-84.40,,,,303.27,385.08,280.08,168.43,7.65,-7.39,-18.14,-42.45,-72.23,-49.47,-30.74,55.86,345.19,192.66,180.70
LDER_sy,,-58.43,29.15,-46.58,,,,47.12,-12.04,53.03,17.44,-4.17,-16.09,-24.59,-28.89,-7.69,-8.67,5.34,30.47,25.43,36.40,57.87
LDER_qq,,,,,-8.93,30.17,36.23,149.69,9.54,2.00,-3.79,0.14,-5.76,-9.84,-32.36,-51.69,71.52,23.56,52.23,37.98,12.76,18.51
LDER_sq,,,,,83.22,-41.37,25.37,9.24,9.54,2.00,-3.79,-10.86,-4.08,-8.34,-9.27,15.72,-5.10,5.73,12.38,11.25,3.19,22.38
PZAT,,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,15.12,-12.93,175.35,,,,-61.60,-67.10,-62.86,-55.05,-15.49,-10.76,6.04,12.70,167.69,67.82,38.16,3.30,-58.88,-39.24,-42.15
PZAT_sy,,39.32,-17.08,19.55,,,,-26.80,-15.85,-32.66,-29.40,21.37,26.06,41.45,35.98,13.80,9.75,0.08,-13.00,-11.84,-15.65,-13.59
PZAT_qq,,,,,13.49,-15.64,-19.30,-50.31,-2.76,-4.77,-2.32,-6.57,2.69,13.16,3.82,121.90,-35.62,-6.84,-22.37,-11.68,-4.87,-11.30
PZAT_sq,,,,,-12.07,17.09,-2.72,-26.92,1.09,-6.30,2.00,25.63,5.00,5.14,-1.95,5.13,1.26,-4.13,-14.76,6.53,-3.11,-1.78
PELDR,,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,8.04,15.22,56.60,,,,-14.06,-14.21,-6.89,3.45,6.96,12.39,6.75,31.01,6.46,3.92,-3.89,-29.56,-22.56,-23.68,-13.46
PELDR_sy,,19.13,5.81,2.36,,,,-3.87,-1.87,1.79,2.04,6.10,6.62,2.68,3.92,1.22,1.73,1.34,2.57,0.02,1.35,-1.94
PELDR_qq,,,,,-3.41,-5.98,-4.74,-0.66,-3.58,2.03,5.84,2.72,1.32,-3.09,29.89,-16.53,-1.11,-10.37,-4.80,-8.23,-2.54,1.64
PELDR_sq,,,,,-1.14,-1.04,-1.56,-0.18,0.92,2.65,-1.33,3.79,1.42,-1.14,-0.13,1.10,1.92,-1.53,1.08,-1.41,3.28,-4.72
TSF,,,,,,,,,,,,,,,,,,,,,,
TSF_yy,,-5.51,28.88,29.63,,,,10.28,8.31,4.15,3.50,1.52,-2.87,0.12,14.86,-0.39,2.71,-2.31,-8.90,-4.15,-4.26,4.15
TSF_sy,,22.57,4.53,0.82,,,,-6.00,0.75,8.27,5.40,10.03,3.77,1.27,1.50,0.49,2.53,0.55,1.87,-0.63,0.35,-3.96
TSF_qq,,,,,3.35,0.70,-3.77,10.11,1.50,-3.16,-4.37,8.00,-2.89,-0.17,9.70,-6.34,0.14,-5.05,2.30,-1.45,0.02,3.29
TSF_sq,,,,,-0.42,-5.31,3.05,-3.25,6.72,1.76,0.32,1.00,0.65,-0.69,0.55,-0.01,2.69,-2.61,1.87,-2.46,3.70,-6.80
ZKO,,,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,-9.80,-3.84,-43.98,,,,50.12,61.18,45.76,24.64,-4.75,-12.21,-10.11,-30.71,-28.70,-18.84,-5.74,47.96,72.84,64.35,48.31
ZKO_sy,,-24.25,-4.63,7.47,,,,14.15,-23.50,2.93,8.49,-13.19,-9.51,-2.15,-8.40,23.55,18.79,7.03,3.82,-3.43,-6.93,0.60
ZKO_qq,,,,,-1.52,7.54,11.13,27.55,5.73,-2.75,-4.97,-2.53,-2.55,-0.42,-26.75,0.31,10.92,15.66,14.98,17.18,5.47,4.37
ZKO_sq,,,,,41.08,-24.24,4.94,1.76,-5.45,1.93,10.61,-18.57,-1.44,10.22,3.54,9.84,-5.24,-0.69,0.43,2.17,-8.68,7.35
OSF,,,,,,,,,,,,,,,,,,,,,,
OSF_yy,,17.71,17.08,32.46,,,,-0.57,3.36,4.50,4.31,1.05,2.41,1.77,4.81,-2.01,-0.87,-0.43,-6.34,-3.06,-6.08,-6.69
OSF_sy,,13.60,-5.95,7.18,,,,22.86,3.84,5.08,12.72,-10.51,2.87,-0.96,0.21,0.34,5.49,2.48,-3.04,-2.66,-7.48,-9.07
OSF_qq,,,,,-4.39,-1.27,1.63,3.64,-0.61,-0.18,1.45,0.40,0.72,-0.81,4.49,-6.14,1.90,-0.37,-1.71,-2.86,-1.27,-1.01
OSF_sq,,,,,-3.78,8.93,-1.52,19.04,-18.68,10.22,5.64,-5.49,-6.52,6.13,6.88,-5.37,-1.73,3.10,1.13,-5.00,-6.59,1.33
NetDebt,44474000000,56635000000,47622000000,30076000000,28911000000,37336000000,49017000000,67895000000,76698000000,80888000000,86345000000,76503000000,82174000000,84932000000,80629000000,62287000000,76278000000,102170000000,127398000000,148208000000,158865000000,197828000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,-0.59,-44.47,-50.58,,,,92.82,96.80,55.61,23.95,-18.74,-16.87,-15.33,-21.05,-27.91,-6.28,52.43,148.86,325.11,167.15,54.86
NetDebtEBITDA_sy,,-46.33,-21.30,19.16,,,,18.99,-24.50,-24.34,-29.83,-25.88,-18.26,-11.74,-10.55,-18.70,-13.38,-12.89,-1.49,5.41,-3.33,20.30
NetDebtEBITDA_qq,,,,,-1.10,23.90,24.03,26.86,0.95,-2.03,-1.20,-16.83,3.28,-0.22,-7.88,-24.06,34.26,62.29,50.40,29.72,-15.63,-5.92
NetDebtEBITDA_sq,,,,,44.91,-10.34,0.36,-8.75,-8.05,-10.15,-6.92,-3.62,1.42,-2.99,-5.67,-12.40,8.06,-2.44,6.68,-6.26,-0.90,21.40
DebtFin,8966000000,8217000000,33009000000,14160000000,11515000000,16183000000,22609000000,29876000000,42322000000,44461000000,45232000000,37500000000,44600000000,47424000000,38917000000,18844000000,32758000000,51850000000,64932000000,69198000000,94835000000,125961000000
DebtFin_yy,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,-28.45,165.28,-66.44,,,,80.22,172.66,97.34,40.77,-9.47,-18.23,-13.99,-27.26,-55.51,-25.85,38.54,162.79,556.08,271.36,94.30
DebtFinEBITDA_sy,,-46.44,26.84,41.80,,,,19.19,16.63,40.39,15.70,-30.00,-33.86,-31.20,-21.72,-20.61,-8.56,2.01,2.40,8.56,3.86,9.54
DebtFinEBITDA_qq,,,,,-16.33,34.84,31.99,21.02,26.59,-2.41,-5.84,-22.18,14.35,2.65,-20.37,-52.40,90.59,91.78,51.05,18.83,7.88,0.34
DebtFinEBITDA_sq,,,,,15.06,-21.43,8.95,21.02,12.59,-5.43,-10.21,-26.78,6.38,-1.62,2.17,-25.75,22.52,9.75,2.56,-21.28,17.21,15.76
SP1,,,,,,,,,,,,,,,,,,,,,,
