,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
PCurrent_yy,35.28,-23.09,,,,1.79,49.09,65.74,44.64,33.64,4.43,5.82,30.96,48.53,60.75,48.36,2.55,-12.59,-11.48,-9.22,3.80,-12.30,-28.27,-36.13,-42.85,-30.73,-18.96,2.24,40.82,48.07,43.21,4.97,-29.80,-47.41,-51.25,-24.94,4.40,57.53,74.42,26.28,7.78,-21.02,-14.31,-10.84,-9.62,15.72,6.05,18.16,19.84,-5.14,-11.80,-34.36,-29.39
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,-15.90,-4.81,15.27,10.29,23.19,5.82,0.60,1.90,-3.74,7.24,24.50,15.58,4.18,-1.03,-13.94,-1.49,5.51,1.50,-1.60,-16.77,-13.70,-9.64,-11.94,0.88,0.95,14.00,21.30,6.07,-2.37,-16.43,-18.88,-20.54,-9.49,28.68,12.82,19.89,0.21,-6.83,-3.71,-12.15,8.73,-3.06,-2.39,12.48,-0.36,8.01,-1.00,-10.97,-7.35,-19.62,6.49
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,-26.08,30.05,,,,-1.78,-32.97,-39.66,-30.93,-25.09,-4.16,-5.50,-23.58,-32.69,-37.83,-32.61,-2.48,14.35,12.97,10.12,-3.61,14.02,39.51,56.73,74.89,44.40,23.26,-2.15,-28.97,-32.53,-30.17,-4.82,42.38,90.40,105.33,33.33,-4.23,-36.60,-42.70,-20.85,-7.15,26.68,16.72,12.23,10.64,-13.55,-5.76,-15.43,-16.58,5.41,13.49,52.45,41.58
CPCurrent_sy,-8.30,-19.21,,,,-21.10,-20.99,-25.65,-16.23,-17.05,-5.74,10.29,6.82,-19.38,-10.93,-11.84,-7.60,21.43,12.66,8.84,-1.77,-5.62,-10.99,-24.33,-26.59,-24.86,-24.96,-10.96,1.87,32.02,50.99,61.96,54.27,4.13,-22.94,-37.93,-39.84,-36.24,-23.27,-18.07,-14.81,-5.87,-9.11,-4.50,-3.97,51.22,79.88,83.42,98.79,-2.79,15.55,-24.27,292.17
CPCurrent_qq,,,18.96,4.98,-13.19,-9.40,-18.82,-5.50,-0.63,-1.74,3.86,-6.82,-19.63,-13.46,-4.07,1.00,16.30,1.49,-5.23,-1.55,1.79,20.04,15.96,10.60,13.59,-0.88,-1.02,-12.20,-17.54,-5.85,2.45,19.67,23.35,25.90,10.48,-22.29,-11.41,-16.64,-0.16,7.34,3.93,13.73,-8.00,3.21,2.46,-11.14,0.28,-7.39,1.07,12.29,7.97,24.41,-6.14
CPCurrent_sq,,,-12.00,-3.20,-8.18,0.88,-11.88,-8.92,3.46,-0.10,0.14,6.57,0.20,-24.61,10.64,5.48,5.02,-0.92,2.65,1.90,-5.21,-4.80,-3.20,-13.37,-8.04,-2.56,-3.33,2.79,5.20,26.29,10.56,10.26,0.20,-14.76,-18.18,-11.19,-2.88,-9.67,-1.52,-5.17,0.99,-0.18,-4.92,-0.35,1.55,57.18,13.10,1.61,10.06,-23.14,34.43,-33.41,469.95
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,246.96,-83.91,,,,260.00,2459.23,1436.34,230.32,294.42,165.82,78.76,88.50,3.94,-27.23,-9.20,-13.36,46.25,89.98,-10.05,-44.11,-87.16,-85.17,-117.04,-196.47,-419.03,-473.38,-138.18,101.55,130.70,119.33,51.34,-5436.57,-631.42,-661.55,-172.65,53.38,122.18,65.15,119.71,128.82,-84.86,237.99,-326.80,-456.61,-1181.52,-142.76,86.86,57.86,-100.94,-534.96,-5097.49,-1263.64
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,-75.47,-404.72,519.44,14.84,74.36,59.11,3.68,37.13,17.51,7.00,9.33,-24.39,-17.74,33.52,4.32,27.64,6.86,-36.78,-35.18,-70.69,23.48,-172.62,-267.03,3.06,-44.52,53.68,102.38,1823.88,-9.00,-216.58,-161.46,-91.58,3.84,43.40,55.29,191.15,-251.07,132.02,-34.63,-52.13,1277.17,-152.63,-2.79,-45.17,45.55,83.83,-229.68,-592.31,-72.06,-32.35,13.50
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,521.57,,,,-72.22,-96.09,,-69.72,-74.65,-62.38,-44.06,-46.95,-3.78,37.42,10.13,15.41,-31.63,-47.36,11.16,78.93,679.09,574.22,,,,,,,,,,,,,,,,,,,560.66,,,,,,,,,,,
CZCurrent_sy,,26.55,,,,-60.65,-40.92,,-30.17,-26.22,-45.50,-30.34,-36.26,-15.90,38.90,-16.90,20.52,20.27,-28.12,25.55,30.89,56.43,40.04,,,,,,,,,,,,,,,,,,,-43.96,,,,,,,,,,,
CZCurrent_qq,,,307.72,,,-12.92,-42.65,-37.15,-3.55,-27.08,-14.89,-6.55,-8.52,32.24,21.56,-25.10,-4.14,-21.66,-6.42,58.17,54.30,241.13,-19.02,,,,,,,-94.80,9.89,,,,,,,,,,52.97,108.91,-92.74,,,,,,,,,,
CZCurrent_sq,,,-9.63,,,-22.60,35.67,-23.28,-13.33,-18.22,0.22,-1.93,-20.70,7.90,65.52,-41.33,15.02,7.68,-1.08,2.48,19.91,28.68,-11.45,,,,,,,16.94,-2.61,,,,,,,,,,-9.25,-19.86,-3.70,,,,,,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,187.41,-114.80,,,,494.01,715.00,3081.23,197.47,288.68,135.18,78.82,92.06,55.93,29.02,40.16,-1.82,-29.01,-12.01,-50.49,-44.88,-35.39,-51.12,-92.79,-182.95,-228.59,-281.68,-1044.37,101.38,128.60,120.85,59.07,-7604.31,-495.59,-530.18,-106.29,78.22,122.05,66.38,117.22,150.47,-90.33,249.72,-365.36,-441.59,-1731.19,-142.10,84.81,65.10,-83.67,-477.71,-4733.49,-1425.68
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,-17.51,71.27,1220.82,4.14,83.42,39.25,11.84,36.07,10.98,5.88,20.12,10.48,-8.17,15.01,-15.86,-20.12,13.82,-35.28,-6.32,-6.37,-13.90,-90.45,-1177.11,-45.14,-21.65,50.34,101.57,2913.79,-11.30,-197.48,-187.96,-58.87,3.54,53.25,69.60,260.86,-247.05,123.95,-10.89,-69.17,2176.27,-142.44,-14.70,-47.20,41.25,84.68,-163.51,-674.58,-84.79,-28.15,16.82
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
