,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-2.75,-10.43,,,-69.00,,-67.56,,-14.46,-21.60,-14.75,-18.96,-20.33,13.70,21.39,5.38,40.58,37.54,8.89,22.03,-2.22,-17.45,-14.06,-6.76,-17.33,-22.76,-6.69,-11.45,-0.93,-11.16,-25.90
CWKCurrent_sy,,-13.45,-5.56,,,-7.97,,-25.40,,-0.10,20.15,32.60,13.41,-3.00,10.30,5.85,2.34,4.90,-3.47,-2.57,-5.15,-10.58,-9.62,-6.52,-5.34,-4.27,-3.77,-3.00,-3.28,-3.73,-15.92,-21.37
CWKCurrent_qq,,,,,,,-0.96,-11.00,4.28,-6.94,-9.23,-3.22,-0.87,-8.52,29.55,3.32,-13.94,22.04,26.75,-18.21,-3.55,-2.22,7.02,-14.85,4.65,-13.30,-0.02,2.87,-0.70,-3.00,-10.34,-14.19
CWKCurrent_sq,,,,,,,-21.88,-7.44,23.19,12.15,-6.04,2.15,5.36,-4.07,6.84,-1.97,1.87,-1.68,-1.69,-1.06,-0.82,-7.31,-0.64,2.34,0.42,-6.26,-0.11,3.17,0.13,-6.69,-12.77,-3.52
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,8.14,12.64,,,237.01,,304.15,,-44.32,-47.94,-44.96,-29.89,22.99,-20.53,-26.17,-10.03,-30.71,-26.59,-11.91,-15.48,24.82,26.06,30.70,24.37,32.21,90.31,55.92,55.13,40.66,41.84,81.02
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,-100.00,,22.37,-4.89,-26.03,-35.33,14.41,0.56,-5.78,13.46,-26.08,-6.57,14.81,-12.61,-21.69,12.12,10.16,29.05,-20.91,16.24,4.83,37.18,13.84,-4.76,4.30,24.39,14.79,21.54
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,-7.53,-11.22,,,-70.33,,-75.26,,79.59,92.09,81.69,42.64,-18.69,25.84,35.44,11.15,44.31,36.23,13.52,18.31,-19.88,-20.67,-23.49,-19.60,-24.37,-47.45,-35.86,-35.54,-28.91,-29.49,-44.76
CWKGrahamCurrent_sy,,-64.09,6.20,,,-26.50,,-12.25,,113.79,68.24,39.60,36.96,-36.08,-17.43,13.11,-3.56,-6.58,48.41,27.41,-22.79,-17.28,-46.63,-62.02,-54.16,-40.32,-27.14,14.01,36.40,71.49,23.80,-13.08
CWKGrahamCurrent_qq,,,,,,,-18.28,5.14,35.19,54.62,-12.59,-0.56,6.14,-11.86,35.28,7.03,-12.90,14.43,27.70,-10.81,-9.23,-22.51,26.44,-13.97,-4.61,-27.11,-12.16,5.00,-4.12,-19.61,-12.89,-17.73
CWKGrahamCurrent_sq,,,,,,,4.33,-1.97,35.19,54.62,-17.90,-18.66,32.63,-27.84,6.07,11.43,13.09,-30.10,68.49,-4.34,-31.47,-25.12,8.70,-31.91,-17.28,-2.51,32.70,6.55,-1.04,22.56,-4.20,-25.19
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,-35.18,40.25,,,73.86,,69.03,53.35,12.40,20.84,10.30,27.64,21.16,17.56,15.39,-2.15,1.59,-6.67,-0.30,7.54,11.84,16.02,10.92,6.82,7.64,6.30,1.93,5.72,5.05,23.16,42.16
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,8.32,41.90,-0.87,10.93,-1.73,4.00,6.57,1.26,13.73,-1.28,3.41,-0.61,-3.56,2.50,-5.00,6.18,4.02,6.59,-1.45,1.51,0.18,7.41,-2.68,-2.67,3.91,6.72,14.10,12.35
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,54.28,-28.70,,,-42.48,,-40.84,-34.79,-11.03,-17.24,-9.33,-21.66,-17.46,-14.94,-13.33,2.20,-1.56,7.15,0.29,-7.01,-10.58,-13.81,-9.84,-6.39,-7.10,-5.93,-1.89,-5.41,-4.80,-18.81,-29.66
CPCurrent_sy,,2.42,-2.87,,,-12.47,,2.24,6.91,-8.20,-24.75,-24.50,-24.38,0.06,-1.65,1.69,5.52,-7.19,0.43,8.18,6.29,3.37,0.94,-1.45,-1.94,-6.96,-10.61,-14.15,-18.14,-7.35,-15.60,-14.82
CPCurrent_qq,,,,,-7.68,-29.53,0.88,-9.86,1.76,-3.85,-6.17,-1.24,-12.07,1.29,-3.29,0.62,3.69,-2.44,5.27,-5.82,-3.87,-6.18,1.47,-1.48,-0.19,-6.90,2.76,2.74,-3.77,-6.30,-12.36,-10.99
CPCurrent_sq,,,,,-5.29,-7.27,27.27,-8.53,-0.96,-20.38,4.33,-8.23,-0.80,5.35,2.54,-5.11,2.93,-7.34,10.97,2.22,1.13,-9.89,8.36,-0.21,0.64,-14.50,4.11,-4.16,-4.05,-3.23,-5.16,-3.27
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-49.64,275.48,,,133.06,,91.89,84.67,8.15,-13.46,-22.46,3.94,26.72,60.95,83.18,38.98,-3.54,-9.02,0.71,-0.46,35.88,15.27,-12.71,-21.95,-23.33,-22.35,-25.54,-12.55,-15.56,6.80,46.93
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,1.89,68.71,8.76,2.64,-1.94,-1.19,-12.97,-8.04,31.43,20.47,10.53,4.66,-0.28,-16.39,4.26,15.85,-1.44,14.14,-11.55,-12.26,-11.88,12.13,-10.43,-15.86,3.48,8.27,13.29,15.76
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,98.57,-73.37,,,-57.09,,-47.89,-45.85,-7.54,15.55,28.96,-3.79,-21.09,-37.87,-45.41,-28.05,3.67,9.91,-0.70,0.47,-26.41,-13.24,14.55,28.13,30.43,28.79,34.30,14.36,18.42,-6.36,-31.94
CZCurrent_sy,,-27.29,22.88,,,12.20,,8.77,57.23,59.95,104.86,74.91,-6.18,-31.41,-31.22,-25.97,8.09,9.72,-6.16,8.10,-29.84,-10.31,-12.79,-14.45,3.73,-25.13,-3.88,-10.20,-7.34,11.19,-22.35,-1.52
CZCurrent_qq,,,,,-1.86,-40.73,-8.05,-2.57,1.98,1.21,14.90,8.74,-23.91,-16.99,-9.53,-4.46,0.28,19.61,-4.09,-13.68,1.46,-12.39,13.06,13.98,13.48,-10.81,11.64,18.85,-3.37,-7.64,-11.73,-13.61
CZCurrent_sq,,,,,1.04,20.16,-15.40,5.89,46.07,22.23,8.36,-9.59,-21.65,-10.64,8.67,-2.69,14.40,-9.29,-7.06,12.09,-25.76,15.96,-9.63,9.97,-9.98,-16.30,16.01,2.74,-7.12,0.44,-18.98,30.30
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-71.43,174.12,,,149.76,,105.91,52.13,4.51,-15.80,-23.99,14.94,32.21,67.76,87.78,37.33,-8.63,-17.13,-7.56,2.01,41.91,29.59,-0.57,-23.05,-28.42,-31.08,-30.07,-10.03,-8.79,22.93,48.29
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,18.55,55.49,8.33,3.12,-12.42,6.82,-12.73,-6.91,32.44,22.88,10.74,4.20,-3.14,-18.25,0.43,16.23,6.89,13.73,-8.29,-10.82,-17.28,5.80,-11.70,-9.50,6.43,7.25,19.01,9.16
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,250.05,-63.52,,,-59.96,,-51.44,-34.27,-4.32,18.77,31.56,-13.00,-24.36,-40.39,-46.75,-27.19,9.44,20.68,8.18,-1.97,-29.53,-22.83,0.57,29.95,39.70,45.10,42.99,11.15,9.64,-18.65,-32.56
CZOCurrent_sy,,14.32,6.62,,,4.15,,-9.33,35.24,35.95,35.55,119.58,25.62,-20.61,-29.14,-43.93,-27.46,-14.43,-1.58,-17.03,-24.40,-21.79,-12.29,14.10,20.62,2.22,-7.72,0.24,2.45,5.35,-3.23,-13.68
CZOCurrent_qq,,,,,-15.64,-35.69,-7.69,-3.02,14.18,-6.39,14.58,7.42,-24.49,-18.62,-9.70,-4.03,3.24,22.32,-0.43,-13.97,-6.45,-12.07,9.04,12.13,20.89,-5.48,13.25,10.50,-6.04,-6.76,-15.97,-8.39
CZOCurrent_sq,,,,,-5.75,22.77,1.95,-23.13,40.58,23.41,1.65,24.52,-19.58,-22.01,-9.27,-1.47,4.04,-8.00,4.36,-16.94,-5.20,-4.82,17.03,8.05,0.22,-19.34,5.65,17.37,2.43,-17.06,-2.95,4.69
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-1.06,-0.92,,,-11.37,,-7.32,0.04,11.97,8.29,5.69,4.02,0.71,1.06,1.94,-0.53,1.47,2.74,0.37,0.65,-0.15,-1.98,-0.42,2.29,-1.58,-4.20,-1.91,-5.07,-2.64,-5.55,-7.16
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,-3.25,-9.31,2.91,2.65,4.42,1.51,-0.48,0.18,2.77,-1.72,-0.13,1.06,0.28,0.26,1.12,-1.26,0.55,-0.53,-0.73,0.30,3.29,-4.30,-3.37,2.70,-0.04,-1.85,-6.25,0.95
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,52.64,-29.35,,,-49.02,,-45.17,-34.77,-0.38,-10.38,-4.18,-18.51,-16.88,-14.03,-11.65,1.66,-0.12,10.08,0.67,-6.41,-10.72,-15.51,-10.22,-4.24,-8.57,-9.88,-3.76,-10.21,-7.31,-23.31,-34.69
EVPCurrent_sy,,-2.36,-9.31,,,-2.24,,59.20,6.52,-2.33,22.31,-3.18,19.70,-5.01,5.00,1.29,20.91,-15.41,-3.64,-7.13,-8.52,4.04,-11.26,-6.40,0.49,5.22,-6.50,-10.60,-17.77,-7.91,-8.56,-13.28
EVPCurrent_qq,,,,,-10.68,-36.09,3.81,-7.47,6.26,-2.39,-6.61,-1.06,-9.63,-0.44,-3.42,1.68,3.98,-2.18,6.44,-7.01,-3.34,-6.68,0.73,-1.19,3.10,-10.90,-0.71,5.52,-3.81,-8.03,-17.84,-10.15
EVPCurrent_sq,,,,,-4.13,44.32,-16.13,37.18,-35.86,32.33,5.04,8.59,-20.70,5.02,16.10,4.76,-5.34,-26.53,32.26,0.96,-6.76,-16.44,12.82,6.48,0.10,-12.50,0.25,1.81,-7.92,-2.01,-0.46,-3.44
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,246.32,-63.86,,,-64.51,,-54.99,-34.24,7.14,28.61,39.04,-9.50,-23.83,-39.76,-45.71,-27.57,11.05,23.98,8.59,-1.34,-29.64,-24.36,0.15,32.93,37.48,39.01,40.26,5.51,6.75,-23.17,-37.39
EVEBITCurrent_sy,,7.96,16.85,,,-8.99,,-4.28,34.48,32.17,88.86,53.32,30.30,9.43,-32.96,-33.83,-17.96,-34.86,-4.52,15.42,-8.16,2.77,-7.46,-18.51,-8.07,-11.22,-22.06,-13.18,2.16,32.27,5.97,5.69
EVEBITCurrent_qq,,,,,-18.39,-41.67,-5.00,-0.45,19.22,-4.97,14.04,7.62,-22.40,-20.01,-9.81,-3.01,3.53,22.64,0.68,-15.05,-5.93,-12.54,8.24,12.47,24.86,-9.55,9.44,13.48,-6.08,-8.49,-21.23,-7.53
EVEBITCurrent_sq,,,,,-29.83,25.81,-4.71,13.78,-1.41,23.65,36.16,-7.63,-16.22,3.84,-16.58,-8.84,3.88,-17.55,22.28,10.19,-17.34,-7.74,10.11,-2.97,-6.75,-10.90,-3.33,8.08,9.73,15.37,-22.55,7.80
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,170.25,-53.13,,,-60.02,,-52.11,-33.71,0.84,14.32,20.90,-11.88,-21.94,-34.07,-37.45,-25.06,8.36,22.68,8.13,1.99,-24.94,-21.90,-0.23,28.50,32.52,32.94,34.05,3.38,6.32,-21.18,-34.36
EVEBITDACurrent_sy,,-15.46,-11.91,,,27.73,,23.86,44.09,21.46,36.59,22.19,19.69,-3.67,-22.27,-35.52,-32.02,-17.59,-4.84,3.79,-3.19,-25.27,-21.56,1.26,-1.88,11.67,5.84,21.16,20.59,12.58,9.12,-15.45
EVEBITDACurrent_qq,,,,,-16.61,-38.70,-4.65,-1.76,15.44,-6.75,8.09,3.90,-15.86,-17.39,-8.70,-1.43,0.80,19.45,3.36,-13.12,-4.92,-12.09,7.55,10.99,22.45,-9.34,7.88,11.92,-5.56,-6.76,-20.03,-6.79
EVEBITDACurrent_sq,,,,,-15.16,41.53,-10.83,15.68,-1.31,19.31,0.27,3.49,-3.32,-3.98,-19.09,-14.15,1.92,16.41,-6.58,-6.36,-4.92,-10.14,-1.94,20.87,-7.87,2.26,-7.06,38.36,-8.30,-4.53,-9.92,7.21
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-51.03,236.38,,,-27.76,,-37.75,,-7.49,-32.17,-33.91,-15.78,0.98,83.02,122.38,46.51,35.59,25.17,9.63,21.45,32.84,-4.87,-24.98,-27.24,-36.62,-40.02,-30.52,-22.54,-16.32,-5.11,8.90
ROE_sy,,125.65,35.79,,,-39.77,,-36.93,,-17.89,-26.82,2.48,4.13,10.66,-3.11,-9.60,-22.95,17.85,46.98,10.05,14.01,1.80,16.88,25.55,11.58,0.12,8.73,14.72,39.11,17.28,-1.62,2.04
ROE_qq,,,,,,,7.73,-8.64,2.23,-8.06,-21.01,-10.98,30.26,10.25,43.16,8.16,-14.18,2.03,32.16,-5.26,-4.93,11.60,-5.36,-25.29,-7.79,-2.79,-10.43,-13.46,2.80,5.01,1.58,-0.68
ROE_sq,,,,,,,-3.80,-10.90,16.22,-17.57,-14.26,24.77,18.10,-12.41,-24.93,16.42,0.65,33.98,-6.37,-12.84,4.27,19.63,7.50,-6.37,-7.33,7.34,16.75,-1.21,12.37,-9.51,-2.06,2.46
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-45.98,269.77,,,-11.24,,-23.59,,-7.51,-31.64,-32.97,-19.59,-2.04,68.53,105.12,44.27,30.03,11.18,4.09,10.17,23.22,-4.59,-26.77,-27.92,-34.46,-36.26,-27.22,-18.12,-14.90,-2.98,15.26
ROA_sy,,80.13,35.47,,,-45.53,,-55.77,,-5.47,-36.36,10.34,-22.28,10.03,16.96,-2.92,-7.01,6.34,27.10,-6.65,32.88,23.40,50.45,63.22,7.86,-5.89,3.09,4.26,37.40,9.01,-5.32,-16.14
ROA_qq,,,,,,,10.01,-10.00,3.48,-9.73,-18.69,-11.75,24.13,9.98,39.89,7.42,-12.70,-0.87,19.61,0.57,-7.60,10.86,-7.39,-22.80,-9.06,0.80,-9.93,-11.85,2.31,4.77,2.68,4.72
ROA_sq,,,,,,,13.18,-16.19,36.95,-27.23,-23.81,45.31,-3.53,3.03,-19.01,20.61,-7.59,17.81,-3.20,-11.41,31.53,9.41,18.02,-3.89,-13.08,-4.54,29.29,-2.81,14.54,-24.26,12.28,-13.91
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-55.90,95.38,,,43.65,,21.81,-0.79,-7.00,-30.33,-31.09,-9.95,9.12,42.73,62.77,40.35,-10.06,-11.22,-7.30,-5.15,26.90,11.71,-10.35,-27.97,-33.51,-35.18,-31.38,-14.88,-13.15,-0.16,4.29
OPM_sy,,66.48,-3.94,,,-43.07,,-49.53,-46.59,3.14,-44.18,-29.24,-12.78,-12.68,24.79,31.68,12.74,15.54,10.17,21.58,17.14,18.71,10.45,12.38,-4.34,0.99,-3.00,-13.04,-1.34,1.63,14.80,40.50
OPM_qq,,,,,9.43,9.57,9.29,-7.05,-10.88,2.71,-18.12,-8.06,16.46,24.47,7.09,4.85,0.42,-20.24,5.72,9.49,2.75,6.71,-6.94,-12.14,-17.44,-1.50,-9.28,-6.99,2.40,0.50,4.30,-2.84
OPM_sq,,,,,-5.87,-51.24,51.72,-27.54,-0.37,-5.83,-17.90,-8.14,22.82,-5.73,17.34,-3.07,5.15,-3.39,11.89,6.97,1.30,-2.09,4.11,8.83,-13.77,3.36,,-2.44,-2.17,6.47,12.96,19.41
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-22.35,167.75,,,34.05,,13.51,20.42,-3.78,-28.38,-29.69,-18.55,4.59,36.95,58.75,42.00,-5.03,-2.53,1.01,-7.44,21.49,-0.64,-21.30,-26.94,-28.78,-26.96,-26.97,-17.29,-19.60,-13.26,3.38
ROS_sy,,206.88,24.74,,,-64.82,,-58.29,-79.84,16.81,-33.19,-1.89,156.25,3.83,-18.55,-40.54,-25.00,9.65,47.64,124.68,49.59,19.04,43.09,28.18,-14.54,15.73,1.98,-7.55,25.28,-11.73,13.00,11.46
ROS_qq,,,,,-5.96,18.89,9.72,-7.47,-0.23,-5.00,-18.34,-9.16,15.58,21.99,6.92,5.30,3.38,-18.41,9.74,9.12,-5.27,7.10,-10.26,-13.56,-12.05,4.40,-7.96,-13.57,-0.40,1.47,-0.70,3.01
ROS_sq,,,,,0.32,-62.99,49.36,-24.79,-51.52,114.45,-14.57,10.45,26.64,-13.11,-32.98,-19.37,59.74,27.03,-9.76,22.70,6.36,1.09,8.47,9.91,-29.09,36.88,-4.41,-0.36,-3.90,-3.55,22.37,-1.72
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-54.99,62.45,,,143.71,,74.52,35.07,3.22,-25.12,-26.28,-9.93,-0.67,27.16,40.98,30.46,-9.22,-13.00,-6.64,-6.61,23.23,14.98,-5.89,-22.82,-27.94,-32.13,-30.36,-13.35,-11.21,2.98,8.80
RS_sy,,47.16,6.78,,,-12.57,,-30.61,-27.75,-34.40,-50.12,-45.55,-32.94,-21.41,14.96,25.24,19.16,35.53,16.13,18.23,12.94,15.05,16.11,12.42,4.42,2.78,-4.63,-13.50,-16.30,0.66,7.69,3.17
RS_qq,,,,,16.72,37.83,15.27,-5.89,-9.67,5.33,-16.37,-7.36,10.37,16.17,7.05,2.71,2.14,-19.16,2.59,10.23,2.17,6.66,-4.28,-9.78,-16.21,-0.41,-9.84,-7.43,4.26,2.05,4.56,-2.20
RS_sq,,,,,-14.90,-21.34,10.04,-5.80,-11.39,-28.58,-16.34,2.84,9.13,-16.30,22.37,12.04,3.84,-4.81,4.85,14.07,-0.81,-3.03,5.82,10.45,-7.87,-4.55,-1.81,0.17,-10.85,14.79,5.06,-4.04
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-35.86,184.09,,,42.69,,16.74,18.09,-1.73,-27.22,-29.29,-15.75,3.02,34.95,57.10,39.66,-4.50,-1.79,2.05,-5.28,24.89,2.28,-19.10,-25.96,-30.78,-29.76,-29.71,-19.82,-21.16,-13.82,1.40
GPM_sy,,707.45,15.54,,,-66.18,,-42.33,-55.72,38.58,-41.41,-19.81,73.31,-4.83,-26.48,-28.50,-34.47,6.57,86.53,110.63,80.60,33.47,46.39,38.19,-8.78,3.15,-10.63,-16.51,13.48,-1.83,42.89,14.51
GPM_qq,,,,,-3.84,18.29,10.24,-6.91,-2.73,-1.56,-18.35,-9.56,15.90,20.38,6.95,5.28,3.04,-17.69,10.00,9.39,-4.37,8.53,-9.92,-13.47,-12.48,1.47,-8.60,-13.41,-0.17,-0.22,-0.09,1.88
GPM_sq,,,,,-14.86,-52.35,76.38,-19.42,-34.63,49.15,-25.43,10.29,41.28,-18.09,-42.39,7.25,29.47,33.21,0.84,21.11,11.01,-1.55,10.60,14.33,-26.72,11.33,-4.17,6.79,-0.40,-3.69,39.48,-14.41
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,-23.17,-8.84,,,53.69,,38.47,10.46,0.92,-19.51,-18.34,-6.14,-5.00,11.92,15.27,10.01,-10.81,-14.43,-6.67,-5.33,20.23,17.42,1.12,-11.63,-19.88,-24.11,-22.49,-9.40,-6.49,4.44,8.92
RBS_sy,,20.68,-10.21,,,-4.24,,-19.33,-18.43,-6.70,-7.13,11.56,-7.84,-5.80,-5.25,-3.59,3.17,12.85,10.59,6.71,9.26,-0.18,-3.62,-1.29,-13.77,-5.33,-8.86,-13.91,-4.51,-4.37,8.03,16.58
RBS_qq,,,,,14.81,14.31,11.11,-5.03,-8.42,4.43,-11.38,-3.65,5.25,5.70,4.41,-0.77,0.45,-14.31,0.17,8.23,1.89,8.83,-2.17,-6.79,-10.95,-1.33,-7.33,-4.80,4.09,1.83,3.50,-0.71
RBS_sq,,,,,14.66,-17.74,1.83,-16.01,15.94,-5.91,1.36,0.89,-4.23,-3.83,1.95,2.66,2.49,5.20,-0.09,-0.94,4.95,-3.89,-3.53,1.45,-8.32,5.52,-7.13,-4.17,1.68,5.67,4.92,3.41
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-69.39,170.14,,,-4.88,,-18.00,,-10.59,-33.50,-34.27,-11.07,2.17,75.65,110.24,42.59,23.18,1.27,-4.47,12.92,28.70,7.26,-16.60,-28.96,-38.82,-43.44,-31.63,-15.72,-8.08,11.74,16.30
ROPA_sy,,-1.38,-1.27,,,-13.24,,-43.15,,-12.38,-22.54,-8.04,-32.55,-4.80,36.60,23.93,17.25,23.06,-4.12,12.18,21.28,21.24,17.60,2.36,-1.68,4.38,8.19,15.56,16.93,-14.69,-3.50,-6.76
ROPA_qq,,,,,,,9.59,-9.58,-7.59,-2.36,-18.49,-10.63,25.03,12.17,40.14,6.97,-15.20,-3.10,15.21,0.90,0.24,10.44,-3.98,-21.54,-14.62,-4.88,-11.24,-5.15,5.25,3.73,7.91,-1.28
ROPA_sq,,,,,,,-3.58,-11.55,47.58,-30.38,-14.76,5.01,8.24,-1.74,22.32,-4.73,2.40,3.13,-4.70,11.46,10.71,3.10,-7.57,-2.98,6.35,9.45,-4.20,3.63,7.61,-20.15,8.36,0.13
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,138.21,251.65,,,4.10,,-54.34,-53.61,-27.25,-37.92,-2.36,-9.54,-6.37,17.54,18.55,23.12,21.01,16.28,-5.42,-3.93,-24.73,-32.05,-31.24,-23.78,-18.81,-9.58,-8.56,-29.68,22.77,9.68,26.28
ZNPO_sy,,-40.12,88.41,,,-67.05,,-43.19,-63.07,-2.57,-27.34,-22.86,138.45,48.74,56.17,10.06,-32.52,-35.01,-1.10,-14.76,25.87,65.22,83.68,79.48,4.06,9.46,-19.98,-5.81,46.49,6.00,-1.27,-18.77
ZNPO_qq,,,,,1.46,-32.42,-7.35,-28.13,3.09,5.97,-20.94,13.05,-4.49,9.69,-0.75,14.02,-0.81,7.81,-4.64,-7.25,0.76,-15.53,-13.92,-6.15,11.70,-10.03,-4.14,-5.09,-14.09,57.08,-14.36,9.28
ZNPO_sq,,,,,-19.61,-42.73,-9.27,36.01,-47.75,51.11,-32.34,44.40,61.52,-5.74,-28.96,1.76,-0.96,-9.21,8.10,-12.29,46.24,19.17,20.17,-14.30,-15.21,25.34,-12.15,0.87,31.88,-9.30,-18.18,-17.00
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,4.02,127.61,,,-56.79,,1.86,724.57,375.92,238.04,121.29,-57.42,-71.57,-68.43,-58.31,-25.47,127.56,57.08,14.89,-11.09,-56.17,-39.47,-4.41,57.93,43.23,36.95,17.81,-40.14,-8.64,-27.05,-33.37
ZFI_sy,,2.13,8.75,,,1.46,,26.27,-1.13,4.95,-4.96,3.06,-3.68,-26.83,-11.55,-14.57,-18.93,18.33,-15.72,3.34,20.69,-25.93,9.00,11.46,7.82,35.01,10.34,-10.36,-4.17,5.29,4.62,9.42
ZFI_qq,,,,,-60.98,54.88,29.72,29.92,215.88,-10.60,-7.86,-14.95,-39.21,-40.33,2.34,12.31,8.66,82.20,-29.36,-17.85,-15.91,-10.18,-2.44,29.72,38.93,-18.54,-6.72,11.59,-29.41,24.33,-25.52,1.92
