,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVCurrent,29060,26750,30930,30980,28370,28930,29650,27240,29640,29100,29700,28440,29530,28870,29350,27720,29090,29090,29750,27170,28970,29860
EVPCurrent,1440,1340,1310,1360,960,940,950,1040,1120,1040,1040,960,970,920,900,820,840,830,820,710,740,750
EVEBITCurrent,23290,14720,20920,34420,18710,10140,10120,10240,10910,10290,11320,9610,10200,10120,10540,8960,9810,9210,8310,6470,6980,6850
EVEBITDACurrent,23290,12440,16190,21450,14090,8640,8670,8880,9490,9030,9800,8400,8830,8660,8890,7590,8150,7650,7010,5570,5970,5870
DTAR,640,620,740,700,630,580,650,510,530,530,530,480,520,540,510,450,460,530,510,490,480,500
CG,1770,1650,2830,2280,1720,1400,1890,1040,1140,1110,1140,940,1080,1170,1020,830,850,1130,1060,970,910,990
LDER,730,620,1190,950,500,410,360,260,280,280,260,250,240,260,250,230,280,280,250,210,210,200
PZAT,1100,1070,980,1000,1580,1540,1530,1470,1320,1280,1360,1490,1560,1810,2000,2029,1720,1810,1910,2060,2140,2350
PELDR,1930,2130,1700,1880,1560,1850,2029,2580,2710,2790,2720,2580,2510,2180,2090,2240,2260,2070,2180,2260,2150,2090
TSF,630,610,570,590,550,580,470,620,600,610,590,640,600,580,620,670,690,600,610,620,630,600
ZKO,950,870,1120,1020,980,850,850,670,680,670,680,650,680,740,720,650,660,750,710,680,680,700
OSF,1050,1150,860,980,1010,1120,1270,1370,1440,1460,1470,1330,1380,1270,1200,1180,1170,1210,1240,1260,1200,1220
NetDebt,34806746000,39862225000,59000000000,56549000000,46607000000,45982000000,59022000000,46087000000,57224000000,51968000000,60445000000,53426000000,58948000000,65140000000,56431000000,50287000000,55011000000,61509000000,69743000000,57169000000,57539000000,68402000000
NetDebtEBITDA,5520,3670,6110,7750,4580,2720,3410,2480,3030,2660,3300,2610,2910,3230,2820,2270,2550,2670,2710,1930,1960,2220
DebtFin,25585227000,13920238000,35044000000,35287000000,22082000000,24933000000,28543000000,19636000000,34151000000,30902000000,34505000000,26876000000,33501000000,29482000000,32385000000,22505000000,30830000000,30810000000,34843000000,19217000000,30107000000,35508000000
DebtFinEBITDA,4059,1280,3630,4830,2170,1470,1650,1060,1810,1580,1880,1310,1650,1460,1620,1020,1430,1340,1360,650,1020,1150
SP1,1100,1310,770,960,1030,1310,1480,2040,2110,2180,2160,2060,2020,1720,1680,1820,1770,1620,1750,1860,1780,1740
SP2,1910,2130,1690,1880,1550,1850,2029,2580,2710,2790,2720,2580,2510,2180,2090,2240,2260,2070,2180,2260,2150,2090
CAR,90,60,130,90,90,90,240,250,110,210,160,130,190,170,230,210,140,260,130,320,250,170
QR,620,780,720,610,640,650,680,740,610,680,610,610,620,610,680,700,640,600,610,740,640,580
CR,1800,1840,1550,1680,1440,1650,1450,2000,1950,1990,1900,2110,1880,1750,1840,2130,2250,1780,1830,1900,1910,1790
PP,100,60,130,100,90,90,240,250,110,220,170,130,190,170,230,240,160,260,130,330,250,180
RCLR,530,700,570,510,540,540,430,480,490,440,430,450,410,420,440,440,450,330,460,390,370,380
KP,300,330,230,280,200,270,240,380,380,390,370,390,360,310,320,370,390,310,330,340,340,310
PKKO,,-12960,-9280,-8700,-6180,-9020,-10860,-17120,-18190,-19290,-19600,-18600,-17520,-15030,-13920,-14720,-14240,-11490,-12290,-12990,-11910,-11490
RN,8940,5590,5620,6470,7680,7640,7230,7190,7320,7580,7960,8300,8630,8430,8870,9130,9760,10660,10450,10430,10560,10080
CRN,41000,65000,65000,56000,47000,48000,50000,51000,50000,48000,46000,44000,42000,43000,41000,40000,37000,34000,35000,35000,35000,36000
CPZ,77000,93000,113000,111000,88000,91000,103000,106000,104000,105000,100000,97000,98000,101000,96000,93000,85000,84000,84000,87000,89000,90000
RZ,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,
RMO,2620,2130,2090,1960,2640,2620,2410,2160,2009,1910,1870,1900,1900,1900,2029,2070,2170,2200,2210,2200,2200,2180
RMT,5390,5250,4100,4240,5340,5650,5810,5930,6080,6470,6490,6480,6360,5930,5700,5470,5280,5200,5310,5490,5560,5520
