,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PCurrent_qq,,,,,-8.10,-20.83,3.85,9.72,10.52,-1.38,9.29,1.48,5.65,76.71,15.37,21.37,3.64,-10.05,3.13,2.30,0.96,2.84,5.82,5.46,2.16,-8.38,2.60,-11.98,-7.11,-4.18,-7.97,0.61,-8.57,-2.67,0.94,-6.47,-6.60,-3.59,-16.09,-71.33,-36.65,-41.93,-23.66,314.67,6.51,-28.71
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-6.77,-32.53,41.03,,,,20.61,0.33,-19.49,-23.44,-17.19,-13.43,-51.70,-54.31,-61.77,-61.03,-23.36,-14.14,1.59,4.28,-8.58,-10.98,-13.75,-14.51,-4.53,-1.37,18.48,29.89,24.41,38.54,21.41,23.30,21.53,10.78,18.89,16.59,17.71,41.40,361.86,580.24,1028.95,1142.24,-14.13,-48.93,-58.39
CPCurrent_sy,,-4.83,-14.04,-10.59,,,,-7.46,-11.16,-7.19,-1.69,14.74,26.88,21.15,8.21,-13.90,-9.69,-18.64,-20.23,-13.58,-27.12,-22.67,-20.60,-18.28,-8.75,-13.93,-6.78,14.66,6.19,9.56,10.92,-0.80,2.00,11.98,6.55,-1.77,1.66,-1.77,4.95,7.23,-3.12,23.72,10.23,-14.99,-9.34,-17.47
CPCurrent_qq,,,,,8.85,26.28,-3.70,-8.88,-9.45,1.33,-8.43,-1.44,-5.34,-43.46,-13.38,-17.54,-3.49,11.18,-2.96,-2.44,-0.94,-2.52,-5.50,-5.48,-1.81,8.86,-2.37,13.54,7.65,4.26,8.72,-0.50,9.32,2.76,-0.90,6.79,7.20,3.75,19.05,248.80,57.89,72.20,30.99,-75.89,-6.09,40.27
CPCurrent_sq,,,,,-0.56,0.49,-0.69,-6.75,-4.54,4.97,5.20,8.84,5.57,0.22,-6.03,-13.40,10.72,-9.71,-7.87,-6.17,-6.63,-4.19,-5.41,-3.43,4.27,-9.63,2.45,18.77,-3.43,-6.76,3.71,6.22,-0.70,2.36,-1.31,-2.08,2.76,-1.09,5.44,0.05,-7.16,26.32,-6.06,-22.84,-0.98,15.00
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,29.00,2240.31,-95.68,,,,20.97,1066.82,275.53,291.85,2055.39,289.61,157.22,-156.65,-221.79,-340.19,-320.34,-505.92,5.05,71.83,78.64,78.69,107.46,108.69,127.17,194.08,82.95,400.86,99.83,-6.61,40.50,-73.36,-73.34,-129.98,-403.71,-1744.94,-2114.62,-2080.48,-196.70,-120.74,-95.01,-49.30,19.65,59.16,83.12
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,-153.96,-880.09,7.50,124.73,331.29,77.94,1.10,177.79,-22.04,17.48,-122.27,-497.21,-53.75,-7.77,38.77,6.41,54.39,18.28,38.92,132.79,-46.93,155.67,111.47,-36.24,45.28,2.01,-1.17,-4.07,-72.46,2.09,-211.16,-871.71,-49.17,-25.03,-20.32,-32.22,-10.98,-10.46,7.89,28.84,43.60,54.34
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-22.44,-95.73,2219.02,,,,-17.43,,,,-95.36,-74.34,-61.12,,,,,,,,,,,,,,-45.32,-80.03,-49.97,7.08,-28.82,275.69,274.96,,,,,,,,,,,,
CZCurrent_sy,,-29.70,-34.66,10.38,,,,1.00,,,,26.78,95.88,19.07,,,,,,,,,,,,,,26.22,2.12,-4.69,-1.12,-19.04,-4.76,3.84,,,,,,,,,,,,
CZCurrent_qq,,,,,,,,,-76.81,-43.81,-1.08,-64.01,28.28,-14.87,,,,,,,,,,,88.45,-60.86,-52.73,56.84,-31.16,-1.97,1.17,4.26,263.34,-2.16,,,,,,,,,,,,
CZCurrent_sq,,,,,,,,,-9.41,12.16,19.49,4.42,39.97,-31.82,,,,,,,,,,,5.41,-9.31,0.20,31.78,-14.72,-15.36,3.96,7.88,0.33,-7.72,,,,,,,,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,7.66,1313.44,-87.99,,,,-76.44,239.70,369.14,387.07,3340.83,527.07,352.26,-115.39,-212.69,-262.77,-267.55,-2657.89,50.77,82.74,98.43,128.05,153.67,195.18,1061.61,-7.65,-24.02,1.64,4.60,8.66,4.28,-43.69,-25.55,-84.63,-257.80,-608.04,-592.60,-2885.54,-121.67,11.46,-19.25,27.83,78.35,111.80,157.90
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,-65.05,-289.33,-6.33,133.49,403.89,50.00,13.41,301.39,-8.17,8.18,-103.86,-2838.74,-32.64,-11.36,36.47,47.54,53.49,89.89,1237.77,0.35,-17.52,2.10,9.27,-17.44,10.35,5.08,13.51,-20.77,-40.42,38.94,-76.56,-913.23,-91.82,-34.72,-32.54,35.29,23.38,-81.46,19.79,80.58,141.75,790.48
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-7.13,-92.92,732.35,,,,324.15,-70.57,,,-97.09,-84.05,-77.89,,,,,,,,,,,,,8.30,31.58,-1.63,-4.41,-7.98,-4.11,77.55,34.31,549.89,,,,,,,,,,,
CZOCurrent_sy,,-27.20,-23.33,12.02,,,,-0.63,-24.26,,,19.19,128.53,49.40,,,,,,,,,,,,,5.21,27.20,-5.86,-6.12,-4.48,-20.11,-16.67,3.50,7.81,,,,,,,,,,,
CZOCurrent_qq,,,,,186.22,,,,-80.14,-33.31,-11.83,-75.09,8.90,-7.57,,,,,,,,,,-0.33,21.24,-2.07,-8.48,21.10,-9.37,-4.83,-11.90,26.20,67.81,-28.01,326.26,,,,,,,,,,,-88.77
CZOCurrent_sq,,,,,6.12,,,,-19.11,12.26,40.99,-6.90,55.09,-26.62,,,,,,,,,,10.36,16.69,-12.80,-6.31,33.42,-13.64,-13.04,-4.67,11.60,-9.93,8.02,-0.71,,,,,,,,,,,1.13
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,4.36,-149.89,298.91,,,,-108.80,-197.03,-266.47,,1792.76,-3.15,269.74,,9.88,97.29,24.90,,-146.19,58.97,-275.58,-84.29,-465.20,-2668.75,123.00,-278.83,42.02,108.20,-47.59,164.34,49.62,-2192.66,376.70,149.44,63.21,33.14,36.60,557.69,870.10,1090.16,5.60,8.72,-48.39,-38.28,-51.00
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,-1.84,-29.33,60.60,-107.90,-982.43,-21.25,196.48,33.69,-165.96,299.51,-43.16,46.90,-101.63,9303.42,-54.49,-167.86,98.56,-39287.50,104.07,-2540.65,92.93,427.16,-131.67,-691.36,101.00,1990.83,-61.12,-719.64,58.45,576.28,-79.66,-191.40,24.50,1073.11,-2.06,7.02,-2.93,3.78,0.84,-49.20,16.09,-17.61
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-2.61,-133.63,380.68,,,,-110.66,-197.35,-234.14,-23.44,1493.67,10.78,181.94,-54.31,-57.95,98.98,-4.25,-14.14,-146.87,57.14,-260.16,-85.98,-388.48,-2333.33,122.02,-276.09,31.42,110.96,-34.73,188.89,38.79,-2625.00,478.36,176.39,56.18,22.28,60.67,832.16,3649.74,6855.41,1092.95,1249.70,-55.69,-68.48,-79.61
EVPCurrent_sy,,0.07,-7.61,-31.30,,,,14.04,19.28,17.41,-1.69,4.31,13.74,-2.36,8.21,13.13,6.54,-3.68,-20.23,-20.23,-21.37,-8.95,3.40,10.12,22.07,16.81,25.12,16.29,1.02,2.37,-5.84,-1.99,-6.76,2.57,1.38,-1.97,17.30,11.85,12.88,13.94,4.32,6.51,-1.85,-20.91,-19.20,-26.75
EVPCurrent_qq,,,,,6.75,-10.75,54.67,-107.23,-874.68,-22.99,188.28,31.70,-162.40,212.95,-50.77,21.20,-101.51,10714.29,-55.85,-166.16,98.62,-39566.67,103.87,-2404.35,93.11,458.90,-130.92,-797.53,101.10,2037.50,-57.89,-718.06,54.61,589.60,-79.88,-197.99,19.49,1112.10,16.74,273.15,53.22,78.73,32.08,-87.75,9.00,15.61
EVPCurrent_sq,,,,,-12.35,11.02,16.20,0.86,-8.33,9.28,-2.71,7.03,-0.05,-6.18,7.82,11.89,-5.87,-15.18,-10.71,11.89,-7.21,-1.78,1.40,19.17,2.86,-6.02,8.61,10.76,-10.65,-4.76,-0.10,15.29,-15.00,4.77,-1.25,11.48,1.71,-0.10,-0.34,12.52,-6.87,2.00,-8.17,-9.33,-4.86,-7.53
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-3.09,-103.53,1755.81,,,,-137.35,-128.56,38.12,134.83,149.20,83.55,137.52,-750.15,-197.50,101.66,-174.55,96.38,193.83,139.68,11302.18,155.99,-1153.39,-2994.70,-97.61,-293.79,23.70,108.05,-49.89,159.22,51.68,-3821.88,540.20,1520.89,123.32,113.16,-127.73,-123.63,-447.41,-1218.39,11.44,-50.64,-138.37,623.08,184.63
EVEBITCurrent_sy,,-13.28,-17.95,-21.04,,,,1.51,-26.30,-20.59,12.47,15.31,59.75,42.45,-26.16,14.29,5.24,31.79,39.77,-4.60,-10.88,-18.70,-15.26,9.22,8.22,-12.07,-3.83,10.15,-4.74,-0.37,-9.54,-1.76,-2.47,20.47,21.29,-12.53,3.07,7.88,2.39,26.12,45.01,37.91,48.90,-5.60,-18.71,-24.48
EVEBITCurrent_qq,,,,,180.94,-137.32,-51.12,76.43,-114.79,19.14,185.06,-66.70,-171.82,284.44,-1573.86,95.01,101.22,-8388.89,28.38,229.36,-96.88,387302.66,-99.64,-2533.76,91.42,420.27,-128.99,-858.23,100.91,1892.90,-65.74,-881.86,30.27,442.80,-13.27,-88.75,-60.65,-822.33,26.10,-65.38,-26.68,42.80,-25.71,-161.70,377.99,-90.75
EVEBITCurrent_sq,,,,,11.70,-7.32,18.27,-17.09,-18.90,-0.13,67.50,-15.00,12.35,-10.95,-13.17,31.56,3.46,11.52,-7.91,-10.20,-3.36,1.72,-4.01,15.73,-4.24,-17.35,4.99,32.56,-17.19,-13.55,-4.68,43.95,-17.78,6.79,-4.03,3.81,-3.12,11.77,-8.91,27.87,11.39,6.30,-1.65,-18.93,-4.08,-1.25
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-2.41,-106.60,1151.32,,,,-115.13,-152.25,-100.92,115.22,277.96,78.56,140.91,10.12,-260.05,102.60,-216.60,-144.96,225.89,-41398.70,-1065.36,126.16,-415.12,92.86,110.87,-300.95,27.44,109.29,-43.14,166.85,46.32,-2966.82,460.45,434.23,185.42,140.01,-165.84,-233.01,-306.32,-1208.02,18.93,-52.79,-9787.69,223.74,160.70
EVEBITDACurrent_sy,,11.41,-14.80,-17.99,,,,-4.12,-15.73,-15.83,32.70,15.42,50.24,36.74,-8.07,2.02,-4.56,6.57,-16.73,-1.60,-17.79,-24.79,,-3.24,18.64,19.90,-1.95,11.24,0.13,6.86,11.63,-4.75,-9.21,-3.68,0.10,-9.41,-5.99,3.26,-0.38,21.32,24.00,8.82,17.71,9.27,-9.77,-7.42
EVEBITDACurrent_qq,,,,,57.48,5102.19,-104.28,95.69,-443.69,8.34,170.82,-49.58,-165.50,274.90,90.64,-173.29,101.07,-7928.57,26.49,305.21,-449.72,-120.91,101.65,-2572.30,92.07,436.15,-130.51,-792.66,101.01,1957.35,-64.13,-816.83,45.80,502.20,-65.81,14.62,-74.62,-761.90,30.93,-77.79,-36.31,51.57,-30.18,-11405.51,101.71,-76.24
