,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
DebtFinEBITDA,170,10,,,-37950,,,,7130,4430,620,,3200,290,20440,3290,1230,10,5860,5880,2000,-1580,-4670,530,160,80,-230,0,40,-250,-550,-990,-1200,-1590,1020
SP1,-840,-530,-2600,47180,4670,6080,4380,670,1220,1110,690,3970,550,500,1390,980,820,690,860,700,750,690,630,560,620,490,690,650,50,-130,-300,-490,-750,-950,970
SP2,-840,-520,-2600,47320,4680,6090,4390,670,1520,1380,1130,3980,1070,930,1850,1310,1120,960,1190,1000,1050,970,920,890,840,710,930,870,260,80,-100,-270,-520,-730,1440
CAR,200,10,,,10450,,,,4820,6040,2700,,1110,80,29790,14120,880,10,2120,590,840,80,0,60,270,130,50,0,200,150,220,20,10,550,1000
QR,440,450,120,230070,11230,70810,16170,21710,5890,7770,8490,23700,1490,460,31700,23650,2550,490,2790,820,1200,450,120,230,20,50,110,50,-390,-340,-110,-290,-310,450,630
CR,440,490,120,230070,11240,70810,16170,21710,6020,7940,8840,23700,1570,520,31900,23840,2870,620,3180,990,1800,760,440,300,470,280,330,200,310,260,320,170,80,600,1460
PP,200,10,,,10450,,,,4820,6040,2700,,1110,80,29790,14120,880,10,2120,590,840,80,0,60,270,130,50,0,200,150,220,20,10,550,1000
RCLR,230,220,,,620,,80,310,1020,1660,5110,,300,350,1610,9280,1610,420,530,190,300,330,80,160,130,110,90,90,50,30,40,40,10,10,320
KP,-760,-620,-2370,980,730,850,760,200,320,260,120,770,60,-60,450,230,100,-40,150,0,40,-20,-80,-100,-140,-260,-60,-130,-550,-690,-720,-1010,-1340,-480,180
PKKO,-480,26660,62890,-2567370,-205230,-67700,-236450,-87650,6780,4940,1860,16560,2650,-2220,38290,7760,-7210,4280,-39590,660,2130,-1140,-3590,-7770,5190,4380,1740,3150,7270,8930,10950,12010,13720,14630,-3330
RN,,980,4070,5370,5770,3230,8870,21930,1510,1100,-570,2930,500,570,420,-3480,0,-20,90,100,200,140,780,890,790,850,0,0,,,,,,,
CRN,,374000,90000,68000,63000,113000,41000,17000,242000,332000,-638000,125000,730000,639000,876000,-105000,258466000,-16790000,4064000,3762000,1815000,2548000,468000,411000,464000,431000,184584000,164965000,,,,,,,
CPZ,,1217000,585000,422000,82000,72000,60000,36000,339000,400000,-379000,66000,666000,927000,1551000,-98000,165223000,-12657000,4060000,9569000,6229000,9027000,2377000,2221000,2880000,3586000,1483908000,1604145000,,,,,,,
RZ,,,,,,-14160,,,40110,48290,56780,41210,28620,25210,25420,44640,20,690,510,290,1210,1000,950,1170,650,450,-230,-730,,,,,,,
CRZ,,,,,,-26000,,,9000,8000,6000,9000,13000,14000,14000,8000,20197000,530000,718000,1258000,303000,366000,385000,311000,565000,818000,-1561000,-501000,,,,,,,
RMO,,520,2140,60,310,220,250,530,70,80,-110,510,90,120,40,-660,0,-10,30,30,40,30,180,270,280,280,0,0,,,,,,,
RMT,,830,1990,1520,2290,1540,1520,880,70,60,-40,330,40,40,20,-250,0,0,10,10,10,10,20,20,20,20,0,0,,,,,,,
RM,,320,1030,60,270,190,210,330,30,30,-30,200,30,30,10,-180,0,0,10,0,10,0,20,20,20,20,0,0,,,,,,,
COP,,,,,,87000,,,251000,340000,-632000,134000,743000,653000,890000,-97000,278663000,-16260000,4782000,5020000,2118000,2914000,853000,722000,1029000,1249000,183023000,164464000,,,,,,,
CSP,,,,,,15000,,,-88000,-60000,-253000,68000,77000,-274000,-661000,1000,113440000,-3603000,722000,-4549000,-4111000,-6113000,-1524000,-1499000,-1851000,-2337000,-1300885000,-1439681000,,,,,,,
