,2012/Q4,2013/Q4,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITCurrent,33380,17170,14620,12230,10920,8840,7750,7280,7510,8380,9250,7930,7280,8920,10150,10200,10000,9810,8340
EVEBITDACurrent,5050,4270,4530,4180,6430,6090,6320,6900,4810,5570,6100,5220,4880,5810,6070,6060,5810,5730,5310
DTAR,820,790,900,1010,990,950,940,920,920,900,900,860,850,870,870,1040,1020,1010,1070
CG,,,9120,-169570,83090,19120,15590,11490,10990,9210,8960,5910,5510,6460,6440,-23950,-42540,-72990,-14740
LDER,,,6970,-132490,62990,14930,11960,8870,8270,6760,6620,4410,4010,5150,4970,-18630,-32640,-55640,-11150
PZAT,550,510,310,310,410,280,290,290,400,400,410,430,440,330,330,350,350,360,380
PELDR,,,1280,1130,1310,1300,1330,1370,1600,1130,1140,1160,1170,1150,1610,1250,1270,1250,1160
TSF,,,790,780,760,790,780,790,770,760,760,780,770,820,800,770,760,760,740
ZKO,2650,3070,2680,4140,2570,2780,2570,2430,1880,3050,3050,2920,2670,3340,1800,2940,2720,2740,3220
OSF,,,400,-30,50,210,240,310,310,420,430,600,600,600,470,-200,-110,-60,-350
NetDebt,3121653000000,3369546000000,4060626000000,4670661000000,5497320000000,4804467000000,5025276000000,5062253000000,5374993000000,7025393000000,7201965000000,6993956000000,7062991000000,8676435000000,8713501000000,8373300000000,8414823000000,8147800000000,8607839000000
NetDebtEBITDA,2550,2220,2350,2520,4180,3780,4050,4440,3230,3990,4050,3810,3670,4420,4700,4490,4420,4260,4040
DebtFin,1895478000000,2190714000000,3534596000000,3475462000000,4163687000000,3462176000000,3551493000000,3574505000000,3717062000000,5523602000000,6560936000000,5293642000000,5112573000000,7110812000000,6982995000000,6946600000000,6716968000000,6597300000000,6986988000000
DebtFinEBITDA,1550,1450,2050,1870,3170,2720,2860,3140,2240,3140,3690,2890,2660,3620,3760,3730,3530,3450,3280
SP1,,,150,-10,20,80,100,130,160,140,140,200,220,180,260,-70,-40,-20,-110
SP2,630,620,1190,1030,1240,1200,1230,1270,1510,1080,1090,1110,1130,1110,1540,1190,1220,1210,1110
CAR,200,200,240,280,340,630,620,600,910,20,20,30,170,70,130,170,300,260,80
QR,530,460,1210,670,1270,1210,1290,1410,1820,940,950,1060,1160,1200,2170,1260,1370,1300,1020
CR,800,780,1590,1100,1610,1640,1670,1810,2150,1230,1250,1350,1370,1470,2440,1530,1580,1540,1270
PP,200,200,830,280,340,630,620,600,910,20,20,30,170,70,130,170,300,260,80
RCLR,480,460,600,660,490,800,880,1030,510,520,560,670,620,690,1640,590,550,510,440
KP,-80,-70,120,20,150,130,150,170,260,60,60,80,90,80,280,120,140,130,70
PKKO,320,290,-590,-90,-1630,-1980,-4010,-17850,-3310,-730,-800,-1000,-1180,-1230,-3940,-1350,-1530,-1390,-750
RN,4630,5240,5550,5830,6400,6190,5670,5020,4890,5080,5400,5800,5450,5260,3630,3750,3890,4019,6320
CRN,79000,70000,66000,63000,57000,59000,64000,73000,75000,72000,68000,63000,67000,69000,101000,97000,94000,91000,58000
CPZ,166000,150000,125000,111000,99000,93000,91000,91000,95000,102000,108000,111000,113000,109000,109000,108000,108000,111000,111000
RZ,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,
RMO,2760,3110,2560,2910,2540,2620,2620,2380,2090,2100,2140,2210,2480,2460,2000,1960,1920,1860,2230
RMT,1230,1080,1110,1150,1230,1290,1340,1380,1390,1300,1220,1140,1060,1000,1030,1080,1120,1240,1250
RM,850,800,770,820,830,860,890,870,830,800,780,750,740,710,680,700,710,740,800
COP,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,
