,2010/Q4,2011/Q4,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
NetDebtEBITDA,1450,1250,1280,1300,1400,1250,1120,1090,1110,1210,1120,1150,1050,960,1160,1090,1350,1420,1880,1810,1440,1460,1260,1080,1000
DebtFin,50121000000,48802000000,2582000000,2162000000,-680000000,-21964000000,-68067000000,-63935000000,-114261000000,-36463000000,13859000000,7007000000,-35887000000,-29508000000,-47634000000,-78187000000,-54228000000,-56085000000,-38630000000,-19475000000,-53028000000,-30936000000,-45948000000,-76532000000,-86171000000
DebtFinEBITDA,170,160,10,10,0,-70,-210,-190,-360,-110,40,20,-100,-80,-160,-250,-190,-230,-170,-90,-200,-110,-150,-230,-280
SP1,1240,1320,1340,1380,1400,1350,1370,1370,1400,1330,1340,1400,1450,1390,1420,1460,1470,1390,1390,1430,1470,1400,1440,1490,1550
SP2,1480,1500,1500,1530,1560,1480,1500,1500,1550,1480,1460,1520,1570,1500,1540,1570,1580,1500,1500,1540,1580,1510,1560,1610,1670
CAR,30,90,100,80,80,80,230,220,360,130,80,70,120,110,160,250,160,190,110,120,160,100,150,240,310
QR,1780,1740,1870,1970,1870,1640,1840,1920,2020,1890,1700,1840,2050,1770,1880,1990,1950,1770,1680,1840,1940,1720,1850,1950,2240
CR,2760,2800,2910,3050,2860,2630,2630,2690,2780,2770,2470,2680,3020,2780,2810,2850,2770,2710,2480,2690,2870,2680,2860,3000,3420
PP,40,90,100,80,80,80,230,220,360,130,80,70,120,110,160,250,160,190,110,120,200,100,150,260,330
RCLR,1740,1650,1770,1890,1790,1560,1620,1700,1660,1760,1620,1770,1930,1670,1720,1730,1790,1580,1570,1720,1740,1620,1710,1690,1910
KP,280,280,280,300,300,270,280,280,300,270,260,280,310,280,290,300,310,280,270,290,310,280,300,320,340
PKKO,1350,1310,1220,1300,1450,1210,1230,1250,1370,1240,1260,1400,1540,1300,1390,1470,1530,1240,1180,1210,1320,1190,1340,1460,1590
RN,2500,2720,2560,2570,2440,2570,2530,2510,2470,2400,2350,2320,2250,2260,2240,2270,2160,2190,2180,2240,2300,2260,2320,2410,2390
CRN,146000,134000,143000,142000,150000,142000,144000,145000,148000,152000,155000,157000,163000,162000,163000,161000,169000,166000,168000,163000,159000,161000,157000,151000,153000
CPZ,84000,81000,76000,75000,83000,81000,84000,87000,90000,91000,92000,93000,92000,93000,92000,91000,98000,97000,100000,98000,96000,97000,93000,90000,88000
RZ,1680,1640,1870,1860,1700,1760,1840,1940,2050,2080,1960,1930,1860,1820,1780,1800,1790,1900,2000,2080,1980,1890,1790,1730,1680
CRZ,217000,223000,195000,196000,214000,207000,198000,188000,178000,176000,186000,189000,196000,201000,205000,203000,204000,192000,183000,176000,185000,193000,203000,211000,217000
RMO,1570,1610,1590,1590,1510,1570,1550,1550,1500,1480,1480,1470,1450,1440,1400,1390,1330,1350,1350,1410,1420,1400,1420,1430,1390
RMT,1190,1250,1270,1270,1210,1260,1260,1260,1220,1190,1180,1180,1170,1170,1160,1170,1140,1160,1160,1200,1200,1200,1220,1250,1230
RM,680,700,710,710,670,700,700,690,670,660,650,660,650,650,630,640,610,620,620,650,650,650,660,670,650
COP,363000,357000,338000,338000,364000,349000,342000,333000,326000,328000,341000,346000,359000,363000,368000,364000,373000,358000,351000,339000,344000,354000,360000,362000,370000
CSP,279000,276000,262000,263000,281000,268000,258000,246000,236000,237000,249000,253000,267000,270000,276000,273000,275000,261000,251000,241000,248000,257000,267000,272000,282000
