,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q4,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
CZOCurrent_qq,,,,,,,,,,,-0.84,-20.60,,,,,,,,,,,605.53,-82.60,-13.10,1003.82,,,,,,,,44.06,-10.31,-98.62,4.95,-0.57,0.57
CZOCurrent_sq,,,,,,,,,,,24.72,1.53,,,,,,,,,,,4.96,48.44,-14.27,-21.95,,,,,,,,8.65,-7.53,-29.24,-2.52,-14.24,-92.16
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,1197.92,18.51,,,,-52.16,910.58,-69.53,325.56,-38.01,30.95,-324.71,,-79.83,-126.55,85.34,,,-4.00,,,3.82,,0.50,0.17,,0.33,,,,,,-0.17,,0.17,,0.17,0.17,
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,-103.96,2889.92,-102.40,1904.14,-32.94,4.88,-82.22,395.83,41.65,-279.97,107.91,,-286.50,0.63,153.96,,,,-0.17,0.17,,0.50,-0.50,,,,,-0.17,,0.17,-0.17,,0.17,,,,
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,1083.18,19.01,,,,-58.39,1779.17,-36.76,586.67,36.66,35.98,-350.92,379.45,7.72,-239.87,19.71,17.71,5.08,277.42,,,1593.00,,778.31,192.06,32.91,7.22,,,,,4.75,9.65,12.95,32.21,25.92,49.81,58.13,118.55
EVPCurrent_sy,-42.22,57.81,,,,-33.02,-41.56,-42.66,-33.63,-10.24,-1.24,-23.17,-20.32,-4.40,19.47,11.73,13.26,6.00,-3.90,,,-15.69,,5.46,1.35,11.23,-10.89,,,,,-0.04,-5.75,2.10,-10.53,-6.95,3.58,1.49,3548.22
EVPCurrent_qq,,,-103.83,2797.92,-102.32,1836.67,54.70,1.61,-82.17,387.67,53.93,-287.50,134.06,9.57,-299.87,-7.63,149.94,-2.18,,,84.49,35.49,41.86,147.70,-38.65,-38.34,,,-0.26,0.70,-4.51,9.21,4.40,3.74,11.77,4.02,24.21,9.51,54.48
EVPCurrent_sq,,,-10.89,36.95,-19.29,-31.99,-22.26,34.38,-6.59,-8.02,-14.46,4.54,-3.12,10.36,6.89,-2.23,-1.79,3.29,,,-4.16,0.05,-2.91,13.27,-7.89,9.81,,,5.30,-7.79,9.82,-6.25,-0.72,-0.11,-3.77,-2.50,10.51,-2.12,3359.11
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,412.51,-195.92,,,,37.80,-3579.12,69.23,21.23,265.70,190.38,-29.49,-2985.80,-123.30,-80.70,109.66,98.28,39.41,304.52,,,724.70,,231.22,161.14,1079.22,-107.66,,,,,-376.91,750.61,589.18,305.72,101.87,-98.12,-98.70,-98.55
EVEBITCurrent_sy,-42.20,20.51,,,,-24.46,-14.60,-23.40,-21.89,-27.16,-22.72,-10.71,32.39,1.57,-80.70,-94.22,-101.96,-82.71,661.16,,,-35.44,,29.38,80.82,27.06,27.65,,,,,-27.33,23.53,31.71,18.63,10.05,-39.44,-46.89,-148.34
EVEBITCurrent_qq,,,104.60,-11378.57,95.02,-140.81,-157.49,0.25,87.26,606.55,40.44,-242.92,-203.51,96.18,216.32,-28.46,-153.95,-34.95,,,-568.70,157.27,606.13,-82.53,-13.48,1004.54,,,23.23,-91.47,-113.59,-51.91,204.73,43.96,-10.18,-98.62,4.96,-0.51,0.55
EVEBITCurrent_sq,,,17.09,11.58,-19.32,-28.33,32.36,0.09,-17.73,-33.17,40.44,15.64,21.98,-48.73,-73.32,-65.36,-141.39,551.93,,,-37.78,23.73,8.04,55.55,-13.05,-13.05,,,6.13,-11.91,0.25,-22.47,80.42,-6.07,-9.70,-28.08,-0.72,-17.62,-182.17
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,668.49,-299.58,,,,57.58,-2326.98,-120.05,-286.97,265.70,179.76,-5.74,3124.82,-123.30,-78.85,111.07,-101.67,26.73,220.10,,,1061.40,,364.98,-63.11,-28.79,-550.69,,,,,-376.91,750.61,589.18,305.72,101.87,-98.12,-98.70,-98.55
