,2012/Q4,2013/Q4,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
CPCurrent_sq,,,,-3.32,-0.39,0.42,-8.37,-2.03,0.07,-0.75
ZCurrent,,,,,,,,,,
ZCurrent_yy,,54.33,,,,,-72.96,-41.97,-79.49,-72.48
ZCurrent_sy,,,,,,,,,,
ZCurrent_qq,,,,-17.17,6.93,-30.73,-55.93,77.75,-62.21,-7.05
ZCurrent_sq,,,,,,,,,,
CZCurrent,,,,,,,,,,
CZCurrent_yy,,-35.20,,,,,269.76,72.32,387.63,263.40
CZCurrent_sy,,-36.68,,,,,75.78,3.03,54.32,50.83
CZCurrent_qq,,,,20.72,-6.48,44.36,126.88,-43.74,164.64,7.58
CZCurrent_sq,,,,29.74,20.19,10.07,2.42,-23.96,80.03,7.58
ZOCurrent,,,,,,,,,,
ZOCurrent_yy,,30.53,,,,,-68.23,-59.07,-65.14,25.10
ZOCurrent_sy,,,,,,,,,,
ZOCurrent_qq,,,,-11.60,-14.89,-59.64,4.62,13.91,-27.53,44.86
ZOCurrent_sq,,,,,,,,,,
CZOCurrent,,,,,,,,,,
CZOCurrent_yy,,-23.39,,,,,214.76,144.30,186.91,-20.06
CZOCurrent_sy,,8.82,,,,,97.49,80.65,61.58,9.12
CZOCurrent_qq,,,,13.12,17.49,147.77,-4.42,-12.20,37.98,-30.97
CZOCurrent_sq,,,,-3.90,5.82,48.50,30.78,-12.10,-5.35,0.28
EVCurrent,,,,,,,,,,
EVCurrent_yy,,-9.04,,,,,-9.76,-2.32,-0.59,0.64
EVCurrent_sy,,,,,,,,,,
EVCurrent_qq,,,,5.37,10.10,-8.58,-14.91,14.06,12.04,-7.45
EVCurrent_sq,,,,,,,,,,
EVPCurrent,,,,,,,,,,
EVPCurrent_yy,,-20.24,,,,,0.15,2.05,5.93,-1.56
EVPCurrent_sy,,-8.52,,,,,9.38,1.55,30.48,5.69
EVPCurrent_qq,,,,12.76,10.35,-5.02,-15.26,14.90,14.55,-11.73
EVPCurrent_sq,,,,11.65,-15.45,15.47,0.34,3.66,8.63,-6.47
EVEBITCurrent,,,,,,,,,,
EVEBITCurrent_yy,,-30.31,,,,,184.04,138.64,185.21,-19.55
EVEBITCurrent_sy,,4.77,,,,,51.26,68.70,75.83,30.27
EVEBITCurrent_qq,,,,19.19,29.36,126.50,-18.67,0.14,54.60,-36.11
EVEBITCurrent_sq,,,,1.71,10.02,26.57,6.80,13.44,14.67,-6.23
EVEBITDACurrent,,,,,,,,,,
EVEBITDACurrent_yy,,-26.78,,,,,35.85,25.05,31.02,-20.49
EVEBITDACurrent_sy,,49.51,,,,,18.71,16.03,27.12,11.76
EVEBITDACurrent_qq,,,,13.08,16.46,34.01,-23.02,4.09,22.02,-18.68
EVEBITDACurrent_sq,,,,-3.81,3.22,3.20,15.85,-5.98,13.08,-9.27
ROE,,,,,,,,,,
ROE_yy,,22.31,,,,,-75.51,-46.26,-80.06,-73.18
ROE_sy,,60.74,,,,,-43.33,8.10,-19.18,-56.96
ROE_qq,,,,-18.99,0.92,-32.68,-55.51,77.80,-62.55,-9.47
ROE_sq,,,,-26.67,-5.97,45.32,-43.45,39.89,-29.70,-22.62
ROA,,,,,,,,,,
ROA_yy,,34.09,,,,,-74.04,-42.13,-79.43,-72.80
ROA_sy,,68.84,,,,,-57.54,3.85,-37.09,-37.63
ROA_qq,,,,-17.49,-2.13,-31.88,-52.80,83.90,-65.21,-9.93
ROA_sq,,,,-61.27,60.10,-16.22,-18.28,-5.26,-3.01,-16.95
OPM,,,,,,,,,,
OPM_yy,,14.47,,,,,-64.80,-57.24,-62.87,22.28
OPM_sy,,-14.09,,,,,-62.78,-57.24,-32.08,22.28
OPM_qq,,,,-5.42,-14.67,-58.09,4.08,14.88,-25.91,38.04
OPM_sq,,,,,-53.35,-23.33,4.08,14.88,-25.91,38.04
ROS,,,,,,,,,,
ROS_yy,,35.33,,,,,-69.97,-39.40,-78.11,-73.11
ROS_sy,,310.27,,,,,-77.82,-47.52,-5.66,-41.89
ROS_qq,,,,-11.31,7.13,-28.02,-56.08,78.95,-61.30,-11.60
ROS_sq,,,,-43.65,-34.41,11.70,-46.28,33.33,17.92,-31.20
RS,,,,,,,,,,
RS_yy,,12.68,,,,,-65.32,-59.55,-62.01,-11.11
RS_sy,,25.49,,,,,-64.70,-59.14,-42.08,-14.61
RS_qq,,,,-2.73,-16.38,-47.40,-18.93,13.45,-21.48,23.08
RS_sq,,,,-1.97,-44.61,-19.80,-18.93,13.45,-21.48,18.23
GPM,,,,,,,,,,
GPM_yy,,23.36,,,,,-62.03,-19.21,-71.14,-66.10
GPM_sy,,222.81,,,,,-80.42,-56.22,28.79,6.56
GPM_qq,,,,-18.04,10.71,-33.13,-37.42,74.38,-60.45,-21.45
GPM_sq,,,,-41.96,-48.39,-5.06,-31.15,29.76,51.83,-21.45
RBS,,,,,,,,,,
RBS_yy,,6.51,,,,,-22.17,-22.74,-21.01,-7.32
RBS_sy,,-15.90,,,,,-12.10,-7.85,6.09,1.65
RBS_qq,,,,1.04,-4.81,-14.83,-4.99,0.31,-2.68,-0.08
RBS_sq,,,,-2.21,-13.79,2.49,1.73,2.51,-0.75,-1.80
ROPA,,,,,,,,,,
ROPA_yy,,13.48,,,,,-69.46,-59.25,-65.07,23.66
ROPA_sy,,-9.80,,,,,-52.15,-53.17,-44.38,-9.01
ROPA_qq,,,,-11.92,-22.10,-60.28,12.05,17.53,-33.22,40.61
ROPA_sq,,,,-20.45,-13.81,-36.65,10.17,-22.16,2.37,3.64
ZNPO,,,,,,,,,,
ZNPO_yy,,109.95,,,,,-17.43,20.88,-63.21,-72.15
ZNPO_sy,,73.01,,,,,-46.29,-26.39,-38.67,-33.39
ZNPO_qq,,,,17.16,31.25,22.41,-56.13,71.51,-60.05,-7.35
ZNPO_sq,,,,-18.96,-6.35,-10.74,-20.71,11.06,-21.97,-3.05
ZFI,,,,,,,,,,
ZFI_yy,,87.57,,,,,-48.87,28.08,-8.75,43.72
ZFI_sy,,11.69,,,,,-51.27,9.73,-5.65,13.82
ZFI_qq,,,,-14.81,19.40,-23.24,-34.52,113.41,-14.93,20.90
ZFI_sq,,,,-9.73,9.34,-12.66,-43.48,103.27,-5.98,5.36
DTAR,,,,,,,,,,
DTAR_yy,,-8.30,,,,,-6.87,-8.51,-3.33,-1.83
DTAR_sy,,-11.46,,,,,11.26,1.14,3.59,12.20
DTAR_qq,,,,-2.14,3.51,-1.27,-6.87,-3.87,9.37,0.26
DTAR_sq,,,,9.72,-6.13,1.23,6.71,-0.26,-3.86,9.65
CG,,,,,,,,,,
CG_yy,,-16.38,,,,,-12.41,-14.93,-6.29,-3.45
CG_sy,,-26.66,,,,,20.40,8.07,-3.81,20.00
CG_qq,,,,-4.04,6.84,-2.47,-12.41,-6.80,17.70,0.48
CG_sq,,,,25.22,6.84,-9.45,-0.62,12.40,-4.90,12.97
LDER,,,,,,,,,,
LDER_yy,,-46.56,,,,,-17.81,-24.65,-22.72,-7.48
LDER_sy,,-21.02,,,,,58.44,7.57,2.76,24.96
LDER_qq,,,,5.95,-0.45,-13.05,-10.38,-2.87,2.11,4.09
LDER_sq,,,,73.67,-4.41,-1.33,-3.28,17.90,-8.68,20.00
PZAT,,,,,,,,,,
PZAT_yy,,54.68,,,,,9.03,24.85,25.12,2.23
PZAT_sy,,-21.61,,,,,-31.57,2.49,22.48,7.83
PZAT_qq,,,,-10.00,-3.80,12.19,12.26,3.05,-3.59,-8.34
PZAT_sq,,,,-30.77,3.99,-14.06,10.60,3.68,24.28,-24.34
PELDR,,,,,,,,,,
PELDR_yy,,0.51,,,,,3.84,-3.25,-5.52,2.25
PELDR_sy,,-1.53,,,,,-10.54,5.18,-7.21,-1.33
PELDR_qq,,,,5.99,4.53,-1.85,-4.50,-1.25,2.08,6.22
PELDR_sq,,,,-14.52,9.80,-3.02,-1.71,0.50,-3.14,3.12
TSF,,,,,,,,,,
TSF_yy,,-11.21,,,,,-0.71,-2.69,-5.87,-0.98
TSF_sy,,10.11,,,,,2.03,5.53,-1.31,0.57
TSF_qq,,,,4.24,-3.28,-3.88,2.45,2.16,-6.44,1.11
TSF_sq,,,,-3.61,2.35,1.36,2.03,-0.30,-4.28,3.29
ZKO,,,,,,,,,,
ZKO_yy,,-22.65,,,,,-17.22,-7.59,-4.27,-7.02
ZKO_sy,,-8.23,,,,,37.05,31.67,11.40,20.99
ZKO_qq,,,,-8.20,-11.05,-3.02,4.53,2.49,-7.86,-5.80
ZKO_sq,,,,9.64,4.69,11.02,7.55,5.34,-11.44,20.58
OSF,,,,,,,,,,
OSF_yy,,-6.04,,,,,-7.26,-1.05,-0.71,-2.33
OSF_sy,,3.89,,,,,11.27,-4.22,0.83,-0.29
OSF_qq,,,,-3.81,-7.06,-0.85,4.62,2.63,-6.74,-2.46
OSF_sq,,,,12.84,-4.14,1.58,1.27,-2.87,0.92,0.45
NetDebt,208766000000,225215000000,331244000000,345406000000,406282000000,385372000000,294701000000,326175000000,396814000000,389764000000
NetDebt_yy,,,,,,,,,,
NetDebt_sy,,,,,,,,,,
NetDebt_qq,,,,,,,,,,
NetDebt_sq,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,
NetDebtEBITDA_yy,,-13.16,,,,,27.23,20.89,28.73,-20.10
NetDebtEBITDA_sy,,9.66,,,,,33.71,15.34,17.56,12.95
NetDebtEBITDA_qq,,,,6.31,24.42,39.05,-30.82,1.01,32.49,-13.69
NetDebtEBITDA_sq,,,,16.16,-2.60,8.86,8.55,0.20,-0.73,4.60
DebtFin,147602000000,115399000000,213633000000,248752000000,296050000000,251785000000,181500000000,237904000000,292995000000,254801000000
DebtFin_yy,,,,,,,,,,
DebtFin_sy,,,,,,,,,,
DebtFin_qq,,,,,,,,,,
DebtFin_sq,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,
DebtFinEBITDA_yy,,-37.06,,,,,21.50,22.44,30.44,-20.05
DebtFinEBITDA_sy,,111.63,,,,,13.62,-13.68,47.18,47.56
DebtFinEBITDA_qq,,,,18.71,25.89,24.68,-34.79,19.62,34.12,-23.59
DebtFinEBITDA_sq,,,,14.92,-44.22,2.02,73.74,-12.69,-4.89,2.28
SP1,,,,,,,,,,
SP1_yy,,21.44,,,,,12.03,7.08,3.73,5.04
SP1_sy,,16.81,,,,,-0.24,-3.17,-11.44,-17.26
SP1_qq,,,,4.78,4.49,2.24,0.09,0.15,1.22,3.53
SP1_sq,,,,0.53,2.14,-2.03,-0.82,-2.43,-6.58,-8.47
SP2,,,,,,,,,,
SP2_yy,,-1.67,,,,,4.60,-3.12,-5.35,2.28
SP2_sy,,-2.48,,,,,-6.89,5.27,-7.19,-1.31
SP2_qq,,,,7.10,4.31,-2.91,-3.57,-0.80,1.90,4.92
SP2_sq,,,,-11.10,9.87,-3.03,-1.69,0.50,-3.14,3.12
CAR,,,,,,,,,,
CAR_yy,,-60.20,,,,,232.43,-47.21,-16.77,-17.68
CAR_sy,,-41.55,,,,,191.93,-45.84,2.54,-14.82
CAR_qq,,,,36.09,-76.87,306.24,159.93,-78.39,-63.52,301.81
CAR_sq,,,,54.95,-68.92,173.98,121.21,-71.25,-41.15,127.60
QR,,,,,,,,,,
QR_yy,,-11.43,,,,,13.53,-37.54,-37.98,-4.23
QR_sy,,10.08,,,,,-21.17,-11.43,-12.78,1.57
QR_qq,,,,-16.45,49.05,2.02,-10.64,-54.03,47.99,57.54
QR_sq,,,,-13.58,8.80,-15.13,-1.22,-2.90,7.14,-1.16
CR,,,,,,,,,,
CR_yy,,-16.39,,,,,8.78,-15.37,-22.12,1.49
CR_sy,,-4.84,,,,,-32.99,-8.07,-1.46,4.37
CR_qq,,,,33.94,-3.60,-14.88,-1.03,4.21,-11.29,10.93
CR_sq,,,,-24.31,-13.18,1.47,0.49,3.84,-6.94,7.48
PP,,,,,,,,,,
PP_yy,,-58.84,,,,,118.79,-49.70,-52.04,-25.70
PP_sy,,-36.46,,,,,98.68,-48.11,-32.12,-23.04
PP_qq,,,,9.82,-56.79,102.13,128.13,-74.75,-58.80,213.15
PP_sq,,,,24.23,-53.61,77.23,94.52,-67.56,-39.31,100.95
RCLR,,,,,,,,,,
RCLR_yy,,-5.15,,,,,-23.04,-29.44,-35.05,0.37
RCLR_sy,,11.53,,,,,-37.25,-29.19,-12.80,3.73
RCLR_qq,,,,-21.26,69.53,-4.96,-39.34,-27.81,56.06,46.87
RCLR_sq,,,,-17.11,14.06,-17.01,-20.03,-6.47,40.46,-1.27
KP,,,,,,,,,,
KP_yy,,-18.84,,,,,25.88,-15.40,-23.55,7.43
KP_sy,,-88.84,,,,,-80.03,27.88,43.72,49.13
KP_qq,,,,46.36,12.88,-13.43,-11.98,-1.63,2.01,21.64
KP_sq,,,,-76.95,-26.02,15.58,1.30,47.64,-16.86,19.93
PKKO,,,,,,,,,,
PKKO_yy,,-15.75,,,,,36.06,-17.24,-23.54,5.23
PKKO_sy,,-65.97,,,,,-68.84,-42.86,-262.53,22.56
PKKO_qq,,,,59.38,22.04,-13.62,-19.02,-3.05,12.74,18.88
PKKO_sq,,,,-22.01,-43.90,-17.39,-13.78,43.02,-259.55,162.29
RN,,,,,,,,,,
RN_yy,,-26.29,,,,,-3.29,-1.03,2.55,11.12
RN_sy,,-36.62,,,,,18.01,8.87,-16.84,1.58
RN_qq,,,,-0.62,-0.47,-5.23,3.18,1.70,3.13,2.69
RN_sq,,,,10.23,35.01,-15.93,-5.69,1.70,3.13,2.69
CRN,98000,134000,83000,84000,84000,89000,86000,84000,82000,80000
CRN_yy,,36.73,,,,,3.61,,-2.38,-10.11
CRN_sy,,58.93,,,,,-14.85,,20.59,-1.23
CRN_qq,,,,1.20,,5.95,-3.37,-2.33,-2.38,-2.44
CRN_sq,,,,-7.92,,19.12,6.17,-2.33,-2.38,-2.44
CPZ,90000,129000,103000,101000,88000,94000,97000,101000,110000,107000
CPZ_yy,,43.33,,,,,-5.83,,25.00,13.83
CPZ_sy,,-15.13,,,,,-31.69,,-10.48,19.15
CPZ_qq,,,,-1.94,-12.87,6.82,3.19,4.12,8.91,-2.73
CPZ_sq,,,,-2.82,-10.14,-24.19,3.19,4.12,9.90,0.90
RZ,,,,,,,,,,
RZ_yy,,0.40,,,,,-3.12,-6.59,-15.25,-14.21
RZ_sy,,26.81,,,,,60.98,54.31,30.22,4.44
RZ_qq,,,,-1.80,1.14,-0.30,-2.16,-5.31,-8.24,0.91
RZ_sq,,,,9.30,15.84,27.48,-0.27,4.77,-2.24,2.25
CRZ,48000,48000,101000,103000,102000,102000,105000,111000,121000,119000
CRZ_yy,,,,,,,3.96,7.77,18.63,16.67
CRZ_sy,,,,,,,-35.15,-33.16,-19.38,-3.05
CRZ_qq,,,,1.98,-0.97,,2.94,5.71,9.01,-1.65
CRZ_sq,,,,-7.43,-14.44,,,-4.58,3.20,-1.55
RMO,,,,,,,,,,
RMO_yy,,-16.39,,,,,-14.01,-12.20,-14.63,-4.06
RMO_sy,,1.12,,,,,27.55,1.58,-10.19,-11.14
RMO_qq,,,,-2.66,0.42,-8.40,-3.96,-0.61,-2.36,2.95
RMO_sq,,,,21.18,-0.97,7.60,-1.23,-3.49,-12.45,6.47
RMT,,,,,,,,,,
RMT_yy,,9.77,,,,,-21.94,-14.93,-10.82,1.90
RMT_sy,,29.60,,,,,3.01,19.67,18.55,21.01
RMT_qq,,,,-9.11,-6.49,-7.69,-0.49,-0.95,-1.98,5.47
RMT_sq,,,,3.57,0.26,-0.31,-0.49,20.32,-0.68,1.76
RM,,,,,,,,,,
RM_yy,,-0.88,,,,,-19.25,-14.01,-12.10,-0.17
RM_sy,,12.56,,,,,-2.97,40.55,33.40,22.06
RM_qq,,,,-6.89,-4.21,-7.92,-1.67,-0.84,-2.09,4.58
RM_sq,,,,2.18,-3.86,0.55,-1.77,48.02,-8.75,-7.99
COP,146000,182000,184000,187000,186000,191000,191000,195000,203000,199000
COP_yy,,24.66,,,,,3.80,4.28,9.14,4.19
COP_sy,,-0.76,,,,,-19.29,-15.36,2.03,1.74
COP_qq,,,,1.63,-0.53,2.69,,2.09,4.10,-1.97
COP_sq,,,,-9.78,-11.14,-2.71,,-5.39,7.12,-2.99
CSP,56000,53000,81000,86000,98000,97000,94000,94000,93000,92000
CSP_yy,,-5.36,,,,,16.05,9.30,-5.10,-5.15
CSP_sy,,200.00,,,,,-73.33,-87.85,-91.23,-94.12
CSP_qq,,,,6.17,13.95,-1.02,-3.09,,-1.06,-1.08
CSP_sq,,,,78.33,-46.73,-40.35,-52.94,,-61.54,-60.00
