,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROE_yy,,,,546.22,,66.21,818.24,-34.32,-24.43,-18.81,-39.00,-28.70,-19.11,3.81,-0.15,32.47,20.73,-40.82,-78.85,-131.47,-184.76,-252.91,-587.68,-99.08,57.39,85.51,201.66,300.23,532.12,1583.43
ROE_sy,,,,-46.89,,-94.37,1385.56,-27.41,-46.43,456.76,65.86,110.88,164.12,198.06,34.55,31.71,10.92,-20.11,-24.86,33.14,46.89,84.51,35.41,-31.37,-53.87,-53.09,-34.53,-9.52,31.80,34.51
ROE_qq,,,-132.21,824.10,-21.19,-9.59,39.20,-33.79,-9.32,-2.87,4.59,-22.60,2.88,24.65,0.60,2.68,-6.24,-38.90,-64.05,-252.82,-152.53,-10.22,-14.65,37.62,45.95,62.53,904.57,22.87,16.65,28.64
ROE_sq,,,-103.42,1620.00,10.67,-90.22,681.76,-14.17,-18.33,1.60,132.89,9.12,2.29,14.66,5.13,6.82,-13.85,-17.42,-1.12,89.28,-4.96,3.72,-27.43,-4.07,-36.11,5.47,1.30,32.56,-6.93,7.63
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,,,611.32,,111.50,1092.55,-12.47,-31.53,-19.67,-38.26,-38.03,-22.39,-3.82,3.65,55.01,21.51,-44.22,-74.37,-135.96,-203.50,-288.03,-504.58,-59.21,60.34,85.37,222.94,359.50,619.43,1750.59
ROA_sy,,,,-47.78,,-94.65,774.44,-14.15,-39.41,600.00,71.17,127.25,144.99,129.56,-18.29,-2.13,-17.04,-38.81,-3.18,6.13,12.27,43.36,34.31,-11.64,-21.38,-9.16,-38.04,14.75,42.60,15.94
ROA_qq,,,-127.73,902.13,5.57,-9.92,30.13,-29.26,-17.42,5.69,,-28.99,3.42,30.97,7.76,6.20,-18.93,-39.88,-50.49,-249.02,-133.33,-9.21,-6.54,41.36,41.87,59.72,995.29,23.78,16.35,28.01
ROA_sq,,,-106.69,688.89,14.91,-88.18,743.06,-25.04,-18.90,36.59,,-0.48,-12.57,27.99,-26.62,19.20,-25.89,-5.60,16.10,30.66,-21.60,20.55,8.77,-14.04,-30.24,39.27,-25.81,59.21,-13.31,13.24
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,,,-12.44,,-24.85,-55.07,-7.71,-8.98,1.98,50.44,-6.31,10.45,28.16,40.55,24.75,10.89,-32.58,-60.61,-109.68,-155.07,-193.03,-268.31,-286.89,69.30,103.86,127.62,201.69,400.95,3062.50
OPM_sy,,,,-43.35,,-58.55,-6.90,-20.40,29.34,62.37,-3.40,46.06,41.21,19.37,32.91,-0.46,-25.00,6.38,-31.73,-12.10,17.35,4.50,54.23,6.16,-6.43,12.92,0.68,-21.85,7.42,3.71
OPM_qq,,,12.95,-23.06,-4.62,-9.34,-32.48,58.06,-5.94,1.58,-0.39,-1.56,10.89,17.86,9.24,-12.62,-1.43,-28.34,-36.18,-121.48,-460.66,-21.05,-15.46,50.63,55.51,115.24,725.00,81.82,31.67,60.13
