,2004/Q4,2005/Q4,2006/Q4,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZOCurrent_sq,,,,,-28.06,3.02,-1.38,9.35,,,,,,,1.09,-15.16,6.16,84.70,-26.23,-48.24,-14.48,,,20.81,-18.72,-9.29,-16.47,-28.32,-0.55,3.18,-19.67,-6.80,26.50,-28.54,-3.75,-10.93,0.35,-34.71,13.18,5.70,33.65,-27.50,-5.39,-16.74,8.76,-13.98,16.34
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-0.38,0.04,,-6.52,,,,8.29,8.83,3.87,,0.36,-5.53,-4.55,,-4.44,2.05,-1.31,,2.83,2.14,-2.28,-8.95,-5.22,-9.81,-18.56,-17.96,-23.70,-12.14,-14.12,-18.91,-8.25,8.92,2.87,7.95,5.38,2.12,14.91,19.07,21.04,24.41,18.91,8.53,8.47,5.47,18.46
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,-7.32,2.19,1.59,3.94,0.36,2.70,-3.04,0.07,0.72,-3.32,-2.04,4.84,-3.75,3.24,-5.27,6.24,-1.02,2.55,-9.38,-1.02,3.03,-2.42,-18.17,-0.28,-4.17,12.37,-20.03,-5.84,8.42,33.40,-24.47,-1.18,5.84,29.28,-15.01,2.40,7.58,32.88,-18.76,-6.54,7.51,29.20,-8.76
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-24.49,-24.97,,-24.42,,,-30.99,-35.00,-29.06,-24.59,-11.56,-4.68,-6.85,-8.94,-8.19,-14.46,6.26,-3.16,-9.94,-9.83,-27.43,-30.47,-36.01,-31.51,-33.20,-37.68,-34.09,-40.32,-32.36,-33.55,-35.05,-25.48,-11.44,-13.96,-9.99,-9.95,-9.98,2.53,13.46,12.76,14.25,5.69,-8.56,-7.45,-9.57,2.69
EVPCurrent_sy,,-45.01,-10.27,,52.88,,,-30.99,-35.00,-29.06,-24.59,-8.17,47.99,2.82,-7.42,-6.54,-23.30,34.83,53.90,42.92,-21.94,-39.19,-38.95,-32.22,5.22,5.38,4.84,-1.17,-9.01,-10.06,-11.64,-13.56,15.04,-18.67,-18.74,-8.68,-7.27,0.06,-6.53,-10.55,-4.98,-12.99,-10.59,-13.31,-15.80,13.86,21.71
EVPCurrent_qq,,,,,-0.42,-8.84,-8.88,-16.57,-6.21,-0.51,-3.15,-2.15,1.09,-2.77,-5.33,-1.34,-5.81,20.78,-13.72,-8.24,-5.70,-2.79,-17.34,-15.56,0.94,-5.19,-22.88,-10.69,-8.60,7.46,-24.25,-12.70,4.87,27.70,-26.40,-8.68,4.93,27.65,-16.17,1.05,4.28,29.33,-22.45,-12.57,5.55,26.36,-11.94
EVPCurrent_sq,,,,,-0.42,-8.84,-8.88,-16.57,-6.21,-0.51,-3.15,1.61,51.15,-30.88,-12.79,2.57,24.05,21.50,-0.45,-4.75,-32.24,-5.34,-0.06,5.75,5.18,-5.20,-0.58,-0.31,-3.16,-6.29,-2.33,-2.47,28.88,-33.75,-2.41,9.60,30.87,-28.51,-8.85,4.89,39.02,-34.54,-6.33,1.69,35.02,-11.48,0.12
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-74.67,-53.01,,65.49,,,196.05,-130.15,-129.40,-142.67,-130.09,-840.95,910.00,4739.01,324.02,122.77,-58.69,-95.56,167.17,41.05,-922.70,203.95,-38.51,-10.38,105.71,-80.10,-83.67,-81.16,-57.55,-66.94,-67.59,-62.27,-50.39,-46.49,12.65,4.93,-4.57,21.43,33.25,37.67,44.20,15.22,-31.17,-20.87,-22.27,7.34
