,2014/Q4,2015/Q4,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PCurrent_qq,,,,1.45,-4.87,7.85,14.01,58.33,39.58,15.38,38.95
PCurrent_sq,,,,,,,,,,,
CPCurrent,,,,,,,,,,,
CPCurrent_yy,,-43.00,,,-8.97,,-15.73,-46.00,-63.20,-65.60,-71.77
CPCurrent_sy,,60.65,,,-14.62,,-4.48,-18.29,-8.22,-14.70,-7.33
CPCurrent_qq,,,,-1.43,5.12,-7.28,-12.29,-36.84,-28.36,-13.33,-28.03
CPCurrent_sq,,,,9.33,-1.37,-7.87,-3.85,-6.48,10.79,-14.37,4.45
ZCurrent,,,,,,,,,,,
ZCurrent_yy,,95.91,,,-13.75,,1.47,93.17,179.12,374.46,610.70
ZCurrent_sy,,,,,,,,,,,
ZCurrent_qq,,,,3.76,-8.69,7.07,0.03,97.54,31.93,82.00,49.84
ZCurrent_sq,,,,,,,,,,,
CZCurrent,,,,,,,,,,,
CZCurrent_yy,,-48.96,,,15.94,,-1.45,-48.23,-64.17,-78.92,-85.93
CZCurrent_sy,,-2.97,,,-20.42,,-11.77,23.03,-0.97,4.24,-26.25
CZCurrent_qq,,,,-3.63,9.51,-6.60,-0.03,-49.38,-24.21,-45.05,-33.26
CZCurrent_sq,,,,-9.79,-15.19,-0.96,16.44,25.78,-31.74,4.25,-17.61
ZOCurrent,,,,,,,,,,,
ZOCurrent_yy,,104.56,,,-24.98,,-9.16,91.49,255.12,303.43,492.22
ZOCurrent_sy,,,,,,,,,,,
ZOCurrent_qq,,,,-3.45,-18.20,1.41,13.42,103.52,51.70,15.20,66.50
ZOCurrent_sq,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,
CZOCurrent_yy,,-51.11,,,33.28,,10.08,-47.78,-71.84,-75.21,-83.11
CZOCurrent_sy,,-9.01,,,2.45,,-4.55,-5.26,0.71,13.50,-1.41
CZOCurrent_qq,,,,3.57,22.24,-1.39,-11.83,-50.87,-34.08,-13.20,-39.94
CZOCurrent_sq,,,,9.02,-12.49,-17.03,20.58,8.21,-6.97,-6.50,4.74
EVCurrent,,,,,,,,,,,
EVCurrent_yy,,-0.69,,,-3.41,,-3.74,-4.82,-1.49,-1.84,-3.13
EVCurrent_sy,,,,,,,,,,,
EVCurrent_qq,,,,0.06,-3.61,-0.22,0.02,-1.07,-0.24,-0.57,-1.30
EVCurrent_sq,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,
EVPCurrent_yy,,-43.39,,,-12.07,,-18.88,-48.61,-63.75,-66.23,-72.66
EVPCurrent_sy,,68.24,,,-9.64,,-9.24,-12.81,-14.35,-5.16,-7.04
EVPCurrent_qq,,,,-1.37,1.32,-7.48,-12.26,-37.51,-28.53,-13.82,-28.96
EVPCurrent_sq,,,,-1.42,7.75,-17.17,3.16,-5.30,5.85,-8.28,1.11
EVEBITCurrent,,,,,,,,,,,
EVEBITCurrent_yy,,-51.45,,,28.74,,5.96,-50.30,-72.26,-75.67,-83.64
EVEBITCurrent_sy,,-13.43,,,-17.38,,-21.67,11.04,10.63,-0.85,-7.60
EVEBITCurrent_qq,,,,3.63,17.83,-1.60,-11.81,-51.39,-34.24,-13.69,-40.72
EVEBITCurrent_sq,,,,-13.11,-22.43,6.78,8.85,23.17,-22.72,-4.31,1.44
EVEBITDACurrent,,,,,,,,,,,
EVEBITDACurrent_yy,,-51.23,,,27.55,,4.54,-50.30,-72.09,-75.31,-83.35
EVEBITDACurrent_sy,,17.96,,,-17.91,,20.04,1.60,-1.70,-1.90,-21.52
EVEBITDACurrent_qq,,,,3.28,17.38,-2.22,-11.80,-50.90,-34.08,-13.52,-40.51
EVEBITDACurrent_sq,,,,2.03,-24.30,-3.11,60.43,-13.64,-26.77,-3.31,28.34
ROE,,,,,,,,,,,
ROE_yy,,0.56,,,-72.97,,-64.50,-35.91,107.84,201.74,363.02
ROE_sy,,25.60,,,-13.86,,13.91,-0.13,15.56,9.14,31.35
ROE_qq,,,,-6.12,-62.12,3.07,-3.14,69.51,22.82,49.63,48.63
ROE_sq,,,,2.60,27.05,-2.21,-10.65,-10.05,47.02,-7.64,7.54
ROA,,,,,,,,,,,
ROA_yy,,8.53,,,-69.98,,-61.09,-34.52,92.15,187.27,271.60
ROA_sy,,10.66,,,-7.71,,-28.04,13.14,-7.52,21.35,88.66
ROA_qq,,,,-1.97,-58.69,1.31,-5.17,64.98,21.23,51.46,22.67
ROA_sq,,,,-17.54,29.81,-1.25,-31.92,29.66,6.11,29.57,5.84
OPM,,,,,,,,,,,
OPM_yy,,16.59,,,-31.69,,-23.45,3.41,30.68,38.81,67.17
OPM_sy,,-10.07,,,26.14,,-9.38,-12.62,-18.09,-22.27,-1.49
OPM_qq,,,,-4.84,-13.99,-5.99,-0.51,28.56,8.68,-0.14,19.82
OPM_sq,,,,9.65,12.25,-1.54,-25.22,5.73,5.21,-6.56,-5.23
ROS,,,,,,,,,,,
ROS_yy,,11.67,,,-21.48,,-14.49,4.29,2.71,63.22,100.62
ROS_sy,,-0.40,,,13.89,,-40.94,-33.97,-7.49,-9.29,92.52
ROS_qq,,,,2.29,-4.02,-0.74,-12.26,24.77,-5.48,57.74,7.85
ROS_sq,,,,-3.59,9.54,2.18,-45.27,7.79,53.47,0.19,16.17
RS,,,,,,,,,,,
RS_yy,,17.08,,,-31.93,,-23.73,3.01,31.30,39.82,67.99
RS_sy,,4.45,,,-0.96,,-16.95,-15.77,-7.26,-16.15,17.66
RS_qq,,,,-4.83,-14.40,-6.17,-0.23,28.54,9.12,-0.08,19.87
RS_sq,,,,-10.69,20.58,7.57,-28.31,-9.42,32.76,-2.74,0.60
GPM,,,,,,,,,,,
GPM_yy,,15.63,,,-30.48,,-28.29,-0.02,22.18,107.43,140.87
GPM_sy,,-9.69,,,28.84,,-27.89,-36.31,-17.86,-13.75,42.81
GPM_qq,,,,-5.08,-13.50,-6.60,-6.49,32.34,5.71,58.56,8.59
GPM_sq,,,,4.19,23.57,-9.81,-37.90,-7.97,59.36,-5.30,2.83
RBS,,,,,,,,,,,
RBS_yy,,,,,,,,,,,
RBS_sy,,,,,,,,,,,
RBS_qq,,,,,,,,,,,
RBS_sq,,,,,,,,,,,
ROPA,,,,,,,,,,,
ROPA_yy,,13.31,,,-73.88,,-65.14,-35.10,144.45,144.13,209.48
ROPA_sy,,-18.75,,,0.64,,-7.01,3.84,0.32,1.36,-8.98
ROPA_qq,,,,-8.76,-62.99,-4.02,7.55,69.88,39.39,-4.14,36.34
ROPA_sq,,,,-6.59,12.60,5.40,-16.11,4.31,8.78,6.49,-24.67
ZNPO,,,,,,,,,,,
ZNPO_yy,,11.68,,,-395.48,,202.45,143.12,121.22,-29.58,-67.27
ZNPO_sy,,-7.91,,,27.80,,41.59,158.25,-1.31,10.10,13.20
ZNPO_qq,,,,27.43,-161.42,153.69,0.58,-69.46,28.62,78.23,-53.25
ZNPO_sq,,,,-46.79,144.23,-4.81,14.46,-2.95,-6.67,6.20,17.69
ZFI,,,,,,,,,,,
ZFI_yy,,-60.58,,,665.85,,-97.11,122.30,74.04,83.11,12.90
ZFI_sy,,-2.02,,,3.15,,-15.61,19.20,20.95,71.33,17.07
ZFI_qq,,,,-119.36,116.81,-5.73,-5.74,49.28,31.21,-0.82,-41.88
ZFI_sq,,,,-31.41,-2.68,-13.08,45.44,-3.11,-1.25,23.13,-0.62
DTAR,,,,,,,,,,,
DTAR_yy,,-44.69,,,-47.69,,-28.37,31.06,62.88,-0.14,169.93
DTAR_sy,,6.66,,,1.77,,-2.10,-13.15,-27.64,-25.74,-2.89
DTAR_qq,,,,-27.61,-31.85,36.73,6.19,32.45,-15.30,-16.17,187.04
DTAR_sq,,,,-8.87,9.73,-6.99,5.26,-19.15,-8.57,-4.56,37.66
CG,,,,,,,,,,,
CG_yy,,-48.77,,,-52.98,,-34.70,28.15,76.45,4.92,236.28
CG_sy,,8.84,,,1.27,,0.54,-20.39,-41.25,-43.01,-32.50
CG_qq,,,,-30.68,-37.68,39.37,8.45,36.05,-14.19,-17.13,247.60
CG_sq,,,,-10.92,16.95,-9.66,6.83,-29.47,-13.69,-12.38,26.54
LDER,,,,,,,,,,,
LDER_yy,,-88.97,,,563.64,,40.00,886.00,-96.58,16.31,323.38
LDER_sy,,17.64,,,44.98,,-19.98,-39.94,-55.51,-6.53,0.06
LDER_qq,,,,-9.09,484.00,-3.42,-72.70,540.26,-97.97,3180.00,-0.61
LDER_sq,,,,18.34,12.89,-16.82,-28.00,-11.18,-16.36,74.75,-22.92
PZAT,,,,,,,,,,,
PZAT_yy,,485.48,,,-57.00,,-48.11,-94.13,2176.23,-76.81,-93.75
PZAT_sy,,-51.64,,,-19.40,,10.70,-22.82,23.31,-29.56,-28.38
PZAT_qq,,,,23.29,-89.25,8.70,260.16,-86.04,4065.02,-98.89,-2.95
PZAT_sq,,,,23.29,-53.20,74.27,10.10,-14.04,-25.24,-0.45,11.95
PELDR,,,,,,,,,,,
PELDR_yy,,80.43,,,-24.45,,-8.12,0.85,-27.91,-75.04,-72.80
PELDR_sy,,-10.25,,,-1.26,,-16.10,-5.53,-3.43,8.29,11.59
PELDR_qq,,,,-6.35,50.08,-27.20,-10.20,2.80,7.28,-74.79,-2.17
PELDR_sq,,,,-2.34,-1.66,-2.84,-10.09,9.97,0.52,8.95,-7.35
TSF,,,,,,,,,,,
TSF_yy,,4.25,,,13.89,,9.86,6.65,-10.15,-4.41,-17.76
TSF_sy,,4.84,,,-1.02,,-1.45,5.28,7.43,9.62,-2.70
TSF_qq,,,,4.37,11.78,-1.84,-4.07,1.32,-5.83,4.43,-17.46
TSF_sq,,,,-0.15,-6.39,3.94,1.45,6.66,-4.47,6.05,-9.96
ZKO,,,,,,,,,,,
ZKO_yy,,-46.56,,,-46.80,,-27.52,31.63,65.21,27.51,223.93
ZKO_sy,,2.37,,,1.76,,-3.54,-7.10,-0.77,-7.77,9.08
ZKO_qq,,,,-27.26,-33.21,39.71,6.78,32.11,-16.17,7.83,171.27
ZKO_sq,,,,-1.11,-2.60,3.24,-3.00,-4.76,4.04,-4.04,14.71
OSF,,,,,,,,,,,
OSF_yy,,7.51,,,-58.60,,-32.17,24.53,21.49,-67.92,-12.48
OSF_sy,,3.47,,,-6.47,,-5.86,0.48,11.20,2.55,-5.35
OSF_qq,,,,-28.60,-2.40,0.34,-2.99,31.09,-4.78,-73.50,164.63
OSF_sq,,,,-6.13,-0.45,0.03,0.71,0.20,10.17,-7.75,-7.04
NetDebt,-270000000,-5216000000,-3623000000,-4135000000,-32429000000,-32833000000,-32516000000,-38370000000,-40698000000,-42497000000,-35571000000
NetDebt_yy,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,
NetDebtEBITDA_yy,,-848.99,,,-646.31,,-786.08,-340.55,64.44,67.45,81.20
NetDebtEBITDA_sy,,-52.78,,,83.88,,-26.65,-43.68,-7.91,-39.07,-8.59
NetDebtEBITDA_qq,,,,-17.79,-768.26,0.79,12.68,41.43,29.92,9.19,49.56
NetDebtEBITDA_sq,,,,-6.43,-22.40,-4.61,5.91,-28.16,26.90,-36.89,58.89
DebtFin,-1934000000,-6786000000,-5733000000,-5339000000,-33770000000,-35394000000,-35210000000,-43141000000,-44895000000,-49042000000,-58513000000
DebtFin_yy,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,
DebtFinEBITDA_yy,,-72.31,,,-497.37,,-506.41,-283.60,62.33,65.16,71.44
DebtFinEBITDA_sy,,-160.47,,,100.18,,28.03,89.65,3050.00,7.70,412.26
DebtFinEBITDA_qq,,,,3.87,-600.22,-2.70,12.28,39.19,31.24,5.00,28.09
DebtFinEBITDA_sq,,,,-46.66,100.71,-32406.25,78.55,78.90,315.38,-1046.63,172.58
SP1,,,,,,,,,,,
SP1_yy,,101.12,,,-22.12,,-6.40,-5.48,-26.54,-74.85,-72.99
SP1_sy,,-1.40,,,-2.12,,-6.52,-7.19,-4.44,0.99,-2.71
SP1_qq,,,,-1.82,46.15,-28.21,-9.14,-0.85,13.59,-75.42,-2.43
SP1_sq,,,,0.02,2.16,-6.22,-2.44,-0.69,5.18,-0.89,-6.02
SP2,,,,,,,,,,,
SP2_yy,,94.25,,,-20.19,,-6.20,-1.31,-28.55,-74.74,-72.33
SP2_sy,,-10.80,,,-2.92,,-10.38,-11.89,-4.75,7.60,-2.72
SP2_qq,,,,-1.87,49.68,-28.28,-10.96,3.24,8.37,-74.64,-2.46
SP2_sq,,,,2.45,-6.31,-2.34,-4.38,0.72,1.28,10.32,-13.55
CAR,,,,,,,,,,,
CAR_yy,,207.17,,,513.81,,227.46,201.59,-72.17,-13.98,-68.54
CAR_sy,,81.57,,,-5.53,,-6.91,9.80,-12.39,50.51,23.16
CAR_qq,,,,32.41,613.65,-45.41,-36.52,21.95,-34.15,68.73,-76.79
CAR_sq,,,,-6.45,41.14,-30.53,1.50,10.34,12.61,19.35,-16.95
QR,,,,,,,,,,,
QR_yy,,130.82,,,502.11,,175.80,125.90,-70.67,-14.98,-65.21
QR_sy,,-14.97,,,12.11,,-5.54,-2.95,7.32,21.83,0.29
QR_qq,,,,49.03,429.27,-45.17,-36.23,22.07,-31.27,58.93,-73.91
QR_sq,,,,7.76,-6.03,-8.92,2.41,10.73,3.92,3.40,-15.70
CR,,,,,,,,,,,
CR_yy,,61.31,,,272.87,,45.26,24.08,-70.29,-16.55,-68.34
CR_sy,,-8.35,,,10.68,,-1.88,3.88,1.21,28.68,6.63
CR_qq,,,,39.35,191.21,-45.99,-33.73,19.04,-30.28,51.73,-74.86
CR_sq,,,,10.63,-2.87,-12.16,3.95,17.12,-5.36,11.68,-13.86
PP,,,,,,,,,,,
PP_yy,,207.17,,,513.81,,227.46,201.59,-72.17,-13.98,-68.54
PP_sy,,12.45,,,8.56,,-27.63,-23.24,-16.17,17.41,19.51
PP_qq,,,,32.41,613.65,-45.41,-36.52,21.95,-34.15,68.73,-76.79
PP_sq,,,,7.73,-0.43,-19.06,-16.65,14.27,8.75,13.36,-15.16
RCLR,,,,,,,,,,,
RCLR_yy,,-36.83,,,198.13,,18.96,1.06,-59.81,-34.92,-47.30
RCLR_sy,,-24.53,,,5.33,,2.08,5.38,13.10,24.30,0.28
RCLR_qq,,,,36.22,90.68,-32.48,-32.17,15.73,-24.17,9.34,-45.08
RCLR_sq,,,,11.21,-1.35,-10.36,3.81,14.80,5.88,-1.49,-16.25
KP,,,,,,,,,,,
KP_yy,,10.95,,,6.31,,2.51,1.02,-7.83,-22.55,-31.18
KP_sy,,-31.02,,,9.94,,-19.12,-16.10,-1.06,30.66,6.74
KP_qq,,,,2.96,7.57,-4.35,-3.23,1.45,-1.85,-19.62,-14.01
KP_sq,,,,14.55,-4.15,-15.54,-12.78,18.83,13.04,11.53,-28.75
PKKO,,,,,,,,,,,
PKKO_yy,,-61.03,,,-72.99,,-17.24,-55.58,38.89,11.33,-6.66
PKKO_sy,,13.15,,,-5.35,,-21.31,-44.77,-35.98,-19.45,66.79
PKKO_qq,,,,18.27,-121.84,28.50,9.57,-8.45,12.86,-3.75,-8.78
PKKO_sq,,,,42.02,1.31,-23.95,-28.09,-0.32,17.43,-4.30,48.89
RN,,,,,,,,,,,
RN_yy,,139.91,,,-34.12,,-39.21,-17.14,28.60,63.20,78.26
RN_sy,,-4.27,,,6.60,,11.42,2.11,11.43,8.89,0.96
RN_qq,,,,-5.82,-23.58,-9.24,-6.95,28.38,18.60,15.18,1.64
RN_sq,,,,7.14,-2.60,2.96,3.71,-1.82,6.29,0.61,-3.84
CRN,97000,41000,44000,47000,62000,68000,73000,57000,48000,42000,41000
CRN_yy,,-57.73,,,51.22,,65.91,21.28,-22.58,-38.24,-43.84
CRN_sy,,3.80,,,-6.10,,-10.56,-2.00,-10.39,-7.38,
CRN_qq,,,,6.82,31.91,9.68,7.35,-21.92,-15.79,-12.50,-2.38
CRN_sq,,,,-6.83,2.67,-3.25,-3.36,2.08,-6.12,,4.35
CPZ,66000,44000,44000,41000,38000,40000,44000,35000,36000,33000,45000
CPZ_yy,,-33.33,,,-13.64,,,-14.63,-5.26,-17.50,2.27
CPZ_sy,,14.97,,,9.38,,,-11.98,-20.00,-18.13,-2.33
CPZ_qq,,,,-6.82,-7.32,5.26,10.00,-20.45,2.86,-8.33,36.36
CPZ_sq,,,,,9.38,-8.10,-10.88,-1.74,-0.59,-5.95,6.33
RZ,,,,,,,,,,,
RZ_yy,,,,,,,,,,,
RZ_sy,,,,,,,,,,,
RZ_qq,,,,,,,,,,,
RZ_sq,,,,,,,,,,,
CRZ,,,,,,,,,,,
CRZ_yy,,,,,,,,,,,
CRZ_sy,,,,,,,,,,,
CRZ_qq,,,,,,,,,,,
CRZ_sq,,,,,,,,,,,
RMO,,,,,,,,,,,
RMO_yy,,-6.05,,,-34.70,,-47.78,-31.92,33.34,59.04,115.19
RMO_sy,,-9.75,,,-0.61,,6.98,16.06,18.31,12.76,2.00
RMO_qq,,,,-3.23,-35.08,-8.95,-8.71,26.16,27.16,8.60,23.52
RMO_sq,,,,0.14,1.09,1.30,4.33,8.63,3.06,-3.45,-5.63
RMT,,,,,,,,,,,
RMT_yy,,81.10,,,-60.59,,-60.00,-43.08,7.91,-29.83,-25.75
RMT_sy,,-17.33,,,-33.83,,-3.89,6.25,1.68,1.40,-12.10
RMT_qq,,,,-14.25,-35.26,-15.86,-14.35,22.02,22.72,-45.29,-9.37
RMT_sq,,,,-15.28,-3.75,2.97,14.47,-6.34,-7.89,2.68,-0.77
RM,,,,,,,,,,,
RM_yy,,-2.82,,,-36.25,,-48.61,-32.70,31.47,47.00,90.40
RM_sy,,-24.43,,,-18.07,,-9.25,-2.08,16.52,16.60,7.72
RM_qq,,,,-3.89,-35.08,-9.40,-9.10,25.87,26.83,1.30,17.74
RM_sq,,,,-5.53,-11.11,4.37,3.54,1.94,5.76,4.45,-4.34
COP,,,,,,,,,,,
COP_yy,,,,,,,,,,,
COP_sy,,,,,,,,,,,
COP_qq,,,,,,,,,,,
COP_sq,,,,,,,,,,,
CSP,,,,,,,,,,,
CSP_yy,,,,,,,,,,,
CSP_sy,,,,,,,,,,,
CSP_qq,,,,,,,,,,,
CSP_sq,,,,,,,,,,,
