,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZCurrent_sy,,,,,,,,,,57.23,,,,-6.18,-31.41,-31.22,-25.97,8.09,9.72,-6.16,8.10,-29.84,-10.31,-12.79,-14.45,,-25.13,-3.88,-10.20,,11.19,-22.35,-1.52
CZCurrent_qq,,,,-40.51,7.83,357.38,,,,,-88.88,1.21,-26.99,155.97,-45.06,-70.12,100.77,63.63,-68.07,668.49,-84.29,-77.61,93.25,-15.85,36.32,,,34.81,-0.93,-80.81,93.36,-15.99,11.90
CZCurrent_sq,,,,-10.33,3.05,1.04,,,,,22.23,8.36,-9.59,-21.65,-10.64,8.67,-2.69,14.40,-9.29,-7.06,12.09,-25.76,15.96,-9.63,9.97,,,16.01,2.74,-7.12,0.44,-18.98,30.30
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-546.43,116.74,,,,-82.51,-121.38,-162.77,22.22,971.70,641.90,425.49,-19.81,-59.15,16.34,-54.52,3.64,255.17,-44.71,190.73,1109.38,124.27,487.16,96.36,-111.53,-50.32,-65.24,-57.71,743.70,59.15,124.36,121.81
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,62.05,-33.81,-22.46,-78.97,-298.11,-94.29,250.98,84.42,0.18,16.70,-62.80,-6.07,185.34,-54.38,-15.23,221.88,-55.58,139.89,252.62,-40.31,16.29,-19.78,-120.71,357.14,-18.63,-2.41,215.23,-36.42,14.72,-3.52
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,,467.12,,,-18.17,-90.58,,,24.92,144.20,-14.00,120.05,-3.64,-71.77,81.07,-65.63,-91.74,-55.44,-82.98,-49.08,,101.30,187.58,136.54,,-37.16,-55.41,-54.93
CZOCurrent_sy,,,,,,,4.15,,,35.24,35.95,,,25.62,-20.61,-29.14,-43.93,-27.46,-14.43,-1.58,-17.03,-24.40,-21.79,-12.29,14.10,,2.22,-7.72,0.24,,5.35,-3.23,-13.68
CZOCurrent_qq,,,,-38.16,51.14,28.81,371.11,,,,-45.76,-0.29,-14.25,169.34,6.04,-64.89,119.42,17.95,-68.94,125.26,-58.35,-71.64,67.48,-13.97,24.61,,,22.90,2.50,-68.28,57.28,-12.79,3.60
CZOCurrent_sq,,,,5.68,-14.82,-5.75,22.77,,,,23.41,1.65,24.52,-19.58,-22.01,-9.27,-1.47,4.04,-8.00,4.36,-16.94,-5.20,-4.82,17.03,8.05,,,5.65,17.37,2.43,-17.06,-2.95,4.69
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-6.15,-7.50,,,,-4.53,-2.39,0.55,,-1.87,-2.70,-3.99,13.77,-2.97,-1.50,0.79,0.41,3.25,30.71,33.13,35.79,34.32,8.38,5.95,7.52,-9.33,-8.56,-9.69,-6.75,9.74,15.67,23.01
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,-2.28,-2.00,-15.44,17.90,-0.08,0.95,-15.91,15.70,-0.93,-0.39,-0.35,-1.33,0.57,1.93,-0.73,1.46,27.32,3.81,1.26,0.36,2.73,1.49,2.75,-15.36,3.59,0.24,6.10,-0.40,9.19,6.61
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,13.59,-26.35,,,,-25.99,-22.38,-23.42,-53.19,-32.69,-33.16,-33.24,58.74,153.02,200.23,600.71,153.88,-49.75,-76.69,-91.03,-88.11,-65.54,-33.85,-26.26,10.26,6.86,1.83,2.36,-23.40,-15.29,-6.15,-3.70
EVPCurrent_sy,,-2.36,-9.31,,,,-2.24,-7.68,59.20,6.52,-2.33,22.31,-3.18,19.70,-5.01,5.00,1.29,20.91,-15.41,-3.64,-7.13,-8.52,4.04,-11.26,-6.40,0.49,5.22,-6.50,-10.60,-17.77,-7.91,-8.56,-13.28
EVPCurrent_qq,,,,-6.29,-0.91,9.22,-27.03,-1.71,-2.24,-33.24,4.92,-2.39,-2.36,58.76,67.23,15.82,127.89,-42.48,-66.90,-46.28,-12.26,-23.79,-4.05,3.12,-2.20,13.95,-7.01,-1.74,-1.69,-14.73,2.84,8.85,0.88
EVPCurrent_sq,,,,-11.19,-20.45,-4.13,44.32,-16.13,37.18,-35.86,32.33,5.04,8.59,-20.70,5.02,16.10,4.76,-5.34,-26.53,32.26,0.96,-6.76,-16.44,12.82,6.48,0.10,-12.50,0.25,1.81,-7.92,-2.01,-0.46,-3.44
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,85.49,651.83,,,,441.42,-556.50,-260.36,-18.17,-90.75,117.93,129.43,42.12,136.95,-15.29,121.79,-3.24,-70.86,136.68,-54.25,-88.78,-40.15,-81.56,-46.05,-1032.96,82.52,162.95,113.63,114.48,-31.04,-48.42,-44.55
EVEBITCurrent_sy,,7.96,16.85,,,,-8.99,-20.16,-4.28,34.48,32.17,88.86,53.32,30.30,9.43,-32.96,-33.83,-17.96,-34.86,-4.52,15.42,-8.16,2.77,-7.46,-18.51,-8.07,-11.22,-22.06,-13.18,2.16,32.27,5.97,5.69
EVEBITCurrent_qq,,,,-39.57,48.11,8.92,455.42,-150.95,47.97,155.58,-37.24,-1.22,-14.58,168.39,4.63,-64.69,123.65,17.09,-68.49,186.81,-56.77,-71.28,68.09,-11.63,26.46,-596.64,132.88,27.32,2.74,-66.35,56.66,-4.77,10.44
EVEBITCurrent_sq,,,,8.62,-5.09,-29.83,25.81,-4.71,13.78,-1.41,23.65,36.16,-7.63,-16.22,3.84,-16.58,-8.84,3.88,-17.55,22.28,10.19,-17.34,-7.74,10.11,-2.97,-6.75,-10.90,-3.33,8.08,9.73,15.37,-22.55,7.80
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-102.94,278.56,,,,40.41,177.14,221.78,-4.89,-50.77,-68.09,-79.18,138.52,256.12,63.46,380.28,7.28,-75.60,-39.38,-84.06,-89.79,-53.79,-59.61,-35.53,308.50,26.29,45.27,32.32,-71.65,-12.96,-22.62,-17.70
EVEBITDACurrent_sy,,-15.46,-11.91,,,,27.73,-18.90,23.86,44.09,21.46,36.59,22.19,19.69,-3.67,-22.27,-35.52,-32.02,-17.59,-4.84,3.79,-3.19,-25.27,-21.56,1.26,-1.88,11.67,5.84,21.16,20.59,12.58,9.12,-15.45
EVEBITDACurrent_qq,,,,-23.81,17.32,-7.08,69.03,50.39,36.22,-72.53,-12.51,-2.53,-11.12,214.68,30.63,-55.26,161.15,-29.71,-70.29,11.15,-31.32,-54.97,34.43,-2.84,9.62,185.33,-58.44,11.75,-0.15,-38.87,27.60,-0.65,6.19
EVEBITDACurrent_sq,,,,40.43,-24.26,-15.16,41.53,-10.83,15.68,-1.31,19.31,0.27,3.49,-3.32,-3.98,-19.09,-14.15,1.92,16.41,-6.58,-6.36,-4.92,-10.14,-1.94,20.87,-7.87,2.26,-7.06,38.36,-8.30,-4.53,-9.92,7.21
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-153.36,105.95,,,,-170.33,-179.15,-228.56,,195.50,151.28,150.73,,67.94,228.41,50.94,152.30,142.99,-95.02,-51.58,175.62,-55.16,1234.72,57.34,-129.60,-62.99,-75.55,-65.19,323.37,89.40,194.47,154.04
ROE_sy,,125.65,35.79,,,,-39.77,-18.40,-36.93,,-17.89,-26.82,2.48,,10.66,-3.11,-9.60,-22.95,17.85,46.98,10.05,14.01,1.80,16.88,25.55,11.58,0.12,8.73,14.72,39.11,17.28,-1.62,2.04
ROE_qq,,,,63.25,-16.97,,,-83.73,-34.85,,,-1.35,33.41,-59.28,213.39,92.92,-38.69,-31.94,201.82,-96.04,495.83,287.41,-50.90,17.77,-29.76,-172.89,161.38,-22.19,,367.66,-47.95,20.98,-13.73
ROE_sq,,,,-28.99,15.28,,,-3.80,-10.90,,,-14.26,24.77,18.10,-12.41,-24.93,16.42,0.65,33.98,-6.37,-12.84,4.27,19.63,7.50,-6.37,-7.33,7.34,16.75,,12.37,-9.51,-2.06,2.46
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-93.98,112.68,,,,-178.37,-187.16,-226.15,,194.79,149.01,150.11,,104.40,232.37,82.27,196.47,121.24,-94.43,-52.12,214.68,-49.57,1475.00,79.17,-129.38,-57.11,-74.21,-63.08,346.78,73.03,166.15,118.90
ROA_sy,,80.13,35.47,,,,-45.53,-18.89,-55.77,,-5.47,-36.36,10.34,,10.03,16.96,-2.92,-7.01,6.34,27.10,-6.65,32.88,23.40,50.45,63.22,7.86,-5.89,3.09,4.26,37.40,9.01,-5.32,-16.14
ROA_qq,,,,65.31,-14.07,,,-83.85,-24.36,,,-4.95,27.17,-61.36,337.65,54.57,-30.26,-37.16,226.59,-96.11,500.00,313.02,-47.67,21.45,-31.75,-167.73,176.39,-26.97,-2.31,352.76,-46.43,12.34,-19.65
ROA_sq,,,,-23.99,53.69,,,13.18,-16.19,,,-23.81,45.31,-3.53,3.03,-19.01,20.61,-7.59,17.81,-3.20,-11.41,31.53,9.41,18.02,-3.89,-13.08,-4.54,29.29,-2.81,14.54,-24.26,12.28,-13.91
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-682.83,113.35,,,,-86.34,-116.98,-147.75,-42.78,628.38,473.36,326.83,11.69,6.74,254.32,215.94,162.41,72.48,-90.14,-80.38,5.96,-42.43,258.42,36.66,-111.82,-41.42,-61.30,-52.10,629.01,22.81,82.04,73.68
