,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
NetDebtEBITDA,5800,5190,3200,4780,5180,5810,4940,3610,2980,4110,1210,1910,1310,1190,200,710,1030,970,290,1570,1690,3310,2320,4460,3480,4730,3290,5670,5840,9450,8420,8730,12180,9480,9320,10260,8420,10240,6410,4530,6120,5210,4590,6010,5550,4660,3970,3940,5470,4090,2840,-36380
DebtFin,12410000000,6311000000,10779000000,4128000000,14430000000,-169000000,10094000000,5706000000,184000000,915000000,-97447000000,-70400000000,-86542000000,-84706000000,-112505000000,-89844000000,-78108000000,-107972000000,-116829000000,-59882000000,-52460000000,-47519000000,-28142000000,-21320000000,-23179000000,-38359000000,-29703000000,-33909000000,-22490000000,-33993000000,-10534000000,6096000000,-53943000000,-74541000000,-77704000000,-14758000000,-1297000000,55658000000,-9767000000,-68015000000,-20562000000,-45673000000,-41219000000,-45808000000,-24170000000,-91689000000,-81046000000,-126350000000,-83693000000,-108854000000,-127188000000,-112105000000
DebtFinEBITDA,730,350,450,200,590,-10,310,140,0,20,-1790,-1140,-1170,-1070,-1410,-1080,-1100,-1370,-1590,-820,-720,-740,-460,-420,-400,-620,-440,-670,-490,-980,-360,170,-1870,-1920,-2280,-360,-20,1110,-150,-830,-250,-590,-630,-710,-370,-1220,-1100,-1730,-1200,-1290,-1460,14540
SP1,1370,1600,1680,1560,1820,1700,1680,1610,1770,1860,2730,2190,2200,2080,2140,2160,2090,2210,2430,1860,1800,1720,1780,1760,2090,2060,1860,1630,1640,1610,1620,1680,1660,1630,1780,1740,1880,1940,2040,2060,2040,2050,2100,2070,2160,2170,2140,2000,1960,2120,2130,1450
SP2,1470,1690,1820,1670,1980,1800,1770,1690,1860,1970,2820,2280,2290,2160,2210,2230,2150,2270,2500,1920,1850,1760,1830,1810,2150,2130,1980,1730,1750,1720,1720,1780,1760,1730,1880,1850,2000,2060,2160,2180,2150,2160,2230,2230,2430,2450,2410,2260,2140,2330,2340,1530
CAR,90,100,140,150,110,120,120,110,130,100,620,380,490,450,810,560,540,610,900,360,320,190,170,90,100,120,130,120,120,130,120,60,200,190,260,130,120,110,210,240,130,220,280,190,180,320,270,360,210,280,390,310
QR,1010,1100,1220,980,1060,970,930,940,1000,1030,1520,1300,1390,1450,1670,1600,1640,1660,1980,1520,1480,1300,1440,1240,1380,1280,1300,1050,1130,1090,1090,970,970,1040,1090,1040,1110,1090,1100,1130,1000,1050,1140,1070,1290,1230,1270,1160,950,1170,1430,1070
CR,1220,1320,1450,1280,1330,1240,1260,1240,1320,1260,1890,1680,1780,1740,2050,1920,2040,1940,2400,1880,1880,1570,1920,1570,1780,1570,1760,1450,1510,1400,1560,1460,1350,1340,1390,1330,1370,1330,1400,1460,1380,1450,1590,1520,1710,1650,1830,1650,1540,1650,1780,1290
PP,90,100,140,160,110,120,120,110,140,110,630,410,510,550,950,680,540,610,900,360,320,190,170,110,120,120,130,120,120,130,120,60,200,190,270,130,120,110,210,240,130,220,280,190,180,320,280,370,210,280,390,310
RCLR,950,940,860,720,810,810,780,790,790,910,900,890,920,1010,790,860,1080,1050,910,1010,970,950,940,840,940,910,830,690,790,770,740,820,630,570,440,490,490,610,610,560,680,670,540,640,640,690,490,560,680,830,1100,740
KP,130,180,230,170,200,160,170,150,190,170,370,310,330,310,360,340,350,350,420,310,300,240,300,250,320,270,300,220,230,210,240,220,190,190,210,190,210,200,230,250,220,240,280,270,320,310,340,300,270,300,330,160
PKKO,90,100,110,90,120,100,90,70,90,90,220,180,190,190,220,230,240,280,300,240,230,200,210,180,210,210,200,140,150,150,150,160,160,180,190,170,190,180,190,180,190,200,210,220,280,330,350,350,340,340,330,130
RN,2920,4250,4500,4650,4520,4630,4530,4650,4710,4660,4860,4870,4910,4900,4840,4910,4740,4760,4740,4520,4570,4600,4460,4470,4460,4400,4390,4520,4490,4570,4480,4070,3920,3780,3910,4210,4650,4540,4250,4460,4010,3910,4120,3920,4120,3770,3660,3520,3310,3570,2980,2630
CRN,125000,86000,81000,79000,81000,79000,81000,79000,77000,78000,75000,75000,74000,74000,75000,74000,77000,77000,77000,81000,80000,79000,82000,82000,82000,83000,83000,81000,81000,80000,81000,90000,93000,97000,93000,87000,79000,80000,86000,82000,91000,93000,89000,93000,89000,97000,100000,104000,110000,102000,123000,139000
CPZ,131000,99000,94000,94000,97000,98000,102000,98000,98000,95000,88000,85000,82000,80000,83000,82000,82000,81000,79000,79000,81000,83000,85000,89000,89000,92000,94000,97000,101000,105000,109000,115000,127000,143000,155000,163000,158000,157000,156000,144000,147000,147000,143000,146000,142000,154000,161000,173000,180000,158000,157000,169000
RZ,20910,23190,28240,26800,23560,21830,21380,24960,26570,32280,37930,36680,38990,42720,41970,46760,50320,50640,48190,41460,34960,30040,23920,21440,19220,17140,15360,14860,15020,15610,16090,14980,14290,12710,13250,14110,15290,17180,17070,18290,18030,17220,17480,17580,17590,15190,13550,11820,11050,13110,12810,12390
CRZ,17000,16000,13000,14000,15000,17000,17000,15000,14000,11000,10000,10000,9000,9000,9000,8000,7000,7000,8000,9000,10000,12000,15000,17000,19000,21000,24000,25000,24000,23000,23000,24000,26000,29000,28000,26000,24000,21000,21000,20000,20000,21000,21000,21000,21000,24000,27000,31000,33000,28000,28000,29000
RMO,2280,2890,2970,2920,2800,2840,2800,2940,2960,3030,2930,2810,2740,2590,2460,2390,2320,2280,2250,2250,2260,2370,2420,2420,2420,2380,2340,2330,2310,2310,2270,2150,2009,1810,1710,1660,1700,1720,1730,1830,1780,1740,1750,1700,1650,1470,1360,1230,1220,1400,1410,1390
RMT,6060,7770,8580,8770,9280,10560,11270,11870,11510,12000,11450,10510,9660,8060,6860,6330,5760,5590,5630,5240,4970,4930,4590,4760,5200,5690,5950,6000,5700,5400,5170,4960,5000,4680,4900,5140,5580,6230,6660,7200,7220,6850,6550,6290,5820,5140,4690,4130,4030,4510,4550,4160
RM,1660,2100,2210,2190,2150,2240,2250,2350,2350,2420,2330,2220,2140,1960,1810,1740,1660,1620,1610,1570,1550,1600,1580,1600,1650,1670,1680,1680,1640,1620,1580,1500,1430,1310,1270,1250,1300,1350,1370,1460,1430,1390,1380,1340,1290,1140,1050,950,940,1070,1080,1040
COP,142000,102000,94000,93000,96000,96000,98000,94000,91000,89000,85000,85000,83000,83000,84000,82000,84000,84000,85000,90000,90000,91000,97000,99000,101000,104000,107000,106000,105000,103000,104000,114000,119000,126000,121000,113000,103000,101000,107000,102000,111000,114000,110000,114000,110000,121000,127000,135000,143000,130000,151000,168000
CSP,11000,3000,0,-1000,-1000,-2000,-4000,-4000,-7000,-6000,-3000,0,1000,3000,1000,0,2000,3000,6000,11000,9000,8000,12000,10000,12000,12000,13000,9000,4000,-2000,-5000,-1000,-8000,-17000,-34000,-50000,-55000,-56000,-49000,-42000,-36000,-33000,-33000,-32000,-32000,-33000,-34000,-38000,-37000,-28000,-6000,-1000
