,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RN,30,8420,6490,6270,6030,6150,5820,6140,5860,5290,5160,4900,4740,4650,4940,4820,4740,4440,4110,3940,3860,3680,3480,3730,4160,4600,5660,5200,5200,4910,4610,4730,4670,4650
CRN,12105000,43000,56000,58000,61000,59000,63000,59000,62000,69000,71000,75000,77000,79000,74000,76000,77000,82000,89000,93000,95000,99000,105000,98000,88000,79000,64000,70000,70000,74000,79000,77000,78000,78000
CPZ,51911000,120000,83000,80000,81000,76000,80000,83000,86000,83000,82000,77000,81000,96000,98000,104000,115000,124000,139000,157000,174000,200000,226000,252000,267000,299000,312000,339000,332000,334000,356000,344000,351000,364000
RZ,,11050,6890,6380,6530,6480,6430,6730,6830,6300,6090,6090,6050,5910,6470,6720,7070,7620,8390,8890,9260,9530,9650,9730,9790,9660,9740,8940,8720,8770,8320,9230,9470,9740
CRZ,,33000,53000,57000,56000,56000,57000,54000,53000,58000,60000,60000,60000,62000,56000,54000,52000,48000,44000,41000,39000,38000,38000,38000,37000,38000,37000,41000,42000,42000,44000,40000,39000,37000
RMO,10,5170,3550,3070,2770,2570,2430,2460,2430,2250,2280,2360,2390,2430,2650,2700,2750,2700,2650,2600,2570,2480,2420,2590,2880,3190,3680,3390,3380,3270,3090,3230,3210,3230
RMT,,2230,1570,1700,1700,1720,1620,1740,1700,1540,1510,1430,1370,1370,1520,1600,1770,1860,1900,1880,1820,1710,1590,1460,1350,1200,1140,1100,1150,1190,1160,1180,1130,1070
RM,10,1560,1090,1090,1050,1030,970,1020,1000,920,910,890,870,880,970,1010,1080,1100,1100,1090,1070,1010,960,930,920,870,870,830,860,870,840,860,840,800
COP,,76000,109000,115000,117000,115000,120000,113000,115000,127000,131000,135000,137000,141000,130000,130000,129000,130000,133000,134000,134000,137000,143000,136000,125000,117000,101000,111000,112000,116000,123000,117000,117000,115000
CSP,,-44000,26000,35000,36000,39000,40000,30000,29000,44000,49000,58000,56000,45000,32000,26000,14000,6000,-6000,-23000,-40000,-63000,-83000,-116000,-142000,-182000,-211000,-228000,-220000,-218000,-233000,-227000,-234000,-249000
