,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZCurrent_sq,,,,21.58,-41.28,21.32,16.12,-19.15,-52.21,126.63,-28.88,73.49,-33.19,-38.21,55.40,-4.02,2.28,46.97,-8.60,-44.97,29.80,4.04,21.75,-7.21,,,,,,20.71,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,160.05,21.99,,,,2.53,5.66,12.86,6.53,-110.73,-127.09,-133.60,-135.01,708.67,297.80,209.57,158.00,-98.80,-100.76,-80.21,-25.98,1127.39,-5265.56,-868.90,-629.62,-1561.24,-238.79,3.69,28.85,86.47,77.92,72.68
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,6.72,-4.07,-0.55,0.71,9.98,2.46,-6.13,-110.15,-177.53,-27.08,2.18,276.43,-9.81,-29.61,-48.22,-96.34,-157.32,1922.22,93.72,-39.35,-350.60,-161.13,-33.43,-67.35,41.90,25.76,1.42,68.18,5.17,8.16
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-61.55,-18.01,,,,-2.49,-5.35,-11.42,-6.12,,,,,,,,,8200.08,,405.52,35.08,-91.84,,,,,,,,,,
CZOCurrent_sy,,-34.71,11.75,,,,-26.34,-56.41,4.35,-29.05,,,,,,,,,70.32,,49.02,118.60,-11.05,,,,,,,,,,
CZOCurrent_qq,,,,-6.30,4.25,0.55,-0.72,-9.06,-2.43,6.56,,,,,,10.86,42.07,93.14,2628.55,,,-48.39,64.90,,,,,,,,,,
CZOCurrent_sq,,,,40.16,-49.22,59.83,-35.24,-17.05,21.55,8.68,,,,,,-4.12,-1.20,6.08,69.50,,,55.62,-31.03,,,,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-79.90,73.82,,,,2347.80,600.64,609.62,,-54.42,-92.93,-97.19,-46.06,-77.44,48.88,243.48,-10.30,1039.55,-50.38,26.53,39.62,-11.17,1552.27,572.20,738.74,3.26,-25.43,-26.89,-33.32,-37.07,-8.81,-5.41
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,339.66,,,456.74,25.85,1.28,-85.91,153.74,-80.48,-59.79,170.83,6.11,28.85,-7.24,-29.27,1248.02,-94.39,136.51,-21.95,757.67,4.36,-3.78,-2.61,5.59,-24.64,-5.66,-11.17,-0.35,9.20,-2.14
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-88.11,45.22,,,,1976.65,492.71,467.45,-23.01,-58.62,-92.49,-96.87,-36.78,-76.86,46.15,261.16,3.33,1376.81,-35.24,48.74,41.64,-6.85,1650.88,667.54,947.41,5.30,-4.58,-13.39,-25.16,-22.19,-15.12,-10.48
EVPCurrent_sy,,22.51,-14.66,,,,33.05,-48.95,-28.11,78.90,52.65,53.03,39.73,79.28,11.35,7.74,-23.94,-41.10,-41.86,-36.71,-10.25,51.60,28.32,120.77,-12.13,-6.95,25.95,-7.31,62.35,6.90,18.93,-1.69,6.31
EVPCurrent_qq,,,,302.40,1.49,-0.59,411.50,14.85,-2.84,-86.51,174.90,-79.16,-59.53,172.73,0.61,31.63,,-21.97,1337.83,-94.23,129.68,-25.69,845.55,8.50,0.69,1.40,-4.94,-1.68,-8.61,-12.38,-1.16,7.24,-3.61
EVPCurrent_sq,,,,135.72,-5.12,-65.68,73.33,-9.56,33.62,-14.59,47.89,-9.33,22.01,9.59,-8.15,-12.27,,-15.14,-9.32,-4.50,22.14,43.33,-23.25,64.30,-51.39,51.78,3.89,20.92,-14.85,-0.06,15.58,-0.05,-7.92
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-92.27,42.34,,,,2289.78,563.05,528.69,-6.12,-524.64,-126.09,-108.36,-254.05,103.71,175.29,413.25,254.64,94456.72,-6608.53,539.69,88.62,-92.75,69.28,-187.41,-258.38,-107.07,77.99,24.09,6.29,-365.09,-312.88,-246.20
EVEBITCurrent_sy,,-1827.99,202.54,,,,-71.94,38.67,344.97,1017.31,390.52,192.87,46.49,24.65,-24.86,-41.95,-13.23,88.69,285.86,86.53,27.46,8.98,-27.68,-22.69,28.80,-65.83,-11.98,-28.14,-92.93,36.41,-39.46,40.98,-225.98
EVEBITCurrent_qq,,,,312.41,4.25,0.55,452.81,14.42,-1.15,-84.99,-2600.49,92.97,68.34,-176.74,160.16,42.84,31.73,36.62,36683.96,-109.83,112.95,-59.72,1314.31,-141.64,63.16,27.01,36.91,-29.71,-27.08,9.90,-213.13,-15.15,-6.56
