,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
NetDebt,961227000000,1071923000000,1059913000000,1517425000000,1213421000000,1364043000000,1374351000000,1724909000000,1425272000000,1619756000000,1686969000000,2219868000000,1889094000000,1804306000000,1798461000000,2034824000000,1849280000000,1982224000000,1607739000000,1887689000000,1707483000000,1692822000000,1572329000000,2100585000000,1918442000000,1892746000000,1936034000000,2295447000000,1951058000000,1983239000000,1937763000000,2220419000000,2010937000000,2468342000000,2003842000000,2134856000000,1825085000000,1964729000000,1926356000000,2123949000000,1955586000000,1661813000000,1710521000000,2142864000000,1969940000000,1682406000000,1608978000000,1952317000000,1743304000000,1685428000000,1688754000000,2043458000000
NetDebtEBITDA,1630,1530,1530,2140,-410,1920,1830,2110,1790,1960,2050,2770,2280,2150,2240,2720,2600,2920,2390,2760,2490,2560,2530,3500,3450,3350,3420,4400,3590,3530,3560,3940,4070,5290,4540,5160,4430,5550,4700,5240,4250,3510,3500,4210,4490,3510,3400,4070,3580,3490,3680,4200
DebtFin,-114708000000,410103000000,272407000000,740170000000,243791000000,629629000000,606275000000,854047000000,653161000000,768348000000,884143000000,1218609000000,1048824000000,866095000000,1030845000000,977841000000,709416000000,819991000000,753469000000,877662000000,625231000000,757284000000,770417000000,1047019000000,886340000000,917097000000,985046000000,1102677000000,934618000000,864927000000,956268000000,1009022000000,865720000000,870882000000,1020860000000,941786000000,821248000000,817118000000,900402000000,750805000000,738623000000,784414000000,723791000000,723319000000,597407000000,680278000000,668834000000,728795000000,530931000000,633591000000,643587000000,612532000000
DebtFinEBITDA,-200,590,390,1040,-80,880,810,1050,820,930,1080,1520,1270,1030,1280,1310,1000,1210,1120,1290,910,1140,1240,1750,1590,1620,1740,2120,1720,1540,1750,1790,1750,1870,2310,2280,1990,2310,2200,1850,1610,1660,1480,1420,1360,1420,1410,1520,1090,1310,1400,1260
SP1,730,700,730,600,690,540,590,490,610,470,510,360,470,440,460,410,400,470,500,390,370,420,430,170,200,250,250,130,240,270,260,130,160,230,200,160,230,220,220,140,160,220,270,140,120,170,210,130,230,140,140,110
SP2,950,980,1010,990,970,850,900,650,780,610,690,850,910,910,960,580,540,660,670,740,750,740,760,770,800,830,870,740,850,420,410,290,340,770,830,770,840,640,740,600,640,270,320,190,530,720,770,780,670,680,640,640
CAR,170,150,120,80,120,70,60,40,40,20,30,30,40,50,30,20,20,10,30,30,30,20,30,30,30,20,30,20,40,20,20,20,20,20,20,30,20,10,20,0,20,0,0,0,0,0,10,0,0,0,0,0
QR,520,710,650,740,610,580,580,470,520,420,450,620,650,640,700,480,440,570,490,570,530,500,500,580,560,560,560,570,620,380,380,400,380,630,530,570,600,470,530,410,400,270,430,490,590,630,640,720,640,620,580,670
CR,880,940,1030,980,930,730,820,620,700,540,640,820,870,870,940,630,580,700,650,740,710,710,720,770,760,780,830,760,830,550,540,530,530,820,800,780,800,660,730,500,480,330,510,560,660,720,760,810,730,700,690,750
PP,170,150,120,90,130,70,60,40,40,20,30,30,40,50,30,20,20,10,30,30,30,20,30,30,30,20,30,20,40,20,20,20,20,20,20,30,20,10,20,0,20,0,0,0,0,10,20,0,0,10,0,0
RCLR,440,560,550,650,540,510,510,440,480,400,430,590,610,590,670,460,420,560,460,540,500,480,470,550,540,530,540,550,580,370,360,380,360,610,510,540,570,460,500,410,380,270,430,490,580,630,620,710,640,610,580,670
KP,-40,-20,10,-10,-20,-110,-70,-230,-150,-270,-200,-90,-60,-50,-20,-240,-280,-190,-210,-150,-160,-160,-150,-130,-120,-110,-80,-140,-90,-340,-350,-390,-380,-110,-100,-130,-100,-210,-150,-330,-320,-520,-400,-400,-240,-160,-130,-110,-180,-180,-200,-170
PKKO,-70,-40,10,-10,-50,-200,-130,-430,-260,-460,-340,-170,-100,-90,-40,-390,-430,-290,-260,-210,-200,-220,-190,-180,-160,-140,-110,-200,-100,-460,-470,-560,-550,-170,-130,-170,-120,-300,-220,-510,-480,-720,-580,-720,-440,-300,-210,-170,-390,-370,-400,-400
RN,8830,7130,7080,6660,6630,6660,6570,6650,6360,6140,5880,5620,5470,5400,5180,5230,5250,4720,4850,4790,4890,5520,5720,5850,5740,5830,5700,5530,5390,5200,5080,5120,5160,4410,4410,4350,4250,4770,4630,4760,5010,5580,5210,4290,3470,2900,3120,3490,2930,2910,2840,2850
CRN,41000,51000,52000,55000,55000,55000,56000,55000,57000,59000,62000,65000,67000,68000,70000,70000,70000,77000,75000,76000,75000,66000,64000,62000,64000,63000,64000,66000,68000,70000,72000,71000,71000,83000,83000,84000,86000,77000,79000,77000,73000,65000,70000,85000,105000,126000,117000,105000,124000,125000,128000,128000
CPZ,94000,112000,108000,99000,95000,97000,101000,112000,120000,132000,143000,137000,133000,123000,115000,124000,136000,152000,159000,154000,144000,134000,128000,125000,125000,120000,118000,122000,123000,142000,160000,176000,192000,194000,181000,167000,152000,148000,152000,160000,167000,171000,188000,212000,237000,242000,207000,165000,191000,193000,201000,203000
RZ,8410,6530,9350,13220,7100,7890,7800,8370,8410,8070,7990,7660,7440,7110,6980,7540,7640,8260,8870,8460,8740,7910,7750,7780,7660,7910,7580,7540,8130,6930,6990,6930,6380,7020,6800,6670,6560,6790,7180,8109,9080,11230,12990,12050,11360,9810,11240,13960,9400,9380,9370,9830
CRZ,43000,56000,39000,28000,51000,46000,47000,44000,43000,45000,46000,48000,49000,51000,52000,48000,48000,44000,41000,43000,42000,46000,47000,47000,48000,46000,48000,48000,45000,53000,52000,53000,57000,52000,54000,55000,56000,54000,51000,45000,40000,33000,28000,30000,32000,37000,32000,26000,39000,39000,39000,37000
RMO,4410,3910,3930,3920,3970,4140,4200,4340,4320,4240,4110,3940,3850,3730,3630,3670,3730,3500,3600,3560,3610,3890,3960,4030,3960,4030,3930,3830,3720,3560,3520,3520,3550,3140,3100,3030,2990,3280,3250,3470,3740,4300,4260,3600,2980,2520,2700,3020,2530,2510,2470,2490
RMT,1680,1670,1670,1710,1770,1860,1950,2080,2140,2160,2180,2210,2250,2290,2270,2300,2340,2390,2480,2470,2510,2550,2590,2650,2620,2630,2620,2610,2600,2580,2570,2560,2600,2550,2520,2460,2380,2320,2320,2350,2450,2550,2530,2480,2290,2120,2290,2510,2100,2120,2130,2200
RM,1210,1170,1170,1190,1230,1280,1330,1400,1430,1430,1420,1410,1420,1420,1390,1420,1440,1420,1470,1460,1480,1540,1570,1600,1580,1590,1570,1550,1530,1500,1480,1480,1500,1410,1390,1360,1320,1360,1350,1340,1340,1390,1370,1330,1240,1150,1240,1370,1150,1150,1140,1170
COP,84000,107000,91000,83000,106000,101000,103000,99000,100000,104000,108000,113000,116000,119000,122000,118000,118000,121000,116000,119000,117000,112000,111000,109000,112000,109000,112000,114000,113000,123000,124000,124000,128000,135000,137000,139000,142000,131000,130000,122000,113000,98000,98000,115000,137000,163000,149000,131000,163000,164000,167000,165000
CSP,-10000,-5000,-17000,-16000,11000,4000,2000,-13000,-20000,-28000,-35000,-24000,-17000,-4000,7000,-6000,-18000,-31000,-43000,-35000,-27000,-22000,-17000,-16000,-13000,-11000,-6000,-8000,-10000,-19000,-36000,-52000,-64000,-59000,-44000,-28000,-10000,-17000,-22000,-38000,-54000,-73000,-90000,-97000,-100000,-79000,-58000,-34000,-28000,-29000,-34000,-38000
