,2004/Q4,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZKO,800,880,770,830,,650,590,620,570,600,560,560,,550,540,560,,680,590,530,,520,510,580,640,680,590,620,670,720,680,670,650,630,680,650,590,710,590,670,700,610,580,510,430,380,310,370
OSF,3200,3150,1370,1580,,1570,1370,1460,1290,1340,1230,1140,,1100,1060,1060,,1230,1060,960,,940,940,1070,1180,1280,1120,1160,1270,1350,1280,1330,1350,1340,1450,1370,1280,1520,1330,1430,1560,1370,1320,1180,1000,870,720,900
NetDebt,63587000000,145145000000,92987000000,164193000000,,126775000000,92331000000,96588000000,90140000000,100527000000,65655000000,60723000000,,72811000000,67424000000,61645000000,,101828000000,63781000000,49250000000,,55805000000,57034000000,55448000000,91861000000,95890000000,69016000000,85581000000,115170000000,134750000000,116007000000,102145000000,89389000000,95907000000,132934000000,106389000000,84741000000,93661000000,102663000000,131823000000,144841000000,96697000000,96464000000,71331000000,54193000000,34778000000,30828000000,41974000000
NetDebtEBITDA,48840,9500,21480,16160,,62360,78650,44310,-225910,8480,4420,19850,,-80810,-10800,-30750,,-20530,-25770,179740,,8360,9950,8340,16280,19450,8930,9900,13120,18890,18270,21140,15240,11130,22590,14240,8890,9920,8550,10360,14890,12380,19370,24420,15510,22040,9100,7080
DebtFin,-11998000000,-20554000000,-13930000000,-11380000000,,12614000000,-7814000000,-19005000000,-1476000000,2684000000,-1548000000,1881000000,,7819000000,31236000000,22806000000,,10672000000,5320000000,11432000000,,6704000000,11221000000,-1817000000,12335000000,-1489000000,9981000000,15191000000,23208000000,26252000000,22116000000,2818000000,-6616000000,17662000000,5013000000,2331000000,9374000000,-73632000000,14267000000,17300000000,2031000000,9393000000,10164000000,18159000000,19890000000,7349000000,7728000000,14469000000
DebtFinEBITDA,-9220,-1340,-3220,-1120,,6200,-6660,-8720,3700,230,-100,610,,-8680,-5000,-11370,,-2150,-2150,41720,,1000,1960,-270,2190,-300,1290,1760,2640,3680,3480,580,-1130,2050,850,310,980,-7800,1190,1360,210,1200,2040,6220,5690,4660,2280,2440
SP1,4019,3580,1770,1890,,2400,2330,2360,2260,2250,2200,2029,,2020,1980,1880,,1800,1790,1790,,1820,1830,1840,1840,1890,1890,1860,1880,1890,1890,2009,2080,2130,2150,2110,2150,2150,2260,2150,2230,2230,2280,2300,2310,2300,2310,2420
SP2,4080,3690,1790,1910,,2410,2340,2450,2300,2300,2250,2080,,2060,2020,1940,,1860,1850,1860,,1880,1880,1890,1890,1940,1950,1930,1930,1940,1950,2050,2120,2150,2200,2170,2200,2230,2310,2220,2280,2300,2320,2350,2340,2330,2350,2470
CAR,160,120,130,110,,90,80,220,20,40,270,250,,20,10,100,,120,190,210,,40,10,290,70,230,180,100,30,90,60,180,270,160,70,150,160,450,30,30,130,150,30,70,30,240,80,110
QR,900,900,870,890,,1030,960,1160,1150,1040,1070,1110,,1090,930,1010,,1060,1040,1390,,1480,1390,1250,930,1050,1010,890,900,950,840,860,1020,1150,650,760,960,960,690,650,690,940,670,730,1130,1750,1940,1610
CR,1260,1140,1300,1200,,1530,1720,1680,1800,1720,1850,1840,,1890,1940,1870,,1510,1780,2009,,2060,2080,1810,1620,1510,1770,1670,1530,1420,1520,1540,1570,1610,1510,1590,1730,1460,1740,1550,1460,1680,1770,2020,2400,2760,3460,2840
PP,160,120,130,110,,90,80,220,20,40,270,250,,20,10,100,,120,190,210,,40,10,290,70,230,190,100,30,90,60,180,270,160,70,150,160,450,30,30,130,150,40,70,30,240,90,110
RCLR,740,770,720,740,,910,840,920,1070,970,760,820,,1010,880,830,,870,860,1060,,1380,1390,960,940,790,860,790,930,890,800,720,760,940,640,560,800,510,820,640,600,780,750,750,1180,1590,1910,1680
KP,190,120,180,140,,280,320,320,330,320,340,320,,330,330,310,,240,290,320,,320,330,300,270,250,300,280,250,230,250,260,270,280,260,280,310,250,320,280,250,310,330,370,410,430,470,450
PKKO,50,60,110,110,,140,130,110,120,130,130,140,,140,140,120,,110,110,120,,100,90,90,90,100,100,90,90,90,90,90,100,100,100,100,100,110,120,120,120,130,130,150,160,170,200,220
RN,7260,3720,4030,5610,5280,4940,5120,6170,6340,6670,6850,6540,6920,7350,7650,8370,8420,7780,7460,7150,7400,9670,9600,9160,9020,7970,7990,8520,8189,7410,7200,6940,7230,7660,7770,8170,8410,9160,8850,8109,7380,6760,6880,6830,7130,7120,6600,5910
CRN,50000,98000,91000,65000,69000,74000,71000,59000,58000,55000,53000,56000,53000,50000,48000,44000,43000,47000,49000,51000,49000,38000,38000,40000,40000,46000,46000,43000,45000,49000,51000,53000,50000,48000,47000,45000,43000,40000,41000,45000,49000,54000,53000,53000,51000,51000,55000,62000
CPZ,68000,128000,126000,98000,104000,102000,87000,66000,62000,58000,57000,61000,62000,58000,53000,48000,47000,54000,57000,56000,54000,35000,30000,33000,36000,47000,52000,51000,53000,56000,59000,63000,63000,59000,62000,62000,60000,65000,64000,67000,79000,78000,78000,76000,62000,53000,45000,40000
RZ,14040,10500,6210,6880,9610,9080,8070,11020,9120,8840,8890,7740,7320,7430,7560,7990,8160,9010,10040,11330,11700,16110,18730,17980,16110,13200,11730,11160,11100,10990,10510,10190,10310,10750,9710,8990,8610,8330,8330,7820,6670,6010,5820,5550,5980,6300,6680,7860
CRZ,26000,35000,59000,53000,38000,40000,45000,33000,40000,41000,41000,47000,50000,49000,48000,46000,45000,41000,36000,32000,31000,23000,19000,20000,23000,28000,31000,33000,33000,33000,35000,36000,35000,34000,38000,41000,42000,44000,44000,47000,55000,61000,63000,66000,61000,58000,55000,46000
RMO,4230,2500,2230,3010,2840,2730,2920,3370,3540,3660,3640,3320,3300,3380,3660,4019,4050,3900,3810,3820,3950,5380,5960,5670,5470,4530,4240,4390,4300,4120,4050,3870,3810,3940,3790,3750,3820,3610,3570,3400,3010,2960,2940,2860,3120,3250,3220,3270
RMT,63020,53230,7610,13220,12460,12450,12060,12210,12170,11750,11230,9210,9010,8290,8200,8530,8590,8660,8220,7830,8109,9580,10150,10210,10580,9970,9850,10530,10700,10640,11040,11230,11450,11720,12010,12040,12040,12180,11620,11290,10910,10210,10120,9310,8750,8210,7200,6980
RM,3970,2380,1720,2450,2310,2240,2350,2640,2740,2790,2750,2440,2420,2400,2530,2730,2750,2690,2600,2570,2660,3450,3760,3650,3610,3110,2960,3100,3070,2970,2960,2880,2860,2950,2880,2860,2900,2790,2730,2610,2360,2290,2280,2190,2300,2330,2220,2230
COP,76000,133000,150000,118000,107000,114000,116000,92000,98000,96000,94000,103000,103000,99000,96000,90000,88000,88000,85000,83000,80000,61000,57000,60000,63000,74000,77000,76000,78000,82000,86000,89000,85000,82000,85000,86000,85000,84000,85000,92000,104000,115000,116000,119000,112000,109000,110000,108000
CSP,8000,5000,24000,20000,3000,12000,29000,26000,36000,38000,37000,42000,41000,41000,43000,42000,41000,34000,28000,27000,26000,26000,27000,27000,27000,27000,25000,25000,25000,26000,27000,26000,22000,23000,23000,24000,25000,19000,21000,25000,25000,37000,38000,43000,50000,56000,65000,68000
