,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
SP1,1240,960,,,830,830,,,800,890,1040,,1210,990,1000,990,980,990,990,990,970,960,950,920,900,900,960,910,860,870,820,820,780,770,740,730,530,570,640
SP2,1280,1020,,,870,860,,,830,900,1040,,1240,1020,1020,1010,1000,1000,1000,1000,980,960,960,930,910,910,1050,910,860,940,890,900,890,870,840,830,600,640,730
CAR,1280,370,,,290,380,,,320,960,630,,340,710,290,370,190,80,350,280,100,340,10,20,50,250,110,170,90,90,180,80,60,30,30,10,10,30,10
QR,2020,1300,,,630,670,,,910,810,1070,,1530,700,780,660,710,670,1100,1040,870,1010,930,540,330,440,460,270,380,460,290,220,140,110,10,20,60,240,560
CR,2040,1380,,,980,1260,,,1230,1310,1560,,2009,1370,1320,1290,1160,1120,1360,1300,1090,1180,1100,730,520,610,580,460,520,580,370,320,250,230,120,120,60,240,560
PP,1280,430,,,320,400,,,340,970,650,,460,850,400,480,340,220,800,670,330,640,390,250,140,320,350,250,180,550,350,300,210,200,100,70,30,40,200
RCLR,740,900,,,610,800,,,780,310,820,,1510,420,830,710,700,800,420,500,640,260,460,400,300,210,220,130,250,30,20,20,20,20,10,40,10,190,360
KP,170,60,,,0,60,,,40,60,80,,190,70,60,60,40,30,60,50,20,40,20,-40,-90,-90,-50,-100,-110,-50,-120,-110,-130,-120,-150,-160,-390,-330,-200
PKKO,1820,120,,,-20,330,,,560,1020,1090,,1570,480,520,400,290,210,340,340,110,150,50,-120,-260,-280,-330,-310,-310,-270,-350,-1420,-92330,-70880,-80310,-74960,-97320,-87480,-57360
RN,1140,5740,7260,6860,5030,2970,2520,2340,2450,3630,3340,3270,1610,1500,1300,1390,1570,1540,1690,1810,2150,3950,4550,5170,7240,7140,3600,11190,11770,10260,22830,6310,1610,1560,1690,2410,2790,700,470
CRN,319000,64000,50000,53000,73000,123000,145000,156000,149000,101000,109000,112000,226000,243000,281000,263000,233000,236000,216000,202000,170000,92000,80000,71000,50000,51000,101000,33000,31000,36000,16000,58000,227000,234000,217000,152000,131000,519000,779000
CPZ,432000,71000,51000,54000,98000,173000,204000,219000,188000,192000,180000,184000,254000,260000,305000,303000,347000,310000,314000,312000,270000,198000,170000,156000,145000,155000,364000,152000,154000,213000,134000,623000,10711000,12360000,12082000,6520000,6301000,7605000,4850000
RZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
