,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
TSF,770,810,770,770,900,900,920,900,990,990,990,990,960,960,950,940,920,890,870,960,740,730,-4070
ZKO,6360,8750,5480,6250,4120,1140,2180,2040,120,130,140,140,110,110,120,160,210,240,270,270,800,950,6100
OSF,2320,3060,1940,1920,3280,1090,1950,1820,2470,2400,2550,2760,2320,2130,1190,1650,1130,1350,1100,1020,950,990,-230360
NetDebt,5064400000,5174700000,4960100000,5102537000,4818983000,4025659000,2737716000,2826416000,-26357000000,-25874815000,-25641513000,-26297605000,-19255000000,-18963445000,-16608976000,-16039807000,-10223000000,-10460406000,-7532170000,-7112922000,-503000000,-44017000,1412808000
NetDebtEBITDA,8610,9530,10290,50340,22660,10710,3940,3480,-2220,-2290,-2330,-2280,2070,2100,1430,1290,1110,1210,830,770,50,0,-160
DebtFin,4747200000,3438500000,3255200000,4856061000,3475487000,2165141000,2070178000,1673796000,646000000,1014749000,1257926000,1136348000,-218000000,1493426000,1587492000,1709279000,-98000000,1970167000,1309987000,1649890000,-44000000,2053308000,1308807000
DebtFinEBITDA,8070,6330,6760,47910,16350,5760,2980,2060,50,90,110,100,20,-170,-140,-140,10,-230,-140,-180,0,-190,-150
SP1,370,350,350,310,800,950,900,890,20000,18550,18340,19320,20730,18740,9820,10150,5250,5640,4110,3810,1180,1040,-37770
SP2,860,880,880,870,950,1200,1000,990,22550,20970,20960,22190,22350,20210,10500,11240,5890,6350,4550,4650,1410,1270,-34970
CAR,60,60,200,110,490,670,420,540,160,50,50,40,260,40,70,100,80,50,380,470,30,10,70
QR,470,410,550,500,490,2150,1030,950,163790,111430,115020,114630,25750,24980,18980,15960,10330,8170,6070,20220,1820,1580,170
CR,470,410,550,500,590,2510,1030,1000,163790,111430,115020,114630,25750,24980,18980,15960,10330,8170,6070,20220,1820,1580,170
PP,210,110,300,210,500,1280,580,620,163510,111160,114680,114280,25720,24900,18930,15910,10290,8140,5960,19660,1770,1530,110
RCLR,250,270,240,280,90,1210,450,180,290,240,300,350,20,80,40,50,30,30,110,550,60,50,70
KP,-120,-110,-110,-120,-40,150,0,0,950,940,940,950,920,910,860,860,760,750,680,750,220,160,-4180
PKKO,4230,3840,3620,3820,4560,-13400,-170,0,,508040,290410,214410,,,,,,,,,,,
RN,3820,4130,2840,2410,3790,177130,308940,442930,11650,-571030,-2389760,-6499660,-135820,-129060,-195620,-253900,-167590,-163120,-91040,-56600,-55720,-59020,-58870
CRN,96000,88000,129000,151000,96000,2000,1000,1000,31000,-1000,0,0,-3000,-3000,-2000,-1000,-2000,-2000,-4000,-6000,-7000,-6000,-6000
CPZ,366000,337000,501000,579000,468000,4000,2000,2000,47000,-2000,-1000,0,-17000,-24000,-24000,-30000,-45000,-60000,-68000,-59000,-59000,-53000,-60000
RZ,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,
RMO,2270,2540,1600,1310,1500,76960,133950,168280,1220,-10900,-14590,-15600,-310,-330,-480,-590,-490,-480,-560,-680,-920,-1450,-2020
RMT,270,270,190,160,140,13510,20230,23370,800,-15750,-53460,-324760,-6500,-6790,-8230,-8360,-4950,-3790,-3560,-3290,-3240,-3220,-3430
RM,290,300,170,140,120,11490,17570,20520,480,-6440,-11460,-14880,-300,-310,-450,-550,-440,-430,-480,-560,-710,-1000,-1270
COP,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,,,
