,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
PZAT,1450,1850,2100,1950,2029,2040,490,2100,1960,1960,2120,550,2150,2270,2310,2310,2240,2360,2410,2820,2450,2460,2820,,,,2000,2020,2040,2029,2140,2130
PELDR,1350,1240,1220,1140,1120,1170,2520,1110,1100,1130,1110,2360,1150,1170,1150,1130,1120,1300,1220,1320,1290,1390,1320,,,,1270,1260,1220,1270,1270,1270
TSF,360,330,380,400,370,380,830,370,390,390,400,820,370,360,400,380,370,370,390,410,370,380,410,,,,410,390,360,350,380,360
ZKO,1070,1070,1080,1170,1160,1130,1140,1160,1200,1180,1180,1170,1140,1100,1130,1140,1150,1040,1060,1000,1030,990,1000,,,,1060,1060,1070,1050,1050,1050
OSF,870,860,890,810,790,820,810,790,760,780,800,800,820,840,850,830,810,940,920,1000,960,1020,1000,,,,930,920,900,910,930,920
NetDebt,33479000000,35589190000,60370950000,64025610000,73514530000,76884060000,80466380000,83448190000,83771220000,83930180000,76134000000,79822052000,83453020000,91158278000,82966000000,89810659000,94940000000,107573443000,98240000000,109858000000,117512000000,123065000000,109859000000,,,,143361000000,153767000000,169915000000,194883000000,172913000000,190172000000
NetDebtEBITDA,6920,7260,7900,8010,8850,6880,7380,7290,7390,11220,12000,12810,11910,10190,8560,9150,9450,9470,7660,8210,8800,7460,6920,,,,9660,10160,10930,11880,10520,11350
DebtFin,-77000000,11513310000,18608010000,24363980000,25257930000,23496830000,13287730000,28870320000,32736690000,31726140000,14880000000,14390944000,28879220000,13316734000,14241000000,15012675000,15857000000,15170536000,11682000000,13263000000,15098000000,33281000000,36617000000,,,,51762000000,41592000000,51237000000,53100000000,61509000000,59676000000
DebtFinEBITDA,-20,2350,2440,3050,3040,2100,1220,2520,2890,4240,2340,2310,4120,1490,1470,1530,1580,1340,910,990,1130,2020,2310,,,,3490,2750,3300,3240,3740,3560
SP1,810,810,830,700,680,730,710,680,640,660,680,680,720,760,750,730,700,900,860,1010,930,1040,1010,,,,880,870,840,860,880,880
SP2,1340,1240,1220,1140,1120,1170,2520,1110,1100,1130,1110,2360,1140,1170,1150,1130,1120,1300,1220,1320,1280,1390,1320,,,,1270,1250,1220,1270,1270,1270
CAR,0,0,0,0,0,10,10,0,0,0,0,10,10,10,10,10,10,0,40,20,10,0,20,,,,10,10,10,10,0,10
QR,620,620,640,640,640,640,2280,610,600,630,610,2120,640,670,670,590,630,750,660,660,670,760,660,,,,640,640,650,710,650,650
CR,1140,1100,1110,1080,1060,1090,3980,1060,1060,1070,1070,3630,1070,1080,1090,1070,1060,1140,1110,1170,1130,1170,1170,,,,1150,1130,1100,1120,1130,1120
PP,0,0,0,0,0,10,10,0,0,0,0,10,10,10,10,10,10,0,40,20,10,0,20,,,,10,10,10,10,10,10
RCLR,610,610,630,640,630,630,2230,600,590,620,600,2080,620,640,650,570,620,660,610,640,660,750,640,,,,620,630,640,700,630,630
KP,90,60,70,50,40,50,500,40,30,40,40,470,50,50,50,40,40,90,70,100,80,110,100,,,,90,80,60,70,80,80
PKKO,40,-2690,-3040,-2270,-60,-60,-14560,-880,-670,-1240,30,330,20,40,40,30,60,80,-2460,-3880,-3480,-4970,-4480,,,,-5170,-4780,-4050,-4880,-4520,-4380
RN,6030,5440,5050,4920,4870,4910,4860,4830,4840,4790,4880,4880,4880,4850,4740,4710,4680,4630,4670,4630,4660,4690,4630,4590,4570,5200,4500,4520,4450,4460,4480,4410
CRN,61000,67000,72000,74000,75000,74000,75000,76000,75000,76000,75000,75000,75000,75000,77000,77000,78000,79000,78000,79000,78000,78000,79000,80000,80000,70000,81000,81000,82000,82000,82000,83000
CPZ,100000,111000,116000,118000,119000,117000,96000,100000,102000,104000,124000,102000,100000,101000,102000,124000,126000,125000,126000,125000,122000,116000,117000,116000,114000,110000,132000,130000,130000,126000,125000,127000
RZ,6890,,,,-2520,-3630,,,,,5190,5300,8000,5230,5620,5310,2740,5000,,,,,,,,,,,,,,
CRZ,53000,,,,-145000,-101000,,,,,70000,69000,46000,70000,65000,69000,133000,73000,,,,,,,,,,,,,,
RMO,3200,3010,2980,2920,2880,2870,2830,2780,2750,2710,2780,2780,2810,2810,2790,2720,2700,2670,2630,2610,2640,2730,2690,2710,2720,2840,2420,2470,2490,2580,2610,2580
RMT,8750,8119,6630,6040,5840,5860,5660,5670,5460,5260,5210,5130,5340,5610,5650,5590,5520,5630,5670,5760,6100,6410,6390,6590,6570,6290,5130,5380,5610,6040,6210,6330
RM,2340,2190,2060,1970,1930,1930,1890,1870,1830,1790,1810,1800,1840,1870,1870,1830,1820,1810,1800,1800,1840,1910,1890,1920,1930,1960,1640,1690,1730,1810,1840,1830
COP,114000,,,,-70000,-27000,,,,,145000,144000,121000,145000,142000,146000,211000,152000,,,,,,,,,,,,,,
CSP,14000,,,,-189000,-144000,,,,,21000,42000,21000,44000,40000,22000,85000,27000,,,,,,,,,,,,,,
