,2007/Q4,2008/Q4,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
NetDebtEBITDA,3740,3830,1730,10990,6000,7500,8189,-10390,-8870,-9300,-13070,10690,4900,,244040,8330,9990,4880,4820,6790,6210,5740,8260,7300,7880,27460,20920,35240,20790,13930,11290,9620,10920,30810,260250,-2050,-2009,-2110
DebtFin,-97000000,-647000000,,-534000000,,,,-131000000,,,,-390000000,,,,-21382000000,16661000000,18355000000,25717000000,24153000000,25665000000,25820000000,31018000000,19312000000,36592000000,89485000000,97712000000,58527000000,117503000000,124996000000,112225000000,108675000000,110133000000,115212000000,111810000000,128692000000,130736000000,124677000000
DebtFinEBITDA,-40,-340,,-660,,,,190,,,,-340,,,,-2360,2009,1460,1830,2320,2110,2780,4580,1980,4130,8780,6100,6780,8280,5620,4220,3560,3840,11070,95320,-800,-800,-800
SP1,820,2400,,2670,,,,1800,,1030,860,1030,730,,970,720,750,730,750,810,810,800,760,870,880,230,230,170,250,180,200,200,200,150,210,-530,-580,-600
SP2,1770,4320,,5440,,,,2880,,1030,860,1510,730,,1020,1110,940,960,1120,1030,1020,1130,1160,1190,1210,820,960,790,820,780,780,800,790,610,740,230,190,170
CAR,20,140,,110,,,,20,,,,30,,,,460,20,0,20,50,20,20,80,110,20,30,10,320,20,0,0,10,0,0,0,10,0,10
QR,1350,2220,,2330,,,,1320,,1260,1170,960,1180,,1300,1060,900,920,1110,980,900,1030,1120,1090,1100,630,870,660,600,510,380,590,460,310,400,110,110,110
CR,1550,2330,,2380,,,,1390,,1260,1170,1120,1180,,1300,1080,950,940,1170,1030,1020,1250,1340,1200,1220,690,950,710,650,550,560,630,600,430,560,200,200,190
PP,20,140,,110,,,,20,,,,30,100,,,460,20,0,20,50,20,20,80,200,170,50,30,320,20,10,10,90,0,20,20,10,0,10
RCLR,1030,1070,10,740,10,10,10,690,,10,10,930,10,,20,550,690,910,1030,880,880,970,930,800,780,480,770,360,560,530,400,270,460,280,360,110,110,100
KP,240,490,-450,510,-570,-610,-650,240,-800,180,110,90,110,,80,40,-30,-20,60,20,10,80,100,90,100,-120,-20,-130,-120,-170,-170,-140,-160,-310,-190,-660,-670,-690
PKKO,300,570,-310,860,-600,-740,-810,210,-540,150,140,70,60,,210,70,-40,-20,70,30,20,130,170,150,170,-500,-60,-490,-410,-630,-960,-840,-890,-1980,-1440,-5310,-10160,-9090
RN,2370,3670,12090,14250,13880,15720,17550,15260,11610,9940,10970,5810,7480,16650,20210,8820,5830,4990,3980,2970,2580,2770,2850,3350,3340,2620,2390,2130,1970,1860,1740,1890,1900,1910,1500,790,440,400
CRN,154000,100000,30000,26000,26000,23000,21000,24000,31000,37000,33000,63000,49000,22000,18000,41000,63000,73000,92000,123000,141000,132000,128000,109000,109000,139000,153000,171000,185000,196000,210000,194000,192000,191000,243000,462000,823000,906000
CPZ,149000,93000,82000,94000,110000,117000,121000,131000,138000,163000,163000,145000,150000,55000,97000,114000,129000,130000,124000,144000,154000,142000,142000,124000,129000,211000,226000,315000,353000,367000,466000,442000,464000,554000,720000,1597000,3913000,5584000
RZ,9920,21510,21510,34160,34160,34160,34160,26360,26360,26360,26360,20290,20290,48400,65870,53150,44650,54310,50300,31200,25570,14660,11640,12780,12250,12730,16870,19720,20130,29810,11630,12620,9430,5790,5150,2580,1690,1750
CRZ,37000,17000,17000,11000,11000,11000,11000,14000,14000,14000,14000,18000,18000,8000,6000,7000,8000,7000,7000,12000,14000,25000,31000,29000,30000,29000,22000,19000,18000,12000,31000,29000,39000,63000,71000,141000,216000,208000
RMO,1580,1680,1410,1130,1100,1250,1410,1950,1960,1710,1720,1980,2080,5820,3010,2770,2620,2660,2850,2500,2280,2340,2300,2500,2280,1760,1720,1410,1390,1390,1250,1390,1340,1210,930,520,270,240
RMT,3410,9780,8200,8640,8460,9590,10820,13150,13200,10580,8530,9060,8300,21500,2190,2650,2560,2420,2900,2200,1950,1980,1840,2130,2020,1090,930,680,540,510,410,390,390,370,290,150,70,60
RM,1080,1430,1780,1570,1470,1530,1610,1720,1760,1520,1540,1800,1660,4580,1270,1350,1290,1270,1440,1170,1050,1070,1020,1150,1070,670,600,460,390,370,310,300,300,280,220,120,60,50
COP,191000,117000,47000,37000,37000,34000,32000,38000,45000,51000,47000,81000,67000,30000,24000,48000,71000,80000,99000,135000,155000,157000,159000,138000,139000,168000,175000,190000,203000,208000,241000,223000,231000,254000,314000,603000,1039000,1114000
CSP,42000,24000,-35000,-57000,-73000,-83000,-89000,-93000,-93000,-112000,-116000,-64000,-83000,-25000,-73000,-66000,-58000,-50000,-25000,-9000,1000,15000,17000,14000,10000,-43000,-51000,-125000,-150000,-159000,-225000,-219000,-233000,-300000,-406000,-994000,-2874000,-4470000
