,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
EVEBITDACurrent_qq,,,6.27,46.97,16.60,3.24,6.65,-11.11,-4.30,3.33,12.10,-20.86,-4.54,-0.64,11.19,0.63,4.67,11.94,-2.28,4.31,5.05,-4.64,-7.49,-12.74,-0.02,-6.66,-8.18,-4.94,4.88,-3.38,0.41,-15.78,4.15,-6.02,-1.37,-8.02,-0.91,5.97,-11.02
EVEBITDACurrent_sq,,,-2.05,23.96,-14.64,72.59,-39.80,-13.57,23.68,21.23,-17.26,24.60,-0.05,33.17,0.52,-14.73,-9.49,-32.01,17.42,-7.33,12.13,-8.79,-9.42,1.10,1.92,1.09,-1.75,16.53,-7.99,15.52,2.03,-24.30,-3.11,60.43,-13.64,-26.77,-3.31,28.34,-1.27
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,,,21.47,,,,10.42,11.16,25.72,,6.16,8.74,6.10,,-3.74,-22.42,-26.59,-26.54,-25.70,-17.31,-7.67,-4.20,3.60,16.64,13.78,19.47,10.26,3.21,-3.57,-11.45,11.20,21.27,29.95,30.18,7.94,-2.30,-6.69,9.43
ROE_sy,,,,-60.20,,,,175.09,39.64,22.82,,38.65,17.37,-3.29,,-30.81,-18.65,15.81,77.69,36.39,50.00,-7.14,-17.71,-11.84,-8.88,50.00,21.62,25.60,-10.66,-39.66,-35.25,-13.86,12.66,13.91,-0.13,15.56,9.14,31.35,102.14
ROE_qq,,,,,4.23,-9.28,,,4.92,2.61,,,7.47,0.12,-2.99,-7.78,-13.39,-5.26,-2.94,-6.72,-3.60,5.79,0.71,0.88,8.52,3.21,5.75,-6.90,1.58,-3.57,-2.90,16.92,10.78,3.33,-2.73,-3.06,0.26,-1.31,14.08
ROE_sq,,,,,83.03,24.46,,,-7.09,9.46,,,-21.34,-9.81,-13.28,12.46,-7.52,28.40,33.06,-13.68,1.71,-20.51,17.93,-7.52,5.12,30.84,-4.38,-4.50,-25.23,-11.63,2.60,27.05,-2.21,-10.65,-10.05,47.02,-7.64,7.54,38.43
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,,,118.75,,,,6.96,10.87,24.72,,11.35,9.95,3.30,,-2.10,-20.71,-27.18,-25.53,-29.10,-21.97,-9.78,-9.90,-0.65,11.53,13.72,18.60,11.74,2.98,-5.06,-12.83,5.84,19.88,29.92,33.13,9.38,-0.16,-6.94,5.99
ROA_sy,,,,-58.51,,,,126.36,33.83,43.20,,19.81,20.84,-6.99,,-24.85,-27.89,-4.60,47.49,60.80,30.15,6.35,-15.70,-22.22,-2.74,30.53,6.33,10.66,-7.14,-24.15,-33.39,-7.71,2.38,-28.04,13.14,-7.52,21.35,88.66,191.02
ROA_qq,,,,,6.79,-10.70,,,10.68,0.45,,,9.30,-5.62,2.47,-7.38,-11.49,-13.32,4.79,-11.81,-2.59,0.22,4.65,-2.75,9.35,2.19,9.14,-8.38,0.78,-5.79,0.20,11.25,14.15,2.09,2.68,-8.60,4.20,-4.84,16.95
ROA_sq,,,,,83.15,-0.74,,,8.28,6.21,,,9.22,-18.26,-5.95,-10.50,4.80,8.14,45.41,-2.43,-15.17,-11.63,15.27,-9.98,6.08,18.59,-6.10,-6.32,-10.98,-3.14,-17.54,29.81,-1.25,-31.92,29.66,6.11,29.57,5.84,100.00
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,,,-2.89,,-15.25,-1.96,-11.20,-2.04,-1.60,-6.24,4.85,3.73,8.29,3.73,-4.37,-8.53,-13.81,-16.00,-21.28,-21.57,-15.54,-7.94,3.13,12.12,17.94,17.48,18.09,9.25,-2.42,-9.79,-8.72,-3.24,6.36,13.88,15.98,12.78,5.32,7.52
OPM_sy,,,,-69.31,,44.85,30.08,195.03,105.18,40.45,77.24,54.77,13.66,-6.38,-45.63,-37.64,-32.62,11.82,72.24,113.95,89.66,36.29,4.60,-12.61,-12.10,-9.53,2.51,-10.07,-5.32,7.70,10.54,26.14,29.30,-9.38,-12.62,-18.09,-22.27,-1.49,188.38
OPM_qq,,,-7.89,4.16,-7.83,-4.16,6.56,-5.66,1.68,-3.73,1.53,5.50,0.59,0.50,-2.75,-2.74,-3.78,-5.30,-5.21,-8.86,-4.13,1.98,3.31,2.10,4.23,7.28,2.91,2.64,-3.58,-4.19,-4.87,3.86,2.21,5.31,1.87,5.77,-0.61,-1.66,3.99
OPM_sq,,,21.18,-52.44,85.43,35.54,8.83,7.87,28.96,-7.22,37.34,-5.81,-5.29,-23.58,-20.24,8.04,2.33,26.82,22.85,34.21,-9.29,-8.87,-5.72,12.13,-8.77,-6.20,6.83,-1.63,-3.94,6.70,9.65,12.25,-1.54,-25.22,5.73,5.21,-6.56,-5.23,209.52
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,,,83.86,,20.38,41.61,10.49,13.85,19.73,1.45,22.39,13.03,6.93,6.74,-9.53,-17.20,-20.75,-24.64,-28.80,-23.23,-14.59,-8.74,1.96,7.07,10.22,16.43,14.76,6.72,-1.53,-11.33,0.89,6.65,13.71,20.55,6.10,5.80,-0.21,7.28
ROS_sy,,,,-40.95,,-27.31,88.20,91.92,28.96,74.95,40.60,59.41,49.56,-2.18,-59.50,-52.56,-41.95,-17.12,124.37,86.58,71.24,45.81,-13.52,-11.23,-28.44,-6.16,-7.44,-0.40,9.55,18.93,5.33,13.89,26.26,-40.94,-33.97,-7.49,-9.29,92.52,393.93
ROS_qq,,,-1.08,19.65,4.56,-2.73,16.37,-6.65,7.74,2.30,-1.40,12.63,-0.51,-3.22,-1.58,-4.54,-8.95,-7.37,-6.41,-9.80,-1.83,3.07,,0.78,3.08,6.10,5.63,-0.67,-4.14,-2.10,-4.89,13.03,1.33,4.38,0.84,-0.52,1.04,-1.55,8.40
ROS_sq,,,-20.22,-18.57,46.79,-23.79,106.58,-16.96,-1.36,3.39,66.02,-5.85,-7.45,-32.38,-31.27,10.29,13.26,-3.47,86.08,-8.29,3.95,-17.81,,-5.86,-16.21,7.78,8.86,1.31,-7.84,17.01,-3.59,9.54,2.18,-45.27,7.79,53.47,0.19,16.17,176.54
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,,,-2.03,,-14.83,1.71,-14.02,-4.98,-3.21,-9.86,6.86,5.06,129.72,186.48,233.44,230.65,-3.55,-46.02,-78.01,-78.85,-64.48,-48.22,4.44,11.16,14.45,15.33,16.34,11.75,-1.59,-9.25,-8.33,-3.35,9.49,17.52,18.28,13.55,4.43,6.32
RS_sy,,,,-67.53,,61.73,47.36,234.51,67.71,34.34,14.23,-11.11,-0.80,-31.78,-31.86,-14.48,-14.13,44.84,76.87,87.24,54.79,-2.88,14.21,-1.05,0.27,38.67,21.00,4.45,-2.68,-13.58,-30.28,-0.96,22.55,-16.95,-15.77,-7.26,-16.15,17.66,254.59
RS_qq,,,-9.52,6.44,-7.59,-4.31,8.06,-10.02,2.14,-2.53,0.63,6.67,0.42,113.12,25.49,24.16,-0.43,-37.83,-29.78,-49.42,-4.21,4.39,2.39,2.00,1.96,7.48,3.18,2.89,-2.06,-5.35,-4.85,3.93,3.27,7.22,2.12,4.61,-0.86,-1.39,3.98
RS_sq,,,14.17,-51.64,98.23,47.77,4.03,9.78,-0.62,18.37,-11.54,-14.58,10.91,-18.60,-11.65,7.21,11.37,37.29,7.89,13.50,-7.93,-13.86,26.88,-1.66,-6.70,19.13,10.70,-15.11,-13.07,5.79,-10.69,20.58,7.57,-28.31,-9.42,32.76,-2.74,0.60,172.98
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
