,2014/Q4,2015/Q4,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZCurrent_yy,,84.72,23.77,,,,41.26,51.07,57.37
ZCurrent_sy,,,,,,,,,
ZCurrent_qq,,,,4.67,5.56,6.94,19.56,11.94,9.96
ZCurrent_sq,,,,,,,,,
CZCurrent,,,,,,,,,
CZCurrent_yy,,-45.87,-19.20,,,,-29.21,-33.80,-36.46
CZCurrent_sy,,-15.36,26.29,,,,-20.70,-18.85,-36.62
CZCurrent_qq,,,,-4.47,-5.26,-6.48,-16.36,-10.66,-9.06
CZCurrent_sq,,,,-0.60,5.76,-18.01,-7.99,1.70,-17.40
ZOCurrent,,,,,,,,,
ZOCurrent_yy,,51.30,34.70,,,,40.65,50.53,52.79
ZOCurrent_sy,,,,,,,,,
ZOCurrent_qq,,,,3.59,7.21,11.28,13.81,10.87,8.82
ZOCurrent_sq,,,,,,,,,
CZOCurrent,,,,,,,,,
CZOCurrent_yy,,-33.91,-25.76,,,,-28.91,-33.57,-34.55
CZOCurrent_sy,,-7.17,-17.62,,,,15.30,-30.70,-45.30
CZOCurrent_qq,,,,-3.47,-6.72,-10.14,-12.13,-9.80,-8.10
CZOCurrent_sq,,,,62.19,8.65,-7.53,-29.24,-2.52,-14.24
EVCurrent,,,,,,,,,
EVCurrent_yy,,0.58,0.79,,,,-0.13,0.08,-0.09
EVCurrent_sy,,,,,,,,,
EVCurrent_qq,,,,0.79,0.32,-0.15,-1.07,1.00,0.14
EVCurrent_sq,,,,,,,,,
EVPCurrent,,,,,,,,,
EVPCurrent_yy,,-18.12,-22.54,,,,-25.48,-26.90,-26.04
EVPCurrent_sy,,-0.01,-0.04,,,,-6.95,3.58,1.49
EVPCurrent_qq,,,,-4.94,-7.02,-7.44,-8.91,-6.75,-5.93
EVPCurrent_sq,,,,-0.72,-0.11,-3.77,-2.50,10.51,-2.12
EVEBITCurrent,,,,,,,,,
EVEBITCurrent_yy,,-33.52,-25.17,,,,-28.99,-33.51,-34.61
EVEBITCurrent_sy,,-8.33,-27.33,,,,10.05,-39.44,-46.89
EVEBITCurrent_qq,,,,-2.71,-6.43,-10.27,-13.08,-8.90,-7.97
EVEBITCurrent_sq,,,,80.42,-6.07,-9.70,-28.08,-0.72,-17.62
EVEBITDACurrent,,,,,,,,,
EVEBITDACurrent_yy,,-29.35,-24.54,,,,-27.93,-31.43,-32.23
EVEBITDACurrent_sy,,0.64,-20.66,,,,7.26,-26.74,-52.72
EVEBITDACurrent_qq,,,,-3.49,-6.57,-9.43,-11.76,-8.18,-7.66
EVEBITDACurrent_sq,,,,55.84,26.88,-30.02,-22.48,6.44,-18.11
ROE,,,,,,,,,
ROE_yy,,42.28,-3.62,,,,6.78,12.27,17.24
ROE_sy,,33.14,-31.37,,,,-9.52,31.80,34.51
ROE_qq,,,,0.23,-1.89,-1.24,9.96,5.38,2.45
ROE_sq,,,,-36.11,5.47,1.30,32.56,-6.93,7.63
ROA,,,,,,,,,
ROA_yy,,49.74,-4.12,,,,7.00,14.01,19.54
ROA_sy,,6.13,-11.64,,,,14.75,42.60,15.94
ROA_qq,,,,3.44,-2.14,2.91,2.71,10.22,2.60
ROA_sq,,,,-30.24,39.27,-25.81,59.21,-13.31,13.24
OPM,,,,,,,,,
OPM_yy,,23.11,3.56,,,,4.84,9.92,13.20
OPM_sy,,-12.10,6.16,,,,-21.85,7.42,3.71
OPM_qq,,,,-2.34,-0.64,3.22,4.68,2.38,2.33
OPM_sq,,,,-10.12,29.67,-6.57,-28.23,23.54,25.19
ROS,,,,,,,,,
ROS_yy,,50.32,-4.87,,,,5.35,10.38,16.63
ROS_sy,,-6.41,-1.84,,,,7.31,19.57,41.64
ROS_qq,,,,-1.34,-2.26,-0.69,10.00,3.38,3.27
ROS_sq,,,,-4.42,4.27,1.71,5.87,6.50,23.51
RS,,,,,,,,,
RS_yy,,19.14,4.75,,,,4.69,9.28,12.24
RS_sy,,3.28,-6.01,,,,11.70,14.91,16.79
RS_qq,,,,-2.19,-0.64,2.90,4.69,2.09,2.05
RS_sq,,,,-17.49,22.81,-6.43,17.81,-15.12,24.81
GPM,,,,,,,,,
GPM_yy,,38.83,5.94,,,,6.51,12.18,16.14
GPM_sy,,-8.91,19.27,,,,-6.85,-1.91,14.46
GPM_qq,,,,-1.99,-0.55,4.08,4.99,3.23,2.96
GPM_sq,,,,-10.16,9.26,-3.99,-1.17,-5.39,27.50
RBS,,,,,,,,,
RBS_yy,,2.64,1.24,,,,0.74,0.65,1.70
RBS_sy,,6.78,2.48,,,,2.96,3.29,13.19
RBS_qq,,,,0.31,-0.13,0.22,0.35,0.22,0.91
RBS_sq,,,,-1.63,-5.85,-3.45,15.14,-1.32,3.17
ROPA,,,,,,,,,
ROPA_yy,,22.60,4.41,,,,6.55,13.64,16.10
ROPA_sy,,2.34,-5.10,,,,-17.65,0.17,20.49
ROPA_qq,,,,2.33,-0.67,7.12,-2.14,9.14,1.48
ROPA_sq,,,,-26.54,16.47,-39.97,60.34,-10.64,40.10
ZNPO,,,,,,,,,
ZNPO_yy,,41.89,-6.37,,,,-7.85,6.95,9.48
ZNPO_sy,,31.63,-46.91,,,,76.03,22.01,-21.02
ZNPO_qq,,,,-5.92,-4.99,-8.38,12.52,9.19,-2.75
ZNPO_sq,,,,10.74,66.99,-52.17,99.02,-23.25,8.10
ZFI,,,,,,,,,
ZFI_yy,,-0.52,-5.69,,,,-17.47,-18.92,-17.92
ZFI_sy,,69.62,-18.24,,,,3.65,1.72,12.97
ZFI_qq,,,,2.95,1.47,0.42,-21.33,1.14,2.73
ZFI_sq,,,,15.65,-9.63,9.98,-9.82,13.50,0.36
DTAR,,,,,,,,,
DTAR_yy,,-2.84,0.27,,,,-0.14,-0.98,-1.21
DTAR_sy,,-8.89,4.78,,,,5.37,11.12,0.67
DTAR_qq,,,,-1.84,0.16,-2.56,4.23,-2.66,-0.07
DTAR_sq,,,,3.81,-0.20,2.08,-0.37,9.47,-9.58
CG,,,,,,,,,
CG_yy,,-7.66,0.73,,,,-0.38,-2.51,-3.14
CG_sy,,-19.75,15.18,,,,-6.58,-2.79,-4.99
CG_qq,,,,-4.86,0.46,-6.48,11.45,-6.89,-0.19
CG_sq,,,,4.71,2.37,1.48,-14.11,8.96,0.05
LDER,,,,,,,,,
LDER_yy,,-2.89,-1.51,,,,-5.27,-8.12,-6.61
LDER_sy,,4.48,-10.40,,,,-45.03,-33.30,-17.43
LDER_qq,,,,3.12,-3.03,-11.35,6.86,0.02,-1.43
LDER_sq,,,,7.24,-19.54,-17.43,-22.85,30.12,-0.39
PZAT,,,,,,,,,
PZAT_yy,,1.71,3.22,,,,1.27,4.33,2.93
PZAT_sy,,-2.47,21.22,,,,60.32,63.99,30.18
PZAT_qq,,,,-3.75,3.49,10.89,-8.32,-0.84,2.11
PZAT_sq,,,,9.41,22.29,10.09,8.84,11.91,-2.92
PELDR,,,,,,,,,
PELDR_yy,,3.39,0.86,,,,4.65,3.31,3.71
PELDR_sy,,5.50,2.83,,,,6.52,2.89,-3.95
PELDR_qq,,,,2.76,-0.90,-2.52,5.42,1.45,-0.51
PELDR_sq,,,,-2.50,3.14,2.36,3.47,-5.83,-3.71
TSF,,,,,,,,,
TSF_yy,,3.98,-1.06,,,,-1.88,-1.79,-0.71
TSF_sy,,5.97,-2.64,,,,4.84,-2.55,8.05
TSF_qq,,,,4.45,-1.51,-0.57,-4.08,4.55,-0.43
TSF_sq,,,,-3.16,-1.11,4.42,4.84,-9.99,9.64
ZKO,,,,,,,,,
ZKO_yy,,-1.00,-6.60,,,,-18.10,-16.36,-14.43
ZKO_sy,,-1.93,-1.06,,,,-5.33,-6.57,-9.88
ZKO_qq,,,,4.73,-1.49,5.17,-24.52,6.96,0.78
ZKO_sq,,,,7.54,-0.67,-7.23,-4.47,6.13,-4.19
OSF,,,,,,,,,
OSF_yy,,3.68,-5.28,,,,-12.65,-10.88,-9.11
OSF_sy,,2.41,-3.06,,,,-3.85,5.12,4.33
OSF_qq,,,,6.22,-1.34,7.54,-22.49,8.36,0.63
OSF_sq,,,,-6.77,2.72,-2.53,3.00,1.93,1.96
NetDebt,733154000000,873208000000,1106936000000,1129716000000,1217247000000,1215989000000,1344210000000,1351312000000,1448280000000
NetDebt_yy,,,,,,,,,
NetDebt_sy,,,,,,,,,
NetDebt_qq,,,,,,,,,
NetDebt_sq,,,,,,,,,
NetDebtEBITDA,,,,,,,,,
NetDebtEBITDA_yy,,-16.34,-5.09,,,,-12.37,-18.05,-19.30
NetDebtEBITDA_sy,,-18.12,-10.22,,,,-11.09,-37.52,-46.82
NetDebtEBITDA_qq,,,,-2.27,0.36,-9.39,-1.40,-8.60,-1.17
NetDebtEBITDA_sq,,,,71.71,-3.30,-8.83,-41.26,20.65,-17.69
DebtFin,380410000000,429358000000,496123000000,563273000000,590370000000,577777000000,485441000000,570404000000,582517000000
DebtFin_yy,,,,,,,,,
DebtFin_sy,,,,,,,,,
DebtFin_qq,,,,,,,,,
DebtFin_sq,,,,,,,,,
DebtFinEBITDA,,,,,,,,,
DebtFinEBITDA_yy,,-20.72,-13.48,,,,-29.39,-30.62,-33.07
DebtFinEBITDA_sy,,5.28,-39.65,,,,-26.72,-24.43,-29.51
DebtFinEBITDA_qq,,,,8.72,-2.38,-11.23,-25.06,6.83,-5.83
DebtFinEBITDA_sq,,,,163.79,-4.32,-1.43,-70.55,172.04,-10.75
SP1,,,,,,,,,
SP1_yy,,4.73,1.43,,,,6.65,6.54,6.23
SP1_sy,,5.90,-5.07,,,,9.97,15.28,6.07
SP1_qq,,,,1.41,0.15,2.25,2.71,1.30,-0.14
SP1_sq,,,,-4.10,1.31,4.81,7.98,0.54,-6.78
SP2,,,,,,,,,
SP2_yy,,3.48,0.80,,,,4.40,2.99,3.40
SP2_sy,,8.12,1.14,,,,4.61,0.32,-4.13
SP2_qq,,,,2.69,-1.09,-2.41,5.33,1.31,-0.70
SP2_sq,,,,-1.28,1.98,2.23,1.65,-5.33,-2.55
CAR,,,,,,,,,
CAR_yy,,23.32,49.04,,,,124.41,257.27,231.26
CAR_sy,,1.00,-3.71,,,,45.23,40.82,92.67
CAR_qq,,,,-41.61,6.63,33.16,170.69,-7.04,-1.13
CAR_sq,,,,-43.79,31.34,5.88,85.80,-45.50,79.71
QR,,,,,,,,,
QR_yy,,20.10,25.71,,,,70.06,117.02,87.31
QR_sy,,13.98,-2.56,,,,12.70,-4.97,-11.58
QR_qq,,,,-28.64,11.10,-6.96,130.55,-8.93,-4.11
QR_sq,,,,-4.68,2.26,-12.83,32.62,-19.62,-4.85
CR,,,,,,,,,
CR_yy,,4.33,5.50,,,,18.36,14.69,14.02
CR_sy,,2.42,1.91,,,,1.42,3.25,1.36
CR_qq,,,,0.93,-1.01,-8.24,29.11,-2.20,-1.59
CR_sq,,,,-3.57,0.81,-1.56,5.99,-1.83,-1.04
PP,,,,,,,,,
PP_yy,,23.32,49.04,,,,124.41,257.27,231.26
PP_sy,,-22.64,-4.66,,,,42.03,74.46,99.11
PP_qq,,,,-41.61,6.63,33.16,170.69,-7.04,-1.13
PP_sq,,,,-44.79,30.77,10.21,78.50,-32.19,49.25
RCLR,,,,,,,,,
RCLR_yy,,-0.25,19.70,,,,-18.33,-23.13,-49.49
RCLR_sy,,15.33,-18.03,,,,3.63,-0.11,-18.98
RCLR_qq,,,,-38.75,34.01,-41.62,70.43,-42.35,-11.95
RCLR_sq,,,,-1.70,1.42,1.90,2.01,-5.25,-17.74
KP,,,,,,,,,
KP_yy,,10.13,4.57,,,,21.09,16.42,16.82
KP_sy,,13.16,-0.03,,,,7.39,-1.97,-11.09
KP_qq,,,,8.27,-4.12,-11.50,25.90,2.84,-3.62
KP_sq,,,,-1.24,3.22,-2.14,7.64,-9.84,-6.39
PKKO,,,,,,,,,
PKKO_yy,,9.18,5.05,,,,22.02,19.12,18.55
PKKO_sy,,79.61,-15.73,,,,49.19,-16.95,96.48
PKKO_qq,,,,12.26,-4.04,-7.51,20.54,9.00,-4.77
PKKO_sq,,,,67.13,-3.45,10.81,-16.57,-6.96,128.42
RN,,,,,,,,,
RN_yy,,6.23,38.53,,,,4.41,23.29,41.29
RN_sy,,23.92,6.04,,,,2.18,13.75,2.22
RN_qq,,,,-9.16,2.13,7.49,4.69,7.27,17.04
RN_sq,,,,7.37,-5.26,11.91,-10.24,19.52,-14.86
CRN,3000,3000,2000,2000,2000,2000,2000,2000,2000
CRN_yy,,,-33.33,,,,,,
CRN_sy,,,-5.36,,,,,,
CRN_qq,,,,,,,,,
CRN_sq,,,,,,,,,
CPZ,81000,77000,68000,68000,65000,64000,64000,64000,64000
CPZ_yy,,-4.94,-11.69,,,,-5.88,-5.88,-1.54
CPZ_sy,,6.17,1.16,,,,-6.32,-5.88,-2.98
CPZ_qq,,,,,-4.41,-1.54,,,
CPZ_sq,,,,,-1.18,-3.57,,,
RZ,,,,,,,,,
RZ_yy,,4.77,12.60,,,,3.66,10.62,7.19
RZ_sy,,0.14,-10.46,,,,-3.41,8.68,-8.90
RZ_qq,,,,-3.24,4.08,2.32,0.59,3.26,0.86
RZ_sq,,,,-0.02,3.16,6.39,-11.98,12.49,-13.52
CRZ,40000,39000,34000,35000,34000,33000,33000,32000,32000
CRZ_yy,,-2.50,-12.82,,,,-2.94,-8.57,-5.88
CRZ_sy,,,11.59,,,,3.83,-7.65,10.67
CRZ_qq,,,,2.94,-2.86,-2.94,,-3.03,
CRZ_sq,,,,,-2.73,-6.18,,-11.05,
RMO,,,,,,,,,
RMO_yy,,1.47,13.25,,,,-3.35,-2.20,-9.76
RMO_sy,,-10.89,16.45,,,,-12.74,-2.45,4.19
RMO_qq,,,,-4.19,4.40,2.55,-5.78,-3.04,-3.68
RMO_sq,,,,-7.91,-8.22,0.73,2.49,2.95,-1.97
RMT,,,,,,,,,
RMT_yy,,-0.87,10.72,,,,9.38,12.95,8.05
RMT_sy,,-14.45,-3.42,,,,9.61,-6.41,-12.43
RMT_qq,,,,-1.00,4.93,2.37,2.86,2.23,0.37
RMT_sq,,,,2.16,6.91,10.14,-8.89,-12.77,0.04
RM,,,,,,,,,
RM_yy,,-0.40,11.22,,,,6.62,9.52,3.89
RM_sy,,-10.63,6.47,,,,-3.69,-3.35,-1.08
RM_qq,,,,-1.64,4.82,2.41,0.98,1.03,-0.57
RM_sq,,,,-0.15,-2.47,3.71,-4.64,0.21,-0.18
COP,43000,42000,36000,37000,36000,35000,35000,34000,34000
COP_yy,,-2.33,-14.29,,,,-2.78,-8.11,-5.56
COP_sy,,1.56,5.13,,,,3.90,-6.54,12.08
COP_qq,,,,2.78,-2.70,-2.78,,-2.86,
COP_sq,,,,4.39,-3.27,-6.76,,-6.10,
CSP,-38000,-35000,-32000,-31000,-29000,-29000,-29000,-30000,-30000
CSP_yy,,7.89,8.57,,,,9.38,3.23,-3.45
CSP_sy,,-77.78,234.62,,,,63.22,77.11,59.26
CSP_qq,,,,3.12,6.45,,,-3.45,
CSP_sq,,,,-4.60,-2.41,,,3.52,
