,2004/Q4,2005/Q4,2006/Q4,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent_qq,,,,,-15.44,-13.52,6.57,2.79,6.22,9.65,20.58,13.77,-14.58,-11.34,-13.98,-18.28,-4.20,-2.15,-9.13,-10.13,-12.11,-0.22,0.34,2.23,9.54,-6.02,-1.64,-0.11,-0.27,-0.65,-0.27,-3.16,-9.46,-4.23,-5.45,-1.79,-2.31,2.22,3.92,-0.67,-5.70,-3.38,-9.01,-5.40,-7.87,-6.10,-1.90
CPCurrent_sq,,,,,-0.10,0.14,6.57,0.20,-24.61,10.64,5.48,5.02,-0.92,2.65,1.90,-5.21,-4.80,-3.20,-13.37,-8.04,-2.56,-3.33,2.79,5.20,26.29,10.56,10.26,0.20,-14.76,-18.18,-11.19,-2.88,-9.67,-1.52,-5.17,0.99,-0.18,-4.92,-0.35,1.55,57.18,13.10,1.61,10.06,-23.14,34.43,-33.41
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,69.54,1584.91,,448.16,,,97.19,93.25,20.76,-1.42,-22.61,-37.09,-29.79,-16.82,16.99,27.61,17.57,8.87,-18.15,-7.25,0.18,15.52,34.21,-20.55,-20.71,-38.81,-38.37,-19.65,-17.99,-4.25,-1.61,42.39,52.20,57.45,56.63,19.07,10.37,22.16,25.31,35.47,34.14,18.83,12.87,-16.72,25.06,8.40
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,20.00,45.04,7.86,5.04,17.60,-9.37,-11.95,-17.54,-4.39,1.14,4.32,15.97,4.28,-6.81,-3.40,-12.81,18.18,0.64,11.40,1.29,-30.04,0.45,-14.03,2.02,-8.79,2.52,0.37,4.83,32.00,9.59,3.83,4.28,0.34,1.58,14.93,6.97,8.47,0.58,1.81,1.61,-19.97,51.04,-11.75
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,-81.75,,,-49.29,-48.25,-17.19,1.44,29.21,58.93,42.41,20.21,-14.52,-21.63,-14.93,-8.14,22.19,7.82,-0.18,-13.44,-25.49,25.87,26.12,63.41,62.25,24.45,21.94,4.44,1.62,-29.77,-34.30,-36.49,-36.15,-16.01,-9.40,-18.15,-20.19,-26.18,-25.45,-15.84,-11.40,20.08,-20.04,-7.75
CZCurrent_sy,,,,,-26.22,,,-36.26,-15.90,38.90,-16.90,20.52,20.27,-28.12,25.55,30.89,56.43,40.04,34.26,36.25,-2.96,30.65,40.30,30.51,66.51,36.02,59.40,58.36,-10.55,-20.16,-24.09,-45.99,14.23,36.15,-13.86,-2.31,-43.96,-47.91,-21.88,-40.95,19.60,19.46,43.15,101.71,19.08,-5.82,-19.59
CZCurrent_qq,,,,,-16.68,-31.05,-7.29,-4.80,-14.97,10.34,13.57,21.26,4.59,-1.13,-4.13,-13.77,-4.11,7.32,3.52,14.70,-15.38,-0.64,-10.23,-1.27,42.94,-0.45,16.31,-1.97,9.63,-2.45,-0.38,-4.62,-24.24,-8.74,-3.69,-4.12,-0.34,-1.56,-12.99,-6.51,-7.82,-0.58,-1.78,-1.58,24.94,-33.79,13.31
CZCurrent_sq,,,,,-18.22,0.22,-1.93,-20.70,7.90,65.52,-41.33,15.02,7.68,-1.08,2.48,19.91,28.68,-11.45,-1.75,21.69,-8.35,19.22,5.51,13.20,16.94,-2.61,23.65,12.46,-33.95,-13.07,17.55,-19.98,39.70,3.61,-25.63,-9.25,-19.86,-3.70,11.53,-31.39,62.32,-3.82,33.65,-3.33,-4.18,-23.93,14.11
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
