,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZCurrent_sq,,,,,13.18,9.72,-12.58,-36.60,2.49,8.49,-63.51,138.82,21.58,-41.28,21.32,,,,,,73.49,-33.19,-38.21,55.40,-4.02,2.28,46.97,-8.60,-44.97,29.80,4.04,21.75,-7.21,12.15,10.27,78.47,-8.60,-27.80,20.71,15.22,-18.27,-25.63
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,27.41,85.66,79.20,,,,-42.34,-42.80,-44.04,-49.84,21.16,13.20,35.22,72.03,2.64,25.82,29.48,41.75,88.22,77.41,58.30,42.12,18.36,21.21,20.02,10.12,3.68,-4.75,6.76,20.57,42.03,47.93,30.80,12.74,3.13,-15.52,9.74,17.26,16.01,55.52,-1.74
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,-0.34,-5.78,-4.92,-35.41,-1.13,-7.82,-14.78,56.01,-7.63,10.11,8.41,-6.92,13.24,13.31,18.69,23.60,6.73,1.10,6.55,2.94,9.30,0.11,-2.24,-3.07,0.41,12.21,10.40,14.18,4.58,-0.78,-4.84,4.45,-14.34,28.89,1.68,3.33,14.84,-18.56
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-21.54,-46.12,-44.20,,,,73.41,74.82,78.71,99.34,-17.46,-11.66,-26.05,-41.87,-2.57,-20.51,-22.77,-29.45,-46.87,-43.63,-36.83,-29.63,-15.51,-17.50,-16.68,-9.19,-3.55,4.99,-6.34,-17.06,-29.59,-32.40,-23.55,-11.30,-3.04,18.38,-8.88,-14.72,-13.80,-35.70,1.76
CZOCurrent_sy,,-61.76,-11.15,-42.33,,,,-34.71,-26.21,-17.86,-12.35,11.75,28.99,-38.25,20.12,-26.34,-56.41,4.35,-29.05,-16.97,23.33,6.30,-34.63,-12.17,-31.65,-35.54,2.32,70.32,35.68,49.02,118.60,-11.05,43.87,31.73,-38.03,-2.75,-15.61,-28.99,-10.16,-14.78,-34.79,-8.50
CZOCurrent_qq,,,,,0.33,6.14,5.18,54.83,1.15,8.50,17.32,-35.89,8.25,-9.17,-7.77,7.44,-11.68,-11.75,-15.75,-19.10,-6.30,-1.09,-6.15,-2.86,-8.51,-0.11,2.29,3.16,-0.41,-10.88,-9.42,-12.42,-4.38,0.79,5.08,-4.26,16.74,-22.42,-1.65,-3.23,-12.92,22.79
CZOCurrent_sq,,,,,7.44,-4.72,-22.99,-17.17,21.42,6.07,-17.83,5.59,40.16,-49.22,59.83,-35.24,-17.05,21.55,8.68,-24.22,23.20,4.77,-33.17,1.82,-4.12,-1.20,6.08,69.50,-23.62,8.51,55.62,-31.03,23.54,-0.65,-26.79,8.22,7.20,-16.40,-7.37,2.66,-17.97,17.30
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-2.94,2.97,-0.01,,,,9.78,0.39,0.31,0.25,3.18,0.09,45.20,,-11.63,39.23,-7.28,,51.02,8.72,11.89,54.38,7.83,1.80,-2.00,-5.85,-10.41,-10.42,-18.72,-15.68,-13.03,-13.62,-6.69,-4.80,24.26,27.20,44.88,46.34,11.35,14.42,4.16
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,-0.38,0.17,0.06,9.94,-8.90,0.09,,13.16,-11.63,45.20,-31.13,,39.23,-3.31,-25.72,51.02,0.24,-0.49,2.49,5.48,-5.36,-4.21,-1.53,0.37,-5.38,-13.08,2.15,3.52,-6.02,-6.11,4.23,35.11,-3.79,6.94,5.28,2.81,-1.14,-2.66
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-13.78,-43.44,-37.46,,,,23.45,11.42,20.22,19.26,10.19,14.71,25.51,-29.54,-31.54,-6.48,-22.04,-15.75,4.30,-22.92,-27.65,6.62,-16.08,-24.14,-19.88,-22.12,-22.86,-10.96,-23.65,-22.21,-21.18,-27.21,-15.97,-8.19,11.85,36.70,24.44,18.12,-0.67,-17.70,15.43
EVPCurrent_sy,,-34.49,-32.28,31.99,,,,22.51,-8.35,69.89,75.20,-14.66,73.48,56.23,-53.91,33.05,-48.95,-28.11,78.90,52.65,53.03,39.73,79.28,11.35,7.74,-23.94,-41.10,-41.86,-36.71,-10.25,51.60,28.32,120.77,-12.13,-6.95,25.95,-7.31,62.35,6.90,18.93,-1.69,6.31
EVPCurrent_qq,,,,,-1.00,-1.65,10.92,14.31,-10.65,6.12,10.04,5.61,-6.98,16.11,-38.22,2.61,27.07,-3.21,-33.25,27.03,-6.10,-9.14,-1.62,-0.01,-15.12,-4.05,-4.37,-0.96,-2.03,-17.72,-2.56,0.35,-9.53,-5.01,6.46,22.25,10.57,-13.52,1.04,2.80,-8.38,21.29
