,2012/Q4,2013/Q4,2014/Q4,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKGrahamCurrent,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,-17.04,-14.80,,,-19.36,,-18.19,-18.36,-7.83,-2.93,9.31,4.62,-15.76,-18.91,-21.40
CWKGrahamCurrent_sy,,6.12,1.56,,,-21.89,,10.90,-8.25,-3.16,15.42,-12.72,-14.39,-11.23,-18.91,-8.26
CWKGrahamCurrent_qq,,,,,-3.19,-14.03,-3.31,1.67,-3.39,-2.95,1.83,14.49,-7.54,-21.86,-1.97,10.97
CWKGrahamCurrent_sq,,,,,17.61,-14.63,-9.96,22.68,-2.70,-9.89,7.31,-7.23,-4.55,-6.57,-1.97,4.95
PCurrent,,,,,,,,,,,,,,,,
PCurrent_yy,,19.16,26.03,,,-15.01,,18.24,83.03,46.57,4.92,-21.44,-14.22,16.85,40.42,73.65
PCurrent_sy,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,-32.29,37.33,17.72,8.02,4.80,9.98,-15.73,-19.12,14.43,49.82,1.27,0.02
PCurrent_sq,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,
CPCurrent_yy,,-16.08,-20.65,,,17.67,,-15.42,-45.36,-31.77,-4.69,27.29,16.59,-14.42,-28.78,-42.41
CPCurrent_sy,,1.39,10.16,,,16.47,,-19.19,-34.63,-33.09,-18.91,0.39,-0.90,-14.61,-17.05,-1.28
CPCurrent_qq,,,,,47.70,-27.18,-15.06,-7.42,-4.58,-9.07,18.65,23.65,-12.61,-33.25,-1.26,-0.01
CPCurrent_sq,,,,,16.70,-6.01,-14.27,-14.06,-5.59,-3.81,3.90,6.40,-6.80,-17.12,0.93,26.62
ZCurrent,,,,,,,,,,,,,,,,
ZCurrent_yy,,110.30,16.90,,,20.56,,38.83,116.20,24.33,-12.92,-43.52,-27.82,66.77,109.92,224.02
ZCurrent_sy,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,-33.90,86.33,12.02,0.63,2.93,7.15,-21.54,-34.73,31.55,147.55,-1.24,0.74
ZCurrent_sq,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,
CZCurrent_yy,,-52.45,-14.45,,,-17.06,,-27.97,-53.75,-19.57,14.84,77.06,38.54,-40.04,-52.36,-69.14
CZCurrent_sy,,-10.09,2.67,,,-21.32,,-13.73,-32.54,-14.59,-26.88,-21.44,1.29,4.67,-17.28,-28.39
CZCurrent_qq,,,,,51.29,-46.33,-10.73,-0.62,-2.85,-6.67,27.45,53.22,-23.99,-59.60,1.26,-0.74
CZCurrent_sq,,,,,-5.09,-13.20,10.31,-5.08,-25.78,9.91,-5.56,1.97,-4.31,13.58,-25.36,-11.72
ZOCurrent,,,,,,,,,,,,,,,,
ZOCurrent_yy,,78.64,14.59,,,22.31,,41.89,118.11,-10.87,-43.73,-70.64,-50.49,102.70,180.94,435.20
ZOCurrent_sy,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,-32.49,82.76,13.39,1.42,3.78,-25.32,-28.41,-47.09,75.03,205.74,-0.79,0.80
ZOCurrent_sq,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-44.02,-12.74,,,-18.24,,-29.53,-54.15,12.19,77.72,240.60,101.96,-50.66,-64.40,-81.31
CZOCurrent_sy,,5.83,-12.77,,,13.95,,-26.00,-25.94,-29.36,9.05,0.92,8.34,16.27,-22.38,-35.48
CZOCurrent_qq,,,,,48.11,-45.28,-11.81,-1.40,-3.64,33.90,39.69,88.98,-42.86,-67.29,0.79,-0.80
CZOCurrent_sq,,,,,-12.79,7.72,-17.95,-3.99,-12.72,2.76,26.65,-11.15,-6.31,10.28,-15.45,-26.14
EVCurrent,,,,,,,,,,,,,,,,
EVCurrent_yy,,-3.93,-3.21,,,-9.60,,-10.66,8.41,27.21,27.39,27.93,10.71,-1.55,6.33,19.92
EVCurrent_sy,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,-3.36,-15.63,8.77,0.75,17.26,-1.00,8.93,1.18,1.47,-11.96,17.64,14.12
EVCurrent_sq,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-19.37,-23.20,,,6.36,,-24.44,-40.77,-13.21,21.41,62.84,29.07,-15.75,-24.28,-30.94
EVPCurrent_sy,,-5.33,-2.05,,,-4.51,,12.71,-9.03,-14.58,-35.85,-13.38,-15.36,-22.29,34.03,19.84
EVPCurrent_qq,,,,,42.73,-38.57,-7.61,-6.72,11.88,-9.98,29.25,25.10,-11.33,-41.24,16.17,14.09
EVPCurrent_sq,,,,,28.99,-0.87,2.43,-13.94,4.10,-6.91,-23.08,16.21,1.72,-14.53,32.65,3.91
EVEBITCurrent,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-46.22,-15.54,,,-26.09,,-37.04,-50.30,42.72,126.39,335.74,123.59,-51.43,-62.15,-77.59
EVEBITCurrent_sy,,9.85,-7.58,,,-21.51,,-20.86,4.43,45.80,52.02,11.71,-11.32,-23.39,-31.66,-17.79
EVEBITCurrent_qq,,,,,43.13,-53.84,-4.07,-0.66,12.98,32.56,52.16,91.21,-42.03,-71.20,18.57,13.21
EVEBITCurrent_sq,,,,,-9.28,-22.76,-0.05,12.98,19.71,7.84,4.22,-16.97,-4.97,-6.83,-7.03,-0.12
EVEBITDACurrent,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-46.51,-15.50,,,-26.02,,-36.75,-49.40,41.57,121.42,310.29,117.75,-50.76,-61.17,-76.11
EVEBITDACurrent_sy,,7.29,-24.44,,,-2.71,,7.35,19.51,41.67,33.92,11.14,-10.85,-20.42,-22.68,-17.36
EVEBITDACurrent_qq,,,,,41.14,-52.98,-3.95,-0.77,12.92,31.54,50.23,83.87,-40.07,-70.26,18.47,13.14
EVEBITDACurrent_sq,,,,,7.04,-12.23,1.12,12.98,19.17,4.05,-4.41,-6.24,-4.41,-7.12,-7.12,0.21
ROE,,,,,,,,,,,,,,,,
ROE_yy,,75.42,-2.27,,,0.12,,18.80,84.24,8.04,-21.08,-45.56,-32.40,34.74,69.80,158.55
ROE_sy,,-17.41,-22.44,,,170.10,,191.33,89.83,-24.37,16.08,-34.21,34.01,5.32,16.71,57.56
ROE_qq,,,,,-35.59,65.76,8.41,2.64,-0.11,-2.80,-20.81,-29.20,24.04,93.76,-0.21,7.80
ROE_sq,,,,,6.22,114.33,-21.78,63.60,-30.79,-14.61,20.06,-7.28,40.99,-32.89,33.03,25.17
ROA,,,,,,,,,,,,,,,,
ROA_yy,,91.21,1.70,,,-8.12,,16.94,56.00,1.28,-30.60,-63.95,-47.53,12.60,40.24,134.64
ROA_sy,,11.40,13.39,,,83.33,,128.01,132.84,-15.34,16.76,-27.64,39.58,11.41,32.67,34.13
ROA_qq,,,,,-36.71,68.77,9.02,0.42,-15.57,9.57,-25.29,-47.83,22.86,135.15,-6.95,-12.71
ROA_sq,,,,,-24.93,97.01,-1.70,56.84,-23.34,-28.37,35.57,-2.81,47.88,-42.82,61.45,-1.74
OPM,,,,,,,,,,,,,,,,
OPM_yy,,49.84,-9.06,,,43.93,,19.98,19.14,-39.19,-46.35,-62.64,-42.27,73.47,100.07,208.36
OPM_sy,,-18.00,45.02,,,-13.23,,-23.02,24.58,79.03,48.59,3.56,62.87,-31.84,23.21,18.28
OPM_qq,,,,,-0.27,33.05,-3.70,-6.11,-0.97,-32.09,-15.04,-34.61,53.03,104.03,-2.01,0.78
OPM_sq,,,,,-39.58,16.63,1.39,7.74,-2.21,67.60,-15.85,-24.91,53.79,-29.86,52.12,-27.92
ROS,,,,,,,,,,,,,,,,
ROS_yy,,76.48,-7.26,,,41.88,,17.44,18.12,-15.15,-16.99,-28.13,-15.81,42.71,49.48,86.64
ROS_sy,,-9.55,-23.66,,,166.07,,80.25,176.37,7.95,-13.09,-14.11,-0.38,-26.88,61.18,55.62
ROS_qq,,,,,-2.38,35.67,-4.84,-6.82,-1.82,-2.54,-6.90,-19.33,15.01,65.20,-2.48,0.73
ROS_sq,,,,,-30.00,188.36,-14.98,5.04,7.33,12.64,-31.56,3.81,24.48,-17.33,50.87,0.23
RS,,,,,,,,,,,,,,,,
RS_yy,,53.29,-13.00,,,35.53,,41.76,51.59,-12.14,-20.38,-29.99,-14.23,29.42,39.59,63.12
RS_sy,,-21.68,54.72,,,4.75,,-2.87,-11.85,10.81,18.43,20.14,51.33,-15.99,-8.37,-6.44
RS_qq,,,,,-7.41,56.12,0.59,-2.51,-0.98,-9.52,-8.83,-14.28,21.31,36.51,-1.67,0.17
RS_sq,,,,,-3.27,12.86,-2.80,-8.47,-12.21,41.86,3.89,-7.15,10.58,-21.25,13.32,-5.20
GPM,,,,,,,,,,,,,,,,
GPM_yy,,64.60,-7.41,,,39.96,,16.85,17.80,-44.49,-53.82,-77.98,-56.19,76.90,116.48,394.13
GPM_sy,,-42.94,8.27,,,107.44,,4.21,46.39,15.58,-12.64,24.03,51.14,1.55,93.04,52.97
GPM_qq,,,,,-3.02,36.26,-4.85,-7.06,-2.23,-35.79,-20.85,-55.68,94.48,159.29,-3.14,1.17
GPM_sq,,,,,-20.96,70.26,-3.52,-19.73,11.03,34.42,-27.07,13.96,35.29,-9.68,38.63,-9.70
RBS,,,,,,,,,,,,,,,,
RBS_yy,,32.40,-5.93,,,38.27,,42.00,12.42,-8.98,-8.77,-8.69,1.88,24.87,24.80,22.26
RBS_sy,,-16.10,7.65,,,-8.49,,0.49,-3.37,-0.47,6.37,3.51,4.16,-1.22,3.08,7.91
RBS_qq,,,,,22.75,14.08,-0.23,1.63,-2.81,-7.64,,1.72,8.44,13.20,-0.05,-0.35
RBS_sq,,,,,3.49,1.16,-2.15,-1.90,-0.48,4.20,,-4.54,0.14,-1.19,9.12,-0.07
ROPA,,,,,,,,,,,,,,,,
ROPA_yy,,62.39,-0.30,,,-6.70,,19.49,57.37,-27.43,-55.11,-81.27,-63.97,36.90,87.62,287.89
ROPA_sy,,32.80,24.30,,,2.40,,26.17,43.65,69.80,34.28,9.47,12.34,-39.91,-0.50,12.54
ROPA_qq,,,,,-35.40,65.76,10.20,1.26,-14.92,-23.56,-31.83,-57.76,63.67,190.45,-6.57,-12.66
ROPA_sq,,,,,-19.73,6.86,15.96,26.86,-8.62,26.31,-8.29,3.42,-6.22,-32.44,51.84,16.97
ZNPO,,,,,,,,,,,,,,,,
ZNPO_yy,,-54.09,11.70,,,396.48,,429.53,4.64,-110.99,69.72,-110.94,-263.07,366.80,1850.55,-780.82
ZNPO_sy,,257.57,-91.79,,,707.55,,85.00,4758.45,11.82,-82.32,-85.57,42.69,0.61,759.54,1265.50
ZNPO_qq,,,,,-6.09,895.05,-125.94,250.62,-130.70,8.37,28.55,45.59,-919.11,167.33,368.83,-127.38
ZNPO_sq,,,,,-96.33,4870.42,-10.09,12.70,-3.54,14.39,-85.78,-8.02,853.88,-19.34,21.46,46.12
ZFI,,,,,,,,,,,,,,,,
ZFI_yy,,133.18,0.96,,,,,,,,,,,,200.00,
ZFI_sy,,-51.09,146.18,,,,,,,,,,,,71.94,
ZFI_qq,,,,,141.31,,,,,,,1302.78,57.04,-96.91,71.43,
ZFI_sq,,,,,18.00,,,,,,,63.81,19.20,33.76,-34.17,
DTAR,,,,,,,,,,,,,,,,
DTAR_yy,,-17.02,-11.09,,,29.32,,3.37,30.11,11.73,24.73,69.41,30.87,29.60,25.75,6.64
DTAR_sy,,7.91,-3.06,,,-5.19,,2.03,2.79,8.94,6.77,7.43,5.61,3.35,-1.59,2.56
DTAR_qq,,,,,3.00,-2.53,-0.88,3.87,29.65,-16.30,10.66,41.08,0.16,-17.11,7.37,19.64
DTAR_sq,,,,,0.85,-4.52,4.17,1.72,1.60,1.19,2.10,2.34,-0.12,-0.98,-2.78,6.66
CG,,,,,,,,,,,,,,,,
CG_yy,,-23.83,-14.51,,,40.89,,5.01,53.76,19.20,41.80,156.18,68.57,55.05,52.29,17.38
CG_sy,,15.07,5.73,,,-13.07,,7.74,3.02,10.13,8.25,13.27,20.10,11.95,6.31,5.65
CG_qq,,,,,4.87,-4.28,-1.41,6.11,53.55,-25.79,17.28,91.70,1.04,-31.74,15.19,47.75
CG_sq,,,,,0.66,-6.65,5.39,8.79,-3.74,-0.21,3.59,13.84,2.06,-6.98,-1.63,13.14
LDER,,,,,,,,,,,,,,,,
LDER_yy,,49.21,17.10,,,67.02,,7.33,89.18,-10.35,-32.13,102.77,10.91,94.84,171.84,14.63
LDER_sy,,7.70,22.39,,,-18.31,,-31.04,-22.07,-15.81,7.35,44.47,31.91,32.02,4.48,-4.37
LDER_qq,,,,,-10.30,36.20,-4.74,-7.77,58.10,-35.45,-27.89,175.55,-13.52,13.40,0.61,16.20
LDER_sq,,,,,1.16,-9.30,-11.84,-14.74,14.32,-2.02,12.41,14.75,4.38,-1.93,-11.05,5.04
PZAT,,,,,,,,,,,,,,,,
PZAT_yy,,-36.69,-9.82,,,-58.32,,-33.37,-62.42,-1.45,35.79,-51.50,-10.53,-56.80,-80.47,-55.05
PZAT_sy,,-4.19,-16.75,,,18.11,,-7.97,-7.97,-18.73,-22.88,9.26,5.64,11.13,10.17,-6.67
PZAT_qq,,,,,8.62,-45.11,1.73,9.86,-38.74,43.94,40.17,-60.76,13.00,-30.51,-36.61,-9.70
PZAT_sq,,,,,0.48,-2.08,7.11,-12.68,0.49,-13.53,1.64,23.72,-2.84,-9.05,0.76,4.82
PELDR,,,,,,,,,,,,,,,,
PELDR_yy,,3.43,-16.88,,,68.80,,49.15,66.10,-42.12,-44.50,-37.88,-36.17,13.05,47.97,12.79
PELDR_sy,,4.95,-3.85,,,25.56,,4.43,2.36,-5.44,4.54,-6.87,-4.16,-3.18,-3.85,13.75
PELDR_qq,,,,,4.82,39.35,-0.97,3.11,16.73,-51.44,-5.05,15.40,19.96,-13.99,24.28,-12.03
PELDR_sq,,,,,1.50,6.15,-5.72,2.81,-0.52,-1.94,4.23,-8.41,2.37,-0.94,3.52,8.35
TSF,,,,,,,,,,,,,,,,
TSF_yy,,14.70,6.71,,,2.44,,0.05,0.02,-8.79,-19.11,-17.88,-19.61,2.50,8.76,-4.05
TSF_sy,,3.64,3.59,,,-6.16,,2.49,-0.49,2.67,2.02,-5.35,-1.14,-7.75,-2.77,-5.62
TSF_qq,,,,,-3.99,9.33,-0.69,-4.03,-4.01,-0.30,-11.93,-2.57,-6.03,27.12,-6.55,-14.04
TSF_sq,,,,,1.83,-3.63,-0.62,5.09,-1.13,-0.57,-1.26,-2.50,3.26,-7.21,4.08,-5.36
ZKO,,,,,,,,,,,,,,,,
ZKO_yy,,-16.61,-9.24,,,23.77,,0.25,25.23,15.64,28.52,71.72,33.44,29.10,23.39,5.37
ZKO_sy,,5.66,13.95,,,-8.24,,-19.40,-18.04,-6.43,-12.98,23.63,26.11,6.51,12.77,3.23
ZKO_qq,,,,,2.65,-4.90,-0.93,3.65,28.23,-12.18,10.10,38.49,-0.35,-15.03,5.23,18.27
ZKO_sq,,,,,-3.43,2.93,-1.61,-17.58,-1.81,17.51,-8.50,17.09,0.16,-0.74,-3.12,7.19
OSF,,,,,,,,,,,,,,,,
OSF_yy,,-13.75,-22.64,,,84.83,,43.25,78.66,-27.39,-21.18,-5.28,-23.55,12.00,25.88,12.50
OSF_sy,,-0.37,30.43,,,-7.05,,-8.96,-19.72,0.39,-20.95,3.47,-0.23,-8.78,5.95,20.89
OSF_qq,,,,,4.60,30.68,0.56,4.23,30.45,-46.89,9.16,25.25,5.28,-22.19,22.68,11.94
OSF_sq,,,,,20.07,-7.16,9.69,-25.55,5.88,16.10,-13.63,-2.55,2.09,6.16,0.32,11.20
NetDebt,49104000000,36102000000,19962000000,61714000000,61390000000,5269000000,32789000000,46271000000,121514000000,86449000000,132340000000,208381000000,239799000000,138305000000,235471000000,399191000000
NetDebt_yy,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,-59.06,-51.72,,,-82.00,,-55.77,-23.01,1726.27,601.52,1344.31,288.15,-19.99,-35.02,-61.83
NetDebtEBITDA_sy,,-13.33,-22.43,,,-12.57,,55.66,46.95,45.88,43.55,-8.52,-1.25,-5.54,-7.91,12.90
NetDebtEBITDA_qq,,,,,45.29,-96.01,449.63,38.98,152.90,-5.47,111.13,186.14,-32.03,-80.51,71.46,68.09
NetDebtEBITDA_sq,,,,,8.18,3.13,-5.45,47.58,2.13,2.37,-6.96,-5.95,10.24,-2.08,-9.30,15.31
DebtFin,18714000000,7965000000,-477000000,27211000000,17718000000,-29904000000,-5682000000,-3435000000,48774000000,45216000000,76564000000,81077000000,86758000000,39773000000,100768000000,158186000000
DebtFin_yy,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,-76.30,-105.23,,,-4173.03,,-107.45,7.08,268.29,2442.55,7668.68,249.86,-56.01,-51.94,-61.13
DebtFinEBITDA_sy,,26.33,-55.35,,,-49.56,,106.00,81.83,320.76,282.64,2.78,44.38,-34.13,-66.12,0.31
DebtFinEBITDA_qq,,,,,-4.90,-178.38,83.22,40.44,1467.24,23.18,133.52,92.44,-36.80,-84.51,155.12,55.65
DebtFinEBITDA_sq,,,,,32.40,-49.45,74.03,76.88,16.86,16.97,58.26,-52.49,64.16,-46.63,-18.60,40.66
SP1,,,,,,,,,,,,,,,,
SP1_yy,,3.43,-14.79,,,49.35,,42.87,42.65,-37.21,-38.67,-44.83,-42.71,-13.24,2.01,6.77
SP1_sy,,-0.72,-17.36,,,31.47,,14.86,18.36,8.09,1.73,-7.44,-12.33,-10.56,-9.82,-4.68
SP1_qq,,,,,1.89,37.40,1.51,0.54,1.73,-39.52,-0.85,-9.56,5.65,-8.42,16.58,-5.34
SP1_sq,,,,,-1.03,9.95,3.65,1.84,1.99,0.41,-2.45,-7.34,-3.40,2.44,-1.65,-2.05
SP2,,,,,,,,,,,,,,,,
SP2_yy,,8.89,-12.58,,,66.68,,45.20,68.65,-38.89,-43.59,-31.50,-40.66,6.40,34.34,12.77
SP2_sy,,7.76,-5.37,,,20.33,,5.57,2.67,-0.01,3.48,-4.54,-5.21,-11.91,-11.90,-3.50
SP2_qq,,,,,-0.44,47.56,0.26,-1.42,15.64,-46.53,-7.46,19.72,0.17,-4.13,16.85,0.49
SP2_sq,,,,,2.33,5.37,-0.68,-1.42,-0.47,2.62,2.78,-9.06,-1.17,-4.64,2.79,-0.39
CAR,,,,,,,,,,,,,,,,
CAR_yy,,275.33,208.19,,,114.73,,243.36,65.03,-74.09,-86.31,-61.98,-49.50,77.34,96.88,-75.35
CAR_sy,,20.27,12.84,,,1.27,,3.18,8.04,39.80,108.65,29.73,1.97,-5.89,-9.36,-12.65
CAR_qq,,,,,13.40,587.74,-32.79,-34.49,-45.49,7.97,-64.49,81.92,-27.59,279.15,-60.58,-77.23
CAR_sq,,,,,5.51,-7.72,-22.58,36.89,10.47,19.40,15.55,-14.88,-13.16,10.20,11.29,-17.97
QR,,,,,,,,,,,,,,,,
QR_yy,,201.41,822.82,,,107.82,,106.71,127.39,-59.77,-71.40,-34.21,-36.54,25.20,-10.08,-12.33
QR_sy,,-5.77,14.79,,,-2.74,,-11.91,-1.22,8.73,63.45,28.04,52.87,-3.05,-15.69,-19.07
QR_qq,,,,,-57.15,1119.05,-34.33,-39.74,-52.86,115.67,-53.32,38.63,-54.54,325.51,-66.47,35.16
QR_sq,,,,,-20.05,10.76,-16.72,19.44,-10.34,21.92,25.18,-6.43,7.05,-22.68,8.86,-10.19
CR,,,,,,,,,,,,,,,,
CR_yy,,65.24,54.20,,,11.27,,2.87,3.36,-45.90,-63.37,-55.36,-51.29,9.32,31.01,-7.02
CR_sy,,4.50,-20.75,,,41.37,,-3.52,4.54,-9.11,11.49,-14.00,-13.12,-11.67,-8.69,-1.38
CR_qq,,,,,-18.84,80.55,-6.69,-24.76,-18.45,-5.50,-36.82,-8.31,-11.02,112.09,-24.28,-34.93
CR_sq,,,,,-5.00,7.07,-15.39,12.10,2.94,-6.91,3.78,-13.52,3.99,-5.36,7.28,-6.60
PP,,,,,,,,,,,,,,,,
PP_yy,,275.33,208.19,,,114.73,,243.36,65.03,-74.09,-86.31,-61.98,-49.50,77.34,96.88,-75.35
PP_sy,,7.23,11.40,,,1.17,,-10.34,-1.40,25.24,77.49,9.92,4.41,-0.95,-15.82,-1.13
PP_qq,,,,,13.40,587.74,-32.79,-34.49,-45.49,7.97,-64.49,81.92,-27.59,279.15,-60.58,-77.23
PP_sq,,,,,-3.06,-14.89,-11.15,22.31,6.61,8.11,25.91,-24.26,1.27,2.56,7.01,-11.04
RCLR,,,,,,,,,,,,,,,,
RCLR_yy,,64.33,131.68,,,26.70,,-24.92,-10.71,-21.73,-3.11,-73.13,-0.03,6.11,19.49,90.70
RCLR_sy,,-18.24,30.63,,,13.95,,-29.73,4.06,-18.78,-31.26,-27.09,0.73,-7.71,60.25,55.83
RCLR_qq,,,,,-36.21,62.59,-38.48,17.66,-24.13,42.52,-23.84,-67.37,182.24,51.26,-14.24,-47.91
RCLR_sq,,,,,-22.02,5.19,6.84,-19.83,15.49,-17.91,-9.57,-14.96,59.56,-24.78,57.02,-17.31
KP,,,,,,,,,,,,,,,,
KP_yy,,15.84,5.36,,,5.90,,3.60,4.65,-12.85,-23.91,-22.49,-24.73,2.41,12.40,-2.58
KP_sy,,28.98,-9.43,,,23.67,,30.15,17.66,48.85,19.49,-45.07,-40.67,-44.24,-36.68,54.38
KP_qq,,,,,-3.81,12.97,-0.76,-3.93,-2.84,-5.92,-13.36,-2.13,-5.65,28.00,-4.90,-15.17
KP_sq,,,,,13.47,-14.11,23.35,8.26,2.58,8.66,-0.98,-50.23,10.80,2.12,12.45,21.33
PKKO,,,,,,,,,,,,,,,,
PKKO_yy,,17.11,-6.01,,,88.54,,21.22,-16.44,-30.52,-13.09,48.12,22.19,47.03,35.49,-13.58
PKKO_sy,,-22.00,-8.39,,,11.46,,-49.47,-29.99,-30.48,-36.92,23.41,19.96,19.36,14.21,-11.41
PKKO_qq,,,,,61.57,-3.48,-13.51,-10.13,11.37,-19.74,8.20,53.15,-8.12,-3.42,-0.30,-2.31
PKKO_sq,,,,,-22.20,0.62,10.47,-41.57,7.79,-0.09,0.24,14.31,4.78,-0.58,-4.09,-11.34
RN,,,,,,,,,,,,,,,,
RN_yy,,9.46,-27.31,,,-40.57,,20.78,82.25,17.60,-40.82,-54.24,-58.90,-39.45,-12.14,-9.54
RN_sy,,-26.94,22.28,,,-3.29,,27.56,36.45,19.04,20.89,-14.27,-10.16,-16.78,-9.11,-8.07
RN_qq,,,,,-37.61,44.36,26.70,5.84,-5.86,-6.85,-36.24,-18.16,-15.45,37.23,-7.48,-15.74
RN_sq,,,,,-8.52,24.06,-17.56,36.35,-2.14,8.22,-16.28,-3.30,2.55,0.25,-8.57,-2.19
CRN,26000,24000,33000,49000,79000,55000,43000,41000,43000,47000,73000,89000,106000,77000,83000,99000
CRN_yy,,-7.69,37.50,,,66.67,,-16.33,-45.57,-14.55,69.77,117.07,146.51,63.83,13.70,11.24
CRN_sy,,26.87,-11.76,,,2.67,,-18.56,-21.84,-15.58,-9.38,14.71,13.97,20.00,14.48,12.18
CRN_qq,,,,,61.22,-30.38,-21.82,-4.65,4.88,9.30,55.32,21.92,19.10,-27.36,7.79,19.28
CRN_sq,,,,,4.19,-11.49,3.90,-15.00,,-4.41,11.54,7.59,-0.64,0.65,6.41,5.42
CPZ,184000,102000,57000,89000,157000,102000,81000,83000,93000,102000,166000,283000,322000,225000,229000,261000
CPZ_yy,,-44.57,-44.12,,,78.95,,-6.74,-40.76,,104.94,240.96,246.24,120.59,37.95,-7.77
CPZ_sy,,-10.61,-8.23,,,6.33,,-4.81,8.45,,-16.46,0.80,-16.71,13.43,12.12,2.11
CPZ_qq,,,,,76.40,-35.03,-20.59,2.47,12.05,9.68,62.75,70.48,13.78,-30.12,1.78,13.97
CPZ_sq,,,,,-7.09,9.81,-1.99,-4.81,5.85,-5.53,-12.23,14.85,-12.53,28.66,-13.25,4.59
RZ,,,,,,,,,,,,,,,,
RZ_yy,,5.27,35.75,,,-30.69,,-9.92,46.09,5.04,-22.98,-45.08,-38.40,-22.96,-9.52,14.50
RZ_sy,,24.12,15.01,,,-10.88,,29.90,32.05,6.38,-1.55,-19.27,-11.47,4.46,3.23,24.94
RZ_qq,,,,,-42.80,45.80,6.86,1.07,-7.22,4.83,-21.64,-27.94,4.08,31.10,-7.98,-8.81
RZ_sq,,,,,-6.84,11.94,6.86,16.57,-5.30,-9.82,-1.11,-4.40,3.84,6.41,-2.28,15.70
CRZ,723000,687000,506000,609000,1064000,730000,683000,676000,728000,695000,887000,1231000,1183000,902000,980000,1075000
