,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
CZCurrent_sq,,,22.15,-5.95,-27.09,-37.73,20.24,-3.82,-7.35,-5.97,9.09,14.15,35.45,1.58,12.58,6.71,-3.55,-7.36,-17.91,0.95,-2.89,158.69,-31.88,23.05,-20.92,-39.03,-24.44,3.90,23.24,95.93,4.74,-40.18,2.39,5.68,-5.47,13.06,0.71,22.10,-3.75,-23.71,-8.32,13.25,-24.09,-1.95,-4.64,3.60,-8.73,12.02,15.29,-4.22,-9.12,-12.35,48.75
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,51.75,-8.97,,,,16.43,45.74,13.09,11.81,28.66,17.51,34.60,24.29,-10.20,-16.27,-16.51,-12.60,-11.39,-18.62,-24.74,-19.14,5.10,25.48,44.64,37.56,28.09,21.10,10.93,7.63,-5.97,-8.19,-13.62,-12.82,1.23,18.46,46.89,62.68,53.60,35.31,15.99,2.51,7.45,11.15,16.89,22.10,14.99,11.13,7.23,5.74,5.45,4.48,8.75,9.67
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,-8.66,15.47,6.33,3.82,14.34,-10.40,5.12,19.47,4.44,2.63,-2.94,-13.68,-2.62,2.33,1.62,-12.50,-10.57,-5.36,9.18,13.74,6.78,9.08,3.84,5.91,0.95,-0.07,0.74,-7.47,-1.43,-5.99,1.67,7.44,15.34,16.58,12.60,1.45,1.61,-0.07,-0.49,6.34,5.11,5.10,3.94,0.14,1.58,1.42,2.50,-0.14,0.65,5.56,3.37
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,-34.10,9.85,,,,-14.11,-31.39,-11.58,-10.56,-22.27,-14.90,-25.70,-19.54,11.36,19.44,19.78,14.41,12.86,22.89,32.88,23.68,-4.85,-20.31,-30.86,-27.30,-21.93,-17.42,-9.86,-7.09,6.35,8.92,15.77,14.71,-1.22,-15.58,-31.92,-38.53,-34.89,-26.10,-13.79,-2.45,-6.93,-10.03,-14.45,-18.10,-13.04,-10.01,-6.74,-5.43,-5.17,-4.29,-8.05,-8.82
CZOCurrent_sy,-56.52,-25.80,,,,-48.29,-49.40,-55.52,-34.84,9.93,15.11,57.25,68.61,29.81,31.25,32.85,41.53,15.75,0.55,-16.26,-31.14,58.78,-10.71,-32.68,-21.72,-42.60,-17.25,-4.66,7.74,32.30,89.43,144.85,93.98,6.92,-12.56,-21.60,-13.78,0.59,11.29,-6.10,-19.16,-15.10,-29.13,-35.56,-26.24,-19.88,1.94,32.34,42.08,5.72,-3.65,-17.83,-3.01
CZOCurrent_qq,,,9.48,-13.40,-5.95,-3.68,-12.54,11.61,-4.87,-16.30,-4.25,-2.56,3.03,15.85,2.69,-2.28,-1.59,14.28,11.82,5.67,-8.41,-12.08,-6.35,-8.33,-3.69,-5.58,-0.94,0.07,-0.74,8.08,1.45,6.37,-1.65,-6.93,-13.30,-14.22,-11.19,-1.43,-1.58,0.07,0.49,-5.96,-4.86,-4.85,-3.79,-0.14,-1.55,-1.40,-2.44,0.14,-0.64,-5.27,-3.26
