,2011/Q4,2012/Q4,2013/Q4,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QR,1100,1140,1050,1020,1080,1110,1080,1120,1270,1080,1400,1340,1370,1240,1390,1100,910,980,850,870
CR,1270,1270,1150,1150,1230,1230,1260,1290,1350,1440,1540,1450,1500,1390,1710,1310,1200,1160,1190,1180
PP,120,260,350,400,400,370,450,170,220,950,670,430,350,560,810,410,470,340,190,160
RCLR,1000,870,710,650,730,790,700,980,1080,330,780,920,1050,660,560,600,300,460,310,250
KP,150,150,100,100,150,160,170,180,210,230,250,220,240,210,290,170,130,110,120,120
PKKO,140,150,130,120,200,170,150,120,140,140,130,130,160,200,240,160,130,120,90,80
RN,2090,2260,1730,2070,2080,2450,2660,2770,2990,3730,4059,4090,4010,3050,2980,3100,3900,4420,5230,7010
CRN,174000,161000,211000,176000,176000,149000,137000,132000,122000,98000,90000,89000,91000,120000,122000,118000,94000,83000,70000,52000
CPZ,175000,186000,298000,259000,251000,203000,189000,167000,139000,124000,110000,112000,123000,142000,153000,164000,181000,179000,170000,154000
RZ,14700,15020,15670,16540,16520,21510,21150,21810,28820,32670,40880,47840,36980,32490,23890,18250,11860,11590,10940,11140
CRZ,25000,24000,23000,22000,22000,17000,17000,17000,13000,11000,9000,8000,10000,11000,15000,20000,31000,31000,33000,33000
RMO,1650,1540,1070,1220,1230,1490,1580,1750,2050,2210,2380,2270,2009,1760,1600,1530,1470,1580,1780,2000
RMT,4220,3720,3930,4430,4800,6720,7310,8039,9260,8760,8010,7040,5420,4620,4200,4010,4059,4760,5660,6810
RM,1190,1090,840,960,980,1220,1300,1440,1680,1760,1840,1720,1470,1270,1160,1110,1080,1190,1350,1550
COP,199000,185000,234000,198000,198000,166000,154000,149000,135000,109000,99000,97000,101000,131000,137000,138000,125000,114000,103000,85000
CSP,24000,-1000,-64000,-61000,-53000,-37000,-35000,-18000,-4000,-15000,-11000,-15000,-22000,-11000,-16000,-26000,-56000,-65000,-67000,-69000
