,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RS_sy,,-28.17,-26.59,-17.33,,,,24.36,10.51,18.12,-12.36,-9.79,8.15,-11.78,22.57,14.59,-11.23,8.26,-27.01,-1.34,-9.04,-1.24,30.60,6.55,12.45,-31.45
RS_qq,,,,,-9.82,-11.56,-65.69,-85.65,-346.88,-141.77,321.47,69.03,29.51,8.75,9.14,11.10,-5.57,-7.55,-18.76,-29.33,-14.87,-0.19,1.73,14.93,-3.29,-26.36
RS_sq,,,,,7.89,-3.20,10.56,7.70,-4.12,3.46,-17.97,10.85,14.96,-15.61,13.98,3.62,-10.94,2.92,-23.16,40.07,-17.89,11.75,1.62,14.28,-13.35,-31.88
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-44.98,-15.33,-2.57,,,,-102.77,-119.58,-141.09,111.83,3352.38,781.06,502.89,196.93,72.18,23.36,4.92,-22.58,-48.47,-53.20,-49.07,-35.48,-3.47,9.25,-19.19
GPM_sy,,-34.67,-28.41,-12.03,,,,14.27,29.70,23.86,-46.15,20.64,20.93,12.49,129.05,-103.72,-99.79,-81.21,-68.64,2283.91,39980.00,451.56,207.72,8.84,-2.20,-34.28
GPM_qq,,,,,-11.20,-12.61,-71.31,-112.43,-528.57,-83.33,247.93,90.78,31.63,8.45,9.03,10.63,-5.70,-7.75,-19.55,-26.37,-14.36,0.39,1.92,10.17,-3.08,-25.75
GPM_sq,,,,,-10.08,-3.80,14.18,15.70,2.06,-8.14,-50.36,159.20,2.31,-14.55,1.08,-104.21,105.75,7580.00,68.75,193.21,5.47,5.69,-5.85,3.71,-5.22,-28.98
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,-56.86,-5.48,7.59,,,,-68.34,-76.65,-85.80,40.68,203.52,429.88,919.85,97.59,53.24,18.95,4.11,-13.96,-33.23,-36.21,-33.31,-23.94,-3.40,1.65,-15.06
RBS_sy,,-20.79,-7.20,-20.52,,,,6.75,17.69,16.16,-12.91,-38.56,-15.78,-22.44,-1.67,-8.79,-52.01,0.88,-39.55,60.17,127.41,15.64,86.97,12.47,0.39,-30.37
RBS_qq,,,,,-4.18,-7.17,-44.57,-35.78,-29.33,-43.57,449.26,38.55,23.38,8.61,6.42,7.45,-4.22,-4.94,-12.05,-16.61,-8.50,-0.62,0.31,5.90,-3.71,-16.95
RBS_sq,,,,,-10.08,7.08,13.20,-2.06,-0.86,5.69,-15.13,-30.91,35.89,-2.67,7.60,-35.91,-28.50,104.59,-35.52,69.79,1.52,4.04,4.26,2.13,-9.38,-27.84
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,22.72,-25.34,7.69,,,,-96.49,-110.89,-118.17,-17.05,1805.69,959.92,713.48,335.69,43.69,54.93,15.98,-10.55,-37.17,-41.85,-38.07,-30.72,6.47,12.56,-1.58
ROPA_sy,,-3.56,-29.94,7.39,,,,-19.09,-16.08,-10.62,-36.64,-3.04,0.65,-8.53,31.69,-69.23,-60.17,-43.45,-31.93,183.72,148.48,100.00,46.76,5.53,-3.38,-25.96
ROPA_qq,,,,,-32.57,7.25,-65.71,-85.83,-308.94,-78.99,256.52,225.56,-5.72,27.69,11.16,7.36,1.66,-4.41,-14.27,-24.59,-5.91,1.81,-4.09,15.90,-0.53,-10.98
ROPA_sq,,,,,-10.53,-3.29,1.38,-7.76,-7.20,2.99,-28.13,41.16,-3.67,-6.41,3.47,-67.02,24.71,32.87,24.56,37.46,9.22,6.94,-8.60,-1.15,,-18.06
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,-26.10,262.51,-52.98,,,,-90.01,-112.93,-197.53,650.46,606.33,1277.10,253.05,-10.74,30.85,-36.22,-44.64,-1.50,-20.89,32.87,-8.12,-21.36,22.41,-44.00,-41.80
ZNPO_sy,,-14.75,8.26,-22.65,,,,-42.76,-24.54,-30.44,-40.15,82.69,47.33,19.48,78.66,-90.71,-85.93,-50.67,-67.88,658.35,337.99,78.66,178.08,14.70,10.42,-36.34
ZNPO_qq,,,,,-26.15,18.26,-84.95,-23.97,-195.58,-791.81,215.80,-28.44,59.29,15.96,-32.47,4.90,-22.36,0.66,20.14,-15.75,30.40,-30.39,2.83,31.15,-40.34,-27.66
ZNPO_sq,,,,,-0.79,8.83,-23.69,-30.52,30.79,0.31,-34.34,112.09,5.47,-18.65,-1.82,-88.98,59.82,185.24,-36.07,160.22,-7.69,16.35,-0.50,7.34,-11.15,-32.91
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,-98.68,2437.76,-103.52,,,,,528.65,,,,,602.96,,,,,,,,,,-11824.14,3373.21,-2478.05
ZFI_sy,,-2.98,9.71,-6.78,,,,,-16.79,,,,,3.58,,,,,,,,,,-27.60,-28.35,-0.26
ZFI_qq,,,,,-40.60,,,,,-107.32,,,,,-78.39,,,,,,-93.10,-46.43,-98.78,-2021.47,153.01,-215.33
ZFI_sq,,,,,-0.78,,,,,22.27,,,,,11.50,,,,,,-12.13,-20.62,41.64,-26.72,-13.04,10.50
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,120.57,20.22,1.92,,,,14.62,1.39,1.90,-11.95,-13.31,-19.38,-8.07,-8.50,-12.95,-11.21,1.35,-1.82,0.22,4.54,-3.55,1.24,-0.51,5.55,7.96
DTAR_sy,,-4.17,-1.52,9.92,,,,-4.01,-1.19,0.18,3.58,8.96,4.81,10.52,5.78,8.31,11.90,9.31,10.07,1.12,3.32,-1.31,-0.53,-2.48,-2.96,-4.34
DTAR_qq,,,,,1.93,5.37,12.28,-4.96,-9.84,5.91,-2.98,-6.42,-16.15,20.76,-3.44,-10.97,-14.48,37.84,-6.46,-9.12,-10.79,27.17,-1.81,-10.68,-5.36,30.07
DTAR_sq,,,,,-3.87,-1.06,1.85,-0.91,-1.05,0.31,5.31,4.24,-4.81,5.77,0.79,6.74,-1.66,3.32,1.49,-1.94,0.48,-1.31,2.29,-3.86,-0.02,-2.71
CG,,,,,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,297.75,71.08,7.06,,,,88.92,5.63,9.42,-52.93,-48.29,-49.37,-30.29,-29.13,-35.07,-24.33,5.24,-5.99,0.61,10.41,-12.52,4.19,-1.35,13.69,35.23
CG_sy,,-6.62,-1.67,-7.43,,,,9.03,16.39,29.09,-2.86,10.57,5.22,19.81,18.49,22.42,24.65,12.29,11.30,1.79,10.85,-1.99,-3.23,-2.81,-12.90,-3.73
CG_qq,,,,,7.51,24.75,101.76,-30.18,-39.89,29.23,-13.21,-23.29,-41.15,77.93,-11.77,-29.72,-31.41,147.45,-21.18,-24.79,-24.73,96.06,-6.12,-28.79,-13.26,133.20
CG_sq,,,,,-6.43,-10.04,33.93,-3.30,-0.11,-0.22,0.79,10.07,-4.94,13.61,-0.32,13.72,-3.22,2.35,-1.19,4.00,5.40,-9.51,-2.44,4.45,-5.54,0.02
LDER,,,,,,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,-60.99,12724.60,4.74,,,,34.72,8.98,-14.57,-58.51,-53.32,-48.68,-34.70,-40.73,-40.14,-32.78,-16.93,-4.74,3.61,0.89,-17.70,-19.16,-22.43,-24.59,-7.19
LDER_sy,,7.05,23.55,-7.07,,,,15.67,37.67,40.93,-3.57,17.81,-0.03,10.22,14.47,21.77,31.94,28.55,22.44,2.21,-2.55,-8.62,-1.41,-0.10,-3.05,-0.14
LDER_qq,,,,,-15.34,45.58,68.14,-34.98,-31.52,14.11,-18.33,-26.86,-24.72,45.21,-25.88,-26.12,-15.47,79.47,-15.00,-19.64,-17.69,46.39,-16.51,-22.90,-19.98,80.16
LDER_sq,,,,,-4.31,-0.26,38.46,-12.47,13.90,2.09,-5.25,6.93,-3.35,12.56,-1.60,13.75,4.73,9.66,-6.28,-5.04,-0.16,2.83,1.12,-3.78,-3.10,5.92
PZAT,,,,,,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,15.05,-44.28,8.24,,,,20.34,24.02,22.70,17.52,9.46,8.24,10.60,12.46,13.34,13.73,16.16,17.90,19.74,24.46,25.41,26.17,28.53,30.94,44.28
PZAT_sy,,9.86,0.86,-21.94,,,,-3.13,-13.42,-27.43,21.02,-14.87,14.78,-0.42,-18.30,-5.00,-16.11,4.34,13.10,8.00,23.48,12.78,-1.53,3.75,1.83,3.65
PZAT_qq,,,,,0.55,1.60,6.60,10.50,3.63,0.51,2.10,2.92,2.48,2.71,3.82,3.73,2.82,4.90,5.37,5.35,6.88,5.71,6.01,7.32,8.88,16.48
PZAT_sq,,,,,-9.94,18.81,-27.61,25.07,-19.51,-0.42,20.71,-12.01,8.53,-13.61,-0.96,2.31,-4.16,7.45,7.35,-2.31,9.57,-1.85,-6.27,2.93,7.55,-0.10
PELDR,,,,,,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,146.88,-87.47,-5.73,,,,-21.37,-19.65,-12.15,12.76,23.07,29.37,10.83,17.18,20.44,14.60,-3.46,-7.48,-9.83,-12.73,-3.23,-5.46,-7.17,-4.84,-25.86
PELDR_sy,,-0.94,4.55,-3.87,,,,1.78,0.41,1.23,-3.63,0.16,0.67,-2.23,3.22,-2.22,-2.47,-2.92,-3.72,-1.75,-4.44,-4.21,-3.47,-2.85,1.58,0.56
PELDR_qq,,,,,6.46,-13.38,-17.11,2.88,8.79,-5.29,6.38,12.29,14.35,-18.86,12.47,15.42,8.80,-31.65,7.80,12.49,5.30,-24.21,5.32,10.45,7.94,-40.96
PELDR_sq,,,,,2.80,-1.06,0.90,-0.82,1.42,-0.26,-3.94,3.07,1.93,-3.12,1.41,-2.36,1.68,-3.58,0.58,-0.36,-1.11,-3.34,1.35,0.28,3.40,-4.31
TSF,,,,,,,,,,,,,,,,,,,,,,,,,,
TSF_yy,,-45.61,81.56,-2.03,,,,-26.09,1.06,-16.04,1.89,5.51,11.97,2.56,-2.04,6.33,0.23,-12.47,2.14,1.01,-5.01,0.67,-11.23,-8.14,-15.21,-22.72
TSF_sy,,2.66,3.04,0.98,,,,0.88,1.35,2.34,-2.23,2.21,-3.89,-3.55,0.60,-4.22,4.27,0.47,3.68,-1.83,-3.48,-1.97,-4.78,-0.32,-2.21,-3.62
TSF_qq,,,,,-14.33,7.14,-18.72,-0.94,17.14,-10.99,-1.35,2.58,24.32,-18.47,-5.78,11.34,17.18,-28.80,9.95,10.11,10.20,-24.54,-3.05,13.95,1.71,-31.22
