,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZOCurrent_sq,,,,,,,2235.44,-11.09,59.84,-43.03,-29.47,48.09,-9.80,-7.57,-41.67,81.76,-17.57,-38.18,15.36,-27.02,-16.79,0.70,-4.61,-22.60,17.66,6.89,19.79,54.15,6.41,50.81,0.99,79.32,-30.78,-21.08,-18.32,-3.38,-9.19,-6.41
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,0.03,-0.36,-25.33,64.14,,,-12.24,,-6.00,,47.88,37.17,36.66,60.05,7.59,12.19,-3.20,1.92,1.40,-2.40,11.45,9.73,6.42,5.60,6.78,2.66,-0.86,-2.19,-9.24,-6.46,-4.70,-3.67,-1.49,3.51,-1.40,1.34,4.75
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,,,-22.21,7.16,7.37,5.02,-17.25,58.47,-0.40,4.63,-3.08,6.53,3.86,-9.73,2.05,5.98,-0.03,3.08,0.48,2.78,-0.80,4.23,-3.40,-0.75,-2.12,-3.29,-0.44,1.13,-1.07,-1.10,4.62,-3.67,1.68,2.23
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-13.40,-2.24,-18.64,80.95,,,-4.26,,-0.60,3.73,3.98,5.44,10.05,24.48,-16.09,-21.18,-25.62,-21.20,-19.34,-23.37,-16.18,-7.57,-6.89,-3.60,-6.72,-15.62,-23.06,-19.09,-19.70,-14.46,-0.51,-3.66,-1.10,7.67,-7.29,-6.68,-4.72
EVPCurrent_sy,,-13.40,-2.24,-51.76,82.17,,,-18.06,,3.08,-20.64,-39.44,-43.30,-26.56,-7.69,85.42,76.61,34.09,14.52,-17.20,-24.16,-8.99,-2.15,28.53,16.31,8.32,10.91,4.75,4.71,17.10,10.34,-4.36,11.03,7.42,2.35,-17.47,-16.96,-18.86
EVPCurrent_qq,,,,,,,-26.60,44.14,0.44,-6.45,-23.41,44.49,1.86,-2.37,-13.37,-2.60,-4.32,-7.86,-8.22,-0.31,-9.10,0.79,1.21,0.42,-5.89,-2.47,-8.44,-8.43,-1.04,-3.20,-2.47,6.50,-4.18,-0.63,6.18,-8.30,-3.55,1.47
EVPCurrent_sq,,,,,,,17.73,-11.71,11.37,-10.96,-9.35,-32.62,4.26,15.33,13.94,35.34,-0.70,-12.43,-2.69,-2.15,-9.05,5.09,4.62,28.53,-17.69,-2.12,7.11,21.40,-17.73,9.47,0.92,5.22,-4.49,5.91,-3.84,-15.16,-3.89,3.48
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
