,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CAR,50,30,50,180,70,,680,530,310,,2900,1570,980,,1950,2130,1480,,1230,1610,1590,1110,3480,1180,280,640,1670,1660,1540,1990,1020,330,230,910,1120,970,470,280,110,100,50,50,90,80,40
QR,720,750,870,350,840,,1320,1420,1240,,4030,2890,2070,,2950,3860,2550,,2060,2940,2870,2380,4430,2120,870,1180,2550,2500,2320,2740,1400,760,620,1350,2340,2460,1500,1210,680,730,700,630,750,690,540
CR,1270,1370,1680,2190,2040,,2440,2760,2700,,5720,4510,3740,,4740,6040,4110,,3360,4570,4510,3880,5800,3410,1460,1810,3730,3660,3390,3960,1950,930,830,1570,3390,3570,2560,2370,1510,1470,1310,1350,1490,1360,1210
PP,50,30,50,180,70,,680,530,310,,2900,1570,980,,1950,2130,1480,,1230,1610,1590,1110,3480,1180,280,640,1670,1660,1540,1990,1020,330,230,910,1120,970,470,280,110,100,50,50,90,80,40
RCLR,620,690,780,930,770,,640,890,770,,970,1210,1000,,1000,1730,1010,,790,1330,1280,1270,850,980,610,550,880,810,780,680,380,430,390,430,1220,1470,1010,890,570,580,620,540,640,580,480
KP,140,180,290,360,340,,420,450,460,,670,580,540,,570,590,480,,380,410,390,370,530,260,110,160,320,320,290,320,200,-30,-70,180,230,220,160,140,80,80,60,60,70,50,30
PKKO,200,250,350,400,400,,640,650,680,,1580,1420,1150,,1420,1410,1210,,1220,1290,1180,1130,2300,1210,920,1640,1560,1510,1340,1530,890,-70,-220,800,1730,1370,790,660,340,330,230,250,280,240,160
RN,3920,3880,4630,5310,5680,5630,6000,6080,6050,6290,5940,5420,4870,5550,4920,4560,4620,5270,5130,4790,4470,4310,4230,4140,2870,2280,2270,2300,3050,4100,4260,3750,3180,2660,1950,2270,2780,3160,3820,4220,4180,4180,4450,4490,4780
CRN,93000,94000,79000,69000,64000,65000,61000,60000,60000,58000,61000,67000,75000,66000,74000,80000,79000,69000,71000,76000,82000,85000,86000,88000,127000,160000,161000,159000,120000,89000,86000,97000,115000,137000,187000,161000,131000,116000,95000,87000,87000,87000,82000,81000,76000
CPZ,149000,136000,101000,74000,79000,80000,85000,79000,79000,76000,70000,67000,71000,62000,70000,67000,66000,58000,68000,75000,74000,74000,75000,83000,163000,246000,245000,247000,175000,113000,137000,185000,258000,337000,365000,240000,152000,102000,103000,119000,135000,151000,138000,137000,138000
RZ,2790,2720,2760,2880,2540,2590,2390,2300,2080,2130,2040,1940,1940,2190,1760,1690,1760,2000,1990,1920,1860,1870,1860,1770,1380,1090,1220,1250,1460,1750,1720,1920,2110,2720,2480,2410,2400,2170,2190,2100,2100,2050,2300,2340,2260
CRZ,131000,134000,132000,127000,144000,141000,153000,158000,175000,171000,179000,189000,189000,167000,208000,216000,208000,182000,184000,191000,196000,195000,196000,206000,265000,334000,300000,293000,251000,208000,212000,190000,173000,134000,147000,152000,152000,168000,166000,174000,174000,178000,159000,156000,162000
RMO,1930,1960,2150,2260,2250,2230,1990,1910,1750,1820,1400,1270,1160,1320,1200,1160,1140,1300,1300,1240,1210,1230,1020,1000,830,660,720,700,770,880,870,870,840,820,730,830,980,1210,1500,1630,1690,1720,1890,1950,1970
RMT,3580,4030,5470,4550,4470,4430,4270,4390,4430,4610,4530,4130,3660,4170,3300,3000,2530,2880,2020,1550,1320,1300,1260,1010,650,450,430,430,530,660,640,610,570,590,460,470,500,490,540,540,550,530,550,530,500
RM,1250,1320,1540,1510,1500,1480,1360,1330,1250,1300,1070,970,880,1000,880,840,790,900,790,690,630,630,560,500,360,270,270,270,310,380,370,360,340,340,280,300,330,350,400,410,410,410,430,420,400
COP,224000,228000,211000,196000,208000,206000,214000,218000,235000,229000,240000,256000,264000,233000,282000,296000,287000,251000,255000,267000,278000,280000,282000,294000,392000,494000,461000,452000,371000,297000,298000,287000,288000,271000,334000,313000,283000,284000,261000,261000,261000,265000,241000,237000,238000
CSP,75000,92000,110000,122000,129000,126000,129000,139000,156000,153000,170000,189000,193000,171000,212000,229000,221000,193000,187000,192000,204000,206000,207000,211000,229000,248000,216000,205000,196000,184000,161000,102000,30000,-66000,-31000,73000,131000,182000,158000,142000,126000,114000,103000,100000,100000
