,2012/Q4,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZNPO_sy,,,-58.69,,,-29.76,48.28,-56.32,-87.11,-94.27,59.58,21.61,168.37,1855.52,-130.60,-119.69,-151.07,-62.41,19.22,-103.38,151.63
ZNPO_qq,,,-73.28,-49.89,134.07,1221.68,101.29,-72.17,-143.86,11.10,115.82,-1302.46,101.12,-3767.50,-860.11,105.05,-178.95,-32.96,749.73,-48.59,443.32
ZNPO_sq,,,-50.98,156.44,48.39,-62.34,3.48,-24.45,-56.21,-83.26,2781.82,-42.43,-3.37,21.97,-145.09,62.96,-150.70,189.77,-196.91,6.75,163.64
ZFI,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,,,,,,,,,-23.82,,,,,,,,,,,
ZFI_sy,,,,,,,,,,78.29,,,,,,,,,,,
ZFI_qq,,,,,,,,,,,36.67,180.89,,,,,,,,,
ZFI_sq,,,,,,,,,,,-15.38,17.78,,,,,,,,,
DTAR,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,,-73.08,,,-93.26,-68.78,-45.23,-64.56,469.37,241.20,49.47,-22.55,-44.62,4.67,-22.15,-2.62,-5.00,-23.26,-5.83,79.67
DTAR_sy,,,-13.67,,,-5.34,3.49,-14.10,1.22,-2.97,8.21,-13.26,-21.35,10.38,-5.22,49.02,45.96,7.88,17.45,5.03,14.44
DTAR_qq,,,-70.75,42.43,82.30,-91.13,35.59,149.83,17.95,42.50,-18.75,9.44,-38.88,1.89,53.57,-18.60,-23.54,-0.60,24.06,-0.12,45.87
DTAR_sq,,,-6.65,7.51,-2.39,-3.37,2.06,-10.76,15.01,-7.37,13.83,-28.47,4.28,30.01,-2.27,12.47,2.14,-3.91,6.41,0.57,11.29
CG,,,,,,,,,,,,,,,,,,,,,
CG_yy,,,-80.48,,,-95.17,-70.95,-48.93,-70.85,537.00,269.03,55.72,-24.25,-47.93,5.24,-24.25,-2.71,-5.44,-25.33,-6.36,90.52
CG_sy,,,-25.23,,,-10.85,-5.09,-19.47,-14.34,-12.80,7.72,-20.42,-21.86,13.79,-23.95,15.60,73.70,21.96,56.56,90.21,16.83
CG_qq,,,-77.30,49.20,109.67,-93.20,36.56,162.26,19.68,48.61,-20.89,10.66,-41.79,2.17,59.89,-20.35,-25.23,-0.70,26.26,-0.11,52.12
CG_sq,,,-1.85,2.06,-0.88,-10.20,4.49,-13.41,5.44,-8.58,29.07,-36.04,3.53,33.13,-13.74,-2.77,55.56,-6.52,10.74,18.13,-4.45
LDER,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,,1.39,,,-89.01,-34.25,-2.74,-73.47,1380.00,-75.00,-80.28,-92.00,-91.89,4908.33,2300.00,125.00,66.67,-89.68,-77.08,666.67
LDER_sy,,,-1.94,,,26.68,-14.00,-29.31,11.12,4.68,13.36,-9.99,30.14,40.09,-6.02,14.22,-28.70,-2.50,42.98,62.87,3.55
LDER_qq,,,-19.78,,416.44,-97.35,380.00,47.92,40.85,48.00,-91.89,16.67,-42.86,50.00,4908.33,-44.09,-94.64,11.11,210.00,24.19,79.22
LDER_sq,,,65.12,,-26.17,-5.32,12.09,-9.78,16.04,-10.80,21.39,-28.36,67.78,-3.98,-18.56,-12.93,4.73,31.30,19.42,-0.82,-33.42
PZAT,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,,,,,,,,,,,200.49,488.24,416.94,-99.62,-94.94,-32.94,9.45,4428.57,273.98,-85.73
PZAT_sy,,,,,,,,,,,,53.22,276.66,16.44,-81.82,-54.87,-72.13,-43.05,-0.44,-28.84,23.29
PZAT_qq,,,,,,,,,-26.50,-43.95,999.40,-33.66,43.88,-50.74,-99.19,778.57,1808.13,-19.60,-66.40,-27.44,-27.17
PZAT_sq,,,,,,,,,-53.17,56.47,119.85,-4.88,15.11,-51.63,-65.66,136.07,-28.91,-1.16,-39.98,68.74,23.16
