,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1
CPCurrent_yy,-1.02,12.31,,,,0.91,3.27,6.60,2.29,1.81,6.79,6.19,12.11,12.89,2.54,-2.50,-8.40,-9.84,-4.96,-1.71,-2.18,-9.17,-10.00,-8.70,2.68,26.92,37.68,52.86,63.48,89.77,158.60,184.11,137.50,74.05,19.27,-2.30,6.72,10.44,11.60,9.88,-0.73,8.62,7.85,11.44,39.64,61.38,141.78
CPCurrent_sy,-5.20,-2.24,,,,-15.61,-15.38,-1.21,-11.54,-14.80,-12.86,-19.54,-11.72,-14.75,-0.96,4.40,9.90,2.42,1.49,0.75,-11.30,-2.87,-16.74,-18.57,-13.36,-12.47,9.28,2.24,6.91,-8.20,-24.75,-24.50,-24.38,0.06,-1.65,1.69,5.52,-7.19,0.43,8.18,6.29,3.37,0.94,-1.45,-1.94,-6.96,-10.61
CPCurrent_qq,,,-2.28,-0.93,2.83,1.38,,2.26,-1.33,0.90,4.89,1.69,4.17,1.60,-4.72,-3.31,-2.14,,0.44,,-2.61,-7.14,-0.48,1.45,9.52,14.78,7.95,12.63,17.13,33.24,47.11,23.74,-2.08,-2.35,0.80,1.37,6.96,1.05,1.87,-0.20,-3.37,10.57,1.15,3.12,21.08,27.78,51.54
CPCurrent_sq,,,0.73,-11.38,-2.25,-3.29,,3.47,-12.47,-6.86,3.30,-4.47,-3.96,-10.05,20.01,0.70,1.11,,18.92,,-10.99,-8.21,1.94,-2.23,-5.29,-7.27,27.27,-8.53,-0.96,-20.38,4.33,-8.23,-0.80,5.35,2.54,-5.11,2.93,-7.34,10.97,2.22,1.13,-9.89,8.36,-0.21,0.64,-14.50,4.11
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,-171.23,-558.30,,,,114.16,106.15,195.58,251.22,354.29,1181.53,-90.51,-96.97,-37.06,-56.74,105.65,370.06,-79.29,-49.60,-34.67,-374.52,-1090.04,-906.14,-2145.31,-581.39,-218.12,-105.96,-29.32,4.38,-8.71,2.07,21.01,25.91,95.99,98.37,98.64,98.10,110.83,128.57,151.70,141.92,-78.05,-102.50,-130.77,-1374.70,-19211.11,-202250.00
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,6.35,17.76,28.03,125.54,-59.33,1178.63,13.87,-23.27,14.71,-90.53,-63.70,1495.81,-21.16,-54.97,-17.02,-29.68,91.85,-41.64,-448.71,-153.60,-56.21,-48.06,-16.17,-18.39,-1.14,7.04,14.10,-34.60,8.89,25.01,19.43,92.72,63.01,37.14,-12.50,141.41,-2.44,13.75,-8.79,-78.31,-111.11,-1300.00,-3678.57,-225.14,-17.65
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
