,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
EVCurrent_qq,,,,,552.22,-149.41,70.88,206.56,139.24,103.47,31.10,57.17,60.22,9.44,9.71,-18.28,-0.09,7.59,-16.34,2.67,-0.37,-0.01,1.93,-4.16,6.00,-3.25,7.26,-5.17,-5.36,-1.47,-4.80,-1.28
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,7.47,141.47,,-60.66,,,-24.68,-72.83,231.58,778.21,903.59,800.68,436.19,389.66,134.92,26.55,39.04,61.64,180.33,402.35,231.24,98.08,20.19,-35.36,-19.03,-3.27,-6.75,-9.74,-16.96,9.70,73.52
EVPCurrent_sy,,35.23,34.22,,-37.93,,,-48.18,-69.01,-43.77,26.21,130.52,231.06,115.27,101.72,58.07,26.55,5.44,10.84,12.51,27.84,30.44,12.96,17.83,78.79,8.86,12.03,8.18,-8.48,-15.77,-22.27,-19.26
EVPCurrent_qq,,,,,486.13,-143.31,74.59,216.76,111.48,109.73,30.96,72.78,89.80,24.86,19.60,-17.11,2.24,37.18,39.03,43.76,83.22,-9.55,-16.86,-12.77,-1.47,13.31,-0.68,-15.91,-4.63,4.24,31.21,33.02
EVPCurrent_sq,,,,,54.09,-4.91,-46.98,-33.29,-7.84,72.54,18.99,21.83,32.36,12.19,11.50,-4.53,5.97,-6.53,17.22,-3.10,20.41,-4.63,1.51,1.08,82.70,-41.93,4.48,-2.40,54.57,-46.56,-3.58,1.38
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,102.29,136.89,,-75.11,,,-22.07,-74.36,241.45,1007.89,1277.32,3763.37,-5140.69,-1464.00,-631.52,-262.84,43.01,27.46,-18.31,58.30,24.88,-328.48,-2874.63,296.42,270.53,180.55,109.57,182.79,200.22,-1378.20,-241.02
EVEBITCurrent_sy,,92.39,-10.81,,-39.61,,,-64.96,-42.83,0.25,74.77,422.54,255.17,-106.55,-65.54,-51.54,-112.80,-469.09,-266.83,-196.25,-226.89,-46.24,10.33,57.47,-125.86,-221.60,-204.77,-464.42,118.70,294.68,41.84,6.24
EVEBITCurrent_qq,,,,,484.56,-140.08,75.87,237.87,92.35,121.09,54.85,109.16,439.53,-388.46,58.10,18.50,-65.30,-0.95,46.67,-32.94,41.74,-81.87,-204.21,-822.89,103.85,57.90,43.70,9.67,13.64,67.63,-711.81,87.90
EVEBITCurrent_sq,,,,,54.72,-23.49,-35.09,-54.40,152.46,34.16,13.15,36.34,71.60,-102.47,695.46,91.73,-145.32,-9.98,-74.56,-10.62,-53.92,50.80,-7.03,47.53,-717.43,29.94,-1.43,2.83,127.09,629.15,-130.30,-56.63
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-92.30,125.14,,-74.31,,,-25.36,-75.03,234.05,937.16,1123.43,1937.59,2620.04,7296.65,3684.22,361.45,144.93,-227.07,-574.50,-169.86,-314.56,150.76,107.43,153.34,114.94,-62.21,-27.04,91.80,69.28,101.72,317.20
EVEBITDACurrent_sy,,-45.47,-0.45,,-29.89,,,-65.38,-65.12,-17.20,48.32,253.95,181.69,140.72,70.68,33.34,18.89,-32.12,-157.70,-163.72,-184.83,-156.52,305.17,334.64,-44.44,379.16,68.63,46.50,58.13,7.70,-40.48,-53.64
